"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2020","12,901.34","12,965.22","12,971.08","12,797.52","54.99M","-0.71%"
"Aug 13, 2020","12,993.71","13,044.47","13,075.25","12,956.30","60.06M","-0.50%"
"Aug 12, 2020","13,058.63","12,917.34","13,101.12","12,879.11","62.44M","0.86%"
"Aug 11, 2020","12,946.89","12,806.97","13,046.13","12,802.06","77.57M","2.04%"
"Aug 10, 2020","12,687.53","12,729.10","12,753.12","12,605.82","49.57M","0.10%"
"Aug 07, 2020","12,674.88","12,634.79","12,691.66","12,517.44","57.75M","0.66%"
"Aug 06, 2020","12,591.68","12,664.55","12,799.21","12,519.85","67.70M","-0.54%"
"Aug 05, 2020","12,660.25","12,667.12","12,757.03","12,632.99","67.96M","0.47%"
"Aug 04, 2020","12,600.87","12,744.13","12,768.58","12,528.07","65.61M","-0.36%"
"Aug 03, 2020","12,646.98","12,374.46","12,698.56","12,365.61","73.27M","2.71%"
"Jul 31, 2020","12,313.36","12,403.10","12,524.75","12,313.36","81.41M","-0.54%"
"Jul 30, 2020","12,379.65","12,762.12","12,768.71","12,253.92","103.74M","-3.45%"
"Jul 29, 2020","12,822.26","12,819.63","12,864.39","12,789.97","70.23M","-0.10%"
"Jul 28, 2020","12,835.28","12,886.23","12,936.01","12,746.46","58.13M","-0.03%"
"Jul 27, 2020","12,838.66","12,865.75","12,908.66","12,811.44","60.60M","0.00%"
"Jul 24, 2020","12,838.06","12,919.31","12,935.50","12,812.02","63.78M","-2.02%"
"Jul 23, 2020","13,103.39","13,183.50","13,217.73","13,072.82","64.54M","-0.01%"
"Jul 22, 2020","13,104.25","13,165.29","13,197.92","13,067.06","68.19M","-0.51%"
"Jul 21, 2020","13,171.83","13,194.93","13,313.90","13,147.30","92.17M","0.96%"
"Jul 20, 2020","13,046.92","12,898.11","13,063.69","12,811.72","59.66M","0.99%"
"Jul 17, 2020","12,919.61","12,915.27","12,954.25","12,870.27","75.18M","0.35%"
"Jul 16, 2020","12,874.97","12,857.30","12,919.23","12,805.47","68.01M","-0.43%"
"Jul 15, 2020","12,930.98","12,812.11","12,999.84","12,773.44","78.62M","1.84%"
"Jul 14, 2020","12,697.36","12,642.23","12,697.91","12,535.90","76.74M","-0.80%"
"Jul 13, 2020","12,799.97","12,817.19","12,836.41","12,688.94","72.52M","1.32%"
"Jul 10, 2020","12,633.71","12,442.22","12,649.99","12,416.69","72.73M","1.15%"
"Jul 09, 2020","12,489.46","12,639.17","12,709.68","12,459.16","76.14M","-0.04%"
"Jul 08, 2020","12,494.81","12,542.58","12,670.19","12,463.22","74.36M","-0.97%"
"Jul 07, 2020","12,616.80","12,660.09","12,661.12","12,525.18","78.79M","-0.92%"
"Jul 06, 2020","12,733.45","12,774.77","12,842.59","12,655.21","78.19M","1.64%"
"Jul 03, 2020","12,528.18","12,644.60","12,649.98","12,476.13","54.01M","-0.64%"
"Jul 02, 2020","12,608.46","12,378.80","12,658.17","12,370.72","103.86M","2.84%"
"Jul 01, 2020","12,260.57","12,391.72","12,391.72","12,095.11","81.13M","-0.41%"
"Jun 30, 2020","12,310.93","12,287.94","12,350.35","12,188.09","124.63M","0.64%"
"Jun 29, 2020","12,232.12","12,090.41","12,297.68","12,045.26","121.31M","1.18%"
"Jun 26, 2020","12,089.39","12,308.48","12,347.45","12,060.89","111.97M","-0.73%"
"Jun 25, 2020","12,177.87","12,102.25","12,236.46","11,957.31","128.25M","0.69%"
"Jun 24, 2020","12,093.94","12,459.81","12,489.24","12,093.94","102.78M","-3.43%"
"Jun 23, 2020","12,523.76","12,360.09","12,616.12","12,332.10","113.42M","2.13%"
"Jun 22, 2020","12,262.97","12,194.48","12,399.37","12,172.12","91.98M","-0.55%"
"Jun 19, 2020","12,330.76","12,375.18","12,447.15","12,319.19","227.98M","0.40%"
"Jun 18, 2020","12,281.53","12,347.49","12,483.84","12,189.67","154.82M","-0.81%"
"Jun 17, 2020","12,382.14","12,312.44","12,432.23","12,288.17","102.04M","0.54%"
"Jun 16, 2020","12,315.66","12,168.37","12,434.27","12,132.80","122.78M","3.39%"
"Jun 15, 2020","11,911.35","11,661.36","11,968.06","11,597.82","99.88M","-0.32%"
"Jun 12, 2020","11,949.28","11,876.34","12,172.63","11,828.66","118.02M","-0.18%"
"Jun 11, 2020","11,970.29","12,223.42","12,301.95","11,970.29","133.28M","-4.47%"
"Jun 10, 2020","12,530.16","12,719.15","12,763.89","12,471.06","112.49M","-0.70%"
"Jun 09, 2020","12,617.99","12,859.83","12,864.91","12,502.45","145.98M","-1.57%"
"Jun 08, 2020","12,819.59","12,722.68","12,913.13","12,670.95","140.37M","-0.22%"
"Jun 05, 2020","12,847.68","12,565.16","12,858.79","12,560.19","168.93M","3.36%"
"Jun 04, 2020","12,430.56","12,390.03","12,558.24","12,326.44","138.86M","-0.45%"
"Jun 03, 2020","12,487.36","12,147.12","12,507.41","12,133.70","152.04M","3.88%"
"Jun 02, 2020","12,021.28","11,896.70","12,055.57","11,850.34","143.10M","3.75%"
"May 29, 2020","11,586.85","11,649.37","11,729.98","11,575.74","170.60M","-1.65%"
"May 28, 2020","11,781.13","11,746.78","11,813.14","11,654.83","124.13M","1.06%"
"May 27, 2020","11,657.69","11,530.20","11,747.20","11,519.77","168.97M","1.33%"
"May 26, 2020","11,504.65","11,488.99","11,544.35","11,429.88","124.58M","1.00%"
"May 25, 2020","11,391.28","11,186.04","11,391.28","11,118.12","72.13M","2.87%"
"May 22, 2020","11,073.87","10,896.28","11,138.15","10,867.17","86.15M","0.07%"
"May 21, 2020","11,065.93","11,088.12","11,194.92","11,036.91","73.57M","-1.41%"
"May 20, 2020","11,223.71","11,029.33","11,246.91","10,978.57","98.83M","1.34%"
"May 19, 2020","11,075.29","11,200.92","11,201.18","10,936.07","125.54M","0.15%"
"May 18, 2020","11,058.87","10,683.86","11,089.50","10,677.52","118.98M","5.67%"
"May 15, 2020","10,465.17","10,470.85","10,547.19","10,382.54","116.08M","1.24%"
"May 14, 2020","10,337.02","10,418.04","10,474.08","10,160.89","133.62M","-1.95%"
"May 13, 2020","10,542.66","10,669.99","10,698.13","10,530.32","108.74M","-2.56%"
"May 12, 2020","10,819.50","10,777.74","10,886.01","10,772.58","88.86M","-0.05%"
"May 11, 2020","10,824.99","10,948.24","10,986.22","10,740.82","88.08M","-0.73%"
"May 08, 2020","10,904.48","10,882.44","10,918.32","10,819.07","81.80M","1.35%"
"May 07, 2020","10,759.27","10,640.77","10,761.86","10,617.23","102.15M","1.44%"
"May 06, 2020","10,606.20","10,716.51","10,773.86","10,598.90","94.91M","-1.15%"
"May 05, 2020","10,729.46","10,627.07","10,736.95","10,518.94","103.77M","2.51%"
"May 04, 2020","10,466.80","10,543.36","10,578.43","10,426.06","140.43M","-3.64%"
"Apr 30, 2020","10,861.64","11,195.21","11,235.57","10,839.30","162.73M","-2.22%"
"Apr 29, 2020","11,107.74","10,812.74","11,125.35","10,789.52","145.35M","2.89%"
