"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 28, 2020","16,478.01","16,478.01","16,478.01","16,478.01","-","0.76%"
"Aug 27, 2020","16,353.08","16,353.08","16,353.08","16,353.08","-","0.08%"
"Aug 26, 2020","16,339.41","16,339.41","16,339.41","16,339.41","-","0.70%"
"Aug 25, 2020","16,226.20","16,226.20","16,226.20","16,226.20","-","0.05%"
"Aug 24, 2020","16,218.02","16,218.02","16,218.02","16,218.02","-","0.83%"
"Aug 21, 2020","16,083.84","16,083.84","16,083.84","16,083.84","-","0.52%"
"Aug 20, 2020","15,999.86","15,999.86","15,999.86","15,999.86","-","-0.84%"
"Aug 19, 2020","16,135.89","16,135.89","16,135.89","16,135.89","-","0.21%"
"Aug 18, 2020","16,101.86","16,101.86","16,101.86","16,101.86","-","1.23%"
"Aug 17, 2020","15,906.29","15,906.29","15,906.29","15,906.29","-","0.61%"
"Aug 14, 2020","15,809.17","15,809.17","15,809.17","15,809.17","-","-1.08%"
"Aug 13, 2020","15,981.73","15,981.73","15,981.73","15,981.73","-","-0.03%"
"Aug 12, 2020","15,986.03","15,986.03","15,986.03","15,986.03","-","-0.12%"
"Aug 11, 2020","16,005.99","16,005.99","16,005.99","16,005.99","-","0.46%"
"Aug 10, 2020","15,931.97","15,931.97","15,931.97","15,931.97","-","0.50%"
"Aug 07, 2020","15,852.65","15,852.65","15,852.65","15,852.65","-","0.12%"
"Aug 06, 2020","15,833.02","15,833.02","15,833.02","15,833.02","-","0.91%"
"Aug 05, 2020","15,689.69","15,689.69","15,689.69","15,689.69","-","0.08%"
"Aug 04, 2020","15,676.74","15,676.74","15,676.74","15,676.74","-","1.87%"
"Aug 03, 2020","15,388.98","15,388.98","15,388.98","15,388.98","-","-1.64%"
"Jul 31, 2020","15,645.34","15,645.34","15,645.34","15,645.34","-","-0.26%"
"Jul 30, 2020","15,685.92","15,685.92","15,685.92","15,685.92","-","-0.87%"
"Jul 29, 2020","15,824.19","15,824.19","15,824.19","15,824.19","-","-0.86%"
"Jul 28, 2020","15,961.70","15,961.70","15,961.70","15,961.70","-","1.52%"
"Jul 27, 2020","15,723.39","15,723.39","15,723.39","15,723.39","-","-0.56%"
"Jul 24, 2020","15,811.40","15,811.40","15,811.40","15,811.40","-","-0.19%"
"Jul 23, 2020","15,841.48","15,841.48","15,841.48","15,841.48","-","0.76%"
"Jul 22, 2020","15,722.51","15,722.51","15,722.51","15,722.51","-","-0.27%"
"Jul 21, 2020","15,764.41","15,764.41","15,764.41","15,764.41","-","1.27%"
"Jul 20, 2020","15,566.56","15,566.56","15,566.56","15,566.56","-","1.10%"
"Jul 17, 2020","15,396.44","15,396.44","15,396.44","15,396.44","-","1.51%"
"Jul 16, 2020","15,167.99","15,167.99","15,167.99","15,167.99","-","1.16%"
"Jul 15, 2020","14,993.52","14,993.52","14,993.52","14,993.52","-","0.10%"
"Jul 14, 2020","14,978.23","14,978.23","14,978.23","14,978.23","-","-1.81%"
"Jul 13, 2020","15,254.09","15,254.09","15,254.09","15,254.09","-","0.33%"
"Jul 10, 2020","15,204.13","15,204.13","15,204.13","15,204.13","-","-0.42%"
"Jul 09, 2020","15,268.19","15,268.19","15,268.19","15,268.19","-","1.09%"
"Jul 08, 2020","15,104.09","15,104.09","15,104.09","15,104.09","-","-0.87%"
"Jul 07, 2020","15,236.58","15,236.58","15,236.58","15,236.58","-","0.33%"
"Jul 06, 2020","15,185.78","15,185.78","15,185.78","15,185.78","-","1.48%"
"Jul 03, 2020","14,964.59","14,964.59","14,964.59","14,964.59","-","0.53%"
"Jul 02, 2020","14,886.06","14,886.06","14,886.06","14,886.06","-","1.21%"
"Jul 01, 2020","14,707.64","14,707.64","14,707.64","14,707.64","-","1.24%"
"Jun 30, 2020","14,527.18","14,527.18","14,527.18","14,527.18","-","-0.10%"
"Jun 29, 2020","14,541.76","14,541.76","14,541.76","14,541.76","-","-0.68%"
"Jun 26, 2020","14,641.26","14,641.26","14,641.26","14,641.26","-","0.91%"
"Jun 25, 2020","14,508.61","14,508.61","14,508.61","14,508.61","-","-0.16%"
"Jun 24, 2020","14,531.72","14,531.72","14,531.72","14,531.72","-","-1.58%"
"Jun 23, 2020","14,765.36","14,765.36","14,765.36","14,765.36","-","1.55%"
"Jun 22, 2020","14,540.07","14,540.07","14,540.07","14,540.07","-","0.65%"
"Jun 19, 2020","14,445.87","14,445.87","14,445.87","14,445.87","-","1.54%"
"Jun 18, 2020","14,227.14","14,227.14","14,227.14","14,227.14","-","2.13%"
"Jun 17, 2020","13,930.35","13,930.35","13,930.35","13,930.35","-","-0.33%"
"Jun 16, 2020","13,976.63","13,976.63","13,976.63","13,976.63","-","1.02%"
"Jun 15, 2020","13,835.27","13,835.27","13,835.27","13,835.27","-","-1.60%"
"Jun 12, 2020","14,059.69","14,059.69","14,059.69","14,059.69","-","0.72%"
"Jun 11, 2020","13,959.73","13,959.73","13,959.73","13,959.73","-","-2.11%"
"Jun 10, 2020","14,260.91","14,260.91","14,260.91","14,260.91","-","0.69%"
"Jun 09, 2020","14,162.90","14,162.90","14,162.90","14,162.90","-","-1.19%"
"Jun 08, 2020","14,333.20","14,333.20","14,333.20","14,333.20","-","0.25%"
"Jun 05, 2020","14,297.55","14,297.55","14,297.55","14,297.55","-","1.13%"
"Jun 04, 2020","14,138.19","14,138.19","14,138.19","14,138.19","-","-0.32%"
"Jun 03, 2020","14,183.95","14,183.95","14,183.95","14,183.95","-","0.84%"
"Jun 02, 2020","14,065.56","14,065.56","14,065.56","14,065.56","-","1.56%"
"Jun 01, 2020","13,850.00","13,850.00","13,850.00","13,850.00","-","2.57%"
"May 29, 2020","13,503.45","13,503.45","13,503.45","13,503.45","-","1.04%"
"May 28, 2020","13,364.65","13,364.65","13,364.65","13,364.65","-","1.88%"
"May 27, 2020","13,117.99","13,117.99","13,117.99","13,117.99","-","3.17%"
"May 26, 2020","12,715.39","12,715.39","12,715.39","12,715.39","-","-0.11%"
"May 22, 2020","12,729.74","12,729.74","12,729.74","12,729.74","-","-0.74%"
"May 21, 2020","12,824.12","12,824.12","12,824.12","12,824.12","-","0.44%"
"May 20, 2020","12,768.20","12,768.20","12,768.20","12,768.20","-","2.11%"
"May 19, 2020","12,504.22","12,504.22","12,504.22","12,504.22","-","0.63%"
"May 18, 2020","12,425.57","12,425.57","12,425.57","12,425.57","-","-3.43%"
"May 15, 2020","12,867.16","12,867.16","12,867.16","12,867.16","-","-0.06%"
"May 14, 2020","12,875.51","12,875.51","12,875.51","12,875.51","-","-2.57%"
"May 13, 2020","13,214.58","13,214.58","13,214.58","13,214.58","-","2.03%"
"May 12, 2020","12,951.29","12,951.29","12,951.29","12,951.29","-","-0.46%"
"May 11, 2020","13,011.35","13,011.35","13,011.35","13,011.35","-","-0.13%"
"May 08, 2020","13,028.62","13,028.62","13,028.62","13,028.62","-","0.57%"
"May 07, 2020","12,954.81","12,954.81","12,954.81","12,954.81","-","-0.77%"
"May 06, 2020","13,055.99","13,055.99","13,055.99","13,055.99","-","0.71%"
"May 05, 2020","12,963.99","12,963.99","12,963.99","12,963.99","-","-0.94%"
"May 04, 2020","13,086.63","13,086.63","13,086.63","13,086.63","-","-5.74%"
"Apr 30, 2020","13,884.18","13,884.18","13,884.18","13,884.18","-","3.21%"
"Apr 29, 2020","13,452.51","13,452.51","13,452.51","13,452.51","-","1.85%"
"Apr 28, 2020","13,208.29","13,208.29","13,208.29","13,208.29","-","1.06%"
"Apr 27, 2020","13,069.49","13,069.49","13,069.49","13,069.49","-","1.40%"
"Apr 24, 2020","12,889.39","12,889.39","12,889.39","12,889.39","-","-1.71%"
"Apr 23, 2020","13,113.97","13,113.97","13,113.97","13,113.97","-","1.38%"
"Apr 22, 2020","12,935.73","12,935.73","12,935.73","12,935.73","-","2.29%"
