"Date","Open","High","Low","Close"
"14 Aug 2020","22334.95","22334.95","21459.10","21679.40"
"13 Aug 2020","22395.20","22439.95","22139.60","22196.35"
"12 Aug 2020","22135.95","22326.55","21990.20","22264.00"
"11 Aug 2020","22050.20","22277.60","22039.85","22227.20"
"10 Aug 2020","21824.90","22071.95","21795.10","21900.25"
"07 Aug 2020","21620.25","21787.25","21451.30","21754.00"
"06 Aug 2020","21644.25","21926.55","21370.30","21642.60"
"05 Aug 2020","21686.85","21936.50","21448.40","21509.95"
"04 Aug 2020","21248.25","21576.35","21057.75","21490.50"
"03 Aug 2020","21543.80","21543.80","21031.45","21072.10"
"31 Jul 2020","21730.55","21806.95","21375.00","21640.05"
"30 Jul 2020","22195.05","22252.60","21580.15","21646.85"
"29 Jul 2020","22075.00","22346.40","21906.35","22076.60"
"28 Jul 2020","21940.15","22233.00","21611.40","22105.20"
"27 Jul 2020","22664.60","22668.05","21801.35","21848.75"
"24 Jul 2020","22853.20","22854.05","22417.20","22662.05"
"23 Jul 2020","22854.85","23122.35","22734.90","23083.90"
"22 Jul 2020","23159.00","23211.35","22658.20","22882.60"
"21 Jul 2020","22639.85","22861.90","22597.95","22782.00"
"20 Jul 2020","22307.30","22520.45","22187.80","22321.85"
"17 Jul 2020","21608.05","22065.00","21550.80","21966.80"
"16 Jul 2020","21453.25","21671.25","21027.85","21597.15"
"15 Jul 2020","21634.25","21935.50","21230.55","21340.75"
"14 Jul 2020","21877.60","21909.70","21222.45","21392.20"
"13 Jul 2020","22613.25","22657.40","21981.65","22089.25"
"10 Jul 2020","22720.95","22835.20","22320.05","22398.45"
"09 Jul 2020","22753.15","22998.30","22673.40","22907.20"
"08 Jul 2020","22700.90","23080.60","22499.50","22584.65"
"07 Jul 2020","22254.30","22674.50","22040.35","22628.00"
"06 Jul 2020","22270.95","22399.25","22171.05","22198.95"
"03 Jul 2020","22101.75","22130.30","21768.00","21852.40"
"02 Jul 2020","22133.80","22344.85","21890.50","21953.20"
"01 Jul 2020","21354.10","22061.60","21281.85","21977.60"
"30 Jun 2020","21524.30","21650.50","21212.00","21370.15"
"29 Jun 2020","21291.55","21440.05","21026.45","21359.00"
"26 Jun 2020","21735.05","21784.65","21320.10","21592.05"
"25 Jun 2020","21218.05","21703.50","20926.45","21506.15"
"24 Jun 2020","22479.35","22479.55","21336.35","21426.80"
