"Date","Open","High","Low","Close"
"14 Aug 2020","18137.30","18230.10","17994.65","18022.65"
"13 Aug 2020","18141.35","18344.05","18032.90","18107.20"
"12 Aug 2020","18077.15","18109.80","17900.00","18066.00"
"11 Aug 2020","18202.50","18331.65","18036.50","18057.10"
"10 Aug 2020","18090.25","18205.25","18016.80","18159.55"
"07 Aug 2020","18182.30","18182.30","17977.70","18004.15"
"06 Aug 2020","18009.70","18222.80","17943.85","18188.75"
"05 Aug 2020","17889.55","18139.25","17818.15","17869.80"
"04 Aug 2020","18029.40","18092.00","17716.40","17808.00"
"03 Aug 2020","18099.40","18140.85","17840.30","17965.80"
"31 Jul 2020","18166.30","18353.50","17909.30","18071.85"
"30 Jul 2020","17995.25","18252.70","17967.20","18003.55"
"29 Jul 2020","17959.80","18108.70","17783.30","17880.50"
"28 Jul 2020","17647.90","18103.65","17634.40","18042.75"
"27 Jul 2020","17323.00","17735.65","17290.55","17626.75"
"24 Jul 2020","16944.55","17322.70","16944.55","17286.00"
"23 Jul 2020","17071.80","17082.55","16949.15","17045.20"
"22 Jul 2020","17317.30","17321.70","16978.40","17076.05"
"21 Jul 2020","17453.35","17514.05","17219.70","17273.20"
"20 Jul 2020","16880.35","17376.15","16849.15","17258.30"
"17 Jul 2020","16936.95","16975.20","16693.35","16821.35"
"16 Jul 2020","16971.25","17491.15","16715.75","16926.05"
"15 Jul 2020","15853.80","16624.65","15830.50","16459.80"
"14 Jul 2020","15779.50","15941.65","15611.85","15640.55"
"13 Jul 2020","15643.10","15885.55","15624.80","15819.20"
"10 Jul 2020","15471.70","15656.05","15417.50","15565.20"
"09 Jul 2020","15572.35","15663.45","15468.40","15535.95"
"08 Jul 2020","15765.00","15765.05","15473.50","15513.65"
"07 Jul 2020","15528.05","15806.85","15440.10","15784.95"
"06 Jul 2020","15351.70","15580.50","15351.70","15464.95"
"03 Jul 2020","15164.25","15336.85","15148.50","15285.90"
"02 Jul 2020","14803.50","15195.20","14782.45","15122.55"
"01 Jul 2020","14767.35","14842.85","14704.50","14732.10"
"30 Jun 2020","14812.70","14854.40","14692.45","14754.30"
"29 Jun 2020","14874.20","14979.20","14737.45","14768.00"
"26 Jun 2020","14496.70","15086.00","14476.45","14994.65"
"25 Jun 2020","14486.40","14590.50","14383.60","14411.20"
"24 Jun 2020","14675.70","14761.20","14547.20","14581.45"
"23 Jun 2020","14398.45","14725.40","14320.70","14680.40"
"22 Jun 2020","14537.80","14550.35","14432.45","14463.65"
"19 Jun 2020","14532.70","14625.80","14422.45","14499.80"
"18 Jun 2020","14478.65","14623.95","14443.00","14551.25"
"17 Jun 2020","14418.80","14559.55","14382.95","14478.45"
"16 Jun 2020","14634.00","14667.40","14375.50","14450.80"
"15 Jun 2020","14444.25","14571.95","14238.05","14396.70"
"12 Jun 2020","14125.80","14442.65","14123.55","14402.75"
"11 Jun 2020","14823.95","14840.65","14585.45","14619.45"
"10 Jun 2020","14774.80","14882.60","14690.90","14842.05"
"09 Jun 2020","14869.40","14983.20","14712.30","14737.80"
"08 Jun 2020","14824.75","14990.25","14713.45","14894.60"
"05 Jun 2020","14715.90","14732.85","14599.75","14627.45"
"04 Jun 2020","14380.85","14695.10","14380.85","14627.45"
"03 Jun 2020","14507.25","14549.00","14317.20","14361.70"
"02 Jun 2020","14358.00","14492.30","14269.70","14422.40"
"01 Jun 2020","14155.65","14431.35","14140.85","14307.10"
"29 May 2020","13893.40","14080.55","13762.95","14010.50"
"28 May 2020","13964.90","14068.30","13759.15","14028.60"
"27 May 2020","13667.15","14017.05","13488.10","13952.90"
"26 May 2020","13860.85","13930.85","13522.95","13574.95"
"22 May 2020","13622.25","13902.80","13571.65","13842.65"
"21 May 2020","13495.40","13732.00","13468.50","13647.90"
"20 May 2020","13443.50","13556.90","13362.55","13517.35"
"19 May 2020","13272.35","13524.20","13197.60","13446.60"
"18 May 2020","13278.25","13408.80","13109.95","13314.40"
"15 May 2020","13375.45","13375.80","13108.40","13196.35"
"14 May 2020","13396.05","13483.70","13246.80","13293.70"
"13 May 2020","13960.35","13960.35","13612.80","13776.95"
"12 May 2020","13537.15","13733.50","13480.75","13687.75"
"11 May 2020","13521.60","13763.80","13489.25","13593.55"
"08 May 2020","13509.45","13530.85","13324.00","13403.60"
"07 May 2020","13408.00","13489.55","13268.40","13292.70"
"06 May 2020","13437.30","13580.05","13262.25","13394.70"
"05 May 2020","13637.80","13667.85","13351.45","13388.00"
"04 May 2020","13646.10","13700.25","13424.35","13454.25"
"30 Apr 2020","13841.60","14212.10","13750.25","14108.35"
"29 Apr 2020","13250.60","13470.80","13144.80","13424.95"
"28 Apr 2020","13301.95","13317.20","13067.75","13133.65"
"27 Apr 2020","12957.35","13248.95","12928.05","13121.15"
"24 Apr 2020","13001.90","13101.40","12792.90","12816.20"
"23 Apr 2020","12639.80","13199.75","12596.60","13128.20"
"22 Apr 2020","12393.90","12619.45","12322.95","12571.30"
"21 Apr 2020","12513.65","12632.50","12375.80","12408.85"
"20 Apr 2020","12812.60","12937.95","12742.55","12847.65"
"17 Apr 2020","12878.35","12992.05","12596.65","12649.25"
"16 Apr 2020","12430.30","12605.40","12205.90","12463.60"
"15 Apr 2020","12792.45","12951.40","12661.00","12702.60"
"13 Apr 2020","12698.85","12795.70","12527.15","12603.10"
"09 Apr 2020","12810.80","12867.35","12648.80","12728.55"
"08 Apr 2020","12468.60","12897.50","12437.75","12491.55"
"07 Apr 2020","12147.00","12647.40","12132.30","12588.95"
"03 Apr 2020","12129.85","12146.95","11621.20","11680.05"
"01 Apr 2020","12680.50","12690.60","11989.60","12045.85"
"31 Mar 2020","12681.75","12930.80","12466.60","12763.65"
"30 Mar 2020","12152.95","12774.60","12152.95","12318.80"
"27 Mar 2020","12778.15","12949.60","12403.85","12569.10"
"26 Mar 2020","12496.95","12751.55","12306.35","12535.60"
"25 Mar 2020","11856.90","12514.25","11657.25","12233.35"
"24 Mar 2020","11159.75","12053.80","11159.30","11865.05"
"23 Mar 2020","11328.25","11602.45","11108.65","11179.60"
"20 Mar 2020","11382.40","12710.55","11363.50","12363.40"
"19 Mar 2020","11183.95","11698.30","10991.25","11340.00"
"18 Mar 2020","12287.80","12451.10","11643.90","11753.00"
"17 Mar 2020","12517.50","12677.20","11999.55","12099.25"
"16 Mar 2020","12963.70","13078.65","12355.15","12451.35"
"13 Mar 2020","12561.95","13835.35","11624.85","13539.10"
"12 Mar 2020","14177.40","14231.95","13317.65","13384.80"
"11 Mar 2020","14524.15","14823.80","14356.10","14681.40"
"09 Mar 2020","15333.55","15371.00","14705.40","14854.90"
"06 Mar 2020","15607.35","15699.95","15443.00","15663.45"
"05 Mar 2020","15912.05","16150.60","15841.10","15871.35"
"04 Mar 2020","15824.90","15919.95","15612.75","15864.30"
"03 Mar 2020","15615.05","15793.10","15495.70","15723.20"
"02 Mar 2020","15355.05","15722.00","15298.00","15427.65"
"28 Feb 2020","15726.15","15788.45","15156.80","15212.95"
"27 Feb 2020","16244.95","16258.65","16053.70","16123.80"
"26 Feb 2020","16497.15","16539.25","16297.25","16332.25"
"25 Feb 2020","16490.40","16642.40","16443.25","16562.50"
"24 Feb 2020","16642.75","16749.25","16416.85","16461.80"
"20 Feb 2020","16826.30","16843.65","16623.90","16649.40"
"19 Feb 2020","16796.40","16882.45","16754.25","16772.45"
"18 Feb 2020","16586.90","16773.20","16526.40","16748.75"
"17 Feb 2020","16707.65","16737.65","16596.20","16647.70"
"14 Feb 2020","16682.30","16828.20","16624.25","16642.75"
"13 Feb 2020","16578.75","16696.85","16513.75","16673.05"
"12 Feb 2020","16462.25","16599.05","16419.45","16538.10"
"11 Feb 2020","16482.40","16512.10","16409.15","16452.30"
"10 Feb 2020","16481.50","16522.40","16306.25","16431.90"
"07 Feb 2020","16453.00","16493.25","16382.40","16470.15"
"06 Feb 2020","16480.75","16621.35","16330.65","16371.15"
"05 Feb 2020","16354.45","16463.60","16283.25","16448.55"
"04 Feb 2020","16174.80","16377.45","16155.80","16350.85"
"03 Feb 2020","16282.00","16418.90","16034.30","16059.90"
"01 Feb 2020","16138.60","16319.75","15968.50","16282.65"
"31 Jan 2020","16333.15","16365.80","16098.45","16144.15"
"30 Jan 2020","16509.00","16514.10","16287.75","16327.90"
"29 Jan 2020","16513.20","16577.95","16452.00","16479.30"
"28 Jan 2020","16442.85","16448.05","16320.60","16429.75"
"27 Jan 2020","16456.20","16483.90","16385.65","16393.55"
"24 Jan 2020","16410.50","16498.75","16356.95","16472.75"
"23 Jan 2020","16380.60","16501.20","16367.75","16474.40"
"22 Jan 2020","16245.95","16404.60","16211.80","16334.55"
"21 Jan 2020","16190.80","16221.50","16133.60","16175.20"
"20 Jan 2020","16389.60","16465.05","16162.50","16207.15"
"17 Jan 2020","16396.50","16447.35","16310.75","16356.60"
"16 Jan 2020","16372.15","16423.85","16277.25","16381.65"
"15 Jan 2020","16354.20","16366.75","16217.10","16346.85"
"14 Jan 2020","16238.15","16385.95","16226.90","16362.35"
"13 Jan 2020","16135.50","16275.20","16075.75","16225.90"
"10 Jan 2020","16040.65","16059.35","15930.65","15959.90"
"09 Jan 2020","15970.65","16017.25","15857.25","15925.15"
"08 Jan 2020","15840.90","15974.85","15816.80","15953.45"
"07 Jan 2020","15893.35","15988.70","15799.80","15895.20"
"06 Jan 2020","15934.60","16067.65","15831.85","15879.80"
"03 Jan 2020","15727.60","16004.45","15722.65","15936.60"
"02 Jan 2020","15754.90","15762.10","15679.65","15709.65"
"01 Jan 2020","15705.90","15746.25","15676.70","15722.15"
"31 Dec 2019","15754.05","15775.25","15634.50","15652.40"
"30 Dec 2019","15801.50","15868.95","15715.10","15775.00"
"27 Dec 2019","15740.40","15824.15","15657.50","15780.70"
"26 Dec 2019","15784.45","15806.85","15690.95","15706.45"
"24 Dec 2019","15877.40","15880.15","15739.45","15778.20"
"23 Dec 2019","15811.40","15936.00","15809.05","15865.50"
"20 Dec 2019","15811.95","15890.95","15781.25","15844.55"
"19 Dec 2019","15741.20","15835.50","15654.70","15812.95"
"18 Dec 2019","15680.50","15835.80","15649.15","15710.65"
"17 Dec 2019","15417.55","15670.35","15387.2","15637.15"
"16 Dec 2019","15263.75","15446.25","15223.10","15348.70"
"13 Dec 2019","14987.90","15221.45","14965.15","15200.55"
"12 Dec 2019","15151.10","15184.15","14890.60","14972.65"
"11 Dec 2019","14972","15147.35","14963.65","15130.3"
"10 Dec 2019","15120.05","15123.35","14903.25","14946.5"
"09 Dec 2019","15309.7","15322.55","15136.25","15157.15"
"06 Dec 2019","15383.45","15390.05","15269.25","15289.60"
"05 Dec 2019","15164.15","15385.45","15101.8","15367.5"
"04 Dec 2019","14918.5","15188.55","14896.6","15175.15"
"03 Dec 2019","14870.9","14956.45","14808.4","14920.75"
"02 Dec 2019","15056.85","15070.65","14819.40","14852.00"
"29 Nov 2019","15132.95","15147.25","14964.25","14998.05"
"28 Nov 2019","15069.15","15136.20","15042.65","15121.75"
"27 Nov 2019","14957.50","15049.00","14946.55","15022.15"
"26 Nov 2019","15174.65","15212.65","14867.45","14922.15"
"25 Nov 2019","15002.20","15112.90","14950.95","15100.60"
"22 Nov 2019","15216.55","15220.05","14931.35","14995.90"
"21 Nov 2019","15353.70","15435.40","15279.40","15293.95"
"20 Nov 2019","15349.05","15349.05","15235.00","15318.50"
"19 Nov 2019","15318.65","15371.80","15256.85","15304.85"
"18 Nov 2019","15326.80","15373.85","15251.00","15295.25"
"15 Nov 2019","15425.05","15471.15","15287.10","15310.60"
"14 Nov 2019","15292.90","15410.30","15217.30","15388.75"
"13 Nov 2019","15307.90","15374.05","15192.30","15240.95"
"11 Nov 2019","15343.25","15354.05","15228.80","15308.55"
"08 Nov 2019","15646.40","15658.15","15355.70","15383.30"
"07 Nov 2019","15635.50","15639.70","15532.15","15624.40"
"06 Nov 2019","15554.05","15647.05","15440.40","15561.30"
"05 Nov 2019","15613.10","15613.10","15422.80","15533.45"
"04 Nov 2019","15474.00","15803.35","15428.50","15591.30"
"01 Nov 2019","15575.35","15636.3","15411.8","15471.2"
"31 Oct 2019","15436.30","15657.75","15417.00","15559.40"
"30 Oct 2019","15343.70","15419.65","15212.75","15395.65"
"29 Oct 2019","14980.15","15199.90","14970.50","15181.40"
"27 Oct 2019","15012.45","15058.45","14916.05","14956.40"
"25 Oct 2019","14883.40","14943.75","14720.85","14898.85"
"24 Oct 2019","14956.65","14970.35","14756.55","14781.50"
"23 Oct 2019","14640.85","14911.20","14566.55","14833.35"
"22 Oct 2019","15033.30","15085.45","14659.45","14688.65"
"18 Oct 2019","15271.95","15434.55","15241.00","15410.10"
"17 Oct 2019","15257.95","15313.90","15160.20","15281.90"
"16 Oct 2019","15223.50","15373.35","15213.20","15344.90"
"15 Oct 2019","15254.40","15281.45","15191.05","15208.40"
"14 Oct 2019","15202.20","15338.60","15147.70","15277.75"
"11 Oct 2019","14871.45","15388.95","14865.10","15321.90"
"10 Oct 2019","15124.85","15235.60","15034.60","15093.80"
"09 Oct 2019","15305.10","15317.15","15051.35","15128.75"
"07 Oct 2019","15368.15","15472.35","15226.70","15246.75"
"04 Oct 2019","15328.40","15418.80","15285.15","15340.30"
"03 Oct 2019","15318.80","15417.25","15228.90","15277.95"
"01 Oct 2019","15559.65","15561.50","15240.95","15300.25"
"30 Sep 2019","15277.15","15568.45","15259.80","15540.15"
"27 Sep 2019","15297.70","15412.90","15214.20","15236.40"
"26 Sep 2019","15374.50","15456.85","15208.40","15312.90"
"25 Sep 2019","15351.85","15471.00","15268.90","15379.90"
"24 Sep 2019","15055.05","15380.35","15055.05","15338.65"
"23 Sep 2019","15611.8","15611.8","14735.55","15040.65"
"20 Sep 2019","15541.55","15742.55","15434.15","15491.05"
"19 Sep 2019","15667.00","15675.15","15469.10","15522.45"
"18 Sep 2019","15649.05","15731.05","15584.10","15702.30"
"17 Sep 2019","15769.85","15769.85","15563.60","15625.65"
"16 Sep 2019","15774.45","15854.15","15602.60","15743.15"
"13 Sep 2019","15608.10","15739.70","15586.70","15722.90"
"12 Sep 2019","15674.30","15725.75","15525.15","15583.25"
"11 Sep 2019","15901.15","15955.20","15669.30","15701.80"
"09 Sep 2019","16023.95","16030.45","15883.60","15919.40"
"06 Sep 2019","16139.90","16218.80","15991.05","16034.55"
"05 Sep 2019","16109.20","16142.65","15972.20","16030.95"
"04 Sep 2019","15985.75","16090.85","15944.40","16032.50"
"03 Sep 2019","16027.10","16189.45","15935.90","15984.85"
"30 Aug 2019","15893.90","16039.25","15734.20","16010.40"
"29 Aug 2019","15774.65","15943.30","15754.90","15884.55"
"28 Aug 2019","15704.10","15898.00","15703.10","15879.90"
"27 Aug 2019","15817.30","15833.55","15631.50","15675.30"
"26 Aug 2019","15825.25","15922.55","15628.10","15890.20"
"23 Aug 2019","15647.65","15872.85","15639.40","15816.60"
"22 Aug 2019","15581.50","15703.15","15478.80","15632.00"
"21 Aug 2019","15598.50","15680.05","15562.00","15578.15"
"20 Aug 2019","15503.80","15691.65","15467.35","15597.75"
"19 Aug 2019","15420.05","15514.90","15396.00","15415.15"
"16 Aug 2019","15547.40","15552.70","15238.55","15365.35"
"14 Aug 2019","15467.35","15518.45","15298.50","15466.25"
"13 Aug 2019","15809.25","15822.40","15379.60","15424.40"
"09 Aug 2019","15898.00","15945.40","15785.75","15821.35"
"08 Aug 2019","15677.45","15919.20","15654.45","15867.95"
"07 Aug 2019","15591.15","15730.70","15522.85","15583.35"
"06 Aug 2019","15479.20","15636.50","15434.25","15514.80"
"05 Aug 2019","15349.70","15544.90","15312.55","15518.55"
"02 Aug 2019","15277.65","15461.05","15208.80","15422.10"
"01 Aug 2019","15576.95","15593.55","15277.75","15332.10"
"31 Jul 2019","15437.6","15649.15","15303.7","15620.2"
"30 Jul 2019","15409.45","15527.50","15361.45","15501.65"
"29 Jul 2019","15365.10","15528.10","15297.00","15400.85"
"26 Jul 2019","15442.50","15461.65","15265.35","15348.05"
"25 Jul 2019","15383.15","15510.60","15343.05","15474.65"
"24 Jul 2019","15465.80","15531.85","15332.85","15380.75"
"23 Jul 2019","15497.55","15645.70","15467.70","15493.40"
"22 Jul 2019","15387.45","15494.05","15334.60","15448.25"
