"Date","Open","High","Low","Close"
"14 Aug 2020","16593.30","16667.70","16265.35","16383.25"
"13 Aug 2020","16359.75","16545.45","16354.05","16524.80"
"12 Aug 2020","16233.90","16296.55","16163.00","16268.85"
"11 Aug 2020","16408.50","16438.55","16242.70","16256.70"
"10 Aug 2020","16247.90","16362.15","16239.60","16312.70"
"07 Aug 2020","15958.90","16131.75","15929.40","16103.35"
"06 Aug 2020","15801.45","15927.30","15775.60","15905.15"
"05 Aug 2020","15771.20","15853.55","15685.95","15725.70"
"04 Aug 2020","15561.85","15664.40","15508.70","15640.40"
"03 Aug 2020","15495.50","15606.05","15451.75","15468.70"
"31 Jul 2020","15445.45","15509.15","15345.55","15471.30"
"30 Jul 2020","15605.55","15631.35","15375.15","15405.70"
"29 Jul 2020","15513.35","15661.55","15476.65","15535.05"
"28 Jul 2020","15362.35","15479.20","15351.35","15460.10"
"27 Jul 2020","15571.20","15583.90","15302.50","15323.80"
"24 Jul 2020","15509.15","15584.15","15393.15","15528.55"
"23 Jul 2020","15466.85","15594.65","15443.75","15571.60"
"22 Jul 2020","15433.30","15528.90","15316.25","15423.25"
"21 Jul 2020","15523.20","15555.55","15387.65","15402.35"
"20 Jul 2020","15321.60","15422.90","15312.20","15388.55"
"17 Jul 2020","15096.00","15265.15","15089.50","15242.30"
"16 Jul 2020","15019.75","15057.65","14784.70","15033.75"
"15 Jul 2020","15156.35","15200.65","14915.50","14951.95"
"14 Jul 2020","15172.55","15177.55","14956.45","15052.35"
"13 Jul 2020","15366.55","15412.70","15180.65","15217.15"
"10 Jul 2020","15316.10","15414.15","15161.70","15253.60"
"09 Jul 2020","15368.45","15415.10","15299.65","15362.45"
"08 Jul 2020","15428.00","15495.85","15268.65","15304.45"
"07 Jul 2020","15330.40","15384.65","15198.70","15364.10"
"06 Jul 2020","15144.80","15310.70","15123.90","15297.15"
"03 Jul 2020","15042.15","15080.40","14939.70","15042.65"
"02 Jul 2020","14884.60","14966.55","14827.00","14944.75"
"01 Jul 2020","14733.60","14807.50","14647.30","14777.70"
"30 Jun 2020","14864.60","14899.35","14674.90","14704.00"
"29 Jun 2020","14957.25","14957.25","14683.15","14735.20"
"26 Jun 2020","15083.70","15139.25","14956.50","14975.25"
"25 Jun 2020","14727.55","14971.10","14654.90","14941.40"
"24 Jun 2020","15145.15","15220.05","14770.95","14809.95"
"23 Jun 2020","14909.10","15032.95","14821.40","15022.45"
"22 Jun 2020","14695.10","14856.10","14686.30","14797.35"
"19 Jun 2020","14494.80","14592.55","14433.75","14565.85"
"18 Jun 2020","14237.30","14443.25","14219.40","14427.55"
