"Date","Open","High","Low","Close"
"14 Aug 2020","11353.30","11366.25","11111.45","11178.40"
"13 Aug 2020","11334.85","11359.30","11269.95","11300.45"
"12 Aug 2020","11289.00","11322.00","11242.65","11308.40"
"11 Aug 2020","11322.25","11373.60","11299.15","11322.50"
"10 Aug 2020","11270.25","11337.30","11238.00","11270.15"
"07 Aug 2020","11186.65","11231.90","11142.05","11214.05"
"06 Aug 2020","11185.70","11256.80","11127.30","11200.15"
"05 Aug 2020","11155.75","11225.65","11064.05","11101.65"
"04 Aug 2020","10946.65","11112.25","10908.10","11095.25"
"03 Aug 2020","11057.55","11058.05","10882.25","10891.60"
"31 Jul 2020","11139.50","11150.40","11026.65","11073.45"
"30 Jul 2020","11254.30","11299.95","11084.95","11102.15"
"29 Jul 2020","11276.90","11341.40","11149.75","11202.85"
"28 Jul 2020","11154.10","11317.75","11151.40","11300.55"
"27 Jul 2020","11225.00","11225.00","11087.85","11131.80"
"24 Jul 2020","11149.95","11225.40","11090.30","11194.15"
"23 Jul 2020","11135.00","11239.80","11103.15","11215.45"
"22 Jul 2020","11231.20","11238.10","11056.55","11132.60"
"21 Jul 2020","11126.10","11179.55","11113.25","11162.25"
"20 Jul 2020","10999.45","11037.90","10953.00","11022.20"
"17 Jul 2020","10752.00","10933.45","10749.65","10901.70"
"16 Jul 2020","10706.20","10755.30","10595.20","10739.95"
"15 Jul 2020","10701.00","10827.45","10577.75","10618.20"
"14 Jul 2020","10750.85","10755.65","10562.90","10607.35"
"13 Jul 2020","10851.85","10894.05","10756.05","10802.70"
"10 Jul 2020","10764.10","10819.40","10713.00","10768.05"
"09 Jul 2020","10755.55","10836.85","10733.00","10813.45"
"08 Jul 2020","10818.65","10847.85","10676.55","10705.75"
"07 Jul 2020","10802.85","10813.80","10689.70","10799.65"
"06 Jul 2020","10723.85","10811.40","10695.10","10763.65"
"03 Jul 2020","10614.95","10631.30","10562.65","10607.35"
"02 Jul 2020","10493.05","10598.20","10485.55","10551.70"
"01 Jul 2020","10323.80","10447.05","10299.60","10430.05"
"30 Jun 2020","10382.60","10401.05","10267.35","10302.10"
"29 Jun 2020","10311.95","10337.95","10223.60","10312.40"
"26 Jun 2020","10378.90","10409.85","10311.25","10383.00"
"25 Jun 2020","10235.55","10361.80","10194.50","10288.90"
