"Date","Open","High","Low","Close"
"14 Aug 2020","210.15","211.85","205.75","207.10"
"13 Aug 2020","208.40","209.65","207.25","208.95"
"12 Aug 2020","207.85","208.40","206.00","207.05"
"11 Aug 2020","210.95","211.40","208.35","208.60"
"10 Aug 2020","204.60","210.00","204.60","209.75"
"07 Aug 2020","206.10","206.75","203.50","203.95"
"06 Aug 2020","202.40","205.90","202.25","204.60"
"05 Aug 2020","203.25","204.90","200.90","202.40"
"04 Aug 2020","199.40","202.90","198.85","202.25"
"03 Aug 2020","200.45","201.55","197.70","198.55"
"31 Jul 2020","198.75","201.65","196.45","201.00"
"30 Jul 2020","199.55","200.65","197.40","198.15"
"29 Jul 2020","197.85","200.55","197.10","198.30"
"28 Jul 2020","196.10","198.70","195.90","198.25"
"27 Jul 2020","198.95","199.35","194.25","195.10"
"24 Jul 2020","200.70","201.15","196.75","198.40"
"23 Jul 2020","199.20","202.15","198.65","201.85"
"22 Jul 2020","201.65","202.05","197.90","199.05"
"21 Jul 2020","198.50","203.80","198.40","201.10"
"20 Jul 2020","197.15","199.65","196.90","197.25"
"17 Jul 2020","196.25","196.90","195.10","196.40"
"16 Jul 2020","195.90","196.65","192.40","195.60"
"15 Jul 2020","199.55","201.40","195.05","195.60"
"14 Jul 2020","203.00","203.25","198.50","199.70"
"13 Jul 2020","207.75","208.45","202.05","202.80"
"10 Jul 2020","203.45","206.40","202.60","206.10"
"09 Jul 2020","206.50","207.80","203.05","204.75"
"08 Jul 2020","208.45","208.90","203.05","203.70"
"07 Jul 2020","209.75","210.45","205.70","207.75"
"06 Jul 2020","205.90","209.40","205.05","209.20"
"03 Jul 2020","202.00","203.70","201.25","203.10"
"02 Jul 2020","202.60","203.05","199.10","201.05"
"01 Jul 2020","203.15","203.30","200.65","201.20"
"30 Jun 2020","204.00","207.60","202.20","202.65"
"29 Jun 2020","210.90","212.25","203.15","203.70"
"26 Jun 2020","215.20","215.55","210.45","211.20"
"25 Jun 2020","213.35","216.45","210.85","213.20"
"24 Jun 2020","222.95","223.65","214.05","215.40"
"23 Jun 2020","217.25","222.60","214.75","221.25"
"22 Jun 2020","217.10","218.15","213.25","215.05"
"19 Jun 2020","201.10","213.70","201.10","212.95"
"18 Jun 2020","199.20","200.70","198.30","200.15"
"17 Jun 2020","196.50","200.25","195.20","198.35"
"16 Jun 2020","201.70","204.00","194.00","196.85"
