date,open,high,low,close,adj_close,volume,symbol
2000-01-03,12.1875,13.125,12.1875,12.8813,1.537455,405627.0,GAIL
2000-01-04,13.0969,13.6687,12.375,12.4406,1.484855,523184.0,GAIL
2000-01-05,12.8156,12.8813,11.4563,11.85,1.414364,494347.0,GAIL
2000-01-06,12.15,12.5625,11.8125,12.1781,1.453524,926155.0,GAIL
2000-01-07,12.3562,12.3562,11.625,11.7469,1.402058,461813.0,GAIL
2000-01-10,12.1781,12.1781,11.625,11.6812,1.394217,453888.0,GAIL
2000-01-11,11.625,11.7,11.0625,11.2125,1.338275,517872.0,GAIL
2000-01-12,11.7563,11.7563,11.2969,11.5406,1.377435,522528.0,GAIL
2000-01-13,11.6812,11.7188,11.4844,11.5969,1.384155,150139.0,GAIL
2000-01-14,11.5781,11.7937,11.2594,11.7094,1.3975819999999999,176667.0,GAIL
2000-01-17,11.9062,12.0844,11.625,11.9625,1.427791,438640.0,GAIL
2000-01-18,12.075,12.7312,11.9156,12.5531,1.498283,375920.0,GAIL
2000-01-19,13.125,13.125,12.1875,12.3375,1.47255,636437.0,GAIL
2000-01-20,12.2812,12.4594,11.7844,11.8875,1.4188399999999999,251136.0,GAIL
2000-01-21,11.6719,12.0,11.625,11.6719,1.3931069999999999,306155.0,GAIL
2000-01-24,11.8125,12.0469,11.4844,11.6531,1.390863,284992.0,GAIL
2000-01-25,11.4844,11.7094,11.2781,11.3531,1.355056,436795.0,GAIL
2000-01-26,,,,,,,GAIL
2000-01-27,11.7563,11.8125,11.3438,11.4,1.360654,203840.0,GAIL
2000-01-28,11.4844,11.4844,11.25,11.4094,1.361776,94240.0,GAIL
2000-01-31,11.2969,11.4375,10.8938,10.9688,1.309187,130565.0,GAIL
2000-02-01,11.0625,11.2125,10.9312,10.9875,1.31142,185947.0,GAIL
2000-02-02,11.3906,11.6156,11.25,11.4469,1.366252,168000.0,GAIL
2000-02-03,11.3625,11.7094,11.3625,11.4281,1.3640079999999999,957339.0,GAIL
2000-02-04,11.5312,11.5312,11.0625,11.2219,1.3393959999999998,224027.0,GAIL
2000-02-07,10.875,11.3813,10.875,11.0156,1.3147739999999999,105787.0,GAIL
2000-02-08,10.9594,11.1094,10.5469,10.6781,1.274491,231915.0,GAIL
2000-02-09,11.1469,11.1562,10.6875,11.0156,1.3147739999999999,107456.0,GAIL
2000-02-10,11.2125,11.625,11.1187,11.5312,1.376313,546747.0,GAIL
2000-02-11,11.8313,12.1875,11.2688,11.3062,1.349458,218640.0,GAIL
2000-02-14,11.4375,11.6062,10.6875,10.7156,1.278967,206032.0,GAIL
2000-02-15,10.6875,11.175,10.5281,10.8469,1.2946389999999999,2441184.0,GAIL
2000-02-16,11.1656,11.4375,10.8,10.9031,1.301346,211712.0,GAIL
2000-02-17,11.1656,11.775,11.1656,11.775,1.405412,820629.0,GAIL
2000-02-18,12.7219,12.7219,12.7219,12.7219,1.51843,164523.0,GAIL
2000-02-21,13.7437,13.7437,13.7437,13.7437,1.6403869999999998,190443.0,GAIL
2000-02-22,14.85,14.85,14.7656,14.85,1.772431,1386795.0,GAIL
2000-02-23,16.0312,16.0312,13.6969,15.6938,1.873143,3511504.0,GAIL
2000-02-24,15.75,15.9187,14.4375,14.4375,1.723196,474560.0,GAIL
2000-02-25,14.0719,14.7563,13.2844,13.2844,1.585568,371520.0,GAIL
2000-02-28,12.5625,13.2094,12.225,13.0688,1.559834,642912.0,GAIL
2000-02-29,13.1438,13.95,12.1875,12.2906,1.466952,715760.0,GAIL
2000-03-01,12.2063,13.125,12.1969,12.7875,1.52626,191840.0,GAIL
2000-03-02,13.2188,13.4062,11.8125,11.9344,1.4244370000000002,253093.0,GAIL
2000-03-03,11.7188,12.0,11.2031,11.3625,1.356178,193120.0,GAIL
2000-03-06,11.1656,11.5312,10.7906,11.25,1.34275,197760.0,GAIL
2000-03-07,10.6031,11.0625,10.5562,10.725,1.280089,564347.0,GAIL
2000-03-08,11.4187,11.5875,10.5938,11.5125,1.3740809999999999,418480.0,GAIL
