date,open,high,low,close,adj_close,volume,symbol
2010-01-04,2555,2575,2475.199951,2494.649902,2159.282959,0,NESTLEIND
2010-01-08,2555,2575,2475.199951,2494.649902,2159.282959,648,NESTLEIND
2010-01-11,2401,2515,2400,2498.949951,2163.005127,825,NESTLEIND
2010-01-12,2540,2540,2471.350098,2502.850098,2166.380615,68346,NESTLEIND
2010-01-13,2502.850098,2540,2480,2489.350098,2154.696045,1032,NESTLEIND
2010-01-14,2535,2595,2470,2568.199951,2222.9453129999997,330361,NESTLEIND
2010-01-15,2580,2580,2500.050049,2513.5,2175.599609,8229,NESTLEIND
2010-01-18,2574,2574,2514,2536.149902,2195.204102,883,NESTLEIND
2010-01-19,2567,2570,2531,2556.100098,2212.471924,688,NESTLEIND
2010-01-20,2550,2575,2540,2542.5,2200.700195,641,NESTLEIND
2010-01-21,2539.899902,2569,2499.899902,2526.199951,2186.591064,831,NESTLEIND
2010-01-22,2500,2530,2478,2529,2189.0153809999997,681,NESTLEIND
2010-01-25,2665.350098,2665.350098,2510,2522.25,2183.1723629999997,1955,NESTLEIND
2010-01-27,2570,2574.899902,2498.600098,2566.899902,2221.8198239999997,5302,NESTLEIND
2010-01-28,2568,2610,2535.5,2586.850098,2239.088623,1048,NESTLEIND
2010-01-29,2526,2580,2526,2533,2192.476807,787,NESTLEIND
2010-02-01,2599.949951,2599.949951,2515.100098,2532.199951,2191.784424,614,NESTLEIND
2010-02-02,2599.100098,2599.100098,2540,2560.100098,2215.935059,831,NESTLEIND
2010-02-03,2588,2600,2556,2564.600098,2219.828857,8681,NESTLEIND
2010-02-04,2548,2583.800049,2548,2568.350098,2223.075439,442,NESTLEIND
2010-02-05,2582,2582,2442,2549.100098,2206.412842,1651,NESTLEIND
2010-02-06,,,,,,,NESTLEIND
2010-02-08,2570,2672,2570,2645.5,2289.853271,8181,NESTLEIND
2010-02-09,2600.100098,2824,2600.100098,2792.600098,2417.178711,8861,NESTLEIND
2010-02-10,2802,3244,2738.600098,2750.199951,2380.478027,44699,NESTLEIND
2010-02-11,2819,2819,2726.100098,2737.25,2369.269043,31881,NESTLEIND
2010-02-15,2815,2815,2614,2719.25,2353.688965,4504,NESTLEIND
2010-02-16,2792,2814.699951,2697.050049,2701.850098,2338.628174,6120,NESTLEIND
2010-02-17,2705.149902,2743,2681.399902,2688.75,2327.2895510000003,9981,NESTLEIND
2010-02-18,2688.75,2710,2645,2651.5,2295.0473629999997,2203,NESTLEIND
2010-02-19,2650,2685,2628,2640.149902,2285.222168,7495,NESTLEIND
2010-02-22,2625.050049,2649,2560,2584.899902,2237.400635,14820,NESTLEIND
2010-02-23,2570,2590,2551,2552.199951,2209.09668,3070,NESTLEIND
2010-02-24,2550,2590,2540,2574.699951,2228.57251,9918,NESTLEIND
2010-02-25,2580,2600,2552.100098,2559.600098,2215.501465,4264,NESTLEIND
2010-02-26,2526.100098,2650,2526.100098,2626.899902,2273.75415,4239,NESTLEIND
2010-03-02,2620,2645,2600,2625.449951,2272.499268,3343,NESTLEIND
2010-03-03,2630,2640,2604.649902,2629.149902,2275.702148,2339,NESTLEIND
2010-03-04,2610,2650,2610,2634,2279.8989260000003,4796,NESTLEIND
2010-03-05,2670,2719.800049,2670,2701.149902,2338.021729,14392,NESTLEIND
2010-03-08,2730,2750,2692.25,2725.949951,2359.488281,9767,NESTLEIND
2010-03-09,2700,2751,2700,2745.199951,2376.150391,4212,NESTLEIND
2010-03-10,2721,2765,2721,2739.949951,2371.606201,8386,NESTLEIND
2010-03-11,2725,2740,2695,2732.75,2365.374268,27712,NESTLEIND
2010-03-12,2825,2825,2690,2715.449951,2350.399902,19872,NESTLEIND
2010-03-15,2731,2757,2704.100098,2744.800049,2375.8041989999997,2980,NESTLEIND
2010-03-16,2735.600098,2736,2660,2672.350098,2313.094727,9216,NESTLEIND
2010-03-17,2690,2690,2655,2678.550049,2318.461182,2149,NESTLEIND
2010-03-18,2698,2698,2658.050049,2668.050049,2309.372314,6485,NESTLEIND
2010-03-19,2689.75,2689.75,2621,2646.350098,2290.589111,11167,NESTLEIND
2010-03-22,2650,2659.800049,2611.5,2634.699951,2280.505127,21885,NESTLEIND
2010-03-23,2641.199951,2661,2635,2653.850098,2297.081543,2990,NESTLEIND
2010-03-25,2660,2665,2610,2648.350098,2292.3203129999997,8068,NESTLEIND
2010-03-26,2632.100098,2719.949951,2632.100098,2687.399902,2326.120361,22900,NESTLEIND
2010-03-29,2670,2800,2643,2712.899902,2348.193115,7730,NESTLEIND
2010-03-30,2711,2730,2643.100098,2670.649902,2311.622314,9235,NESTLEIND
2010-03-31,2750,2751,2600,2670.600098,2311.578857,16964,NESTLEIND
2010-04-01,2665.649902,2735,2635,2709.5,2345.2495120000003,20334,NESTLEIND
2010-04-05,2750,2750,2699.100098,2719.100098,2353.55957,13077,NESTLEIND
2010-04-06,2715.100098,2831,2705,2760.149902,2389.091064,32846,NESTLEIND
2010-04-07,2750,2770,2712.199951,2751.149902,2381.300293,3657,NESTLEIND
2010-04-08,2716,2750,2675.050049,2718.550049,2353.083984,108603,NESTLEIND
2010-04-09,2695.300049,2724.800049,2691,2700.949951,2337.849365,3248,NESTLEIND
2010-04-12,2727.649902,2730,2659.199951,2694.850098,2332.56958,5090,NESTLEIND
2010-04-13,2680,2725,2660,2714.550049,2349.621338,8135,NESTLEIND
2010-04-15,2722.5,2760,2681,2747.75,2378.358398,4672,NESTLEIND
2010-04-16,2720,2775,2711,2747.149902,2377.837891,4681,NESTLEIND
2010-04-19,2745,2809.899902,2713.25,2760.949951,2389.783936,7606,NESTLEIND
2010-04-20,2740.100098,2808.5,2740.100098,2773.25,2400.4296879999997,37732,NESTLEIND
2010-04-21,2751,2840,2751,2813,2434.835205,9344,NESTLEIND
2010-04-22,2850,2994,2762,2877.399902,2490.578125,41088,NESTLEIND
2010-04-23,2295,2850,2295,2722.100098,2373.894043,85414,NESTLEIND
2010-04-26,2701.199951,2780,2700.800049,2755.600098,2403.1096190000003,24239,NESTLEIND
2010-04-27,2770,2798,2750,2793.649902,2436.290771,20373,NESTLEIND
2010-04-28,2755.100098,2805,2755.100098,2799.550049,2441.436768,103864,NESTLEIND
2010-04-29,2799.550049,2810,2770.25,2789.649902,2432.802734,3186,NESTLEIND
2010-04-30,2820,2820,2751,2763.100098,2409.649414,70882,NESTLEIND
2010-05-03,2735,2786,2735,2750.649902,2398.792236,81877,NESTLEIND
2010-05-04,2750,2775,2723,2751.350098,2399.403076,4674,NESTLEIND
2010-05-05,2724,2770,2724,2754.300049,2401.975342,14124,NESTLEIND
2010-05-06,2741.100098,2759.899902,2740.100098,2754.199951,2401.887451,3566,NESTLEIND
2010-05-07,2741,2774.949951,2720.149902,2731.550049,2382.13501,37579,NESTLEIND
2010-05-10,2769.600098,2834.949951,2725.699951,2794.550049,2437.076904,177339,NESTLEIND
2010-05-11,2796.800049,2796.800049,2745,2747.600098,2396.131592,2376,NESTLEIND
2010-05-12,2710,2795,2710,2790.449951,2433.4997559999997,2315,NESTLEIND
2010-05-13,2800,2830,2761.800049,2790.449951,2433.4997559999997,7755,NESTLEIND
2010-05-14,2763,2819.399902,2763,2806.600098,2447.5854489999997,7030,NESTLEIND
2010-05-17,2828.949951,2860,2790,2852.949951,2488.005127,5205,NESTLEIND
2010-05-18,2866.300049,2957.800049,2850,2948.600098,2571.42041,11975,NESTLEIND
2010-05-19,2915,2964.5,2897,2945.649902,2568.847412,11104,NESTLEIND
2010-05-20,2905.300049,2945,2850,2893.850098,2523.673584,23083,NESTLEIND
2010-05-21,2880,2924,2670.100098,2788.100098,2431.451416,28256,NESTLEIND
2010-05-24,2848,2935,2802,2903.199951,2531.828125,7809,NESTLEIND
2010-05-25,2872,2900,2751,2777.100098,2421.859375,5329,NESTLEIND
2010-05-26,2822,2825,2795.100098,2809.949951,2450.506592,12312,NESTLEIND
2010-05-27,2824,2850,2762.100098,2836.350098,2473.529297,2569,NESTLEIND
2010-05-28,2849,2890,2843,2860.649902,2494.720703,10678,NESTLEIND
2010-05-31,2870,2940,2850,2879.199951,2510.897217,8318,NESTLEIND
2010-06-01,2930,2930,2844.399902,2855.399902,2490.141602,8078,NESTLEIND
2010-06-02,2885.800049,2911,2790,2837.600098,2474.619385,165739,NESTLEIND
2010-06-03,2948,2948,2800,2807.100098,2448.020996,9976,NESTLEIND
2010-06-04,2810,2840,2795,2810.300049,2450.811768,7972,NESTLEIND
2010-06-07,2810.300049,2839.800049,2775,2796.800049,2439.037598,4549,NESTLEIND
2010-06-08,2804.300049,2845,2800,2821.25,2460.360352,121330,NESTLEIND
2010-06-09,2835,2869,2793.050049,2861.850098,2495.768066,4667,NESTLEIND
2010-06-10,2827,2900,2827,2892.100098,2522.1479489999997,2766,NESTLEIND
2010-06-11,2906.800049,2906.800049,2871.100098,2897.699951,2527.03125,8908,NESTLEIND
2010-06-14,2925,2925,2875,2904.600098,2533.050049,2040,NESTLEIND
2010-06-15,2887,2915,2887,2908.399902,2536.361816,2069,NESTLEIND
2010-06-16,2928.300049,2938.300049,2906,2928.649902,2554.0229489999997,2709,NESTLEIND
2010-06-17,2925,2925,2890.050049,2916.25,2543.208496,2214,NESTLEIND
2010-06-18,2927.649902,2983.300049,2904.600098,2951.899902,2574.29834,6429,NESTLEIND
2010-06-21,2945,3064,2943.050049,2996.800049,2613.455078,12661,NESTLEIND
2010-06-22,2872.600098,2973,2872.600098,2911.850098,2539.371826,8260,NESTLEIND
2010-06-23,2913,2980.449951,2885,2899.199951,2528.339844,36713,NESTLEIND
2010-06-24,2945,2950,2907.050049,2939.399902,2563.397217,6216,NESTLEIND
2010-06-25,2910.050049,2947.949951,2905,2907.550049,2535.621338,2090,NESTLEIND
2010-06-28,2949,2949,2885,2907.399902,2535.490479,5672,NESTLEIND
2010-06-29,2907,2915,2888,2897.850098,2527.161865,19808,NESTLEIND
