date,open,high,low,close,adj_close,volume,symbol
2002-01-01,8.0,8.1,7.6,7.66,1.230711,363640.0,APOLLOTYRE
2002-01-02,7.6,7.8,7.6,7.71,1.238744,104820.0,APOLLOTYRE
2002-01-03,7.7,7.89,7.54,7.81,1.2548110000000001,100650.0,APOLLOTYRE
2002-01-04,7.99,7.99,7.5,7.85,1.2612379999999999,130550.0,APOLLOTYRE
2002-01-07,7.9,8.06,7.67,7.71,1.238744,85300.0,APOLLOTYRE
2002-01-08,7.7,7.8,7.45,7.58,1.217857,66680.0,APOLLOTYRE
2002-01-09,7.56,7.65,7.4,7.43,1.193758,66660.0,APOLLOTYRE
2002-01-10,7.41,7.45,7.25,7.28,1.169657,77590.0,APOLLOTYRE
2002-01-11,7.4,7.8,7.1,7.45,1.196971,104790.0,APOLLOTYRE
2002-01-14,7.9,8.0,7.39,7.53,1.209824,199970.0,APOLLOTYRE
2002-01-15,7.41,7.7,7.4,7.43,1.193758,115130.0,APOLLOTYRE
2002-01-16,7.23,7.55,7.23,7.39,1.187331,60490.0,APOLLOTYRE
2002-01-17,7.4,7.64,7.4,7.44,1.1953639999999999,127280.0,APOLLOTYRE
2002-01-18,7.48,7.6,7.4,7.45,1.196971,98590.0,APOLLOTYRE
2002-01-21,7.3,7.6,7.3,7.45,1.196971,156220.0,APOLLOTYRE
2002-01-22,7.25,7.59,7.25,7.46,1.1985780000000001,86950.0,APOLLOTYRE
2002-01-23,7.41,7.59,7.41,7.5,1.2050040000000002,92480.0,APOLLOTYRE
2002-01-24,7.41,7.6,7.3,7.31,1.174477,67470.0,APOLLOTYRE
2002-01-25,7.43,7.43,7.16,7.22,1.160017,49600.0,APOLLOTYRE
2002-01-28,7.3,7.8,7.2,7.66,1.230711,445430.0,APOLLOTYRE
2002-01-29,7.91,8.2,7.4,7.5,1.2050040000000002,798790.0,APOLLOTYRE
2002-01-30,7.49,7.5,7.31,7.38,1.185724,114400.0,APOLLOTYRE
2002-01-31,7.42,7.49,7.36,7.46,1.1985780000000001,121350.0,APOLLOTYRE
2002-02-01,7.37,7.5,7.26,7.34,1.179297,119370.0,APOLLOTYRE
2002-02-04,7.4,7.49,7.25,7.27,1.168051,75650.0,APOLLOTYRE
2002-02-05,7.13,7.28,7.13,7.16,1.150377,81280.0,APOLLOTYRE
2002-02-06,7.0,7.45,7.0,7.31,1.174477,149280.0,APOLLOTYRE
