date,open,high,low,close,adj_close,volume,symbol
2002-07-01,3.81,4.0,3.79,3.93,1.235126,37080.0,EXIDEIND
2002-07-02,4.0,4.38,3.91,4.15,1.3042690000000001,350980.0,EXIDEIND
2002-07-03,3.75,4.6,3.75,4.47,1.4048379999999998,865140.0,EXIDEIND
2002-07-04,4.5,4.7,4.41,4.51,1.41741,1013200.0,EXIDEIND
2002-07-05,4.6,4.95,4.25,4.66,1.464552,993120.0,EXIDEIND
2002-07-08,4.95,5.24,4.95,5.0,1.571408,1224740.0,EXIDEIND
2002-07-09,5.15,5.15,4.75,4.8,1.5085520000000001,712980.0,EXIDEIND
2002-07-10,4.95,4.95,4.7,4.79,1.505408,320760.0,EXIDEIND
2002-07-11,4.7,4.75,4.61,4.63,1.455124,144600.0,EXIDEIND
2002-07-12,4.69,4.83,4.64,4.75,1.4928379999999999,175280.0,EXIDEIND
2002-07-15,4.75,4.75,4.5,4.52,1.420553,121560.0,EXIDEIND
2002-07-16,4.6,4.65,4.35,4.4,1.382839,121840.0,EXIDEIND
2002-07-17,5.27,5.27,4.25,4.39,1.3796959999999998,225160.0,EXIDEIND
2002-07-18,4.3,4.55,4.26,4.4,1.382839,153660.0,EXIDEIND
2002-07-19,4.4,4.46,4.29,4.31,1.3545530000000001,190220.0,EXIDEIND
2002-07-22,4.9,4.9,4.01,4.1,1.288554,120760.0,EXIDEIND
2002-07-23,4.3,4.3,4.06,4.19,1.31684,104480.0,EXIDEIND
2002-07-24,4.2,4.25,4.09,4.1,1.288554,39440.0,EXIDEIND
2002-07-25,4.15,4.18,4.05,4.08,1.282269,108840.0,EXIDEIND
2002-07-26,4.1,4.1,3.75,3.9,1.225698,123240.0,EXIDEIND
2002-07-29,4.4,4.4,3.61,3.67,1.153414,317780.0,EXIDEIND
2002-07-30,3.99,4.0,3.65,3.69,1.159699,169420.0,EXIDEIND
2002-07-31,3.84,3.84,3.4,3.65,1.147127,113100.0,EXIDEIND
