date,open,high,low,close,adj_close,volume,symbol
2007-03-07,156.75,168.438004,144.0,155.300003,106.96608700000002,50376704.0,MINDTREE
2007-03-08,156.25,160.475006,150.25,158.300003,109.03241000000001,13405928.0,MINDTREE
2007-03-09,158.5,167.199997,153.274994,163.136993,112.363968,10120016.0,MINDTREE
2007-03-12,162.824997,195.774994,161.324997,195.199997,134.448029,32432176.0,MINDTREE
2007-03-13,199.75,228.5,199.75,219.76199300000002,151.365616,38461444.0,MINDTREE
2007-03-14,207.524994,250.875,200.5,236.850006,163.135345,50340576.0,MINDTREE
2007-03-15,229.75,255.80000299999998,229.311996,232.537994,160.165344,29973068.0,MINDTREE
2007-03-16,235.5,245.0,219.524994,224.32499700000002,154.508484,23828800.0,MINDTREE
2007-03-19,227.537994,235.0,223.024994,225.162994,155.085693,13522096.0,MINDTREE
2007-03-20,228.375,233.0,221.38699300000002,223.26199300000002,153.776337,8381944.0,MINDTREE
2007-03-21,223.80000299999998,226.5,213.5,215.67500299999998,148.550644,11704560.0,MINDTREE
2007-03-22,220.5,225.0,216.787994,218.274994,150.341431,8250852.0,MINDTREE
2007-03-23,219.5,221.5,212.57499700000002,215.561996,148.472794,6580848.0,MINDTREE
2007-03-26,216.587006,220.0,211.75,213.51199300000002,147.06083700000002,4769056.0,MINDTREE
2007-03-28,210.774994,214.350006,205.0,207.688004,143.04943799999998,3852820.0,MINDTREE
2007-03-29,207.524994,210.75,205.0,206.350006,142.12785300000002,3357832.0,MINDTREE
2007-03-30,208.75,212.0,206.399994,207.699997,143.057693,3937540.0,MINDTREE
2007-04-02,202.412994,206.925003,200.912994,202.912994,139.760483,1893084.0,MINDTREE
2007-04-03,205.25,206.25,196.636993,198.300003,136.58323700000003,2412316.0,MINDTREE
2007-04-04,199.0,205.75,194.399994,202.113007,139.20953400000002,4888584.0,MINDTREE
2007-04-05,204.5,210.42500299999998,199.25,208.136993,143.35870400000002,8941184.0,MINDTREE
2007-04-09,209.5,215.399994,205.337006,212.774994,146.553177,4672680.0,MINDTREE
2007-04-10,212.5,222.5,210.5,216.649994,149.222153,7480372.0,MINDTREE
2007-04-11,217.5,218.75,199.024994,200.5,138.098526,7043936.0,MINDTREE
2007-04-12,198.25,204.25,197.475006,201.188004,138.572403,4859064.0,MINDTREE
2007-04-13,203.75,209.675003,200.886993,207.824997,143.143768,4175288.0,MINDTREE
2007-04-16,209.25,215.5,208.75,210.274994,144.83123799999998,3522152.0,MINDTREE
2007-04-17,210.67500299999998,212.100006,201.625,202.988007,139.81221000000002,1868516.0,MINDTREE
2007-04-18,203.5,206.225006,200.824997,202.061996,139.174408,1307208.0,MINDTREE
2007-04-19,200.488007,203.75,197.125,202.274994,139.321121,1109792.0,MINDTREE
2007-04-20,205.75,207.475006,201.675003,202.462006,139.449936,1103808.0,MINDTREE
2007-04-23,204.0,205.75,200.0,201.0,138.442871,730700.0,MINDTREE
2007-04-24,179.5,202.5,179.5,199.850006,137.650818,824440.0,MINDTREE
2007-04-25,200.337006,201.25,193.537994,194.561996,134.00860600000001,1043212.0,MINDTREE
2007-04-26,196.25,200.600006,194.0,195.912994,134.93911699999998,1650636.0,MINDTREE
2007-04-27,181.25,198.75,175.0,194.600006,134.034775,4815832.0,MINDTREE
2007-04-30,196.899994,203.75,196.75,198.636993,136.81535300000002,2615480.0,MINDTREE
2007-05-03,200.0,202.188004,194.537994,195.537994,134.680847,1156368.0,MINDTREE
2007-05-04,197.175003,198.75,193.75,194.75,134.13810700000002,955336.0,MINDTREE
2007-05-07,196.5,207.5,194.5,204.375,140.767517,7078204.0,MINDTREE
2007-05-08,204.25,209.175003,195.75,196.561996,135.386154,5152540.0,MINDTREE
2007-05-09,197.0,200.75,193.300003,197.274994,135.877243,1823556.0,MINDTREE
2007-05-10,202.25,202.25,194.75,195.613007,134.732483,1090040.0,MINDTREE
2007-05-11,195.0,197.100006,192.5,194.899994,134.24139399999999,840908.0,MINDTREE
2007-05-14,197.100006,199.75,196.274994,196.787994,135.541809,807552.0,MINDTREE
2007-05-15,197.25,199.087006,195.5,196.712006,135.489471,839188.0,MINDTREE
2007-05-16,198.350006,198.350006,196.074997,196.800003,135.550079,510456.0,MINDTREE
2007-05-17,198.100006,205.975006,196.75,199.261993,137.245789,2438272.0,MINDTREE
2007-05-18,199.5,201.25,195.912994,196.738007,135.507385,685476.0,MINDTREE
2007-05-21,198.75,199.113007,192.925003,193.649994,133.380463,496464.0,MINDTREE
2007-05-22,194.25,196.0,191.412994,192.050003,132.278427,658008.0,MINDTREE
2007-05-23,193.75,194.462006,188.912994,189.837006,130.75418100000002,428280.0,MINDTREE
2007-05-24,190.25,194.5,188.787994,189.975006,130.84925800000002,702848.0,MINDTREE
2007-05-25,189.75,195.0,187.524994,192.438004,132.54568500000002,1284272.0,MINDTREE
2007-05-28,197.212006,197.212006,190.5,191.399994,131.830719,513360.0,MINDTREE
2007-05-29,192.5,193.449997,189.0,189.613007,130.599899,258780.0,MINDTREE
2007-05-30,188.25,194.5,187.787994,190.712006,131.35685700000002,846672.0,MINDTREE
2007-05-31,192.5,193.738007,190.5,192.199997,132.381744,431872.0,MINDTREE
2007-06-01,193.350006,197.5,191.175003,192.688004,132.717865,892592.0,MINDTREE
2007-06-04,192.75,195.5,191.800003,192.75,132.760559,339816.0,MINDTREE
2007-06-05,192.25,193.0,188.75,191.363007,131.805252,287244.0,MINDTREE
2007-06-06,191.587006,197.5,191.587006,193.125,133.018829,984040.0,MINDTREE
2007-06-07,192.5,207.25,192.25,203.274994,140.009842,3077392.0,MINDTREE
2007-06-08,201.175003,208.600006,198.5,199.699997,137.547516,3801172.0,MINDTREE
2007-06-11,204.074997,204.074997,194.25,195.386993,134.576874,1205540.0,MINDTREE
2007-06-12,196.5,196.5,189.25,190.613007,131.288681,652588.0,MINDTREE
2007-06-13,190.75,193.636993,189.5,190.863007,131.460892,414284.0,MINDTREE
2007-06-14,191.561996,198.75,191.561996,196.199997,135.136826,990080.0,MINDTREE
2007-06-15,198.5,205.725006,193.774994,194.636993,134.060303,2598848.0,MINDTREE
2007-06-18,196.175003,196.899994,190.800003,191.899994,132.17511000000002,469400.0,MINDTREE
2007-06-19,192.25,198.688004,191.25,195.699997,134.792435,1027788.0,MINDTREE
2007-06-20,197.100006,198.475006,192.024994,193.25,133.104935,780852.0,MINDTREE
2007-06-21,195.75,196.0,192.5,193.488007,133.26890600000002,367628.0,MINDTREE
2007-06-22,194.912994,194.912994,191.75,192.149994,132.347275,308504.0,MINDTREE
2007-06-25,193.5,193.5,191.25,192.074997,132.295654,292452.0,MINDTREE
2007-06-26,192.225006,198.0,192.074997,193.675003,133.397675,1035960.0,MINDTREE
