date,open,high,low,close,adj_close,volume,symbol
2002-07-01,0.57,0.59,0.57,0.587,-0.661381,168220.0,VOLTAS
2002-07-02,0.581,0.59,0.578,0.582,-0.6557470000000001,143040.0,VOLTAS
2002-07-03,0.594,0.594,0.573,0.578,-0.651241,99480.0,VOLTAS
2002-07-04,0.58,0.581,0.561,0.57,-0.642227,213060.0,VOLTAS
2002-07-05,0.571,0.58,0.561,0.565,-0.6365930000000001,168870.0,VOLTAS
2002-07-08,0.589,0.6,0.572,0.585,-0.659127,499050.0,VOLTAS
2002-07-09,0.595,0.653,0.595,0.617,-0.695183,1771900.0,VOLTAS
2002-07-10,0.63,0.63,0.594,0.597,-0.6726479999999999,474690.0,VOLTAS
2002-07-11,0.59,0.598,0.571,0.576,0.32206599999999996,280630.0,VOLTAS
2002-07-12,0.583,0.589,0.571,0.573,0.320389,102220.0,VOLTAS
2002-07-15,0.572,0.585,0.56,0.566,0.316474,119180.0,VOLTAS
2002-07-16,0.565,0.567,0.55,0.555,0.310324,120630.0,VOLTAS
2002-07-17,0.557,0.563,0.542,0.545,0.304733,125230.0,VOLTAS
2002-07-18,0.551,0.558,0.543,0.548,0.30641,66510.0,VOLTAS
2002-07-19,0.55,0.559,0.543,0.555,0.310324,74220.0,VOLTAS
2002-07-22,0.502,0.547,0.501,0.522,0.29187199999999996,158180.0,VOLTAS
2002-07-23,0.529,0.53,0.52,0.526,0.294109,81580.0,VOLTAS
2002-07-24,0.526,0.552,0.5,0.511,0.285722,677400.0,VOLTAS
2002-07-25,0.525,0.525,0.483,0.494,0.27621599999999996,298250.0,VOLTAS
2002-07-26,0.46,0.49,0.46,0.48,0.268388,125720.0,VOLTAS
2002-07-29,0.471,0.48,0.453,0.458,0.256087,162260.0,VOLTAS
2002-07-30,0.47,0.47,0.452,0.459,0.256646,85290.0,VOLTAS
2002-07-31,0.459,0.47,0.451,0.47,0.262797,83830.0,VOLTAS
2002-08-01,0.47,0.48,0.47,0.477,0.26671100000000003,68260.0,VOLTAS
2002-08-02,0.471,0.477,0.462,0.466,0.26056,43010.0,VOLTAS
