date,open,high,low,close,adj_close,volume,symbol
2010-01-11,5.33,5.54,5.02,5.25,0.367147,4770.0,AVANTIFEED
2010-01-12,5.27,5.67,5.08,5.12,0.358056,15000.0,AVANTIFEED
2010-01-13,4.82,5.35,4.82,5.3,0.37064400000000003,4755.0,AVANTIFEED
2010-01-14,5.2,5.7,5.2,5.64,0.394421,9425.0,AVANTIFEED
2010-01-15,5.89,5.89,5.55,5.56,0.388826,3000.0,AVANTIFEED
2010-01-18,6.1,6.1,5.61,5.79,0.404911,1015.0,AVANTIFEED
2010-01-19,,,,,,,AVANTIFEED
2010-01-20,,,,,,,AVANTIFEED
2010-01-21,,,,,,,AVANTIFEED
2010-01-22,,,,,,,AVANTIFEED
2010-01-25,6.04,6.32,5.56,5.97,0.41749899999999995,24305.0,AVANTIFEED
2010-01-27,,,,,,,AVANTIFEED
2010-01-28,,,,,,,AVANTIFEED
2010-01-29,5.46,5.5,5.46,5.49,0.383931,2000.0,AVANTIFEED
2010-02-01,5.4,5.4,5.4,5.4,0.377637,5.0,AVANTIFEED
2010-02-02,,,,,,,AVANTIFEED
2010-02-03,4.91,5.59,4.91,5.54,0.387428,1780.0,AVANTIFEED
2010-02-04,5.05,6.65,5.05,5.88,0.41120500000000004,237345.0,AVANTIFEED
2010-02-05,5.43,6.0,5.03,5.45,0.38113400000000003,52935.0,AVANTIFEED
2010-02-06,,,,,,,AVANTIFEED
2010-02-08,,,,,,,AVANTIFEED
2010-02-09,5.11,5.5,5.1,5.2,0.363651,4980.0,AVANTIFEED
2010-02-10,5.18,5.33,5.05,5.07,0.354559,19160.0,AVANTIFEED
2010-02-11,5.26,5.26,4.93,4.97,0.347566,305.0,AVANTIFEED
2010-02-15,5.42,5.66,4.93,5.44,0.38043499999999997,36005.0,AVANTIFEED
2010-02-16,,,,,,,AVANTIFEED
2010-02-17,,,,,,,AVANTIFEED
2010-02-18,5.0,5.66,5.0,5.04,0.352461,12970.0,AVANTIFEED
2010-02-19,,,,,,,AVANTIFEED
2010-02-22,4.82,5.2,4.82,5.2,0.363651,3210.0,AVANTIFEED
2010-02-23,5.04,5.04,5.04,5.04,0.352461,475.0,AVANTIFEED
2010-02-24,4.8,4.8,4.79,4.8,0.335677,2325.0,AVANTIFEED
2010-02-25,,,,,,,AVANTIFEED
2010-02-26,4.6,4.94,4.49,4.94,0.345468,2795.0,AVANTIFEED
2010-03-02,,,,,,,AVANTIFEED
2010-03-03,,,,,,,AVANTIFEED
2010-03-04,,,,,,,AVANTIFEED
2010-03-05,5.2,5.2,4.98,5.2,0.363651,1055.0,AVANTIFEED
2010-03-08,,,,,,,AVANTIFEED
2010-03-09,,,,,,,AVANTIFEED
2010-03-10,5.18,5.18,5.18,5.18,0.362252,0.0,AVANTIFEED
2010-03-11,,,,,,,AVANTIFEED
2010-03-12,,,,,,,AVANTIFEED
2010-03-15,4.9,4.9,4.75,4.9,0.342671,2795.0,AVANTIFEED
2010-03-16,,,,,,,AVANTIFEED
2010-03-17,5.04,5.04,4.8,4.8,0.335677,750.0,AVANTIFEED
2010-03-18,4.8,5.04,4.8,4.8,0.335677,0.0,AVANTIFEED
2010-03-19,4.8,5.04,4.8,5.04,0.352461,550.0,AVANTIFEED
2010-03-22,,,,,,,AVANTIFEED
2010-03-23,,,,,,,AVANTIFEED
2010-03-25,,,,,,,AVANTIFEED
2010-03-26,,,,,,,AVANTIFEED
2010-03-29,4.56,4.56,4.56,4.56,0.318894,0.0,AVANTIFEED
2010-03-30,,,,,,,AVANTIFEED
2010-03-31,,,,,,,AVANTIFEED
2010-04-01,,,,,,,AVANTIFEED
2010-04-05,4.56,4.56,4.56,4.56,0.318894,500.0,AVANTIFEED
2010-04-06,,,,,,,AVANTIFEED
2010-04-07,4.79,4.79,4.79,4.79,0.334978,910.0,AVANTIFEED
2010-04-08,,,,,,,AVANTIFEED
2010-04-09,5.0,5.0,5.0,5.0,0.349664,250.0,AVANTIFEED
2010-04-12,,,,,,,AVANTIFEED
2010-04-13,,,,,,,AVANTIFEED
2010-04-15,5.0,5.0,5.0,5.0,0.349664,0.0,AVANTIFEED
2010-04-16,,,,,,,AVANTIFEED
2010-04-19,,,,,,,AVANTIFEED
2010-04-20,5.0,5.0,5.0,5.0,0.349664,0.0,AVANTIFEED
2010-04-21,,,,,,,AVANTIFEED
2010-04-22,,,,,,,AVANTIFEED
2010-04-23,,,,,,,AVANTIFEED
2010-04-26,,,,,,,AVANTIFEED
2010-04-27,4.87,4.87,4.87,4.87,0.340573,1000.0,AVANTIFEED
2010-04-28,,,,,,,AVANTIFEED
2010-04-29,,,,,,,AVANTIFEED
2010-04-30,,,,,,,AVANTIFEED
2010-05-03,5.0,5.0,5.0,5.0,0.349664,2390.0,AVANTIFEED
2010-05-04,,,,,,,AVANTIFEED
2010-05-05,4.92,5.2,4.92,4.92,0.344069,0.0,AVANTIFEED
2010-05-06,,,,,,,AVANTIFEED
2010-05-07,4.88,4.88,4.88,4.88,0.34127199999999996,0.0,AVANTIFEED
2010-05-10,5.14,5.14,5.14,5.14,0.359455,5.0,AVANTIFEED
2010-05-11,5.14,5.14,5.14,5.14,0.359455,125.0,AVANTIFEED
2010-05-12,,,,,,,AVANTIFEED
2010-05-13,,,,,,,AVANTIFEED
2010-05-14,,,,,,,AVANTIFEED
2010-05-17,4.78,4.78,4.78,4.78,0.334279,0.0,AVANTIFEED
2010-05-18,,,,,,,AVANTIFEED
2010-05-19,4.75,4.85,4.75,4.85,0.339174,555.0,AVANTIFEED
2010-05-20,,,,,,,AVANTIFEED
2010-05-21,4.85,4.85,4.85,4.85,0.339174,0.0,AVANTIFEED
2010-05-24,,,,,,,AVANTIFEED
2010-05-25,4.65,4.65,4.65,4.65,0.32518800000000003,0.0,AVANTIFEED
2010-05-26,,,,,,,AVANTIFEED
2010-05-27,4.71,4.71,4.71,4.71,0.329383,0.0,AVANTIFEED
2010-05-28,,,,,,,AVANTIFEED
2010-05-31,4.71,4.9,4.71,4.71,0.329383,0.0,AVANTIFEED
2010-06-01,4.69,4.69,4.69,4.69,0.32798499999999997,495.0,AVANTIFEED
2010-06-02,,,,,,,AVANTIFEED
2010-06-03,4.52,4.52,4.52,4.52,0.316096,615.0,AVANTIFEED
2010-06-04,4.32,4.32,4.32,4.32,0.30211,0.0,AVANTIFEED
2010-06-07,,,,,,,AVANTIFEED
2010-06-08,,,,,,,AVANTIFEED
2010-06-09,,,,,,,AVANTIFEED
2010-06-10,4.67,4.67,4.67,4.67,0.326586,165.0,AVANTIFEED
2010-06-11,4.56,4.56,4.44,4.44,0.310502,2755.0,AVANTIFEED
2010-06-14,,,,,,,AVANTIFEED
2010-06-15,,,,,,,AVANTIFEED
2010-06-16,4.24,4.44,4.24,4.44,0.310502,3500.0,AVANTIFEED
2010-06-17,4.32,4.32,4.32,4.32,0.30211,0.0,AVANTIFEED
2010-06-18,4.44,4.65,4.44,4.65,0.32518800000000003,13000.0,AVANTIFEED
2010-06-21,4.52,4.52,4.52,4.52,0.316096,950.0,AVANTIFEED
2010-06-22,,,,,,,AVANTIFEED
2010-06-23,,,,,,,AVANTIFEED
2010-06-24,,,,,,,AVANTIFEED
2010-06-25,,,,,,,AVANTIFEED
2010-06-28,,,,,,,AVANTIFEED
2010-06-29,4.38,4.44,4.38,4.44,0.310502,750.0,AVANTIFEED
2010-06-30,,,,,,,AVANTIFEED
2010-07-01,4.44,4.44,4.44,4.44,0.310502,5.0,AVANTIFEED
2010-07-02,4.48,4.48,4.48,4.48,0.313299,0.0,AVANTIFEED
2010-07-05,4.45,4.45,4.45,4.45,0.311201,0.0,AVANTIFEED
2010-07-06,,,,,,,AVANTIFEED
2010-07-07,,,,,,,AVANTIFEED
2010-07-08,,,,,,,AVANTIFEED
2010-07-09,,,,,,,AVANTIFEED
2010-07-12,,,,,,,AVANTIFEED
2010-07-13,4.7,4.7,4.7,4.7,0.32868400000000003,5.0,AVANTIFEED
2010-07-14,,,,,,,AVANTIFEED
2010-07-15,,,,,,,AVANTIFEED
2010-07-16,,,,,,,AVANTIFEED
2010-07-19,4.7,4.9,4.47,4.7,0.32868400000000003,6500.0,AVANTIFEED
2010-07-20,,,,,,,AVANTIFEED
2010-07-21,,,,,,,AVANTIFEED
2010-07-22,,,,,,,AVANTIFEED
2010-07-23,,,,,,,AVANTIFEED
2010-07-26,,,,,,,AVANTIFEED
2010-07-27,,,,,,,AVANTIFEED
2010-07-28,,,,,,,AVANTIFEED
2010-07-29,4.6,4.64,4.6,4.64,0.324488,3700.0,AVANTIFEED
2010-07-30,4.7,4.76,4.6,4.62,0.32309,3500.0,AVANTIFEED
2010-08-02,,,,,,,AVANTIFEED
2010-08-03,,,,,,,AVANTIFEED
2010-08-04,4.6,4.68,4.6,4.68,0.327286,1250.0,AVANTIFEED
2010-08-05,,,,,,,AVANTIFEED
2010-08-06,4.98,5.02,4.56,4.56,0.318894,955.0,AVANTIFEED
2010-08-09,,,,,,,AVANTIFEED
2010-08-10,4.51,4.56,4.51,4.51,0.315397,2250.0,AVANTIFEED
2010-08-11,,,,,,,AVANTIFEED
2010-08-12,,,,,,,AVANTIFEED
2010-08-13,,,,,,,AVANTIFEED
2010-08-16,,,,,,,AVANTIFEED
2010-08-17,5.23,5.4,5.02,5.4,0.377637,2715.0,AVANTIFEED
2010-08-18,5.62,5.62,5.17,5.42,0.37903600000000004,32040.0,AVANTIFEED
2010-08-19,5.15,5.7,5.15,5.49,0.383931,87140.0,AVANTIFEED
2010-08-20,,,,,,,AVANTIFEED
2010-08-23,5.58,5.6,5.2,5.59,0.390924,4000.0,AVANTIFEED
2010-08-24,5.6,5.6,5.34,5.46,0.381833,11000.0,AVANTIFEED
2010-08-25,5.6,5.74,5.6,5.74,0.401414,22500.0,AVANTIFEED
2010-08-26,,,,,,,AVANTIFEED
2010-08-27,5.6,5.6,5.6,5.6,0.39162399999999997,550.0,AVANTIFEED
2010-08-30,,,,,,,AVANTIFEED
2010-08-31,5.34,5.57,5.34,5.45,0.38113400000000003,5000.0,AVANTIFEED
2010-09-01,5.2,5.67,5.2,5.2,0.363651,0.0,AVANTIFEED
2010-09-02,,,,,,,AVANTIFEED
2010-09-03,5.45,5.45,5.45,5.45,0.38113400000000003,1750.0,AVANTIFEED
2010-09-06,5.73,5.73,5.73,5.73,0.400715,20500.0,AVANTIFEED
2010-09-07,,,,,,,AVANTIFEED
2010-09-08,,,,,,,AVANTIFEED
2010-09-09,6.7,6.76,6.27,6.56,0.45875900000000003,13000.0,AVANTIFEED
2010-09-13,6.56,6.56,5.95,6.28,0.43917799999999996,28385.0,AVANTIFEED
2010-09-14,,,,,,,AVANTIFEED
2010-09-15,6.03,6.37,6.03,6.2,0.433583,3500.0,AVANTIFEED
2010-09-16,6.58,6.58,5.85,5.87,0.41050600000000004,8030.0,AVANTIFEED
2010-09-17,,,,,,,AVANTIFEED
2010-09-20,5.4,6.38,5.4,6.05,0.42309300000000005,5445.0,AVANTIFEED
2010-09-21,,,,,,,AVANTIFEED
2010-09-22,5.99,5.99,5.99,5.99,0.418897,4755.0,AVANTIFEED
2010-09-23,,,,,,,AVANTIFEED
2010-09-24,5.62,6.1,5.53,5.66,0.39582,12215.0,AVANTIFEED
2010-09-27,5.99,6.23,5.3,6.05,0.42309300000000005,24655.0,AVANTIFEED
2010-09-28,6.6,6.6,5.51,5.93,0.41470200000000007,33045.0,AVANTIFEED
2010-09-29,5.72,6.12,5.57,5.58,0.390225,23355.0,AVANTIFEED
2010-09-30,5.95,6.12,5.52,5.72,0.400016,23905.0,AVANTIFEED
2010-10-01,,,,,,,AVANTIFEED
2010-10-04,5.55,6.0,5.55,5.66,0.39582,25775.0,AVANTIFEED
2010-10-05,5.82,5.96,5.7,5.96,0.4168,2800.0,AVANTIFEED
2010-10-06,6.55,6.55,5.72,6.13,0.428688,9820.0,AVANTIFEED
2010-10-07,6.03,6.49,6.03,6.28,0.43917799999999996,66295.0,AVANTIFEED
2010-10-08,6.01,6.88,5.91,6.0,0.419597,23895.0,AVANTIFEED
2010-10-11,6.28,6.35,5.84,6.17,0.431486,20410.0,AVANTIFEED
2010-10-12,6.34,6.4,6.02,6.3,0.44057700000000005,8930.0,AVANTIFEED
2010-10-13,,,,,,,AVANTIFEED
2010-10-14,6.2,6.56,6.2,6.24,0.436381,6925.0,AVANTIFEED
2010-10-15,,,,,,,AVANTIFEED
2010-10-18,6.35,6.4,6.0,6.4,0.44756999999999997,10000.0,AVANTIFEED
2010-10-19,6.68,6.68,6.19,6.4,0.44756999999999997,9500.0,AVANTIFEED
2010-10-20,6.07,6.52,6.07,6.52,0.455962,1000.0,AVANTIFEED
2010-10-21,6.52,6.52,6.03,6.4,0.44756999999999997,3500.0,AVANTIFEED
2010-10-22,6.4,7.04,6.34,6.96,0.486732,41265.0,AVANTIFEED
2010-10-25,6.51,7.02,6.51,6.87,0.48043800000000003,16895.0,AVANTIFEED
2010-10-26,7.3,7.3,6.6,6.71,0.46924899999999997,5675.0,AVANTIFEED
2010-10-27,7.2,7.2,6.63,6.99,0.48883000000000004,16500.0,AVANTIFEED
2010-10-28,7.18,7.69,6.71,7.64,0.534287,53510.0,AVANTIFEED
