date,open,high,low,close,adj_close,volume,symbol
2002-07-01,6.49,6.49,6.3,6.35,1.260868,2778.0,DCMSHRIRAM
2002-07-02,6.5,6.66,6.43,6.5,1.2906520000000001,3364.0,DCMSHRIRAM
2002-07-03,6.6,6.83,6.45,6.83,1.356177,3199.0,DCMSHRIRAM
2002-07-04,7.0,7.17,7.0,7.17,1.423689,3578.0,DCMSHRIRAM
2002-07-05,7.25,7.48,7.2,7.23,1.435602,4542.0,DCMSHRIRAM
2002-07-08,7.5,7.5,7.1,7.33,1.455458,2434.0,DCMSHRIRAM
2002-07-09,7.35,7.4,7.0,7.01,1.3919190000000001,1133.0,DCMSHRIRAM
2002-07-10,7.2,7.39,6.83,6.9,1.370077,2213.0,DCMSHRIRAM
2002-07-11,6.7,6.94,6.42,6.63,1.316465,1477.0,DCMSHRIRAM
2002-07-12,6.4,7.0,6.4,6.92,1.374048,1557.0,DCMSHRIRAM
2002-07-15,6.03,6.3,6.03,6.29,1.2489540000000001,429.0,DCMSHRIRAM
2002-07-16,6.5,6.5,6.34,6.34,1.258882,361.0,DCMSHRIRAM
2002-07-17,6.16,6.5,6.16,6.39,1.26881,927.0,DCMSHRIRAM
2002-07-18,5.82,6.25,5.25,6.11,1.2132129999999999,103066.0,DCMSHRIRAM
2002-07-19,6.15,6.15,6.0,6.0,1.191371,174.0,DCMSHRIRAM
2002-07-22,5.63,6.0,5.63,5.77,1.145702,288.0,DCMSHRIRAM
2002-07-23,5.5,5.8,5.5,5.8,1.151659,18.0,DCMSHRIRAM
2002-07-24,6.38,6.73,5.67,6.1,1.211227,806.0,DCMSHRIRAM
2002-07-25,6.1,6.1,6.1,6.1,1.211227,199.0,DCMSHRIRAM
2002-07-26,5.85,5.85,5.85,5.85,1.1615870000000001,159.0,DCMSHRIRAM
2002-07-29,5.25,6.12,5.17,5.33,1.058335,50907.0,DCMSHRIRAM
2002-07-30,5.2,5.35,5.2,5.24,1.0404639999999998,789.0,DCMSHRIRAM
2002-07-31,5.0,5.0,5.0,5.0,0.992809,32.0,DCMSHRIRAM
2002-08-01,5.1,5.49,5.1,5.31,1.054363,382.0,DCMSHRIRAM
2002-08-02,5.2,5.3,5.2,5.3,1.052378,38.0,DCMSHRIRAM
2002-08-05,5.3,5.3,5.07,5.19,1.0305360000000001,428.0,DCMSHRIRAM
2002-08-06,5.23,5.5,5.23,5.5,1.09209,85516.0,DCMSHRIRAM
2002-08-07,5.6,5.7,5.3,5.7,1.131802,153.0,DCMSHRIRAM
2002-08-08,5.25,5.25,5.25,5.25,1.04245,10.0,DCMSHRIRAM
2002-08-09,5.13,5.25,5.13,5.21,1.034507,132.0,DCMSHRIRAM
2002-08-12,5.05,5.25,5.05,5.25,1.04245,46.0,DCMSHRIRAM
2002-08-13,5.25,5.31,5.25,5.31,1.054363,35.0,DCMSHRIRAM
2002-08-14,5.25,5.49,5.2,5.3,1.052378,347.0,DCMSHRIRAM
2002-08-15,,,,,,,DCMSHRIRAM
2002-08-16,5.25,5.3,5.25,5.3,1.052378,70.0,DCMSHRIRAM
2002-08-19,5.25,5.25,5.05,5.23,1.0384790000000002,191.0,DCMSHRIRAM
2002-08-20,5.2,5.2,5.1,5.19,1.0305360000000001,284.0,DCMSHRIRAM
2002-08-21,5.3,5.6,5.1,5.28,1.0484069999999999,123.0,DCMSHRIRAM
2002-08-22,5.7,5.7,5.11,5.6,1.1119459999999999,106.0,DCMSHRIRAM
2002-08-23,5.11,5.6,5.11,5.23,1.0384790000000002,40.0,DCMSHRIRAM
2002-08-26,5.1,5.6,5.1,5.24,1.0404639999999998,47.0,DCMSHRIRAM
2002-08-27,5.75,5.85,5.1,5.13,1.018622,254.0,DCMSHRIRAM
2002-08-28,5.7,5.7,5.15,5.21,1.034507,909.0,DCMSHRIRAM
2002-08-29,5.16,5.49,5.16,5.2,1.032522,43.0,DCMSHRIRAM
2002-08-30,5.11,5.39,5.11,5.2,1.032522,80.0,DCMSHRIRAM
2002-09-02,5.21,5.21,5.0,5.13,1.018622,3962.0,DCMSHRIRAM
2002-09-03,5.1,5.15,4.76,4.76,0.945154,3871.0,DCMSHRIRAM
2002-09-04,5.0,5.0,4.87,5.0,0.992809,364.0,DCMSHRIRAM
2002-09-05,4.61,5.0,4.61,5.0,0.992809,289.0,DCMSHRIRAM
2002-09-06,4.87,5.15,4.87,5.02,0.9967809999999999,56.0,DCMSHRIRAM
2002-09-09,5.0,5.0,4.93,4.93,0.9789100000000001,450.0,DCMSHRIRAM
2002-09-10,,,,,,,DCMSHRIRAM
2002-09-11,,,,,,,DCMSHRIRAM
2002-09-12,4.83,4.83,4.82,4.82,0.957068,160.0,DCMSHRIRAM
2002-09-13,4.71,4.8,4.71,4.8,0.953097,136.0,DCMSHRIRAM
2002-09-16,4.42,5.39,4.42,5.21,1.034507,1572.0,DCMSHRIRAM
2002-09-17,4.9,5.05,4.9,5.0,0.992809,250.0,DCMSHRIRAM
2002-09-18,5.39,5.39,4.93,4.93,0.9789100000000001,49.0,DCMSHRIRAM
2002-09-19,4.99,5.36,4.91,4.91,0.9749389999999999,81.0,DCMSHRIRAM
2002-09-20,4.17,5.08,4.17,4.64,0.921327,2585.0,DCMSHRIRAM
2002-09-23,4.8,4.97,4.51,4.59,0.911399,5667.0,DCMSHRIRAM
2002-09-24,4.6,5.2,4.1,4.24,0.841902,14381.0,DCMSHRIRAM
2002-09-25,4.1,4.39,4.06,4.15,0.824032,8563.0,DCMSHRIRAM
2002-09-26,4.16,4.36,4.0,4.28,0.8498450000000001,28478.0,DCMSHRIRAM
2002-09-27,4.15,4.82,4.15,4.43,0.8796290000000001,153027.0,DCMSHRIRAM
2002-09-30,4.8,4.8,4.26,4.4,0.8736719999999999,512.0,DCMSHRIRAM
2002-10-01,4.41,4.55,4.3,4.42,0.8776440000000001,1667.0,DCMSHRIRAM
2002-10-02,,,,,,,DCMSHRIRAM
2002-10-03,4.5,4.64,4.5,4.61,0.9153700000000001,1325.0,DCMSHRIRAM
2002-10-04,4.61,4.65,4.52,4.6,0.913384,1411.0,DCMSHRIRAM
2002-10-07,4.69,4.79,4.65,4.66,0.925298,2251.0,DCMSHRIRAM
2002-10-08,4.7,4.7,4.63,4.65,0.9233129999999999,478.0,DCMSHRIRAM
2002-10-09,4.79,4.79,4.58,4.62,0.917356,240.0,DCMSHRIRAM
2002-10-10,4.6,4.67,4.6,4.66,0.925298,230.0,DCMSHRIRAM
2002-10-11,4.56,4.7,4.56,4.56,0.905442,582.0,DCMSHRIRAM
2002-10-14,4.45,4.7,4.45,4.52,0.8975,201.0,DCMSHRIRAM
2002-10-15,,,,,,,DCMSHRIRAM
2002-10-16,,,,,,,DCMSHRIRAM
2002-10-17,4.47,4.47,4.47,4.47,0.8875709999999999,16.0,DCMSHRIRAM
2002-10-18,4.7,4.79,4.47,4.75,0.943169,1159.0,DCMSHRIRAM
2002-10-21,4.7,4.7,4.7,4.7,0.933241,5.0,DCMSHRIRAM
2002-10-22,4.79,4.79,4.56,4.58,0.9094129999999999,1044.0,DCMSHRIRAM
2002-10-23,4.61,4.69,4.33,4.63,0.919342,237.0,DCMSHRIRAM
2002-10-24,4.4,4.55,4.4,4.52,0.8975,644.0,DCMSHRIRAM
2002-10-25,4.49,4.6,4.49,4.54,0.9014709999999999,174.0,DCMSHRIRAM
2002-10-28,4.43,4.68,4.43,4.5,0.8935280000000001,86.0,DCMSHRIRAM
2002-10-29,4.43,4.66,4.43,4.66,0.925298,70.0,DCMSHRIRAM
2002-10-30,,,,,,,DCMSHRIRAM
2002-10-31,4.55,4.75,4.55,4.73,0.939197,8.0,DCMSHRIRAM
2002-11-01,4.9,4.9,4.7,4.71,1.369542,983.0,DCMSHRIRAM
2002-11-04,4.9,4.99,4.9,4.9,1.4247889999999999,150.0,DCMSHRIRAM
2002-11-05,4.87,4.9,4.76,4.82,1.401527,202.0,DCMSHRIRAM
2002-11-06,,,,,,,DCMSHRIRAM
2002-11-07,4.73,4.75,4.73,4.74,1.378265,425.0,DCMSHRIRAM
2002-11-08,4.13,5.19,4.13,4.76,1.38408,1442.0,DCMSHRIRAM
2002-11-11,4.78,4.9,4.78,4.9,1.4247889999999999,1587.0,DCMSHRIRAM
2002-11-12,4.75,4.89,4.75,4.85,1.41025,681.0,DCMSHRIRAM
2002-11-13,4.71,4.87,4.71,4.82,1.401527,292.0,DCMSHRIRAM
2002-11-14,4.71,4.83,4.7,4.71,1.369542,827.0,DCMSHRIRAM
2002-11-15,4.64,4.78,4.64,4.68,1.360819,399.0,DCMSHRIRAM
