date,open,high,low,close,adj_close,volume,symbol
2002-07-01,6.2,6.56,6.1,6.36,1.458379,594050.0,GRAPHITE
2002-07-02,6.61,6.61,6.24,6.52,1.495067,594725.0,GRAPHITE
2002-07-03,6.58,7.1,6.56,6.86,1.5730309999999998,978175.0,GRAPHITE
2002-07-04,6.9,7.08,6.65,6.81,1.561566,568900.0,GRAPHITE
2002-07-05,7.01,7.12,6.83,7.07,1.621185,1542850.0,GRAPHITE
2002-07-08,7.47,8.18,7.3,7.91,1.8138009999999998,3012400.0,GRAPHITE
2002-07-09,7.64,8.0,7.52,7.62,1.7473029999999998,1354400.0,GRAPHITE
2002-07-10,7.6,7.92,7.35,7.38,1.6922689999999998,717100.0,GRAPHITE
2002-07-11,7.24,7.48,7.02,7.06,1.618892,752625.0,GRAPHITE
2002-07-12,7.21,7.32,6.91,6.98,1.600547,698875.0,GRAPHITE
2002-07-15,6.85,7.0,6.75,6.9,1.582203,294150.0,GRAPHITE
2002-07-16,6.65,6.8,6.58,6.62,1.517998,369675.0,GRAPHITE
2002-07-17,6.82,6.82,6.43,6.54,1.4996530000000001,127500.0,GRAPHITE
2002-07-18,6.6,7.15,6.54,6.58,1.508825,330350.0,GRAPHITE
2002-07-19,6.7,6.8,6.56,6.63,1.52029,326975.0,GRAPHITE
2002-07-22,6.26,6.5,6.08,6.15,1.410225,226500.0,GRAPHITE
2002-07-23,5.46,6.74,5.45,6.3,1.44462,174900.0,GRAPHITE
2002-07-24,6.34,6.52,6.2,6.25,1.433155,60875.0,GRAPHITE
2002-07-25,6.34,6.4,6.2,6.21,1.423983,77525.0,GRAPHITE
2002-07-26,6.1,6.1,5.7,5.78,1.325382,250150.0,GRAPHITE
2002-07-29,5.7,6.09,4.94,5.49,1.258883,657900.0,GRAPHITE
2002-07-30,5.45,5.6,5.4,5.42,1.242832,184250.0,GRAPHITE
2002-07-31,5.05,5.66,5.01,5.63,1.290986,139975.0,GRAPHITE
2002-08-01,5.74,5.75,5.5,5.6,1.2841069999999999,88500.0,GRAPHITE
2002-08-02,5.43,5.53,5.28,5.41,1.2405389999999998,148050.0,GRAPHITE
2002-08-05,5.5,5.59,5.38,5.54,1.270349,250025.0,GRAPHITE
2002-08-06,5.6,5.77,5.6,5.72,1.311623,77450.0,GRAPHITE
2002-08-07,5.8,5.95,5.8,5.89,1.3506049999999998,102900.0,GRAPHITE
2002-08-08,5.54,5.78,5.44,5.59,1.281814,283175.0,GRAPHITE
2002-08-09,5.25,5.79,5.25,5.55,1.272642,128050.0,GRAPHITE
2002-08-12,5.68,5.77,5.6,5.76,1.3207950000000002,87775.0,GRAPHITE
2002-08-13,5.8,5.83,5.55,5.77,1.323089,235575.0,GRAPHITE
2002-08-14,5.52,5.79,5.52,5.67,1.300158,91275.0,GRAPHITE
2002-08-15,,,,,,,GRAPHITE
2002-08-16,5.33,5.85,5.33,5.8,1.329968,132775.0,GRAPHITE
2002-08-19,6.0,6.0,5.64,5.8,1.329968,119250.0,GRAPHITE
2002-08-20,5.99,6.0,5.7,5.97,1.36895,294075.0,GRAPHITE
2002-08-21,5.85,6.22,5.82,5.98,1.371243,395125.0,GRAPHITE
2002-08-22,5.95,6.2,5.85,5.9,1.352898,498900.0,GRAPHITE
2002-08-23,6.0,6.1,5.9,6.0,1.3758290000000002,345050.0,GRAPHITE
2002-08-26,6.0,6.01,5.74,5.76,1.3207950000000002,119400.0,GRAPHITE
2002-08-27,5.81,5.93,5.59,5.64,1.293279,106100.0,GRAPHITE
2002-08-28,5.65,5.8,5.53,5.64,1.293279,100825.0,GRAPHITE
2002-08-29,5.61,5.62,5.42,5.43,1.245125,61550.0,GRAPHITE
2002-08-30,5.55,5.55,5.46,5.48,1.2565899999999999,56250.0,GRAPHITE
2002-09-02,5.52,5.6,5.42,5.45,1.249711,81450.0,GRAPHITE
