date,open,high,low,close,adj_close,volume,symbol
2002-07-01,35.25,37.400002,35.049999,36.849998,36.849998,421233.0,ITI
2002-07-02,36.599998,38.900002,36.599998,37.349998,37.349998,674551.0,ITI
2002-07-03,37.299999,38.75,36.75,37.299999,37.299999,486706.0,ITI
2002-07-04,37.299999,37.900002,36.700001,36.849998,36.849998,234948.0,ITI
2002-07-05,37.150002,37.700001,36.099998,36.299999,36.299999,178906.0,ITI
2002-07-08,36.549999,36.75,35.049999,35.25,35.25,143229.0,ITI
2002-07-09,35.5,35.900002,35.049999,35.25,35.25,131621.0,ITI
2002-07-10,35.5,36.200001,35.049999,35.299999,35.299999,174436.0,ITI
2002-07-11,35.75,35.900002,34.099998,34.5,34.5,197410.0,ITI
2002-07-12,34.650002,35.25,33.5,33.950001,33.950001,116496.0,ITI
2002-07-15,34.700001,34.700001,31.6,32.049999,32.049999,108267.0,ITI
2002-07-16,31.85,32.5,31.200001,31.4,31.4,117266.0,ITI
2002-07-17,31.799999,31.799999,29.549999,30.4,30.4,147888.0,ITI
2002-07-18,31.25,33.0,30.450001,32.700001,32.700001,219791.0,ITI
2002-07-19,32.0,34.75,31.549999,31.950001,31.950001,513139.0,ITI
2002-07-22,31.0,32.099998,30.5,30.700001,30.700001,172556.0,ITI
2002-07-23,31.0,32.0,30.049999,30.9,30.9,159448.0,ITI
2002-07-24,30.5,31.299999,29.799999,30.15,30.15,118733.0,ITI
2002-07-25,31.4,31.5,29.200001,29.700001,29.700001,125912.0,ITI
2002-07-26,30.0,30.0,26.1,26.450001,26.450001,167417.0,ITI
2002-07-29,27.85,28.200001,21.200001,23.049999,23.049999,629723.0,ITI
2002-07-30,24.25,24.950001,22.549999,23.049999,23.049999,294946.0,ITI
2002-07-31,22.4,23.450001,21.75,22.65,22.65,259360.0,ITI
2002-08-01,23.25,24.9,22.799999,23.200001,23.200001,328504.0,ITI
2002-08-02,23.0,24.65,22.15,24.049999,24.049999,251773.0,ITI
2002-08-05,24.5,25.6,23.65,25.25,25.25,271691.0,ITI
2002-08-06,25.25,26.65,24.200001,26.25,26.25,285181.0,ITI
2002-08-07,26.5,27.299999,26.049999,26.299999,26.299999,201835.0,ITI
2002-08-08,26.700001,26.700001,23.5,24.299999,24.299999,154424.0,ITI
2002-08-09,24.700001,25.200001,23.549999,24.450001,24.450001,147308.0,ITI
2002-08-12,25.049999,25.25,24.549999,25.0,25.0,63103.0,ITI
2002-08-13,25.450001,26.5,25.4,25.950001,25.950001,139936.0,ITI
2002-08-14,25.299999,26.5,25.200001,25.450001,25.450001,103336.0,ITI
2002-08-15,,,,,,,ITI
2002-08-16,25.9,26.1,25.1,25.4,25.4,57380.0,ITI
2002-08-19,25.85,25.85,24.299999,24.5,24.5,91866.0,ITI
2002-08-20,24.700001,24.950001,23.700001,24.200001,24.200001,94850.0,ITI
2002-08-21,22.6,27.299999,22.6,24.85,24.85,97075.0,ITI
2002-08-22,25.049999,25.299999,24.0,24.049999,24.049999,73183.0,ITI
2002-08-23,24.450001,24.450001,23.6,23.9,23.9,47984.0,ITI
2002-08-26,23.799999,24.25,23.5,23.6,23.6,36886.0,ITI
2002-08-27,23.5,23.9,22.200001,22.549999,22.549999,67377.0,ITI
2002-08-28,23.0,23.0,22.049999,22.200001,22.200001,34136.0,ITI
2002-08-29,22.6,22.9,21.5,21.9,21.9,113585.0,ITI
2002-08-30,22.0,22.5,21.799999,22.299999,22.299999,44310.0,ITI
2002-09-02,22.1,22.9,22.0,22.200001,22.200001,92663.0,ITI
2002-09-03,22.200001,22.65,22.0,22.15,22.15,46517.0,ITI
2002-09-04,22.0,23.799999,21.5,23.1,23.1,200014.0,ITI
2002-09-05,23.5,24.200001,23.1,23.35,23.35,67991.0,ITI
2002-09-06,22.549999,22.950001,21.9,22.049999,22.049999,70783.0,ITI
2002-09-09,22.049999,22.049999,18.549999,19.15,19.15,204054.0,ITI
2002-09-10,,,,,,,ITI
2002-09-11,18.549999,20.25,18.549999,20.0,20.0,92762.0,ITI
2002-09-12,20.25,21.700001,19.9,21.25,21.25,105869.0,ITI
2002-09-13,21.0,22.299999,20.5,20.75,20.75,126450.0,ITI
2002-09-16,20.25,21.700001,18.6,18.9,18.9,125468.0,ITI
2002-09-17,19.5,19.9,19.049999,19.5,19.5,58695.0,ITI
2002-09-18,19.450001,19.700001,19.0,19.049999,19.049999,47426.0,ITI
2002-09-19,19.1,19.15,18.200001,18.65,18.65,51428.0,ITI
2002-09-20,18.799999,19.25,17.25,18.6,18.6,85134.0,ITI
2002-09-23,19.0,19.0,18.25,18.299999,18.299999,22163.0,ITI
2002-09-24,18.299999,18.4,17.6,17.9,17.9,53785.0,ITI
2002-09-25,17.450001,17.75,17.25,17.65,17.65,25785.0,ITI
2002-09-26,18.1,18.1,17.5,17.6,17.6,15561.0,ITI
2002-09-27,18.0,18.9,17.9,18.35,18.35,59637.0,ITI
2002-09-30,18.1,19.0,17.5,17.700001,17.700001,63142.0,ITI
2002-10-01,18.0,18.0,17.1,17.200001,17.200001,74102.0,ITI
2002-10-02,,,,,,,ITI
2002-10-03,17.950001,18.4,17.5,17.75,17.75,79119.0,ITI
2002-10-04,17.65,18.299999,17.6,18.1,18.1,52837.0,ITI
2002-10-07,18.700001,21.75,18.700001,21.75,21.75,452468.0,ITI
2002-10-08,24.75,24.75,22.0,22.200001,22.200001,536389.0,ITI
2002-10-09,22.85,22.9,21.25,21.549999,21.549999,170307.0,ITI
2002-10-10,21.6,21.6,19.1,20.1,20.1,176436.0,ITI
2002-10-11,20.85,21.5,20.299999,20.85,20.85,134590.0,ITI
2002-10-14,20.299999,20.299999,19.25,20.0,20.0,66816.0,ITI
2002-10-15,,,,,,,ITI
2002-10-16,20.1,20.1,19.0,19.299999,19.299999,100993.0,ITI
2002-10-17,19.25,20.799999,19.0,20.4,20.4,129897.0,ITI
2002-10-18,20.799999,21.299999,20.0,20.1,20.1,118821.0,ITI
2002-10-21,19.799999,20.25,19.549999,19.799999,19.799999,51731.0,ITI
2002-10-22,20.0,20.25,19.549999,19.65,19.65,32512.0,ITI
2002-10-23,19.5,19.950001,19.4,19.549999,19.549999,13290.0,ITI
2002-10-24,19.4,19.75,18.950001,19.049999,19.049999,38045.0,ITI
2002-10-25,18.75,19.200001,18.700001,19.049999,19.049999,40517.0,ITI
2002-10-28,19.450001,19.450001,18.549999,18.6,18.6,18552.0,ITI
2002-10-29,18.700001,19.6,18.700001,19.200001,19.200001,64660.0,ITI
2002-10-30,19.450001,19.799999,18.85,19.0,19.0,46426.0,ITI
2002-10-31,18.950001,19.200001,18.549999,18.700001,18.700001,26522.0,ITI
2002-11-01,19.299999,19.299999,18.799999,19.049999,19.049999,38276.0,ITI
2002-11-04,19.4,19.4,18.799999,19.0,19.0,26827.0,ITI
2002-11-05,18.799999,18.950001,18.6,18.9,18.9,19410.0,ITI
2002-11-06,,,,,,,ITI
2002-11-07,19.0,19.200001,18.1,18.4,18.4,41985.0,ITI
2002-11-08,18.049999,18.9,17.9,18.4,18.4,33337.0,ITI
2002-11-11,18.549999,19.549999,18.200001,18.299999,18.299999,22832.0,ITI
2002-11-12,18.049999,18.5,18.049999,18.200001,18.200001,19056.0,ITI
2002-11-13,18.6,18.700001,17.15,17.950001,17.950001,57286.0,ITI
2002-11-14,17.6,18.4,17.549999,17.9,17.9,41953.0,ITI
2002-11-15,17.75,18.25,17.6,17.9,17.9,47630.0,ITI
2002-11-18,18.0,18.35,17.9,18.049999,18.049999,37074.0,ITI
2002-11-19,,,,,,,ITI
2002-11-20,18.4,18.5,18.0,18.049999,18.049999,31154.0,ITI
2002-11-21,18.1,18.4,18.0,18.049999,18.049999,29337.0,ITI
2002-11-22,18.1,18.200001,17.9,18.0,18.0,38770.0,ITI
2002-11-25,19.25,21.6,19.25,21.6,21.6,373742.0,ITI
2002-11-26,22.799999,24.299999,22.299999,22.65,22.65,578534.0,ITI
2002-11-27,22.200001,22.9,21.549999,21.799999,21.799999,268294.0,ITI
2002-11-28,22.299999,23.0,21.700001,22.35,22.35,250998.0,ITI
2002-11-29,22.9,23.1,22.049999,22.450001,22.450001,210013.0,ITI
2002-12-02,23.0,25.299999,22.700001,24.450001,24.450001,604390.0,ITI
2002-12-03,25.450001,25.9,22.85,23.200001,23.200001,342580.0,ITI
2002-12-04,23.5,23.5,22.4,22.65,22.65,146726.0,ITI
2002-12-05,23.299999,23.9,22.799999,23.1,23.1,135103.0,ITI
2002-12-06,25.1,27.5,24.5,25.450001,25.450001,935674.0,ITI
2002-12-09,26.0,26.0,22.0,22.75,22.75,470423.0,ITI
2002-12-10,21.6,23.6,21.6,23.049999,23.049999,146836.0,ITI
2002-12-11,23.65,24.25,22.9,23.299999,23.299999,132238.0,ITI
2002-12-12,23.700001,23.700001,22.200001,22.6,22.6,145517.0,ITI
2002-12-13,22.799999,23.25,22.700001,23.0,23.0,82383.0,ITI
2002-12-16,23.9,24.0,23.0,23.299999,23.299999,136934.0,ITI
2002-12-17,23.299999,23.549999,22.5,22.65,22.65,54843.0,ITI
2002-12-18,22.65,23.0,22.4,22.75,22.75,39056.0,ITI
2002-12-19,22.4,22.799999,22.35,22.5,22.5,55570.0,ITI
2002-12-20,23.450001,23.450001,22.5,22.65,22.65,40589.0,ITI
2002-12-23,23.15,23.15,22.1,22.4,22.4,28548.0,ITI
2002-12-24,22.0,22.549999,22.0,22.299999,22.299999,37934.0,ITI
2002-12-25,,,,,,,ITI
2002-12-26,22.549999,23.299999,22.549999,22.85,22.85,53440.0,ITI
2002-12-27,23.25,23.4,22.549999,22.700001,22.700001,69480.0,ITI
2002-12-30,22.4,22.4,21.6,22.0,22.0,49061.0,ITI
2002-12-31,22.15,22.5,21.450001,21.549999,21.549999,45509.0,ITI
2003-01-01,21.75,22.25,21.5,22.049999,22.049999,54660.0,ITI
2003-01-02,22.35,22.35,21.700001,21.799999,21.799999,52334.0,ITI
2003-01-03,22.299999,22.299999,21.200001,21.35,21.35,38169.0,ITI
2003-01-06,21.0,21.25,20.299999,20.5,20.5,35337.0,ITI
2003-01-07,21.200001,21.200001,20.200001,20.25,20.25,30903.0,ITI
2003-01-08,20.35,20.799999,20.299999,20.6,20.6,39345.0,ITI
2003-01-09,20.75,21.0,20.6,20.65,20.65,26454.0,ITI
2003-01-10,20.6,20.950001,20.049999,20.4,20.4,33094.0,ITI
2003-01-13,20.4,20.4,19.6,19.700001,19.700001,29450.0,ITI
2003-01-14,20.1,20.200001,19.5,19.799999,19.799999,22899.0,ITI
2003-01-15,19.5,19.9,19.25,19.549999,19.549999,20501.0,ITI
2003-01-16,19.35,20.0,19.35,19.700001,19.700001,22287.0,ITI
2003-01-17,19.85,20.75,19.85,20.0,20.0,62892.0,ITI
2003-01-20,19.700001,20.35,19.0,19.700001,19.700001,50397.0,ITI
2003-01-21,20.35,21.299999,19.9,20.1,20.1,72566.0,ITI
2003-01-22,20.5,20.5,19.6,19.700001,19.700001,34593.0,ITI
2003-01-23,19.9,20.0,19.0,19.4,19.4,54495.0,ITI
2003-01-24,19.35,19.5,17.9,18.15,18.15,73549.0,ITI
2003-01-27,19.5,19.5,18.0,18.25,18.25,66403.0,ITI
2003-01-28,18.549999,18.549999,17.299999,17.950001,17.950001,60071.0,ITI
2003-01-29,18.0,18.6,17.700001,17.950001,17.950001,55976.0,ITI
2003-01-30,18.4,18.65,18.049999,18.200001,18.200001,59372.0,ITI
2003-01-31,18.1,18.4,17.799999,17.9,17.9,37592.0,ITI
2003-02-03,17.799999,18.15,17.6,17.9,17.9,33895.0,ITI
2003-02-04,19.6,19.6,17.9,18.1,18.1,68177.0,ITI
2003-02-05,18.9,19.700001,18.299999,19.0,19.0,177152.0,ITI
