date,open,high,low,close,adj_close,volume,symbol
2002-07-01,2.94,3.09,2.85,2.91,1.509277,391510.0,KAJARIACER
2002-07-02,2.88,3.0,2.74,2.805,1.454818,316930.0,KAJARIACER
2002-07-03,2.815,2.89,2.71,2.725,1.413326,392930.0,KAJARIACER
2002-07-04,2.72,2.76,2.57,2.595,1.345901,463760.0,KAJARIACER
2002-07-05,2.665,2.97,2.625,2.815,1.460005,1322020.0,KAJARIACER
2002-07-08,2.895,2.895,2.57,2.76,1.4314790000000002,241470.0,KAJARIACER
2002-07-09,2.98,2.98,2.71,2.745,1.423699,390040.0,KAJARIACER
2002-07-10,2.8,2.81,2.67,2.7,1.40036,350680.0,KAJARIACER
2002-07-11,2.6,2.71,2.6,2.68,1.389987,139080.0,KAJARIACER
2002-07-12,2.685,2.9,2.655,2.75,1.426293,200060.0,KAJARIACER
2002-07-15,2.71,2.76,2.6,2.605,1.3510879999999998,70170.0,KAJARIACER
2002-07-16,2.2,2.6,2.2,2.545,1.319969,69770.0,KAJARIACER
2002-07-17,2.4,2.45,2.28,2.335,1.211052,131750.0,KAJARIACER
2002-07-18,1.915,2.42,1.915,2.375,1.231798,45770.0,KAJARIACER
2002-07-19,2.35,2.45,2.35,2.385,1.236985,100070.0,KAJARIACER
2002-07-22,2.325,2.35,2.0,2.21,1.146221,28270.0,KAJARIACER
2002-07-23,1.825,2.3,1.825,2.2,1.141034,32550.0,KAJARIACER
2002-07-24,1.85,2.275,1.85,2.14,1.109915,113170.0,KAJARIACER
2002-07-25,1.855,2.28,1.855,2.175,1.128068,45890.0,KAJARIACER
2002-07-26,1.78,2.19,1.78,2.065,1.071016,55400.0,KAJARIACER
2002-07-29,1.69,2.05,1.69,2.035,1.055456,17520.0,KAJARIACER
2002-07-30,1.665,2.15,1.665,2.05,1.063236,55390.0,KAJARIACER
2002-07-31,1.7,2.04,1.7,1.945,1.0087780000000002,66160.0,KAJARIACER
2002-08-01,1.59,2.03,1.59,2.0,1.037304,128790.0,KAJARIACER
2002-08-02,1.805,2.0,1.805,1.96,1.016558,49480.0,KAJARIACER
2002-08-05,1.84,2.13,1.84,2.12,1.099542,79460.0,KAJARIACER
2002-08-06,1.85,2.085,1.755,2.08,1.0787959999999999,168520.0,KAJARIACER
2002-08-07,2.49,2.49,1.92,2.03,1.0528629999999999,127890.0,KAJARIACER
2002-08-08,2.02,2.05,1.97,1.98,1.026931,188000.0,KAJARIACER
2002-08-09,1.815,2.0,1.815,1.99,1.032117,35340.0,KAJARIACER
2002-08-12,2.045,2.09,2.0,2.09,1.083982,30940.0,KAJARIACER
2002-08-13,2.495,2.495,2.01,2.01,1.04249,778850.0,KAJARIACER
2002-08-14,2.07,2.07,2.03,2.05,1.063236,6500.0,KAJARIACER
2002-08-15,,,,,,,KAJARIACER
2002-08-16,1.82,2.1,1.82,2.06,1.068423,51300.0,KAJARIACER
2002-08-19,2.005,2.05,2.005,2.04,1.05805,7440.0,KAJARIACER
2002-08-20,2.045,2.13,2.045,2.08,1.0787959999999999,30120.0,KAJARIACER
2002-08-21,2.005,2.215,2.005,2.08,1.0787959999999999,22290.0,KAJARIACER
2002-08-22,2.075,2.27,2.075,2.11,1.094355,29040.0,KAJARIACER
2002-08-23,2.13,2.14,2.05,2.115,1.096949,28340.0,KAJARIACER
2002-08-26,2.02,2.15,2.02,2.14,1.109915,10010.0,KAJARIACER
2002-08-27,1.86,2.275,1.86,2.075,1.076203,35230.0,KAJARIACER
2002-08-28,2.13,2.13,2.03,2.03,1.0528629999999999,10140.0,KAJARIACER
2002-08-29,2.05,2.05,1.995,1.995,1.03471,10340.0,KAJARIACER
2002-08-30,2.0,2.05,1.96,2.0,1.037304,30500.0,KAJARIACER
2002-09-02,1.8,2.025,1.8,2.01,1.04249,29480.0,KAJARIACER
2002-09-03,1.645,2.065,1.645,1.98,1.026931,139800.0,KAJARIACER
2002-09-04,1.8,2.06,1.75,1.97,1.021744,4040.0,KAJARIACER
2002-09-05,1.93,2.035,1.93,2.01,1.04249,5260.0,KAJARIACER
2002-09-06,1.885,1.975,1.885,1.935,1.003591,31270.0,KAJARIACER
2002-09-09,1.74,2.0,1.74,1.93,1.000998,8080.0,KAJARIACER
2002-09-10,,,,,,,KAJARIACER
2002-09-11,1.825,2.0,1.825,1.975,1.024338,17040.0,KAJARIACER
2002-09-12,1.935,1.97,1.93,1.93,1.000998,14300.0,KAJARIACER
2002-09-13,1.73,1.96,1.73,1.91,0.990625,16700.0,KAJARIACER
2002-09-16,1.7,1.9,1.7,1.9,0.9854379999999999,60.0,KAJARIACER
2002-09-17,1.905,1.97,1.9,1.905,0.988032,43500.0,KAJARIACER
2002-09-18,1.74,1.9,1.74,1.88,0.975065,2020.0,KAJARIACER
2002-09-19,1.9,1.9,1.825,1.845,0.9569129999999999,14660.0,KAJARIACER
2002-09-20,1.87,1.87,1.825,1.83,0.949133,8960.0,KAJARIACER
2002-09-23,1.5,1.865,1.5,1.805,0.9361659999999999,115200.0,KAJARIACER
2002-09-24,1.6,1.8,1.6,1.795,0.9309799999999999,45910.0,KAJARIACER
2002-09-25,1.785,1.825,1.655,1.805,0.9361659999999999,45170.0,KAJARIACER
2002-09-26,1.77,1.82,1.77,1.81,0.93876,49870.0,KAJARIACER
2002-09-27,1.78,1.845,1.78,1.805,0.9361659999999999,40830.0,KAJARIACER
2002-09-30,1.65,1.82,1.65,1.79,0.9283870000000001,44030.0,KAJARIACER
2002-10-01,1.65,1.785,1.65,1.715,0.889488,85810.0,KAJARIACER
2002-10-02,,,,,,,KAJARIACER
2002-10-03,1.66,1.795,1.66,1.72,0.8920809999999999,37090.0,KAJARIACER
2002-10-04,1.705,1.77,1.705,1.735,0.899861,90490.0,KAJARIACER
2002-10-07,1.76,1.8,1.76,1.79,0.9283870000000001,88300.0,KAJARIACER
2002-10-08,1.76,1.805,1.755,1.8,0.933573,69420.0,KAJARIACER
2002-10-09,1.795,1.8,1.785,1.795,0.9309799999999999,63500.0,KAJARIACER
2002-10-10,1.8,1.8,1.78,1.79,0.9283870000000001,72180.0,KAJARIACER
2002-10-11,1.795,1.835,1.79,1.795,0.9309799999999999,47700.0,KAJARIACER
2002-10-14,2.155,2.155,1.675,1.87,0.969879,44640.0,KAJARIACER
2002-10-15,,,,,,,KAJARIACER
2002-10-16,1.94,1.94,1.855,1.865,0.9672860000000001,22050.0,KAJARIACER
2002-10-17,2.235,2.235,1.85,1.89,0.980252,5820.0,KAJARIACER
2002-10-18,1.89,1.89,1.85,1.85,0.959506,18110.0,KAJARIACER
2002-10-21,1.855,1.875,1.85,1.86,0.964692,15390.0,KAJARIACER
2002-10-22,1.705,1.87,1.705,1.83,0.949133,30870.0,KAJARIACER
2002-10-23,1.84,1.86,1.835,1.845,0.9569129999999999,25000.0,KAJARIACER
2002-10-24,1.84,1.84,1.83,1.835,0.9517260000000001,19020.0,KAJARIACER
2002-10-25,1.81,1.85,1.8,1.835,0.9517260000000001,31780.0,KAJARIACER
2002-10-28,1.7,1.79,1.7,1.775,0.920607,29640.0,KAJARIACER
2002-10-29,2.1,2.1,1.775,1.835,0.9517260000000001,26730.0,KAJARIACER
2002-10-30,1.845,1.845,1.845,1.845,0.9569129999999999,20000.0,KAJARIACER
2002-10-31,1.805,1.885,1.805,1.83,0.949133,24000.0,KAJARIACER
2002-11-01,1.71,1.845,1.71,1.84,0.954319,14240.0,KAJARIACER
2002-11-04,,,,,,,KAJARIACER
2002-11-05,1.81,1.88,1.81,1.825,0.9465399999999999,23210.0,KAJARIACER
2002-11-06,,,,,,,KAJARIACER
2002-11-07,1.835,1.835,1.835,1.835,0.9517260000000001,25000.0,KAJARIACER
2002-11-08,1.785,1.865,1.785,1.81,0.93876,32010.0,KAJARIACER
2002-11-11,1.785,1.83,1.785,1.805,0.9361659999999999,29000.0,KAJARIACER
2002-11-12,1.71,1.805,1.71,1.805,0.9361659999999999,20000.0,KAJARIACER
2002-11-13,1.82,1.84,1.815,1.825,0.9465399999999999,31510.0,KAJARIACER
2002-11-14,1.755,1.855,1.755,1.825,0.9465399999999999,56470.0,KAJARIACER
2002-11-15,1.785,1.85,1.785,1.825,0.9465399999999999,33060.0,KAJARIACER
2002-11-18,1.815,1.83,1.81,1.825,0.9465399999999999,23700.0,KAJARIACER
2002-11-19,,,,,,,KAJARIACER
2002-11-20,1.84,1.85,1.82,1.84,0.954319,27000.0,KAJARIACER
2002-11-21,1.78,1.85,1.78,1.85,0.959506,24140.0,KAJARIACER
2002-11-22,1.85,1.89,1.835,1.845,0.9569129999999999,20480.0,KAJARIACER
2002-11-25,1.825,1.85,1.82,1.845,0.9569129999999999,34880.0,KAJARIACER
2002-11-26,1.88,1.88,1.85,1.86,0.964692,27930.0,KAJARIACER
2002-11-27,1.83,1.865,1.83,1.865,0.9672860000000001,8030.0,KAJARIACER
2002-11-28,1.76,1.825,1.76,1.825,0.9465399999999999,21770.0,KAJARIACER
2002-11-29,1.81,1.865,1.81,1.845,0.9569129999999999,40480.0,KAJARIACER
2002-12-02,1.9,1.95,1.84,1.91,0.990625,129440.0,KAJARIACER
2002-12-03,1.915,2.2,1.9,1.97,1.021744,376830.0,KAJARIACER
2002-12-04,1.94,1.96,1.935,1.955,1.0139639999999999,63370.0,KAJARIACER
2002-12-05,1.97,2.0,1.96,1.96,1.016558,67450.0,KAJARIACER
2002-12-06,1.995,2.0,1.96,1.98,1.026931,17240.0,KAJARIACER
2002-12-09,1.955,2.02,1.95,1.95,1.011371,34350.0,KAJARIACER
2002-12-10,1.905,1.96,1.905,1.95,1.011371,39500.0,KAJARIACER
2002-12-11,1.915,1.955,1.915,1.92,0.995812,31000.0,KAJARIACER
2002-12-12,1.99,1.99,1.92,1.93,1.000998,38010.0,KAJARIACER
2002-12-13,1.9,1.985,1.9,1.93,1.000998,64090.0,KAJARIACER
