date,open,high,low,close,adj_close,volume,symbol
2002-06-26,69.5,69.5,66.849998,67.300003,61.949909,14936.0,STAR
2002-06-27,,,,,,,STAR
2002-06-28,,,,,,,STAR
2002-07-01,,,,,,,STAR
2002-07-02,,,,,,,STAR
2002-07-03,,,,,,,STAR
2002-07-04,,,,,,,STAR
2002-07-05,,,,,,,STAR
2002-07-08,,,,,,,STAR
2002-07-09,,,,,,,STAR
2002-07-10,,,,,,,STAR
2002-07-11,,,,,,,STAR
2002-07-12,,,,,,,STAR
2002-07-15,,,,,,,STAR
2002-07-16,,,,,,,STAR
2002-07-17,,,,,,,STAR
2002-07-18,,,,,,,STAR
2002-07-19,,,,,,,STAR
2002-07-22,,,,,,,STAR
2002-07-23,,,,,,,STAR
2002-07-24,,,,,,,STAR
2002-07-25,,,,,,,STAR
2002-07-26,,,,,,,STAR
2002-07-29,,,,,,,STAR
2002-07-30,,,,,,,STAR
2002-07-31,,,,,,,STAR
2002-08-01,,,,,,,STAR
2002-08-02,,,,,,,STAR
2002-08-05,,,,,,,STAR
2002-08-06,,,,,,,STAR
2002-08-07,,,,,,,STAR
2002-08-08,,,,,,,STAR
2002-08-09,,,,,,,STAR
2002-08-12,,,,,,,STAR
2002-08-13,,,,,,,STAR
2002-08-14,,,,,,,STAR
2002-08-15,,,,,,,STAR
2002-08-16,,,,,,,STAR
2002-08-19,,,,,,,STAR
2002-08-20,,,,,,,STAR
2002-08-21,,,,,,,STAR
2002-08-22,,,,,,,STAR
2002-08-23,,,,,,,STAR
2002-08-26,,,,,,,STAR
2002-08-27,,,,,,,STAR
2002-08-28,,,,,,,STAR
2002-08-29,,,,,,,STAR
2002-08-30,,,,,,,STAR
2002-09-02,,,,,,,STAR
2002-09-03,,,,,,,STAR
2002-09-04,,,,,,,STAR
2002-09-05,,,,,,,STAR
2002-09-06,,,,,,,STAR
2002-09-09,,,,,,,STAR
2002-09-10,,,,,,,STAR
2002-09-11,,,,,,,STAR
2002-09-12,,,,,,,STAR
2002-09-13,,,,,,,STAR
2002-09-16,,,,,,,STAR
2002-09-17,,,,,,,STAR
2002-09-18,,,,,,,STAR
2002-09-19,,,,,,,STAR
2002-09-20,,,,,,,STAR
2002-09-23,,,,,,,STAR
2002-09-24,,,,,,,STAR
2002-09-25,,,,,,,STAR
2002-09-26,,,,,,,STAR
2002-09-27,,,,,,,STAR
2002-09-30,,,,,,,STAR
2002-10-01,,,,,,,STAR
2002-10-02,,,,,,,STAR
2002-10-03,,,,,,,STAR
2002-10-04,,,,,,,STAR
2002-10-07,,,,,,,STAR
2002-10-08,,,,,,,STAR
2002-10-09,,,,,,,STAR
2002-10-10,,,,,,,STAR
2002-10-11,,,,,,,STAR
2002-10-14,,,,,,,STAR
2002-10-15,,,,,,,STAR
2002-10-16,,,,,,,STAR
2002-10-17,,,,,,,STAR
2002-10-18,,,,,,,STAR
2002-10-21,,,,,,,STAR
2002-10-22,,,,,,,STAR
2002-10-23,,,,,,,STAR
2002-10-24,,,,,,,STAR
2002-10-25,,,,,,,STAR
2002-10-28,,,,,,,STAR
2002-10-29,,,,,,,STAR
2002-10-30,,,,,,,STAR
2002-10-31,,,,,,,STAR
2002-11-01,,,,,,,STAR
2002-11-04,,,,,,,STAR
2002-11-05,,,,,,,STAR
2002-11-06,,,,,,,STAR
2002-11-07,,,,,,,STAR
2002-11-08,,,,,,,STAR
2002-11-11,,,,,,,STAR
2002-11-12,,,,,,,STAR
2002-11-13,,,,,,,STAR
2002-11-14,,,,,,,STAR
2002-11-15,,,,,,,STAR
2002-11-18,,,,,,,STAR
2002-11-19,,,,,,,STAR
2002-11-20,,,,,,,STAR
2002-11-21,,,,,,,STAR
2002-11-22,,,,,,,STAR
2002-11-25,,,,,,,STAR
2002-11-26,,,,,,,STAR
2002-11-27,,,,,,,STAR
2002-11-28,,,,,,,STAR
2002-11-29,,,,,,,STAR
2002-12-02,,,,,,,STAR
2002-12-03,,,,,,,STAR
2002-12-04,,,,,,,STAR
2002-12-05,,,,,,,STAR
2002-12-06,,,,,,,STAR
2002-12-09,,,,,,,STAR
2002-12-10,,,,,,,STAR
2002-12-11,,,,,,,STAR
2002-12-12,,,,,,,STAR
2002-12-13,,,,,,,STAR
2002-12-16,,,,,,,STAR
2002-12-17,,,,,,,STAR
2002-12-18,,,,,,,STAR
2002-12-19,,,,,,,STAR
2002-12-20,,,,,,,STAR
2002-12-23,,,,,,,STAR
2002-12-24,,,,,,,STAR
2002-12-25,,,,,,,STAR
2002-12-26,,,,,,,STAR
2002-12-27,,,,,,,STAR
2002-12-30,,,,,,,STAR
2002-12-31,,,,,,,STAR
2003-01-01,,,,,,,STAR
2003-01-02,,,,,,,STAR
2003-01-03,,,,,,,STAR
2003-01-06,,,,,,,STAR
2003-01-07,,,,,,,STAR
2003-01-08,,,,,,,STAR
2003-01-09,,,,,,,STAR
2003-01-10,,,,,,,STAR
2003-01-13,,,,,,,STAR
2003-01-14,,,,,,,STAR
2003-01-15,,,,,,,STAR
2003-01-16,,,,,,,STAR
2003-01-17,,,,,,,STAR
2003-01-20,,,,,,,STAR
2003-01-21,,,,,,,STAR
2003-01-22,,,,,,,STAR
2003-01-23,,,,,,,STAR
2003-01-24,,,,,,,STAR
2003-01-27,,,,,,,STAR
2003-01-28,,,,,,,STAR
2003-01-29,,,,,,,STAR
2003-01-30,,,,,,,STAR
2003-01-31,,,,,,,STAR
2003-02-03,,,,,,,STAR
2003-02-04,,,,,,,STAR
2003-02-05,,,,,,,STAR
2003-02-06,,,,,,,STAR
2003-02-07,,,,,,,STAR
2003-02-10,,,,,,,STAR
2003-02-11,,,,,,,STAR
2003-02-12,,,,,,,STAR
2003-02-13,,,,,,,STAR
2003-02-14,,,,,,,STAR
2003-02-17,,,,,,,STAR
2003-02-18,,,,,,,STAR
2003-02-19,,,,,,,STAR
2003-02-20,,,,,,,STAR
2003-02-21,,,,,,,STAR
