date,open,high,low,close,adj_close,volume,symbol
2019-12-12,58.75,62.799999,53.049999,55.950001,55.950001,251414527,UJJIVANSFB
2019-12-13,55.400002,55.400002,51.099998,52.0,52.0,40886357,UJJIVANSFB
2019-12-16,52.0,59.650002,51.25,58.450001,58.450001,75723164,UJJIVANSFB
2019-12-17,60.349998,61.099998,57.5,58.650002,58.650002,59177594,UJJIVANSFB
2019-12-18,58.549999,58.900002,56.75,57.799999,57.799999,16440516,UJJIVANSFB
2019-12-19,57.099998,59.400002,56.650002,59.099998,59.099998,16846660,UJJIVANSFB
2019-12-20,58.799999,59.700001,57.599998,58.099998,58.099998,9016461,UJJIVANSFB
2019-12-23,57.75,58.599998,56.200001,56.400002,56.400002,6044590,UJJIVANSFB
2019-12-24,56.5,56.950001,55.299999,55.549999,55.549999,5209932,UJJIVANSFB
2019-12-26,55.549999,55.900002,53.200001,53.599998,53.599998,6485440,UJJIVANSFB
2019-12-27,53.900002,55.400002,53.150002,53.549999,53.549999,8207009,UJJIVANSFB
2019-12-30,53.400002,54.700001,53.299999,54.049999,54.049999,5161631,UJJIVANSFB
2019-12-31,54.0,54.799999,53.75,53.849998,53.849998,2608305,UJJIVANSFB
2020-01-01,53.849998,54.200001,52.900002,53.049999,53.049999,3369319,UJJIVANSFB
2020-01-02,53.299999,57.25,52.900002,55.599998,55.599998,10788226,UJJIVANSFB
2020-01-03,55.599998,56.200001,54.650002,54.900002,54.900002,3802527,UJJIVANSFB
2020-01-06,54.799999,54.799999,53.0,53.200001,53.200001,2878675,UJJIVANSFB
2020-01-07,53.5,54.299999,53.25,53.599998,53.599998,2223498,UJJIVANSFB
2020-01-08,52.700001,54.400002,52.099998,54.049999,54.049999,2992351,UJJIVANSFB
2020-01-09,55.0,55.0,52.900002,53.150002,53.150002,5424010,UJJIVANSFB
2020-01-10,53.299999,53.75,51.799999,52.200001,52.200001,4962166,UJJIVANSFB
2020-01-13,52.25,53.0,52.25,52.549999,52.549999,2490710,UJJIVANSFB
2020-01-14,52.849998,53.5,52.299999,52.549999,52.549999,2848871,UJJIVANSFB
2020-01-15,52.900002,52.900002,51.599998,51.700001,51.700001,4121422,UJJIVANSFB
2020-01-16,51.950001,52.950001,51.200001,51.5,51.5,3698950,UJJIVANSFB
2020-01-17,51.700001,51.900002,50.299999,50.400002,50.400002,4884518,UJJIVANSFB
2020-01-20,50.75,50.799999,48.599998,49.049999,49.049999,4565526,UJJIVANSFB
2020-01-21,49.25,50.599998,48.349998,49.950001,49.950001,4427125,UJJIVANSFB
2020-01-22,50.799999,52.900002,49.75,51.349998,51.349998,7374048,UJJIVANSFB
2020-01-23,52.0,54.200001,52.0,53.599998,53.599998,14228890,UJJIVANSFB
2020-01-24,54.0,55.299999,53.700001,54.799999,54.799999,6737755,UJJIVANSFB
2020-01-27,55.0,55.950001,54.0,54.599998,54.599998,4975971,UJJIVANSFB
2020-01-28,54.599998,56.25,54.5,55.049999,55.049999,5831800,UJJIVANSFB
2020-01-29,55.5,55.75,54.799999,54.900002,54.900002,2661337,UJJIVANSFB
2020-01-30,54.900002,56.0,53.849998,55.450001,55.450001,3154683,UJJIVANSFB
2020-01-31,56.099998,56.400002,55.549999,55.799999,55.799999,3129732,UJJIVANSFB
2020-02-03,53.5,54.25,53.0,53.25,53.25,1987363,UJJIVANSFB
2020-02-04,53.900002,54.5,53.400002,54.049999,54.049999,2223160,UJJIVANSFB
2020-02-05,53.700001,57.799999,53.599998,56.25,56.25,6277829,UJJIVANSFB
2020-02-06,56.200001,58.200001,55.799999,56.75,56.75,4033152,UJJIVANSFB
2020-02-07,56.849998,56.900002,55.75,55.950001,55.950001,1442427,UJJIVANSFB
2020-02-10,55.799999,55.950001,54.5,54.950001,54.950001,1347813,UJJIVANSFB
2020-02-11,55.099998,55.950001,54.099998,54.950001,54.950001,2048203,UJJIVANSFB
2020-02-12,55.0,55.299999,54.099998,54.299999,54.299999,1554938,UJJIVANSFB
2020-02-13,54.049999,55.150002,53.599998,54.700001,54.700001,1947090,UJJIVANSFB
2020-02-14,55.0,55.5,54.099998,54.5,54.5,1393438,UJJIVANSFB
2020-02-17,54.0,54.450001,53.200001,53.5,53.5,1305086,UJJIVANSFB
2020-02-18,53.049999,53.5,52.200001,52.799999,52.799999,1124779,UJJIVANSFB
2020-02-19,53.0,53.900002,52.900002,53.049999,53.049999,2178575,UJJIVANSFB
2020-02-20,52.799999,53.599998,52.450001,53.25,53.25,1351336,UJJIVANSFB
2020-02-24,53.0,53.200001,51.5,51.650002,51.650002,1453779,UJJIVANSFB
2020-02-25,51.650002,52.150002,50.849998,51.150002,51.150002,1422367,UJJIVANSFB
2020-02-26,51.0,51.25,49.150002,49.849998,49.849998,2892356,UJJIVANSFB
2020-02-27,50.0,50.0,48.650002,49.549999,49.549999,1753310,UJJIVANSFB
2020-02-28,48.0,48.799999,47.0,48.400002,48.400002,2657101,UJJIVANSFB
2020-03-02,50.5,50.900002,48.25,48.700001,48.700001,2200495,UJJIVANSFB
2020-03-03,48.700001,49.700001,48.0,48.799999,48.799999,1485021,UJJIVANSFB
2020-03-04,48.75,50.0,46.5,49.099998,49.099998,2324931,UJJIVANSFB
2020-03-05,49.5,50.200001,48.5,49.849998,49.849998,1102893,UJJIVANSFB
2020-03-06,46.0,47.0,39.900002,44.400002,44.400002,3685026,UJJIVANSFB
2020-03-09,42.0,42.849998,40.099998,40.799999,40.799999,2999073,UJJIVANSFB
2020-03-11,41.0,42.75,40.5,41.299999,41.299999,1915840,UJJIVANSFB
2020-03-12,37.0,39.700001,37.0,38.700001,38.700001,3275828,UJJIVANSFB
2020-03-13,32.5,43.0,31.0,41.299999,41.299999,4106623,UJJIVANSFB
2020-03-16,39.799999,41.849998,38.099998,39.5,39.5,2766265,UJJIVANSFB
2020-03-17,39.5,40.5,36.049999,36.849998,36.849998,2678737,UJJIVANSFB
2020-03-18,37.5,38.450001,31.549999,31.950001,31.950001,4902990,UJJIVANSFB
2020-03-19,30.5,31.299999,28.700001,30.049999,30.049999,2967208,UJJIVANSFB
2020-03-20,30.700001,31.200001,29.0,29.4,29.4,3789663,UJJIVANSFB
2020-03-23,27.0,28.65,25.0,25.4,25.4,2705682,UJJIVANSFB
2020-03-24,26.0,27.4,23.6,24.1,24.1,1780301,UJJIVANSFB
2020-03-25,23.6,25.0,23.1,24.35,24.35,1513021,UJJIVANSFB
2020-03-26,24.450001,26.75,24.450001,26.75,26.75,2052369,UJJIVANSFB
2020-03-27,29.4,29.4,27.700001,28.75,28.75,3251037,UJJIVANSFB
2020-03-30,26.75,27.65,25.9,27.200001,27.200001,904089,UJJIVANSFB
2020-03-31,27.299999,28.5,26.75,27.299999,27.299999,3597692,UJJIVANSFB
2020-04-01,27.299999,28.299999,26.5,27.450001,27.450001,795708,UJJIVANSFB
2020-04-03,27.6,28.85,25.1,27.6,27.6,2753391,UJJIVANSFB
2020-04-07,29.0,29.1,27.6,28.4,28.4,963772,UJJIVANSFB
2020-04-08,28.15,29.450001,27.049999,28.4,28.4,953425,UJJIVANSFB
2020-04-09,28.799999,29.35,28.299999,28.9,28.9,1370582,UJJIVANSFB
2020-04-13,29.5,29.700001,28.0,28.549999,28.549999,1084086,UJJIVANSFB
2020-04-15,28.0,28.950001,27.9,28.049999,28.049999,1122894,UJJIVANSFB
2020-04-16,27.950001,28.85,27.5,28.6,28.6,891463,UJJIVANSFB
2020-04-17,29.950001,31.450001,29.200001,30.950001,30.950001,2718954,UJJIVANSFB
2020-04-20,33.5,34.0,31.0,33.549999,33.549999,3970218,UJJIVANSFB
2020-04-21,32.700001,32.700001,30.200001,30.9,30.9,1580430,UJJIVANSFB
2020-04-22,30.0,30.799999,29.25,29.950001,29.950001,1501763,UJJIVANSFB
2020-04-23,30.65,30.9,30.0,30.5,30.5,1620668,UJJIVANSFB
2020-04-24,30.200001,30.200001,28.85,29.0,29.0,1538374,UJJIVANSFB
2020-04-27,29.0,29.700001,28.0,28.1,28.1,2132504,UJJIVANSFB
2020-04-28,28.700001,29.0,28.0,28.9,28.9,1122272,UJJIVANSFB
2020-04-29,29.200001,30.0,28.799999,29.049999,29.049999,1893489,UJJIVANSFB
2020-04-30,29.5,29.799999,29.049999,29.35,29.35,1381536,UJJIVANSFB
2020-05-04,28.049999,28.450001,27.15,27.450001,27.450001,1922369,UJJIVANSFB
2020-05-05,27.75,28.15,26.35,26.5,26.5,1964439,UJJIVANSFB
2020-05-06,26.6,27.049999,26.0,26.9,26.9,1018167,UJJIVANSFB
2020-05-07,26.9,27.4,26.4,26.799999,26.799999,613104,UJJIVANSFB
2020-05-08,27.0,27.799999,26.5,26.65,26.65,611333,UJJIVANSFB
2020-05-11,26.950001,26.950001,26.299999,26.549999,26.549999,633304,UJJIVANSFB
2020-05-12,26.5,26.549999,25.9,26.35,26.35,664740,UJJIVANSFB
2020-05-13,28.9,28.9,27.25,27.950001,27.950001,1716302,UJJIVANSFB
2020-05-14,28.5,28.6,27.450001,27.700001,27.700001,1198916,UJJIVANSFB
2020-05-15,28.299999,28.299999,26.1,27.299999,27.299999,529495,UJJIVANSFB
2020-05-18,27.299999,27.5,25.6,26.15,26.15,919240,UJJIVANSFB
2020-05-19,26.299999,27.0,26.200001,26.549999,26.549999,668800,UJJIVANSFB
2020-05-20,28.0,28.25,27.15,27.549999,27.549999,2286542,UJJIVANSFB
2020-05-21,27.549999,27.799999,26.799999,26.9,26.9,693326,UJJIVANSFB
2020-05-22,27.049999,27.4,26.299999,26.65,26.65,1210205,UJJIVANSFB
2020-05-26,26.950001,26.950001,26.049999,26.25,26.25,733913,UJJIVANSFB
2020-05-27,26.35,26.549999,26.1,26.450001,26.450001,710391,UJJIVANSFB
2020-05-28,26.950001,28.0,26.75,27.1,27.1,1550527,UJJIVANSFB
2020-05-29,27.1,27.1,26.299999,26.85,26.85,761551,UJJIVANSFB
2020-06-01,27.5,27.9,27.1,27.5,27.5,1170549,UJJIVANSFB
