date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2007-11-27,EQ,770.00,"1,050.00",770.00,440.00,959.00,962.90,984.72,"1,050.00",770.0,27294366,"26,877,190,537.85",
2007-11-28,EQ,984.00,990.00,874.00,962.90,885.00,893.90,941.38,"1,050.00",770.0,4581338,"4,312,765,301.65",
2007-11-29,EQ,909.00,914.75,841.00,893.90,887.00,884.20,888.09,"1,050.00",770.0,5124121,"4,550,658,462.65",
2007-11-30,EQ,890.00,958.00,890.00,884.20,929.00,921.55,929.17,"1,050.00",770.0,4609762,"4,283,256,628.30",
2007-12-03,EQ,939.75,995.00,922.00,921.55,980.00,969.30,965.65,"1,050.00",770.0,2977470,"2,875,199,743.00",
2007-12-04,EQ,985.00,"1,056.00",976.00,969.30,"1,049.00","1,041.45","1,015.39","1,056.00",770.0,4849250,"4,923,867,360.75",
2007-12-05,EQ,"1,061.00","1,099.50","1,050.00","1,041.45","1,084.00","1,082.45","1,082.79","1,099.50",770.0,2848209,"3,084,009,730.15",
2007-12-06,EQ,"1,089.00","1,109.70","1,051.00","1,082.45","1,090.10","1,081.30","1,087.03","1,109.70",770.0,1749516,"1,901,771,140.20",
2007-12-07,EQ,"1,100.00","1,134.00","1,078.00","1,081.30","1,100.00","1,102.40","1,106.57","1,134.00",770.0,2247904,"2,487,465,307.10",
2007-12-10,EQ,"1,110.00","1,110.00","1,061.10","1,102.40","1,073.55","1,075.40","1,080.38","1,134.00",770.0,1012350,"1,093,726,793.60",
2007-12-11,EQ,"1,081.00","1,089.00","1,041.00","1,075.40","1,046.00","1,047.65","1,067.80","1,134.00",770.0,810464,"865,415,564.60",
2007-12-12,EQ,"1,032.00","1,065.00","1,016.00","1,047.65","1,036.90","1,036.80","1,043.92","1,134.00",770.0,744799,"777,513,691.65",
2007-12-13,EQ,"1,040.00","1,150.00","1,030.25","1,036.80","1,131.15","1,129.95","1,109.09","1,150.00",770.0,3067687,"3,402,339,075.20",
2007-12-14,EQ,"1,139.90","1,140.00","1,101.10","1,129.95","1,107.00","1,110.50","1,119.55","1,150.00",770.0,1070737,"1,198,746,277.65",
2007-12-17,EQ,"1,140.00","1,168.00","1,021.50","1,110.50","1,052.00","1,044.25","1,102.42","1,168.00",770.0,1404955,"1,548,847,677.15",
2007-12-18,EQ,"1,045.00","1,109.90","1,031.55","1,044.25","1,085.00","1,074.95","1,077.84","1,168.00",770.0,1226984,"1,322,495,133.10",
2007-12-19,EQ,"1,091.00","1,116.00","1,046.30","1,074.95","1,078.00","1,066.90","1,082.93","1,168.00",770.0,845666,"915,797,576.45",
2007-12-20,EQ,"1,083.50","1,083.50","1,051.00","1,066.90","1,067.00","1,060.20","1,065.52","1,168.00",770.0,623288,"664,127,061.10",
2007-12-24,EQ,"1,095.00","1,192.00","1,085.25","1,060.20","1,160.00","1,156.80","1,160.77","1,192.00",770.0,2060892,"2,392,213,613.10",
2007-12-26,EQ,"1,175.00","1,214.00","1,148.00","1,156.80","1,212.00","1,199.90","1,183.30","1,214.00",770.0,1467031,"1,735,938,565.40",
2007-12-27,EQ,"1,215.00","1,240.00","1,204.00","1,199.90","1,209.00","1,211.65","1,222.58","1,240.00",770.0,977495,"1,195,064,659.45",
2007-12-28,EQ,"1,189.40","1,274.00","1,175.00","1,211.65","1,270.00","1,249.10","1,221.31","1,274.00",770.0,1164138,"1,421,772,805.40",
2007-12-31,EQ,"1,263.35","1,295.00","1,261.00","1,249.10","1,268.00","1,268.80","1,277.64","1,295.00",770.0,737249,"941,942,138.15",
2008-01-01,EQ,"1,279.00","1,319.00","1,263.70","1,268.80","1,308.00","1,296.85","1,285.72","1,319.00",770.0,491348,"631,734,621.00",
2008-01-02,EQ,"1,310.25","1,324.00","1,270.00","1,296.85","1,300.15","1,307.45","1,302.15","1,324.00",770.0,703815,"916,473,404.25",
2008-01-03,EQ,"1,305.00","1,314.70","1,261.15","1,307.45","1,267.15","1,275.80","1,289.24","1,324.00",770.0,505058,"651,142,500.75",
2008-01-04,EQ,"1,278.80","1,294.80","1,233.00","1,275.80","1,239.90","1,240.35","1,256.03","1,324.00",770.0,550795,"691,816,743.40",
2008-01-07,EQ,"1,240.00","1,278.90","1,215.00","1,240.35","1,233.00","1,227.25","1,244.76","1,324.00",770.0,630963,"785,397,699.75",
2008-01-08,EQ,"1,240.00","1,255.00","1,185.00","1,227.25","1,202.00","1,204.80","1,217.08","1,324.00",770.0,530499,"645,659,512.70",
2008-01-09,EQ,"1,200.00","1,210.00","1,151.00","1,204.80","1,181.00","1,180.25","1,176.37","1,324.00",770.0,627507,"738,183,133.30",
2008-01-10,EQ,"1,185.00","1,199.80","1,110.00","1,180.25","1,118.00","1,121.55","1,156.44","1,324.00",770.0,438806,"507,452,465.90",
2008-01-11,EQ,"1,128.00","1,130.00","1,063.00","1,121.55","1,096.00","1,085.85","1,087.78","1,324.00",770.0,616938,"671,092,720.25",
2008-01-14,EQ,"1,082.40","1,082.40","1,031.10","1,085.85","1,035.00","1,035.15","1,042.40","1,324.00",770.0,835916,"871,357,107.55",
2008-01-15,EQ,"1,045.60","1,078.70","1,036.05","1,035.15","1,057.00","1,049.55","1,050.69","1,324.00",770.0,830493,"872,593,371.10",
2008-01-16,EQ,"1,046.00","1,064.00","1,000.00","1,049.55","1,038.30","1,030.40","1,032.86","1,324.00",770.0,816188,"843,006,096.85",
2008-01-17,EQ,"1,050.00","1,053.50","1,011.00","1,030.40","1,014.95","1,020.90","1,033.73","1,324.00",770.0,336003,"347,334,909.00",
2008-01-18,EQ,"1,010.00","1,072.00",974.90,"1,020.90",995.00,994.60,"1,022.57","1,324.00",770.0,676854,"692,132,809.15",
2008-01-21,EQ,995.00,"1,005.00",795.70,994.60,853.00,825.05,880.77,"1,324.00",770.0,788623,"694,598,998.55",
2008-01-22,EQ,700.00,810.00,660.05,825.05,739.00,735.55,703.20,"1,324.00",660.05,546161,"384,061,137.05",
2008-01-23,EQ,760.00,881.90,760.00,735.55,862.20,857.00,818.67,"1,324.00",660.05,535462,"438,365,269.80",
2008-01-24,EQ,875.00,935.00,812.00,857.00,814.70,814.15,854.83,"1,324.00",660.05,511017,"436,833,194.25",
2008-01-25,EQ,820.00,883.00,820.00,814.15,866.00,865.70,858.33,"1,324.00",660.05,404045,"346,803,338.60",
2008-01-28,EQ,835.00,835.00,783.20,865.70,822.00,820.80,804.38,"1,324.00",660.05,467052,"375,685,523.80",
2008-01-29,EQ,840.00,860.00,820.05,820.80,840.00,840.75,841.27,"1,324.00",660.05,220070,"185,138,233.45",
2008-01-30,EQ,849.80,864.00,822.25,840.75,834.00,830.45,833.82,"1,324.00",660.05,286190,"238,631,106.60",
2008-01-31,EQ,831.00,849.90,812.55,830.45,836.60,837.65,833.58,"1,324.00",660.05,194300,"161,965,558.95",
2008-02-01,EQ,831.65,852.30,820.00,837.65,826.00,825.35,828.09,"1,324.00",660.05,204391,"169,254,518.05",
