date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,370.0,390.0,370.0,361.2,385.0,381.65,380.54,443.0,196.0,3318,"1,262,617.25",
2000-01-04,EQ,380.0,392.0,375.0,381.65,390.0,385.55,383.5,443.0,196.0,4818,"1,847,698.65",
2000-01-05,EQ,371.5,390.0,371.5,385.55,383.0,383.0,379.81,443.0,196.0,2628,"998,138.45",
2000-01-06,EQ,384.9,384.9,374.5,383.0,375.1,377.5,379.88,443.0,196.0,3354,"1,274,114.40",
2000-01-07,EQ,376.0,390.0,370.0,377.5,389.0,385.7,383.38,443.0,196.0,9589,"3,676,274.70",
2000-01-10,EQ,415.0,416.6,409.0,385.7,416.6,415.0,414.97,443.0,196.0,60313,"25,028,230.25",
2000-01-11,EQ,415.0,423.0,409.0,415.0,417.0,415.2,412.51,443.0,196.0,65570,"27,048,023.90",
2000-01-12,EQ,420.0,448.45,410.05,415.2,418.55,417.65,421.46,443.0,196.0,24854,"10,475,007.85",
2000-01-13,EQ,423.0,429.9,413.05,417.65,417.1,418.7,422.4,448.45,196.0,9169,"3,873,006.40",
2000-01-14,EQ,410.0,414.9,408.0,418.7,410.6,410.0,410.05,448.45,196.0,64603,"26,490,213.00",
2000-01-17,EQ,420.0,421.0,401.0,410.0,415.0,411.35,413.72,448.45,196.0,7537,"3,118,195.30",
2000-01-18,EQ,410.0,419.0,410.0,411.35,416.0,414.05,413.76,448.45,196.0,7656,"3,167,759.85",
2000-01-19,EQ,425.0,430.0,417.5,414.05,418.0,419.35,421.93,448.45,196.0,28800,"12,151,493.45",
2000-01-20,EQ,425.0,428.9,412.0,419.35,422.0,420.55,418.78,448.45,196.0,54282,"22,732,143.10",
2000-01-21,EQ,422.0,445.0,421.25,420.55,425.9,425.85,429.77,448.45,196.0,48388,"20,795,493.05",
2000-01-24,EQ,434.0,459.95,434.0,425.85,459.95,458.4,457.7,448.45,196.0,55504,"25,404,417.45",
2000-01-25,EQ,470.0,495.05,467.0,458.4,495.05,494.7,484.0,459.95,196.0,45422,"21,984,465.95",
2000-01-27,EQ,530.0,530.0,460.0,494.7,477.0,472.95,477.35,495.05,196.0,33156,"15,827,090.10",
2000-01-28,EQ,470.0,483.0,465.0,472.95,481.0,480.65,479.59,530.0,196.0,48664,"23,338,713.80",
2000-01-31,EQ,499.0,499.0,460.0,480.65,460.5,460.5,461.12,530.0,196.0,35334,"16,293,279.20",
2000-02-01,EQ,462.0,468.0,459.0,460.5,460.05,460.3,460.67,530.0,196.0,29884,"13,766,683.55",
2000-02-02,EQ,475.0,475.0,459.0,460.3,460.0,460.1,461.38,530.0,196.0,14142,"6,524,811.55",
2000-02-03,EQ,462.0,463.0,455.0,460.1,455.0,456.1,459.08,530.0,196.0,24627,"11,305,818.25",
2000-02-04,EQ,460.0,465.0,455.0,456.1,455.0,456.7,458.31,530.0,196.0,71643,"32,834,349.40",
2000-02-07,EQ,460.0,460.0,440.0,456.7,455.0,453.65,450.96,530.0,196.0,6906,"3,114,296.60",
2000-02-08,EQ,440.0,481.0,440.0,453.65,463.0,459.85,450.21,530.0,196.0,53864,"24,250,170.50",
2000-02-09,EQ,469.0,469.0,447.5,459.85,455.5,457.15,455.68,530.0,196.0,2794,"1,273,177.55",
2000-02-10,EQ,460.0,460.0,440.0,457.15,440.0,440.9,449.09,530.0,196.0,13668,"6,138,134.65",
2000-02-11,EQ,437.0,450.0,431.5,440.9,450.0,443.35,440.32,530.0,196.0,5349,"2,355,258.95",
2000-02-14,EQ,440.0,450.0,414.9,443.35,435.0,431.75,434.8,530.0,196.0,3624,"1,575,724.60",
2000-02-15,EQ,445.0,445.0,400.1,431.75,415.95,416.65,411.27,530.0,196.0,8167,"3,358,814.05",
2000-02-16,EQ,427.0,427.0,390.0,416.65,390.0,399.1,403.8,530.0,196.0,5557,"2,243,894.25",
2000-02-17,EQ,375.0,408.0,375.0,399.1,394.0,392.6,391.61,530.0,196.0,17561,"6,877,135.60",
2000-02-18,EQ,409.0,410.0,391.0,392.6,409.95,402.45,399.25,530.0,196.0,7253,"2,895,758.95",
2000-02-21,EQ,402.0,410.0,395.25,402.45,401.5,402.75,400.96,530.0,196.0,6568,"2,633,496.75",
2000-02-22,EQ,401.0,404.0,400.0,402.75,401.8,400.45,400.21,530.0,196.0,8046,"3,220,091.60",
2000-02-23,EQ,396.0,410.0,395.0,400.45,410.0,406.85,400.31,530.0,196.0,2776,"1,111,253.00",
2000-02-24,EQ,400.0,405.0,398.0,406.85,400.5,400.5,400.6,530.0,196.0,1872,"749,917.50",
2000-02-25,EQ,392.0,404.8,380.0,400.5,380.0,392.95,396.51,530.0,196.0,1010,"400,474.50",
2000-02-28,EQ,375.0,402.5,375.0,392.95,402.5,400.45,395.93,530.0,196.0,2057,"814,418.50",
2000-02-29,EQ,395.0,402.5,369.0,400.45,375.0,376.4,389.4,530.0,196.0,2964,"1,154,174.30",
2000-03-01,EQ,397.0,400.0,364.0,376.4,400.0,399.7,391.29,530.0,196.0,1383,"541,154.75",
2000-03-02,EQ,400.0,412.0,388.1,399.7,388.25,390.0,396.12,530.0,196.0,3829,"1,516,744.65",
2000-03-03,EQ,370.0,421.2,370.0,390.0,415.0,404.8,387.12,530.0,196.0,10700,"4,142,151.50",
2000-03-06,EQ,400.0,408.0,390.0,404.8,395.0,398.05,396.98,530.0,196.0,5122,"2,033,323.40",
2000-03-07,EQ,385.3,390.0,375.0,398.05,376.15,376.55,379.93,530.0,196.0,3976,"1,510,591.85",
2000-03-08,EQ,388.0,400.0,380.0,376.55,400.0,399.95,398.43,530.0,196.0,22425,"8,934,753.75",
2000-03-09,EQ,409.9,431.0,391.0,399.95,410.3,423.5,410.0,530.0,196.0,8150,"3,341,495.15",
2000-03-10,EQ,419.0,419.0,392.25,423.5,402.0,402.2,402.11,530.0,196.0,2124,"854,083.15",
2000-03-13,EQ,400.0,405.0,396.0,402.2,400.0,399.95,399.97,530.0,196.0,74011,"29,602,364.60",
2000-03-14,EQ,394.05,415.0,391.0,399.95,400.0,400.15,400.59,530.0,196.0,21141,"8,468,867.90",
2000-03-15,EQ,400.0,419.95,400.0,400.15,410.0,407.45,411.31,530.0,196.0,3251,"1,337,159.90",
2000-03-16,EQ,415.0,415.0,405.0,407.45,408.5,410.0,409.91,530.0,196.0,58313,"23,903,322.00",
2000-03-21,EQ,407.0,425.0,407.0,410.0,425.0,418.05,412.84,530.0,196.0,6582,"2,717,330.00",
2000-03-22,EQ,444.0,449.0,420.0,418.05,424.0,422.5,430.92,530.0,196.0,5524,"2,380,393.45",
2000-03-23,EQ,410.0,425.0,410.0,422.5,418.0,416.15,417.08,530.0,196.0,3406,"1,420,580.00",
2000-03-24,EQ,415.0,419.8,412.0,416.15,417.0,415.35,415.41,530.0,196.0,3656,"1,518,742.60",
2000-03-27,EQ,423.0,423.0,411.1,415.35,415.5,415.6,415.31,530.0,196.0,5379,"2,233,940.15",
2000-03-28,EQ,413.0,423.95,413.0,415.6,417.0,417.0,417.57,530.0,196.0,4554,"1,901,610.35",
2000-03-29,EQ,415.25,422.0,415.0,417.0,415.0,415.0,416.22,530.0,196.0,1159,"482,400.00",
2000-03-30,EQ,415.0,448.2,410.0,415.0,447.9,437.75,427.3,530.0,196.0,7824,"3,343,187.05",
2000-03-31,EQ,426.0,431.0,416.0,437.75,425.75,423.2,423.16,530.0,196.0,5074,"2,147,096.85",
2000-04-03,EQ,440.0,440.0,412.0,423.2,415.0,413.6,414.83,530.0,196.0,18297,"7,590,212.10",
2000-04-04,EQ,401.0,417.0,400.0,413.6,410.25,413.1,410.84,530.0,196.0,19926,"8,186,353.25",
2000-04-05,EQ,410.0,416.9,407.0,413.1,415.0,411.2,413.0,530.0,196.0,7122,"2,941,389.90",
2000-04-06,EQ,412.0,413.0,405.05,411.2,410.0,409.55,409.86,530.0,196.0,8585,"3,518,628.95",
2000-04-07,EQ,413.0,425.0,409.0,409.55,415.0,415.4,417.86,530.0,196.0,5440,"2,273,137.40",
2000-04-10,EQ,415.0,424.9,411.25,415.4,416.0,413.9,414.56,530.0,196.0,6751,"2,798,692.45",
2000-04-11,EQ,411.0,447.0,411.0,413.9,447.0,434.8,426.54,530.0,196.0,11291,"4,816,048.55",
2000-04-12,EQ,427.8,430.0,420.0,434.8,425.0,424.95,424.82,530.0,196.0,6442,"2,736,714.80",
2000-04-13,EQ,410.0,435.0,409.0,424.95,419.15,419.15,419.13,530.0,196.0,1333,"558,695.45",
2000-04-17,EQ,405.0,430.0,387.0,419.15,410.0,419.8,407.61,530.0,196.0,7497,"3,055,838.90",
2000-04-18,EQ,415.0,425.0,410.0,419.8,425.0,418.95,418.03,530.0,196.0,7120,"2,976,390.50",
2000-04-19,EQ,418.0,420.0,395.0,418.95,415.0,415.0,411.79,530.0,196.0,3392,"1,396,784.75",
2000-04-20,EQ,406.3,427.0,396.0,415.0,415.0,415.0,414.88,530.0,196.0,25817,"10,710,845.60",
2000-04-24,EQ,421.0,422.0,410.25,415.0,415.5,415.3,416.06,530.0,196.0,1302,"541,710.85",
2000-04-25,EQ,402.0,425.0,400.1,415.3,408.0,408.5,411.41,530.0,196.0,6090,"2,505,500.80",
2000-04-26,EQ,405.0,416.0,405.0,408.5,412.05,413.3,411.67,530.0,196.0,1557,"640,975.55",
2000-04-27,EQ,410.0,414.9,407.0,413.3,412.0,412.3,411.37,530.0,196.0,1096,"450,856.40",
2000-04-28,EQ,405.5,414.0,405.0,412.3,407.0,407.0,407.31,530.0,196.0,1100,"448,038.60",
2000-05-02,EQ,405.0,421.8,394.0,407.0,402.0,407.2,407.83,530.0,196.0,4998,"2,038,333.75",
2000-05-03,EQ,388.0,399.5,380.0,407.2,390.0,388.85,392.17,530.0,205.0,4855,"1,903,980.80",
2000-05-04,EQ,399.0,401.0,391.0,388.85,391.25,391.4,395.68,530.0,205.0,1934,"765,244.75",
2000-05-05,EQ,397.0,401.5,393.5,391.4,394.0,394.95,399.15,530.0,205.0,6556,"2,616,852.45",
2000-05-08,EQ,400.0,402.0,391.15,394.95,396.0,393.1,396.03,530.0,205.0,3930,"1,556,412.30",
2000-05-09,EQ,392.05,400.0,390.0,393.1,391.1,395.15,394.3,530.0,217.0,3731,"1,471,126.55",
2000-05-10,EQ,398.0,399.0,391.0,395.15,393.0,391.6,394.54,530.0,217.0,2336,"921,637.70",
