date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,26.7,26.7,26.7,24.7,26.7,26.7,26.7,30.7,12.0,112100,"2,993,070.00",
2000-01-04,EQ,27.0,28.7,26.5,26.7,27.0,26.85,27.24,30.7,12.0,234500,"6,387,275.00",
2000-01-05,EQ,26.0,27.75,25.5,26.85,26.4,26.3,26.24,30.7,12.0,170100,"4,462,980.00",
2000-01-06,EQ,25.8,27.0,25.8,26.3,25.9,25.95,26.27,30.7,12.0,102100,"2,681,730.00",
2000-01-07,EQ,25.0,26.0,24.25,25.95,25.0,24.8,25.04,30.7,12.0,62600,"1,567,220.00",
2000-01-10,EQ,25.05,26.5,25.0,24.8,25.0,25.0,25.29,30.7,12.0,64200,"1,623,340.00",
2000-01-11,EQ,24.25,24.8,23.0,25.0,23.0,23.2,23.9,30.7,12.0,91700,"2,191,725.00",
2000-01-12,EQ,22.6,24.5,22.6,23.2,24.0,24.0,23.97,30.7,12.0,32500,"779,135.00",
2000-01-13,EQ,24.5,24.5,23.1,24.0,23.8,23.6,23.77,30.7,12.0,48300,"1,147,955.00",
2000-01-14,EQ,24.0,24.2,22.5,23.6,23.5,23.25,23.17,30.7,12.0,30700,"711,425.00",
2000-01-17,EQ,24.5,25.15,24.25,23.25,25.15,25.15,25.09,30.7,12.0,82400,"2,067,375.00",
2000-01-18,EQ,26.5,26.5,24.3,25.15,25.15,24.9,24.94,30.7,12.0,110400,"2,753,805.00",
2000-01-19,EQ,24.75,26.0,24.75,24.9,25.4,25.6,25.56,30.7,12.0,89300,"2,282,665.00",
2000-01-20,EQ,26.1,26.25,24.3,25.6,24.4,24.45,25.05,30.7,12.0,103500,"2,592,305.00",
2000-01-21,EQ,25.0,25.3,24.3,24.45,25.3,25.1,24.79,30.7,12.0,47300,"1,172,575.00",
2000-01-24,EQ,25.6,25.75,24.6,25.1,24.6,24.8,25.03,30.7,12.0,102400,"2,562,690.00",
2000-01-25,EQ,25.0,25.4,24.05,24.8,24.9,25.05,24.9,30.7,12.0,131700,"3,278,985.00",
2000-01-27,EQ,25.85,27.05,25.25,25.05,27.05,27.05,26.8,30.7,12.0,201400,"5,397,455.00",
2000-01-28,EQ,28.0,29.25,27.1,27.05,29.25,29.25,29.04,30.7,12.0,311600,"9,050,250.00",
2000-01-31,EQ,31.0,31.6,30.1,29.25,31.6,31.6,31.45,30.7,12.0,317000,"9,969,930.00",
2000-02-01,EQ,32.95,34.15,32.95,31.6,34.15,34.15,34.11,31.6,12.0,201000,"6,855,690.00",
2000-02-02,EQ,36.9,36.9,36.9,34.15,36.9,36.9,36.9,34.15,12.0,65800,"2,428,020.00",
2000-02-03,EQ,39.85,39.85,39.85,36.9,39.85,39.85,39.85,36.9,12.0,160400,"6,391,940.00",
2000-02-04,EQ,43.05,43.05,43.05,39.85,43.05,43.05,43.05,39.85,12.0,60700,"2,613,135.00",
2000-02-07,EQ,46.5,46.5,39.65,43.05,39.65,39.65,40.95,43.05,12.0,790600,"32,372,760.00",
2000-02-08,EQ,38.0,40.75,37.0,39.65,38.0,37.95,37.91,46.5,12.0,434100,"16,455,590.00",
2000-02-09,EQ,39.5,40.0,35.05,37.95,36.6,36.05,36.78,46.5,12.0,284200,"10,451,900.00",
2000-02-10,EQ,37.5,38.95,36.5,36.05,38.95,38.95,38.34,46.5,12.0,214000,"8,203,855.00",
2000-02-11,EQ,42.1,42.1,42.1,38.95,42.1,42.1,42.1,46.5,12.0,129700,"5,460,370.00",
2000-02-14,EQ,44.95,45.25,38.75,42.1,38.75,38.75,40.38,46.5,12.0,236000,"9,530,540.00",
2000-02-15,EQ,37.25,37.25,35.65,38.75,35.65,35.65,36.16,46.5,12.0,285600,"10,326,435.00",
2000-02-16,EQ,37.0,38.5,36.0,35.65,38.5,38.1,38.1,46.5,12.0,205200,"7,817,570.00",
2000-02-17,EQ,39.5,40.0,37.3,38.1,38.25,38.5,38.27,46.5,12.0,145600,"5,571,745.00",
2000-02-18,EQ,37.55,37.75,35.5,38.5,36.7,36.6,36.39,46.5,12.0,101900,"3,708,365.00",
2000-02-21,EQ,38.25,38.25,34.7,36.6,35.3,35.4,35.62,46.5,12.0,119100,"4,242,695.00",
2000-02-22,EQ,37.2,38.0,33.3,35.4,33.55,33.75,34.78,46.5,12.0,185300,"6,444,775.00",
2000-02-23,EQ,35.0,36.4,34.0,33.75,34.25,34.55,35.03,46.5,12.0,100300,"3,513,215.00",
2000-02-24,EQ,37.35,37.35,33.0,34.55,37.35,37.35,36.13,46.5,12.0,247000,"8,924,740.00",
2000-02-25,EQ,39.75,40.1,35.8,37.35,40.0,39.45,38.11,46.5,12.0,208500,"7,946,110.00",
2000-02-28,EQ,42.5,42.65,37.0,39.45,39.0,38.85,38.77,46.5,12.0,210000,"8,141,060.00",
2000-02-29,EQ,41.0,41.0,35.75,38.85,35.8,36.25,39.24,46.5,12.0,316300,"12,412,035.00",
2000-03-01,EQ,37.0,39.15,36.9,36.25,39.15,39.15,38.49,46.5,12.0,132000,"5,080,855.00",
2000-03-02,EQ,42.2,42.2,38.0,39.15,38.7,38.2,39.45,46.5,12.0,172700,"6,812,895.00",
2000-03-03,EQ,38.0,38.0,35.15,38.2,35.7,35.55,35.71,46.5,12.0,144700,"5,167,225.00",
2000-03-06,EQ,37.7,37.8,35.0,35.55,35.4,35.2,35.96,46.5,12.0,90200,"3,243,905.00",
2000-03-07,EQ,33.5,35.4,32.4,35.2,32.5,32.65,32.79,46.5,12.0,175200,"5,744,345.00",
2000-03-08,EQ,34.0,34.85,30.25,32.65,30.6,30.6,32.38,46.5,12.0,111100,"3,597,945.00",
2000-03-09,EQ,29.65,31.1,28.15,30.6,28.55,28.5,28.8,46.5,12.0,81200,"2,338,675.00",
2000-03-10,EQ,28.0,28.9,26.55,28.5,28.45,28.05,27.53,46.5,12.0,61600,"1,695,895.00",
2000-03-13,EQ,28.5,29.85,26.05,28.05,27.85,28.35,27.69,46.5,12.0,95400,"2,641,755.00",
2000-03-14,EQ,27.5,28.3,26.1,28.35,27.8,27.4,27.37,46.5,12.0,143700,"3,933,420.00",
2000-03-15,EQ,29.6,29.6,29.6,27.4,29.6,29.6,29.6,46.5,12.0,25600,"757,760.00",
2000-03-16,EQ,30.7,32.0,29.5,29.6,32.0,31.9,31.27,46.5,12.0,118700,"3,711,309.75",
2000-03-21,EQ,34.25,34.25,30.25,31.9,31.2,30.8,31.35,46.5,12.0,85026,"2,665,397.20",
2000-03-22,EQ,32.75,32.75,30.6,30.8,32.45,32.35,31.85,46.5,12.0,61550,"1,960,554.90",
2000-03-23,EQ,32.8,33.45,31.0,32.35,31.75,31.45,31.57,46.5,12.0,36125,"1,140,346.25",
2000-03-24,EQ,31.45,33.0,30.8,31.45,31.9,31.9,31.86,46.5,12.0,32075,"1,021,933.75",
2000-03-27,EQ,30.5,32.3,30.0,31.9,30.1,30.6,31.44,46.5,12.0,42001,"1,320,463.60",
2000-03-28,EQ,30.25,32.0,30.1,30.6,32.0,31.7,31.05,46.5,12.0,93495,"2,902,571.90",
2000-03-29,EQ,32.9,34.25,32.0,31.7,34.25,34.25,33.96,46.5,12.0,23660,"803,407.60",
2000-03-30,EQ,36.0,37.0,35.05,34.25,37.0,36.75,36.43,46.5,12.0,98921,"3,603,824.15",
2000-03-31,EQ,36.9,39.7,36.25,36.75,39.7,39.7,39.15,46.5,12.0,71380,"2,794,365.80",
2000-04-03,EQ,42.9,42.9,36.8,39.7,38.8,38.9,40.43,46.5,12.0,213574,"8,634,442.85",
2000-04-04,EQ,39.95,39.95,35.8,38.9,35.8,35.8,36.02,46.5,12.0,53473,"1,926,194.40",
2000-04-05,EQ,33.05,38.65,33.0,35.8,34.5,34.7,35.14,46.5,12.0,88895,"3,123,976.60",
2000-04-06,EQ,35.75,35.9,32.25,34.7,33.6,32.8,33.4,46.5,12.0,76357,"2,550,549.00",
2000-04-07,EQ,34.1,35.45,34.1,32.8,35.45,35.45,35.39,46.5,12.0,20370,"720,859.00",
2000-04-10,EQ,38.0,38.3,36.3,35.45,37.6,37.95,37.9,46.5,12.0,149272,"5,657,365.65",
2000-04-11,EQ,39.9,39.9,35.6,37.95,37.0,36.7,36.48,46.5,12.0,87414,"3,188,484.30",
2000-04-12,EQ,36.3,38.4,36.25,36.7,37.0,36.95,37.22,46.5,12.0,45088,"1,678,386.25",
2000-04-13,EQ,36.0,36.75,34.5,36.95,35.65,35.0,35.56,46.5,12.0,51006,"1,813,708.85",
2000-04-17,EQ,32.2,34.25,32.2,35.0,33.95,34.05,32.73,46.5,12.0,86534,"2,831,988.55",
2000-04-18,EQ,34.5,35.25,33.25,34.05,33.8,34.4,34.34,46.5,12.0,88332,"3,033,478.10",
2000-04-19,EQ,35.55,36.35,32.0,34.4,34.2,33.85,34.02,46.5,12.0,83547,"2,842,618.20",
2000-04-20,EQ,33.25,33.9,32.0,33.85,33.05,33.45,32.92,46.5,12.0,50745,"1,670,281.00",
2000-04-24,EQ,33.3,34.2,32.0,33.45,32.3,32.55,32.74,46.5,12.0,62466,"2,045,273.85",
2000-04-25,EQ,31.75,32.85,30.2,32.55,31.25,31.1,30.88,46.5,12.0,82390,"2,543,804.80",
2000-04-26,EQ,32.25,33.6,32.25,31.1,33.6,33.6,33.48,46.5,12.0,62291,"2,085,555.10",
2000-04-27,EQ,35.0,35.5,33.6,33.6,35.1,34.95,34.7,46.5,12.0,98202,"3,407,321.00",
2000-04-28,EQ,35.25,36.0,34.1,34.95,34.85,34.5,34.84,46.5,12.0,53901,"1,877,709.45",
2000-05-02,EQ,36.0,36.25,34.3,34.5,36.0,35.85,35.48,46.5,12.0,137395,"4,874,164.75",
2000-05-03,EQ,38.0,38.0,34.6,35.85,36.15,36.25,35.9,46.5,12.85,83471,"2,996,664.00",
2000-05-04,EQ,36.7,36.9,35.8,36.25,35.8,36.05,36.24,46.5,12.85,96675,"3,503,891.75",
2000-05-05,EQ,36.4,36.9,34.85,36.05,35.85,35.7,35.87,46.5,12.85,130558,"4,683,481.15",
2000-05-08,EQ,36.2,36.2,34.5,35.7,34.7,34.6,35.08,46.5,12.85,41150,"1,443,571.70",
2000-05-09,EQ,34.1,36.5,34.1,34.6,35.95,36.15,35.5,46.5,13.0,46303,"1,643,807.70",
2000-05-10,EQ,35.6,36.25,35.05,36.15,35.6,35.8,35.81,46.5,13.0,72915,"2,610,971.85",
2000-05-11,EQ,35.25,35.55,34.5,35.8,35.5,35.15,35.09,46.5,13.0,55996,"1,964,662.10",
2000-05-12,EQ,35.5,35.5,35.0,35.15,35.2,35.25,35.22,46.5,13.0,28457,"1,002,395.65",
2000-05-15,EQ,34.75,35.9,32.5,35.25,35.3,35.45,34.4,46.5,13.0,61100,"2,101,887.80",
2000-05-16,EQ,36.9,36.9,34.1,35.45,35.5,35.35,35.08,46.5,13.1,81449,"2,857,268.60",
2000-05-17,EQ,35.75,38.1,35.4,35.35,36.85,37.25,36.52,46.5,13.1,84611,"3,090,328.10",
2000-05-18,EQ,37.0,38.9,36.15,37.25,36.95,36.75,37.57,46.5,13.1,41617,"1,563,562.90",
2000-05-19,EQ,38.5,38.5,36.6,36.75,37.0,37.05,36.99,46.5,13.1,34695,"1,283,325.15",
2000-05-22,EQ,36.0,37.0,35.6,37.05,36.4,36.15,36.07,46.5,13.1,46550,"1,678,917.50",
2000-05-23,EQ,36.2,36.5,34.5,36.15,35.45,35.0,35.19,46.5,13.1,57066,"2,008,181.80",
2000-05-24,EQ,34.5,35.9,33.3,35.0,35.2,35.35,35.1,46.5,13.1,28260,"991,949.50",
2000-05-25,EQ,35.5,35.95,34.85,35.35,35.0,35.1,35.58,46.5,13.1,73554,"2,617,143.90",
2000-05-26,EQ,34.55,35.35,34.55,35.1,34.8,34.95,34.94,46.5,13.1,16358,"571,535.55",
