date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2008-05-26,EQ,898.0,898.0,551.35,"2,101.05",600.25,604.75,624.61,898.0,551.35,3972485,"2,481,244,757.90",
2008-05-27,EQ,624.7,639.0,580.3,604.75,595.5,593.15,606.43,898.0,551.35,1751063,"1,061,900,687.00",
2008-05-28,EQ,561.65,621.9,561.65,593.15,605.1,608.15,608.75,898.0,551.35,1652355,"1,005,877,489.30",
2008-05-29,EQ,619.4,619.4,576.0,608.15,600.0,599.45,600.98,898.0,551.35,669269,"402,216,512.65",
2008-05-30,EQ,605.4,607.0,538.0,599.45,576.25,571.7,565.55,898.0,538.0,1262117,"713,793,720.60",
2008-06-02,EQ,605.5,615.0,570.7,571.70,573.0,580.8,598.3,898.0,538.0,206640,"123,632,603.30",
2008-06-03,EQ,596.0,602.0,555.15,580.80,577.0,579.7,575.83,898.0,538.0,157283,"90,568,024.40",
2008-06-04,EQ,597.85,597.85,547.5,579.70,550.0,552.1,563.64,898.0,538.0,326450,"183,999,348.15",
2008-06-05,EQ,553.0,588.8,532.4,552.10,548.0,562.4,560.7,898.0,532.4,238915,"133,960,349.35",
2008-06-06,EQ,567.0,574.7,544.4,562.40,572.0,568.8,564.38,898.0,532.4,73920,"41,719,027.65",
2008-06-09,EQ,575.0,575.0,524.0,568.80,552.0,548.8,545.82,898.0,524.0,321199,"175,317,567.75",
2008-06-10,EQ,575.5,575.5,547.0,548.80,550.0,550.4,551.58,898.0,524.0,58118,"32,056,742.90",
2008-06-11,EQ,560.0,560.0,528.0,550.40,528.2,530.5,536.09,898.0,524.0,87793,"47,064,665.00",
2008-06-12,EQ,511.0,527.0,510.7,530.50,520.0,519.45,518.85,898.0,510.7,50729,"26,320,608.05",
2008-06-13,EQ,514.25,525.0,501.2,519.45,508.0,505.9,508.57,898.0,501.2,123934,"63,029,183.05",
2008-06-16,EQ,510.0,518.0,489.45,505.90,491.8,494.65,503.45,898.0,489.45,61592,"31,008,244.75",
2008-06-17,EQ,490.45,510.0,482.6,494.65,505.0,506.7,500.42,898.0,482.6,71476,"35,767,943.70",
2008-06-18,EQ,510.1,531.0,500.0,506.70,514.95,516.45,514.41,898.0,482.6,105505,"54,272,967.75",
2008-06-19,EQ,500.2,527.0,500.2,516.45,507.65,512.55,516.94,898.0,482.6,140483,"72,621,525.50",
2008-06-20,EQ,507.0,519.0,493.6,512.55,515.0,512.1,506.49,898.0,482.6,76656,"38,825,325.40",
2008-06-23,EQ,500.0,514.9,499.0,512.10,499.0,502.3,503.85,898.0,482.6,89888,"45,290,266.80",
2008-06-24,EQ,495.0,506.0,471.15,502.30,485.0,479.0,496.3,898.0,471.15,174131,"86,421,556.10",
2008-06-25,EQ,450.0,502.0,450.0,479.00,493.15,497.3,489.76,898.0,450.0,72533,"35,524,112.00",
2008-06-26,EQ,519.9,519.9,469.05,497.30,491.3,488.95,480.09,898.0,450.0,185234,"88,929,020.40",
2008-06-27,EQ,465.9,476.85,435.0,488.95,440.1,453.95,452.97,898.0,435.0,260609,"118,047,787.30",
2008-06-30,EQ,454.0,459.95,445.35,453.95,451.0,450.35,452.65,898.0,435.0,115006,"52,057,817.35",
2008-07-01,EQ,450.0,457.0,433.0,450.35,449.0,447.1,446.16,898.0,433.0,170197,"75,935,793.05",
2008-07-02,EQ,430.15,457.95,430.15,447.10,448.0,453.5,449.32,898.0,430.15,245296,"110,215,323.70",
2008-07-03,EQ,445.0,448.0,390.15,453.50,410.0,408.6,428.09,898.0,390.15,308168,"131,924,956.70",
2008-07-04,EQ,403.5,433.0,401.0,408.60,420.0,421.0,420.56,898.0,390.15,62087,"26,111,539.10",
2008-07-07,EQ,425.0,441.0,425.0,421.00,437.0,435.5,434.46,898.0,390.15,130708,"56,787,646.55",
2008-07-08,EQ,418.1,439.9,414.0,435.50,439.8,434.5,424.58,898.0,390.15,262122,"111,290,971.75",
2008-07-09,EQ,446.0,456.9,440.0,434.50,452.0,451.75,451.6,898.0,390.15,104747,"47,303,691.90",
2008-07-10,EQ,450.0,532.0,441.05,451.75,530.0,498.45,468.17,898.0,390.15,247021,"115,647,639.60",
2008-07-11,EQ,508.0,508.1,482.0,498.45,500.0,499.95,499.51,898.0,390.15,135338,"67,602,101.30",
2008-07-14,EQ,515.0,515.0,481.0,499.95,502.0,501.65,495.97,898.0,390.15,110414,"54,762,371.70",
2008-07-15,EQ,480.35,497.8,477.0,501.65,484.95,479.85,485.46,898.0,390.15,44758,"21,728,114.25",
2008-07-16,EQ,500.0,500.0,444.15,479.85,452.3,455.0,450.71,898.0,390.15,412815,"186,060,809.45",
2008-07-17,EQ,475.0,484.95,461.0,455.00,465.0,467.6,465.34,898.0,390.15,124802,"58,075,017.75",
2008-07-18,EQ,461.0,473.0,455.0,467.60,464.0,464.1,465.0,898.0,390.15,71613,"33,300,286.70",
2008-07-21,EQ,474.0,505.0,470.0,464.10,505.0,498.9,491.02,898.0,390.15,323713,"158,950,449.10",
2008-07-22,EQ,490.15,504.0,485.05,498.90,495.0,495.05,495.38,898.0,390.15,25042,"12,405,304.95",
2008-07-23,EQ,514.15,529.0,498.0,495.05,528.95,519.0,511.97,898.0,390.15,116969,"59,884,167.65",
2008-07-24,EQ,506.2,534.0,506.2,519.00,521.5,520.65,521.24,898.0,390.15,26647,"13,889,606.35",
2008-07-25,EQ,503.25,525.0,503.25,520.65,511.25,509.95,516.79,898.0,390.15,54204,"28,012,114.15",
2008-07-28,EQ,500.25,524.7,500.25,509.95,520.0,515.55,514.8,898.0,390.15,30877,"15,895,385.35",
2008-07-29,EQ,506.0,515.0,501.35,515.55,510.0,509.4,508.48,898.0,390.15,9914,"5,041,068.60",
2008-07-30,EQ,483.95,524.95,483.95,509.40,520.0,519.75,515.57,898.0,390.15,8670,"4,469,953.80",
2008-07-31,EQ,501.15,539.0,494.6,519.75,539.0,533.7,527.66,898.0,390.15,44391,"23,423,303.40",
2008-08-01,EQ,516.0,532.9,507.0,533.70,507.0,517.65,519.79,898.0,390.15,238858,"124,155,635.80",
2008-08-04,EQ,510.05,524.0,510.0,517.65,520.0,519.0,516.44,898.0,390.15,14815,"7,651,046.45",
2008-08-05,EQ,505.7,530.0,501.0,519.00,521.55,526.6,517.14,898.0,390.15,585044,"302,546,810.05",
2008-08-06,EQ,525.1,571.4,525.1,526.60,557.1,562.25,553.94,898.0,390.15,107023,"59,284,298.80",
2008-08-07,EQ,566.0,574.4,545.0,562.25,558.25,560.05,557.51,898.0,390.15,55986,"31,212,545.20",
2008-08-08,EQ,551.2,569.0,548.0,560.05,548.0,551.9,556.98,898.0,390.15,15983,"8,902,232.00",
2008-08-11,EQ,554.0,577.0,552.0,551.90,562.0,569.35,570.43,898.0,390.15,24326,"13,876,279.35",
2008-08-12,EQ,569.85,574.9,548.5,569.35,555.0,553.35,562.66,898.0,390.15,16393,"9,223,761.50",
2008-08-13,EQ,543.0,575.0,542.25,553.35,568.1,570.9,562.65,898.0,390.15,27582,"15,518,886.00",
2008-08-14,EQ,562.05,571.0,555.15,570.90,566.0,565.85,562.71,898.0,390.15,132460,"74,536,114.20",
2008-08-18,EQ,554.85,560.0,532.95,565.85,545.0,551.4,542.36,898.0,390.15,104270,"56,552,229.65",
