date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2008-05-26,EQ,600.0,619.0,501.0,"2,101.05",505.1,509.1,548.85,619.0,501.0,3145446,"1,726,368,167.70",
2008-05-27,EQ,505.0,610.95,491.1,509.10,564.0,554.65,572.15,619.0,491.1,4349144,"2,488,369,624.45",
2008-05-28,EQ,564.0,665.6,564.0,554.65,643.0,640.95,618.37,665.6,491.1,4588759,"2,837,530,138.50",
2008-05-29,EQ,656.65,703.0,608.0,640.95,634.5,632.4,659.6,703.0,491.1,4522302,"2,982,920,677.20",
2008-05-30,EQ,642.4,668.0,588.3,632.40,647.0,644.0,636.41,703.0,491.1,3057669,"1,945,928,734.10",
2008-06-02,EQ,650.0,699.0,622.0,644.00,687.0,686.95,670.51,703.0,491.1,2247399,"1,506,913,250.15",
2008-06-03,EQ,672.0,689.8,632.55,686.95,670.55,672.05,665.87,703.0,491.1,2299383,"1,531,082,360.50",
2008-06-04,EQ,674.0,674.0,566.6,672.05,595.0,598.95,602.36,703.0,491.1,2832725,"1,706,317,103.90",
2008-06-05,EQ,603.0,639.8,572.3,598.95,631.5,631.85,610.65,703.0,491.1,1344712,"821,152,150.00",
2008-06-06,EQ,639.25,642.9,608.05,631.85,635.0,630.9,628.44,703.0,491.1,794722,"499,432,557.70",
2008-06-09,EQ,620.0,648.0,580.0,630.90,645.0,629.9,624.95,703.0,491.1,758393,"473,958,337.40",
2008-06-10,EQ,618.0,675.0,618.0,629.90,672.0,669.25,653.65,703.0,491.1,939180,"613,897,195.85",
2008-06-11,EQ,672.0,682.0,641.1,669.25,641.1,653.5,662.71,703.0,491.1,750714,"497,502,782.90",
2008-06-12,EQ,629.0,638.45,601.0,653.50,602.0,605.9,614.22,703.0,491.1,414320,"254,484,752.00",
2008-06-13,EQ,607.0,624.5,572.75,605.90,577.0,580.8,601.0,703.0,491.1,458514,"275,566,246.30",
2008-06-16,EQ,595.0,618.0,587.25,580.80,613.1,614.05,606.17,703.0,491.1,496439,"300,927,819.25",
2008-06-17,EQ,610.0,626.0,605.1,614.05,610.0,611.05,614.08,703.0,491.1,248850,"152,814,024.90",
2008-06-18,EQ,615.0,617.2,585.1,611.05,595.0,591.95,605.3,703.0,491.1,142386,"86,185,970.40",
2008-06-19,EQ,580.0,625.0,578.05,591.95,613.0,611.85,614.38,703.0,491.1,468038,"287,554,257.40",
2008-06-20,EQ,603.0,618.25,532.0,611.85,569.0,554.95,573.49,703.0,491.1,289352,"165,941,509.70",
2008-06-23,EQ,551.0,575.9,550.0,554.95,566.55,565.4,561.83,703.0,491.1,514992,"289,337,861.60",
2008-06-24,EQ,565.5,572.0,537.0,565.40,547.1,549.15,551.73,703.0,491.1,294467,"162,465,934.90",
2008-06-25,EQ,542.0,632.5,540.0,549.15,580.0,577.1,564.55,703.0,491.1,124264,"70,153,107.20",
2008-06-26,EQ,578.0,600.0,578.0,577.10,588.0,590.25,590.89,703.0,491.1,134458,"79,450,114.50",
2008-06-27,EQ,585.0,585.0,550.0,590.25,565.0,562.0,563.12,703.0,491.1,170967,"96,275,093.45",
2008-06-30,EQ,565.0,570.0,520.0,562.00,523.0,537.85,553.0,703.0,491.1,105379,"58,274,265.15",
2008-07-01,EQ,535.0,536.9,502.65,537.85,526.5,517.75,518.83,703.0,491.1,86030,"44,634,929.10",
2008-07-02,EQ,511.0,530.0,495.0,517.75,518.0,522.55,506.03,703.0,491.1,225316,"114,017,413.95",
2008-07-03,EQ,495.2,513.85,446.0,522.55,455.0,478.5,499.88,703.0,446.0,291484,"145,706,014.80",
2008-07-04,EQ,471.35,500.0,447.0,478.50,499.05,499.7,485.69,703.0,446.0,98707,"47,940,913.70",
2008-07-07,EQ,494.65,544.0,494.65,499.70,518.0,521.8,510.16,703.0,446.0,422193,"215,384,695.85",
2008-07-08,EQ,475.8,518.0,475.8,521.80,513.1,510.95,505.94,703.0,446.0,236281,"119,542,974.30",
2008-07-09,EQ,550.0,550.0,512.0,510.95,517.9,518.05,530.08,703.0,446.0,91041,"48,259,159.10",
2008-07-10,EQ,515.0,519.85,500.0,518.05,510.0,506.8,509.09,703.0,446.0,83723,"42,622,365.40",
2008-07-11,EQ,519.9,520.0,466.65,506.80,477.0,478.95,498.3,703.0,446.0,45764,"22,804,120.10",
2008-07-14,EQ,498.0,498.0,455.0,478.95,458.0,461.9,470.9,703.0,446.0,79049,"37,224,261.90",
