date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,49.45,50.75,46.5,46.95,50.75,50.75,50.05,58.1,26.1,7600,"380,380.00",
2000-01-04,EQ,53.2,53.2,47.9,50.75,48.0,48.1,48.56,58.1,26.1,5000,"242,800.00",
2000-01-05,EQ,46.55,47.4,44.6,48.1,44.6,44.6,45.47,58.1,26.1,3500,"159,145.00",
2000-01-06,EQ,43.5,46.0,42.1,44.6,46.0,45.25,44.43,58.1,26.1,6200,"275,475.00",
2000-01-07,EQ,48.0,48.0,42.0,45.25,42.9,42.9,44.44,58.1,26.1,3500,"155,555.00",
2000-01-10,EQ,42.05,44.9,41.0,42.9,43.0,42.9,42.47,58.1,26.1,4700,"199,610.00",
2000-01-11,EQ,42.0,42.0,39.5,42.9,40.25,40.1,40.25,58.1,26.1,5500,"221,390.00",
2000-01-12,EQ,40.0,40.0,39.0,40.1,39.0,39.0,39.8,58.1,26.1,1000,"39,800.00",
2000-01-13,EQ,40.0,41.0,38.5,39.0,39.5,39.5,39.37,58.1,26.1,1000,"39,370.00",
2000-01-14,EQ,39.0,40.5,39.0,39.5,39.9,39.9,39.72,58.1,26.1,1700,"67,520.00",
2000-01-17,EQ,39.05,41.0,38.4,39.9,39.2,39.2,39.84,58.1,26.1,3100,"123,495.00",
2000-01-18,EQ,39.5,40.0,38.05,39.2,38.3,38.3,39.2,58.1,26.1,3000,"117,610.00",
2000-01-19,EQ,40.9,41.4,39.25,38.3,41.4,41.4,40.57,58.1,26.1,4500,"182,580.00",
2000-01-20,EQ,42.0,44.5,42.0,41.4,43.0,43.0,43.68,58.1,26.1,6400,"279,555.00",
2000-01-21,EQ,46.4,46.4,42.0,43.0,42.95,42.95,42.63,58.1,26.1,3100,"132,150.00",
2000-01-24,EQ,42.5,43.0,40.05,42.95,40.05,40.05,41.3,58.1,26.1,3100,"128,020.00",
2000-01-25,EQ,39.2,40.0,36.85,40.05,38.6,37.7,38.41,58.1,26.1,6400,"245,845.00",
2000-01-27,EQ,38.9,40.7,37.55,37.7,39.0,39.0,39.38,58.1,26.1,7600,"299,260.00",
2000-01-28,EQ,40.0,40.0,38.05,39.0,38.15,38.65,38.55,58.1,26.1,3700,"142,635.00",
2000-01-31,EQ,38.0,38.0,37.0,38.65,37.0,37.05,37.25,58.1,26.1,3500,"130,390.00",
2000-02-01,EQ,37.0,38.4,36.0,37.05,36.0,36.05,36.71,58.1,26.1,6300,"231,270.00",
2000-02-02,EQ,35.0,37.75,35.0,36.05,37.7,37.7,36.01,58.1,26.1,4000,"144,045.00",
