date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2002-02-18,EQ,51.9,51.9,43.5,-,44.7,44.35,46.0,-,-,10381190,"477,543,140.50",
2002-02-19,EQ,45.15,45.15,41.3,44.35,41.35,41.7,42.58,51.90,43.50,3552660,"151,260,941.30",
2002-02-20,EQ,40.6,42.8,40.25,41.70,41.2,41.25,41.56,51.90,41.30,2512964,"104,434,782.65",
2002-02-21,EQ,42.85,43.4,42.15,41.25,42.2,42.4,42.76,51.90,40.25,1338196,"57,226,810.00",
2002-02-22,EQ,42.65,43.6,41.1,42.40,43.35,43.3,42.75,51.90,40.25,811327,"34,684,132.25",
2002-02-25,EQ,45.5,45.5,42.65,43.30,42.95,42.8,43.05,51.90,40.25,454151,"19,552,996.45",
2002-02-26,EQ,43.15,44.2,42.9,42.80,43.7,43.6,43.48,51.90,40.25,894960,"38,911,652.30",
2002-02-27,EQ,43.95,46.3,43.75,43.60,44.45,44.65,45.02,51.90,40.25,3271361,"147,288,180.65",
2002-02-28,EQ,46.0,46.8,40.8,44.65,41.4,41.5,44.48,51.90,40.25,4429634,"197,027,720.80",
2002-03-01,EQ,42.0,43.4,41.8,41.50,42.45,42.5,42.52,51.90,40.25,942785,"40,089,850.75",
2002-03-04,EQ,43.1,44.25,42.85,42.50,43.25,43.3,43.37,51.90,40.25,615152,"26,678,458.20",
2002-03-05,EQ,44.2,45.5,43.7,43.30,45.35,45.3,44.92,51.90,40.25,1490137,"66,938,807.00",
2002-03-06,EQ,45.9,46.7,44.8,45.30,45.35,45.1,45.68,51.90,40.25,1989742,"90,885,773.90",
2002-03-07,EQ,45.9,45.9,44.75,45.10,44.95,44.95,44.99,51.90,40.25,675801,"30,402,509.05",
2002-03-08,EQ,45.2,45.25,43.7,44.95,43.8,43.9,44.29,51.90,40.25,273519,"12,112,954.90",
2002-03-11,EQ,44.5,45.4,43.1,43.90,43.45,43.3,43.59,51.90,40.25,217122,"9,464,238.60",
2002-03-12,EQ,43.4,43.45,41.9,43.30,41.9,42.1,42.64,51.90,40.25,321384,"13,703,579.45",
2002-03-13,EQ,42.1,42.65,41.5,42.10,42.0,41.9,42.15,51.90,40.25,228034,"9,611,928.95",
2002-03-14,EQ,42.0,42.4,41.05,41.90,41.35,41.45,41.66,51.90,40.25,302924,"12,620,948.95",
2002-03-15,EQ,42.0,42.5,41.35,41.45,42.0,41.95,41.88,51.90,40.25,402993,"16,876,487.55",
2002-03-18,EQ,43.0,43.0,41.55,41.95,41.55,41.75,42.17,51.90,40.25,387469,"16,339,896.35",
2002-03-19,EQ,42.1,42.9,40.4,41.75,40.6,40.7,41.33,51.90,40.25,505251,"20,881,657.45",
2002-03-20,EQ,40.9,41.35,40.25,40.70,40.45,40.5,40.89,51.90,40.25,413147,"16,893,781.50",
2002-03-21,EQ,40.6,41.0,40.4,40.50,40.55,40.6,40.67,51.90,40.25,171711,"6,982,737.45",
2002-03-22,EQ,40.8,41.45,39.5,40.60,39.8,39.85,40.12,51.90,40.25,225579,"9,050,323.90",
2002-03-26,EQ,40.75,40.75,38.9,39.85,39.0,39.0,39.26,51.90,39.50,190075,"7,461,503.40",
2002-03-27,EQ,40.9,40.9,39.0,39.00,39.0,39.1,39.19,51.90,38.90,175456,"6,875,846.85",
2002-03-28,EQ,39.2,39.35,38.0,39.10,38.8,38.55,38.74,51.90,38.90,247315,"9,580,536.15",
2002-04-01,EQ,39.4,40.1,38.65,38.55,38.8,38.9,39.35,-,-,169309,"6,663,096.80",
2002-04-02,EQ,38.95,39.0,37.05,38.90,37.25,37.3,37.82,-,-,401427,"15,181,315.40",
2002-04-03,EQ,37.25,38.0,35.7,37.30,36.2,36.1,36.94,-,-,434081,"16,035,864.30",
2002-04-04,EQ,36.9,39.45,36.5,36.10,39.0,38.6,37.98,-,-,461590,"17,529,902.40",
2002-04-05,EQ,39.0,39.65,38.05,38.60,38.2,38.2,38.81,-,-,278024,"10,789,807.65",
2002-04-08,EQ,38.8,39.0,37.0,38.20,37.25,37.15,37.76,-,-,264685,"9,994,207.30",
2002-04-09,EQ,37.9,38.95,37.5,37.15,37.9,37.75,38.01,-,-,330822,"12,574,440.00",
