date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,405.0,407.0,393.05,381.2,397.75,399.25,399.32,451.75,130.55,8720,"3,482,029.20",
2000-01-04,EQ,397.75,397.75,367.4,399.25,377.45,370.5,375.71,451.75,130.55,22820,"8,573,699.35",
2000-01-05,EQ,350.0,385.0,350.0,370.5,360.1,359.95,359.96,451.75,130.55,152538,"54,907,854.25",
2000-01-06,EQ,362.0,384.0,362.0,359.95,381.65,380.3,380.1,451.75,130.55,59554,"22,636,226.90",
2000-01-07,EQ,369.0,390.0,366.0,380.3,381.5,379.85,378.33,451.75,130.55,43187,"16,338,898.60",
2000-01-10,EQ,380.0,394.5,380.0,379.85,383.2,384.95,387.76,451.75,130.55,52234,"20,254,021.00",
2000-01-11,EQ,385.0,385.0,366.0,384.95,370.25,372.8,371.95,451.75,130.55,17112,"6,364,851.10",
2000-01-12,EQ,380.0,382.0,375.0,372.8,378.0,378.0,376.3,451.75,130.55,5783,"2,176,140.45",
2000-01-13,EQ,380.0,380.0,373.0,378.0,378.0,376.0,375.05,451.75,130.55,2297,"861,487.50",
2000-01-14,EQ,378.0,382.0,373.0,376.0,373.0,374.4,379.33,451.75,130.55,18856,"7,152,658.80",
2000-01-17,EQ,379.0,379.0,372.0,374.4,377.0,375.85,377.91,451.75,130.55,133538,"50,465,547.05",
2000-01-18,EQ,375.0,391.95,373.1,375.85,380.95,380.75,380.39,451.75,130.55,39481,"15,018,338.60",
2000-01-19,EQ,381.3,389.8,375.0,380.75,376.9,376.85,379.39,451.75,130.55,41115,"15,598,793.00",
2000-01-20,EQ,376.0,378.0,369.0,376.85,373.0,371.2,374.94,451.75,130.55,25740,"9,651,025.00",
2000-01-21,EQ,372.5,372.5,367.0,371.2,369.9,369.3,369.41,451.75,130.55,5960,"2,201,693.95",
2000-01-24,EQ,385.0,385.0,352.1,369.3,352.1,355.2,361.86,451.75,130.55,6035,"2,183,826.05",
2000-01-25,EQ,350.0,360.0,345.0,355.2,350.0,348.55,350.78,451.75,130.55,52396,"18,379,401.70",
2000-01-27,EQ,355.0,376.45,350.05,348.55,366.0,365.9,361.75,451.75,130.55,135737,"49,102,528.90",
2000-01-28,EQ,337.35,392.4,337.35,365.9,378.0,375.25,373.5,451.75,130.55,79935,"29,855,364.10",
2000-01-31,EQ,370.0,385.0,370.0,375.25,381.25,382.2,380.99,451.75,130.55,31151,"11,868,166.70",
2000-02-01,EQ,380.0,390.0,376.0,382.2,380.95,378.95,380.94,451.75,130.55,60620,"23,092,783.85",
2000-02-02,EQ,384.0,409.0,382.5,378.95,392.25,400.3,394.58,451.75,130.55,168656,"66,547,810.85",
2000-02-03,EQ,400.0,405.0,368.3,400.3,385.9,381.8,381.83,451.75,130.55,93248,"35,604,551.30",
2000-02-04,EQ,393.0,393.0,367.25,381.8,374.45,370.85,377.11,451.75,130.55,24934,"9,402,933.65",
2000-02-07,EQ,385.0,385.0,360.25,370.85,369.9,368.4,368.6,451.75,130.55,7598,"2,800,601.75",
2000-02-08,EQ,369.75,370.0,340.75,368.4,344.0,353.8,360.49,451.75,130.55,34263,"12,351,421.75",
2000-02-09,EQ,369.0,382.1,352.05,353.8,379.9,380.75,379.2,451.75,130.55,131659,"49,925,243.25",
2000-02-10,EQ,368.5,374.5,350.3,380.75,350.3,350.3,355.83,451.75,130.55,38342,"13,643,286.30",
2000-02-11,EQ,359.9,360.0,322.3,350.3,329.0,327.7,333.68,451.75,130.55,24900,"8,308,623.75",
2000-02-14,EQ,329.0,353.9,320.0,327.7,353.9,352.05,343.44,451.75,130.55,51815,"17,795,113.20",
2000-02-15,EQ,378.0,378.0,324.0,352.05,335.0,332.9,333.2,451.75,130.55,26628,"8,872,355.50",
2000-02-16,EQ,338.0,343.0,325.0,332.9,330.5,330.05,333.19,451.75,130.55,16520,"5,504,256.00",
2000-02-17,EQ,330.0,332.5,322.0,330.05,330.0,327.75,328.74,451.75,130.55,13720,"4,510,291.75",
2000-02-18,EQ,328.0,330.0,301.6,327.75,301.6,301.6,312.57,451.75,130.55,25578,"7,994,948.35",
2000-02-21,EQ,290.3,310.0,290.3,301.6,292.25,293.95,300.42,451.75,130.55,42975,"12,910,457.50",
2000-02-22,EQ,294.0,294.0,270.45,293.95,270.45,270.45,272.53,451.75,130.55,95547,"26,038,990.45",
2000-02-23,EQ,271.0,281.0,248.85,270.45,262.05,264.45,270.39,451.75,130.55,111321,"30,099,592.90",
2000-02-24,EQ,260.0,273.0,256.0,264.45,271.8,270.1,268.24,451.75,130.55,25201,"6,759,802.60",
2000-02-25,EQ,272.0,275.0,268.25,270.1,270.0,270.05,270.28,451.75,130.55,40042,"10,822,702.65",
2000-02-28,EQ,279.45,291.65,269.0,270.05,291.65,291.55,285.83,451.75,130.55,17847,"5,101,142.80",
2000-02-29,EQ,314.0,314.9,270.1,291.55,277.8,274.3,303.92,451.75,130.55,38312,"11,643,920.00",
