date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,705.0,759.5,705.0,703.25,758.0,756.9,741.01,"1,650.00",692.0,7512,"5,566,487.65",
2000-01-04,EQ,710.0,770.0,710.0,756.9,740.0,754.55,742.52,"1,650.00",692.0,8135,"6,040,390.70",
2000-01-05,EQ,755.0,759.0,705.0,754.55,740.0,735.3,739.92,"1,650.00",692.0,6095,"4,509,784.30",
2000-01-06,EQ,740.0,794.15,740.0,735.3,770.0,785.65,788.83,"1,650.00",692.0,19697,"15,537,555.55",
2000-01-07,EQ,808.0,848.5,798.0,785.65,848.5,848.5,827.53,"1,650.00",692.0,33107,"27,397,080.30",
2000-01-10,EQ,900.0,916.4,865.0,848.5,916.4,912.2,905.42,"1,650.00",692.0,29575,"26,777,840.25",
2000-01-11,EQ,920.0,920.0,839.25,912.2,865.0,853.75,858.02,"1,650.00",692.0,20635,"17,705,158.30",
2000-01-12,EQ,900.0,900.0,860.55,853.75,890.95,882.7,885.18,"1,650.00",692.0,9312,"8,242,756.25",
2000-01-13,EQ,890.0,920.0,875.0,882.7,885.0,881.4,898.96,"1,650.00",692.0,19526,"17,553,125.10",
2000-01-14,EQ,872.5,880.0,864.0,881.4,870.0,869.65,873.91,"1,650.00",692.0,15675,"13,698,470.05",
2000-01-17,EQ,880.0,890.0,870.0,869.65,878.0,875.95,881.0,"1,650.00",692.0,7125,"6,277,099.75",
2000-01-18,EQ,870.1,899.0,868.0,875.95,890.0,881.05,880.59,"1,650.00",692.0,12526,"11,030,287.70",
2000-01-19,EQ,889.0,911.0,889.0,881.05,906.5,900.85,901.81,"1,650.00",692.0,14108,"12,722,757.00",
2000-01-20,EQ,907.0,919.9,893.55,900.85,894.0,895.7,905.26,"1,650.00",692.0,5671,"5,133,732.40",
2000-01-21,EQ,897.9,897.9,885.25,895.7,890.0,888.25,888.42,"1,650.00",692.0,1888,"1,677,336.25",
2000-01-24,EQ,880.0,895.0,851.0,888.25,886.0,884.75,877.38,"1,650.00",692.0,6351,"5,572,210.75",
2000-01-25,EQ,871.0,890.0,870.0,884.75,870.0,881.25,878.74,"1,650.00",692.0,6859,"6,027,266.60",
2000-01-27,EQ,865.9,885.0,810.75,881.25,825.15,830.3,833.19,"1,650.00",692.0,14678,"12,229,536.95",
2000-01-28,EQ,800.0,815.0,782.0,830.3,790.0,792.45,796.65,"1,650.00",692.0,6418,"5,112,930.65",
2000-01-31,EQ,778.65,788.0,729.25,792.45,752.0,746.75,759.2,"1,650.00",692.0,5416,"4,111,834.95",
2000-02-01,EQ,751.0,759.0,721.0,746.75,725.0,731.5,738.07,"1,650.00",692.0,7347,"5,422,634.70",
2000-02-02,EQ,740.0,752.0,700.0,731.5,735.0,731.05,739.03,"1,650.00",692.0,4939,"3,650,048.75",
2000-02-03,EQ,750.0,750.0,695.0,731.05,715.0,714.15,713.32,"1,650.00",692.0,11619,"8,288,072.80",
2000-02-04,EQ,720.0,720.0,706.0,714.15,715.0,713.5,711.8,"1,650.00",692.0,13147,"9,357,984.10",
2000-02-07,EQ,701.0,717.0,700.0,713.5,704.8,701.7,708.3,"1,650.00",692.0,7195,"5,096,216.15",
2000-02-08,EQ,704.0,704.0,680.0,701.7,683.0,685.5,687.66,"1,650.00",692.0,15083,"10,372,024.95",
2000-02-09,EQ,714.0,740.35,695.0,685.5,704.1,707.4,711.68,"1,650.00",680.0,23357,"16,622,614.75",
2000-02-10,EQ,719.0,730.0,707.0,707.4,715.0,712.1,715.42,"1,650.00",680.0,11341,"8,113,602.10",
2000-02-11,EQ,723.0,729.0,700.0,712.1,710.0,704.15,712.06,"1,650.00",680.0,20795,"14,807,189.80",
2000-02-14,EQ,710.0,711.0,690.0,704.15,693.0,690.6,696.07,"1,650.00",680.0,7765,"5,405,013.65",
2000-02-15,EQ,681.0,681.0,640.0,690.6,668.0,653.3,657.71,"1,650.00",680.0,18622,"12,247,892.20",
2000-02-16,EQ,670.0,680.0,662.0,653.3,680.0,674.7,671.57,"1,650.00",640.0,10876,"7,304,030.75",
2000-02-17,EQ,670.0,698.0,670.0,674.7,674.0,677.0,679.09,"1,650.00",640.0,8926,"6,061,589.25",
2000-02-18,EQ,670.0,694.9,661.0,677.0,675.0,667.05,670.66,"1,650.00",640.0,11460,"7,685,756.40",
2000-02-21,EQ,675.0,690.0,655.0,667.05,670.0,665.7,669.13,"1,650.00",640.0,7993,"5,348,316.70",
2000-02-22,EQ,670.0,670.0,655.0,665.7,659.9,657.45,660.67,"1,650.00",640.0,11142,"7,361,184.40",
2000-02-23,EQ,658.0,680.0,655.0,657.45,670.0,665.65,668.06,"1,650.00",640.0,5793,"3,870,099.75",
2000-02-24,EQ,675.0,677.0,642.0,665.65,665.0,662.1,658.93,"1,650.00",640.0,8205,"5,406,544.55",
2000-02-25,EQ,674.0,674.0,640.0,662.1,645.0,641.85,654.42,"1,650.00",640.0,6346,"4,152,941.45",
