date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,"1,410.00","1,457.35","1,380.05","1,349.40","1,457.35","1,457.35","1,441.36","5,094.00",836.00,21060,"30,354,957.10",
2000-01-04,EQ,"1,537.00","1,537.00","1,430.00","1,457.35","1,466.05","1,465.25","1,460.43","5,094.00",895.00,30215,"44,126,979.95",
2000-01-05,EQ,"1,474.00","1,474.00","1,365.00","1,465.25","1,441.00","1,435.05","1,428.11","5,094.00",895.00,33799,"48,268,723.55",
2000-01-06,EQ,"1,434.00","1,435.00","1,349.00","1,435.05","1,365.00","1,355.85","1,390.55","5,094.00",895.00,33083,"46,003,558.05",
2000-01-07,EQ,"1,370.00","1,389.90","1,247.40","1,355.85","1,247.40","1,247.55","1,267.49","5,094.00",895.00,66536,"84,333,505.10",
2000-01-10,EQ,"1,288.00","1,299.00","1,191.00","1,247.55","1,197.15","1,205.90","1,222.23","5,094.00",895.00,105912,"129,448,493.40",
2000-01-11,EQ,"1,225.00","1,225.00","1,109.45","1,205.90","1,125.00","1,114.25","1,156.31","5,094.00",905.00,186975,"216,200,342.85",
2000-01-12,EQ,"1,185.00","1,203.40","1,185.00","1,114.25","1,203.40","1,203.40","1,202.76","5,094.00",905.00,7416,"8,919,696.40",
2000-01-13,EQ,"1,299.70","1,299.70","1,281.20","1,203.40","1,299.70","1,297.05","1,298.53","5,094.00",905.00,90379,"117,360,226.40",
2000-01-14,EQ,"1,299.00","1,304.55","1,220.00","1,297.05","1,275.00","1,280.70","1,275.38","5,094.00",905.00,70729,"90,206,017.15",
2000-01-17,EQ,"1,335.00","1,340.00","1,250.15","1,280.70","1,265.00","1,270.05","1,292.22","5,094.00",905.00,54938,"70,991,751.20",
2000-01-18,EQ,"1,294.00","1,294.00","1,200.00","1,270.05","1,235.00","1,220.15","1,227.43","5,094.00",930.00,51691,"63,447,291.85",
2000-01-19,EQ,"1,175.00","1,219.90","1,132.00","1,220.15","1,200.00","1,203.85","1,189.27","5,094.00",930.00,132669,"157,779,677.60",
2000-01-20,EQ,"1,205.00","1,223.00","1,201.00","1,203.85","1,208.00","1,208.80","1,212.22","5,094.00",930.00,44602,"54,067,534.95",
2000-01-21,EQ,"1,210.00","1,210.00","1,160.00","1,208.80","1,202.00","1,201.10","1,198.65","5,094.00",930.00,43168,"51,743,122.65",
2000-01-24,EQ,"1,218.00","1,223.90","1,185.00","1,201.10","1,212.00","1,212.00","1,210.61","5,094.00",930.00,67930,"82,236,929.30",
2000-01-25,EQ,"1,195.00","1,208.00","1,176.05","1,212.00","1,197.90","1,194.30","1,195.43","5,094.00",945.00,65851,"78,720,222.50",
2000-01-27,EQ,"1,225.00","1,225.00","1,185.00","1,194.30","1,195.00","1,190.30","1,197.07","5,094.00",945.00,33549,"40,160,477.50",
2000-01-28,EQ,"1,210.00","1,215.00","1,171.00","1,190.30","1,183.00","1,183.75","1,188.57","5,094.00",945.00,25834,"30,705,536.55",
2000-01-31,EQ,"1,162.00","1,184.90","1,155.00","1,183.75","1,169.35","1,173.10","1,172.11","5,094.00",945.00,30473,"35,717,569.05",
2000-02-01,EQ,"1,185.00","1,232.00","1,160.00","1,173.10","1,225.00","1,219.50","1,191.88","5,094.00",990.00,57336,"68,337,771.20",
2000-02-02,EQ,"1,249.00","1,295.00","1,240.00","1,219.50","1,277.00","1,270.85","1,267.86","5,094.00",990.00,67545,"85,637,535.20",
2000-02-03,EQ,"1,289.00","1,298.95","1,235.00","1,270.85","1,240.00","1,243.40","1,261.80","5,094.00",990.00,29108,"36,728,330.20",
2000-02-04,EQ,"1,245.00","1,250.00","1,196.15","1,243.40","1,225.00","1,216.15","1,214.08","5,094.00",990.00,30288,"36,771,948.00",
2000-02-07,EQ,"1,220.00","1,245.00","1,195.00","1,216.15","1,210.00","1,220.80","1,224.62","5,094.00",990.00,79074,"96,835,997.10",
2000-02-08,EQ,"1,201.00","1,234.50","1,185.25","1,220.80","1,205.00","1,205.65","1,202.08","5,094.00","1,040.00",67366,"80,979,264.35",
2000-02-09,EQ,"1,235.00","1,265.00","1,211.00","1,205.65","1,219.00","1,218.15","1,229.63","5,094.00","1,040.00",28941,"35,586,616.30",
2000-02-10,EQ,"1,200.00","1,212.00","1,185.00","1,218.15","1,204.00","1,197.60","1,196.45","5,094.00","1,040.00",28527,"34,131,241.20",
2000-02-11,EQ,"1,200.00","1,200.00","1,150.00","1,197.60","1,165.05","1,165.65","1,178.37","5,094.00","1,040.00",22600,"26,631,226.75",
2000-02-14,EQ,"1,155.00","1,169.00","1,100.00","1,165.65","1,151.00","1,152.45","1,152.20","5,094.00","1,040.00",56818,"65,465,436.60",
2000-02-15,EQ,"1,131.00","1,159.00","1,120.00","1,152.45","1,155.00","1,151.80","1,147.45","5,094.00","1,092.25",36573,"41,965,516.70",
2000-02-16,EQ,"1,165.00","1,180.00","1,150.00","1,151.80","1,174.65","1,164.75","1,164.12","5,094.00","1,092.25",12340,"14,365,243.50",
2000-02-17,EQ,"1,194.00","1,257.95","1,158.00","1,164.75","1,257.95","1,257.85","1,237.85","5,094.00","1,092.25",68138,"84,344,802.10",
