date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2010-11-04,EQ,291.0,344.9,291.0,245.0,342.0,342.55,327.29,344.9,291.0,479716245,"157,003,958,219.70",
2010-11-05,EQ,343.0,356.5,343.0,342.55,348.3,349.85,349.78,356.5,291.0,31927173,"11,167,471,966.55",
2010-11-08,EQ,351.8,355.9,329.5,349.85,331.4,330.75,335.19,356.5,291.0,46932779,"15,731,175,193.80",
2010-11-09,EQ,330.15,333.4,325.0,330.75,325.4,326.05,327.75,356.5,291.0,23741956,"7,781,382,790.65",
2010-11-10,EQ,325.4,327.8,320.05,326.05,321.3,322.8,323.78,356.5,291.0,21057129,"6,817,981,754.50",
2010-11-11,EQ,323.0,336.95,321.85,322.8,329.6,328.55,331.43,356.5,291.0,26548372,"8,799,018,185.35",
2010-11-12,EQ,330.0,332.95,318.0,328.55,320.55,320.15,325.77,356.5,291.0,15004107,"4,887,871,676.10",
2010-11-15,EQ,321.2,322.9,315.05,320.15,318.1,317.2,319.39,356.5,291.0,9917395,"3,167,543,767.70",
2010-11-16,EQ,320.0,323.95,316.1,317.2,317.5,318.05,319.21,356.5,291.0,12100114,"3,862,460,395.30",
2010-11-18,EQ,319.6,328.95,310.0,318.05,327.3,326.9,319.09,356.5,291.0,23983896,"7,652,940,946.50",
2010-11-19,EQ,330.25,339.95,328.1,326.9,329.0,333.55,335.77,356.5,291.0,51723739,"17,367,203,374.50",
2010-11-22,EQ,336.0,337.0,315.0,333.55,333.4,333.35,334.26,356.5,291.0,11494521,"3,842,208,464.70",
2010-11-23,EQ,330.5,332.4,317.5,333.35,320.0,320.15,325.22,356.5,291.0,13147667,"4,275,839,336.45",
2010-11-24,EQ,329.35,329.35,310.0,320.15,310.7,310.8,314.45,356.5,291.0,16243562,"5,107,733,984.75",
2010-11-25,EQ,314.0,318.35,311.1,310.8,313.75,313.2,314.49,356.5,291.0,6489260,"2,040,785,773.55",
2010-11-26,EQ,315.0,316.0,301.0,313.2,313.5,312.7,309.3,356.5,291.0,13657322,"4,224,243,850.15",
2010-11-29,EQ,311.4,319.7,308.2,312.7,319.0,317.45,314.03,356.5,291.0,6493219,"2,039,072,692.25",
2010-11-30,EQ,315.0,319.0,312.0,317.45,318.4,317.25,315.44,356.5,291.0,6050064,"1,908,430,217.40",
2010-12-01,EQ,317.0,322.5,315.0,317.25,321.3,320.95,319.53,356.5,291.0,5053942,"1,614,911,119.10",
2010-12-02,EQ,322.2,325.95,321.15,320.95,324.5,324.85,324.09,356.5,291.0,6143344,"1,990,965,921.80",
2010-12-03,EQ,318.1,325.7,318.1,324.85,322.9,321.95,321.8,356.5,291.0,2453815,"789,647,270.10",
2010-12-06,EQ,321.0,324.9,318.5,321.95,320.3,320.4,321.82,356.5,291.0,2895539,"931,835,883.40",
2010-12-07,EQ,320.5,322.75,317.25,320.4,320.0,320.0,320.36,356.5,291.0,3484977,"1,116,432,005.65",
2010-12-08,EQ,318.6,322.7,317.25,320.0,318.5,318.85,318.73,356.5,291.0,2877153,"917,041,846.50",
2010-12-09,EQ,318.0,320.0,309.0,318.85,313.6,313.2,312.44,356.5,291.0,5313081,"1,660,026,975.50",
2010-12-10,EQ,312.0,322.0,312.0,313.2,316.45,317.3,317.81,356.5,291.0,5799900,"1,843,283,418.25",
2010-12-13,EQ,318.0,324.35,317.0,317.3,323.55,323.15,321.02,356.5,291.0,2809522,"901,921,749.50",
2010-12-14,EQ,324.45,331.0,322.75,323.15,325.3,325.3,327.29,356.5,291.0,7075931,"2,315,872,203.65",
2010-12-15,EQ,325.6,330.0,323.0,325.3,328.1,327.85,327.66,356.5,291.0,5380352,"1,762,906,226.85",
2010-12-16,EQ,326.75,327.0,317.4,327.85,320.5,320.7,321.06,356.5,291.0,2893052,"928,829,422.20",
2010-12-20,EQ,323.0,323.0,315.05,320.7,315.15,316.0,317.6,356.5,291.0,2905355,"922,749,029.45",
2010-12-21,EQ,318.8,318.8,311.2,316.0,312.75,313.3,314.05,356.5,291.0,4427901,"1,390,574,149.30",
2010-12-22,EQ,315.1,319.7,312.7,313.3,313.2,314.05,315.48,356.5,291.0,5425074,"1,711,502,303.50",
2010-12-23,EQ,315.05,315.95,312.0,314.05,312.45,312.95,314.09,356.5,291.0,3326534,"1,044,827,591.10",
2010-12-24,EQ,313.0,313.9,310.1,312.95,312.2,312.15,312.17,356.5,291.0,1859093,"580,361,493.25",
2010-12-27,EQ,312.15,314.3,306.5,312.15,307.0,307.3,308.98,356.5,291.0,5273320,"1,629,376,537.10",
2010-12-28,EQ,308.0,309.95,301.0,307.3,304.4,303.75,303.82,356.5,291.0,8055446,"2,447,444,463.40",
2010-12-29,EQ,306.1,311.4,304.3,303.75,310.0,310.25,308.24,356.5,291.0,5772875,"1,779,427,971.80",
2010-12-30,EQ,311.0,311.6,307.0,310.25,308.2,308.05,308.24,356.5,291.0,2643251,"814,744,788.75",
2010-12-31,EQ,309.5,316.45,308.3,308.05,314.0,314.75,314.43,356.5,291.0,4960987,"1,559,898,663.30",
2011-01-03,EQ,315.5,318.0,314.55,314.75,317.55,317.3,316.32,356.5,291.0,2929118,"926,545,211.85",
2011-01-04,EQ,318.9,320.0,316.05,317.3,318.9,319.2,318.63,356.5,291.0,2716995,"865,713,190.00",
2011-01-05,EQ,320.0,320.0,308.25,319.2,309.6,309.8,310.61,356.5,291.0,8555905,"2,657,533,789.45",
2011-01-06,EQ,311.0,313.0,308.5,309.8,309.0,309.1,310.08,356.5,291.0,2763146,"856,783,008.85",
2011-01-07,EQ,310.0,313.5,302.15,309.1,308.3,309.1,309.85,356.5,291.0,2298583,"712,207,553.60",
2011-01-10,EQ,309.9,310.0,302.1,309.1,306.8,305.15,304.45,356.5,291.0,5413595,"1,648,157,367.60",
2011-01-11,EQ,306.0,312.95,306.0,305.15,309.9,309.05,309.83,356.5,291.0,2781948,"861,921,046.80",
2011-01-12,EQ,309.9,312.9,306.25,309.05,308.5,308.5,307.99,356.5,291.0,1181115,"363,775,457.45",
2011-01-13,EQ,309.4,313.95,307.5,308.5,310.0,310.45,310.57,356.5,291.0,2070696,"643,092,005.65",
2011-01-14,EQ,310.45,315.5,307.95,310.45,310.0,310.5,312.62,356.5,291.0,2244505,"701,670,038.40",
2011-01-17,EQ,307.25,314.0,306.2,310.5,312.7,313.15,312.84,356.5,291.0,1707118,"534,055,956.30",
2011-01-18,EQ,313.5,313.95,308.0,313.15,310.85,311.15,311.49,356.5,291.0,844507,"263,051,959.40",
2011-01-19,EQ,311.0,312.7,307.95,311.15,308.8,309.4,311.03,356.5,291.0,1426048,"443,546,677.70",
2011-01-20,EQ,308.8,319.2,308.1,309.4,316.2,315.7,315.56,356.5,291.0,6121175,"1,931,570,366.95",
2011-01-21,EQ,316.45,316.45,312.0,315.7,314.5,314.15,314.12,356.5,291.0,2413133,"758,021,461.80",
2011-01-24,EQ,314.9,314.9,309.0,314.15,309.7,310.45,312.36,356.5,291.0,1097986,"342,964,207.70",
2011-01-25,EQ,311.0,315.7,308.55,310.45,309.1,310.0,313.31,356.5,291.0,2452476,"768,388,938.25",
2011-01-27,EQ,311.0,312.9,307.2,310.0,308.0,308.3,309.52,356.5,291.0,2455783,"760,113,839.55",
2011-01-28,EQ,307.05,309.7,303.05,308.3,303.9,305.05,306.12,356.5,291.0,4236476,"1,296,850,169.45",
2011-01-31,EQ,302.0,307.5,300.55,305.05,304.7,304.35,304.25,356.5,291.0,3673855,"1,117,787,678.25",
2011-02-01,EQ,305.5,309.85,303.5,304.35,308.55,308.3,306.86,356.5,291.0,4863055,"1,492,276,321.40",
2011-02-02,EQ,310.1,314.9,308.55,308.3,313.0,312.5,310.45,356.5,291.0,3374631,"1,047,639,969.55",
2011-02-03,EQ,311.0,320.0,310.9,312.5,316.2,317.35,317.07,356.5,291.0,4211492,"1,335,349,212.75",
2011-02-04,EQ,317.35,318.1,307.0,317.35,308.95,308.15,310.74,356.5,291.0,1688679,"524,742,865.05",
2011-02-07,EQ,309.4,310.45,304.15,308.15,304.75,304.65,306.13,356.5,291.0,1799233,"550,808,157.35",
2011-02-08,EQ,306.9,307.45,296.2,304.65,301.9,301.4,301.99,356.5,291.0,3841730,"1,160,177,064.05",
2011-02-09,EQ,302.0,307.85,297.0,301.4,299.0,298.7,301.26,356.5,291.0,4490558,"1,352,814,587.30",
2011-02-10,EQ,300.1,304.0,293.25,298.7,298.05,297.65,298.44,356.5,291.0,2690945,"803,074,433.05",
2011-02-11,EQ,298.1,305.0,298.0,297.65,304.5,304.6,302.62,356.5,291.0,3292240,"996,302,684.30",
2011-02-14,EQ,306.0,307.0,300.1,304.6,302.25,302.8,304.03,356.5,291.0,1942474,"590,563,344.40",
2011-02-15,EQ,304.5,307.85,302.0,302.8,302.3,302.45,304.53,356.5,291.0,3035367,"924,359,276.55",
2011-02-16,EQ,304.25,304.45,300.45,302.45,301.05,301.1,301.79,356.5,291.0,1619527,"488,751,771.35",
2011-02-17,EQ,302.95,306.4,302.0,301.1,305.5,305.05,303.78,356.5,291.0,2752128,"836,031,920.90",
2011-02-18,EQ,303.9,305.2,300.1,305.05,301.8,302.35,302.99,356.5,291.0,1990388,"603,072,415.40",
2011-02-21,EQ,301.5,303.9,300.0,302.35,303.2,301.85,301.5,356.5,291.0,953044,"287,342,072.40",
