date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,"1,505.00","1,508.25","1,505.00","1,396.50","1,508.25","1,508.25","1,508.21","1,600.00",476.55,13280,"20,029,043.75",
2000-01-04,EQ,"1,590.00","1,628.95","1,510.00","1,508.25","1,628.95","1,628.95","1,579.29","1,600.00",497.00,57142,"90,244,049.10",
2000-01-05,EQ,"1,549.00","1,650.00","1,499.00","1,628.95","1,566.00","1,568.05","1,594.99","1,628.95",497.00,119697,"190,915,536.00",
2000-01-06,EQ,"1,599.00","1,693.50","1,571.00","1,568.05","1,693.50","1,661.55","1,632.11","1,650.00",497.00,121966,"199,062,465.90",
2000-01-07,EQ,"1,685.00","1,685.00","1,528.65","1,661.55","1,528.65","1,529.10","1,585.24","1,693.50",497.00,79641,"126,249,736.10",
2000-01-10,EQ,"1,560.00","1,560.00","1,407.50","1,529.10","1,502.00","1,503.90","1,503.84","1,693.50",497.00,62612,"94,158,496.60",
2000-01-11,EQ,"1,512.00","1,529.00","1,384.00","1,503.90","1,436.00","1,446.60","1,449.71","1,693.50",500.00,89184,"129,291,377.05",
2000-01-12,EQ,"1,460.00","1,540.00","1,460.00","1,446.60","1,486.05","1,490.90","1,496.50","1,693.50",500.00,31611,"47,306,008.95",
2000-01-13,EQ,"1,485.00","1,545.00","1,461.00","1,490.90","1,470.05","1,477.45","1,511.43","1,693.50",500.00,39753,"60,083,970.20",
2000-01-14,EQ,"1,470.05","1,510.00","1,412.00","1,477.45","1,486.45","1,473.50","1,458.08","1,693.50",500.00,46272,"67,468,481.15",
2000-01-17,EQ,"1,515.00","1,570.00","1,495.00","1,473.50","1,495.00","1,508.75","1,533.26","1,693.50",500.00,67750,"103,878,529.05",
2000-01-18,EQ,"1,475.00","1,475.00","1,431.05","1,508.75","1,450.00","1,450.35","1,450.67","1,693.50",500.00,44008,"63,841,037.40",
2000-01-19,EQ,"1,490.00","1,566.40","1,465.00","1,450.35","1,566.40","1,566.40","1,539.85","1,693.50",500.00,77430,"119,230,588.35",
2000-01-20,EQ,"1,600.00","1,649.75","1,515.05","1,566.40","1,548.90","1,537.05","1,593.07","1,693.50",500.00,225319,"358,949,127.45",
2000-01-21,EQ,"1,580.00","1,580.00","1,530.00","1,537.05","1,567.80","1,551.50","1,549.77","1,693.50",500.00,57911,"89,748,985.80",
2000-01-24,EQ,"1,580.00","1,590.00","1,510.10","1,551.50","1,515.00","1,521.00","1,556.22","1,693.50",500.00,54652,"85,050,381.35",
2000-01-25,EQ,"1,480.00","1,519.00","1,445.00","1,521.00","1,464.00","1,453.85","1,471.03","1,693.50",500.00,77439,"113,915,170.55",
2000-01-27,EQ,"1,485.00","1,549.00","1,460.00","1,453.85","1,465.00","1,470.35","1,498.46","1,693.50",500.00,114477,"171,539,324.15",
2000-01-28,EQ,"1,484.00","1,492.00","1,410.00","1,470.35","1,425.00","1,428.90","1,457.76","1,693.50",500.00,78901,"115,018,607.70",
2000-01-31,EQ,"1,440.00","1,450.00","1,350.00","1,428.90","1,363.10","1,366.80","1,396.90","1,693.50",500.00,39291,"54,885,488.75",
2000-02-01,EQ,"1,350.00","1,419.00","1,333.00","1,366.80","1,415.00","1,400.25","1,382.81","1,693.50",513.00,88075,"121,791,302.95",
2000-02-02,EQ,"1,459.00","1,512.30","1,450.00","1,400.25","1,495.00","1,496.00","1,492.88","1,693.50",513.00,104003,"155,264,376.05",
