date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,48.0,48.85,48.0,45.2,48.85,48.85,48.75,66.0,10.0,4100,"199,870.00",
2000-01-04,EQ,52.0,52.75,50.15,48.85,51.8,51.4,51.44,66.0,10.0,49100,"2,525,880.00",
2000-01-05,EQ,55.0,55.55,51.05,51.4,55.55,55.55,53.99,66.0,10.0,47800,"2,580,730.00",
2000-01-06,EQ,59.75,60.0,57.3,55.55,60.0,60.0,59.75,66.0,10.0,106200,"6,345,465.00",
2000-01-07,EQ,64.0,64.8,60.1,60.0,64.8,64.65,64.08,66.0,10.0,115500,"7,401,300.00",
2000-01-10,EQ,67.95,68.5,61.5,64.65,65.25,65.5,64.22,66.0,10.0,107100,"6,877,835.00",
2000-01-11,EQ,62.8,64.0,60.3,65.5,62.45,61.6,61.55,68.5,10.0,107700,"6,628,620.00",
2000-01-12,EQ,62.0,65.25,61.15,61.6,65.0,63.95,64.16,68.5,10.0,62200,"3,990,840.00",
2000-01-13,EQ,65.0,66.0,60.45,63.95,60.45,61.25,63.42,68.5,10.0,83300,"5,282,680.00",
2000-01-14,EQ,64.9,64.95,60.3,61.25,63.0,62.35,61.82,68.5,10.0,36100,"2,231,785.00",
2000-01-17,EQ,64.0,67.35,64.0,62.35,66.0,65.25,66.09,68.5,10.0,114100,"7,541,345.00",
2000-01-18,EQ,65.55,66.5,62.5,65.25,65.55,65.55,64.22,68.5,10.0,75600,"4,855,075.00",
2000-01-19,EQ,67.0,67.5,64.1,65.55,66.0,66.05,65.92,68.5,10.0,58100,"3,830,095.00",
2000-01-20,EQ,66.0,67.0,61.6,66.05,61.6,62.4,64.2,68.5,10.0,30900,"1,983,830.00",
2000-01-21,EQ,61.15,63.9,61.1,62.4,63.15,63.25,62.28,68.5,10.0,21500,"1,339,125.00",
2000-01-24,EQ,62.0,62.0,58.5,63.25,59.1,59.9,59.5,68.5,10.0,37900,"2,255,055.00",
2000-01-25,EQ,57.1,58.5,56.05,59.9,57.25,56.95,56.98,68.5,10.0,40200,"2,290,790.00",
2000-01-27,EQ,57.95,57.95,56.0,56.95,57.1,57.05,56.74,68.5,10.0,28400,"1,611,305.00",
2000-01-28,EQ,56.0,56.95,55.1,57.05,55.25,55.4,55.6,68.5,10.0,15600,"867,340.00",
2000-01-31,EQ,54.1,55.3,51.0,55.4,51.0,51.55,52.33,68.5,10.0,12700,"664,595.00",
2000-02-01,EQ,49.1,52.8,49.1,51.55,52.0,51.4,51.42,68.5,10.0,27500,"1,414,165.00",
2000-02-02,EQ,54.9,55.55,53.0,51.4,55.55,55.55,54.3,68.5,10.0,56500,"3,067,900.00",
2000-02-03,EQ,55.5,60.0,55.5,55.55,58.75,58.85,58.42,68.5,10.0,16200,"946,470.00",
2000-02-04,EQ,61.0,63.6,60.5,58.85,63.6,63.6,62.81,68.5,10.0,55300,"3,473,435.00",
2000-02-07,EQ,64.0,64.0,60.1,63.6,60.1,60.45,62.15,68.5,10.0,21000,"1,305,155.00",
2000-02-08,EQ,56.0,60.0,56.0,60.45,57.0,57.35,57.95,68.5,10.15,21600,"1,251,800.00",
2000-02-09,EQ,59.95,59.95,54.15,57.35,54.5,55.25,57.92,68.5,10.15,19500,"1,129,495.00",
2000-02-10,EQ,57.5,57.7,54.0,55.25,57.7,56.55,55.56,68.5,10.15,9700,"538,895.00",
2000-02-11,EQ,54.35,56.5,54.3,56.55,55.0,55.0,55.01,68.5,10.15,3900,"214,555.00",
2000-02-14,EQ,53.0,54.0,51.1,55.0,52.4,52.4,52.09,68.5,10.15,6500,"338,580.00",
2000-02-15,EQ,51.0,53.0,48.5,52.4,49.45,49.1,50.12,68.5,11.15,17500,"877,080.00",
