date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,65.0,70.0,65.0,67.8,68.8,68.7,67.91,106.5,53.8,76055,"5,165,165.60",
2000-01-04,EQ,69.85,72.9,66.0,68.7,67.0,66.35,67.29,106.5,53.8,98097,"6,600,457.45",
2000-01-05,EQ,68.35,68.7,61.1,66.35,63.0,63.2,65.24,106.5,53.8,92690,"6,046,889.25",
2000-01-06,EQ,64.8,67.0,63.0,63.2,64.75,64.95,65.55,106.5,53.8,173654,"11,382,986.85",
2000-01-07,EQ,65.9,65.9,62.0,64.95,62.9,62.65,63.76,106.5,53.8,86590,"5,521,388.10",
2000-01-10,EQ,64.95,64.95,62.0,62.65,62.7,62.3,62.81,106.5,53.8,85104,"5,344,978.65",
2000-01-11,EQ,62.0,62.4,59.0,62.3,59.75,59.8,60.79,106.5,53.8,97101,"5,902,702.65",
2000-01-12,EQ,62.7,62.7,60.25,59.8,61.7,61.55,61.25,106.5,53.8,97974,"6,000,924.80",
2000-01-13,EQ,62.3,62.5,61.25,61.55,61.7,61.85,61.88,106.5,53.8,28151,"1,741,960.45",
2000-01-14,EQ,61.75,62.9,60.05,61.85,62.9,62.45,61.34,106.5,53.8,33125,"2,031,843.00",
2000-01-17,EQ,63.5,64.45,62.0,62.45,63.7,63.8,63.79,106.5,53.8,82245,"5,246,672.25",
2000-01-18,EQ,64.4,67.9,63.55,63.8,66.55,66.95,65.33,106.5,53.8,70485,"4,605,051.90",
2000-01-19,EQ,70.0,70.0,65.0,66.95,66.0,65.8,67.91,106.5,53.8,119332,"8,103,399.50",
2000-01-20,EQ,65.5,66.45,62.85,65.8,63.45,63.4,64.26,106.5,53.8,47088,"3,026,083.60",
2000-01-21,EQ,62.25,64.0,62.0,63.4,62.7,62.25,62.62,106.5,53.8,57404,"3,594,393.15",
2000-01-24,EQ,63.0,64.25,61.25,62.25,62.5,62.15,62.61,106.5,53.8,53436,"3,345,634.95",
