date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,429.9,438.3,425.0,405.8,438.3,438.3,432.24,542.0,102.3,101578,"43,906,213.35",
2000-01-04,EQ,437.5,440.0,420.05,438.3,439.5,437.15,428.27,542.0,102.3,126117,"54,012,157.70",
2000-01-05,EQ,420.1,447.9,412.0,437.15,430.0,439.6,436.1,542.0,102.3,163877,"71,466,602.80",
2000-01-06,EQ,449.9,474.8,449.9,439.6,474.8,474.8,474.68,542.0,102.3,44248,"21,003,839.30",
2000-01-07,EQ,472.0,512.8,472.0,474.8,512.8,512.8,512.61,542.0,102.3,188564,"96,660,494.80",
2000-01-10,EQ,553.8,553.85,475.0,512.8,510.0,501.95,505.41,542.0,102.3,368433,"186,208,743.90",
2000-01-11,EQ,497.0,497.0,462.0,501.95,462.0,474.3,479.9,553.85,102.3,196177,"94,144,712.10",
2000-01-12,EQ,465.0,472.0,437.0,474.3,461.9,458.45,456.26,553.85,102.3,68421,"31,217,762.45",
2000-01-13,EQ,460.0,475.0,442.0,458.45,456.0,452.35,460.77,553.85,102.3,103720,"47,790,578.20",
2000-01-14,EQ,460.0,460.0,416.2,452.35,433.0,434.95,432.61,553.85,102.3,93774,"40,567,957.20",
2000-01-17,EQ,434.0,453.5,434.0,434.95,451.0,450.9,446.62,553.85,102.3,122901,"54,889,999.45",
2000-01-18,EQ,451.0,457.2,426.0,450.9,429.9,431.3,441.85,553.85,102.3,85911,"37,959,457.00",
2000-01-19,EQ,445.0,450.0,410.0,431.3,425.0,418.95,425.13,553.85,102.3,309006,"131,367,141.00",
2000-01-20,EQ,428.0,435.0,422.0,418.95,426.2,425.55,427.94,553.85,102.3,215838,"92,364,653.20",
2000-01-21,EQ,425.0,425.0,405.5,425.55,412.0,409.45,413.75,553.85,102.3,107477,"44,468,918.00",
2000-01-24,EQ,412.0,422.9,412.0,409.45,415.4,415.15,417.02,553.85,102.3,118612,"49,463,302.35",
2000-01-25,EQ,405.0,416.0,381.95,415.15,390.0,389.7,391.31,553.85,102.3,225256,"88,144,504.90",
2000-01-27,EQ,396.9,414.8,388.0,389.7,390.0,397.65,402.93,553.85,102.3,333149,"134,235,673.25",
2000-01-28,EQ,400.0,410.0,383.0,397.65,384.0,385.4,393.77,553.85,102.3,388709,"153,062,876.25",
2000-01-31,EQ,388.0,390.0,370.0,385.4,379.05,384.5,380.29,553.85,102.3,286867,"109,093,606.45",
2000-02-01,EQ,381.0,381.0,365.0,384.5,366.15,365.75,371.49,553.85,102.3,349769,"129,936,680.05",
2000-02-02,EQ,377.0,379.85,366.5,365.75,369.75,369.1,373.88,553.85,102.3,258977,"96,825,646.20",
2000-02-03,EQ,379.0,379.0,369.0,369.1,373.5,375.55,375.56,553.85,102.3,127513,"47,888,397.60",
2000-02-04,EQ,380.0,380.0,371.95,375.55,373.5,373.55,375.81,553.85,102.3,95007,"35,704,491.55",
2000-02-07,EQ,377.0,377.0,366.5,373.55,375.2,373.3,371.67,553.85,102.3,149597,"55,600,666.50",
2000-02-08,EQ,378.0,403.2,373.0,373.3,403.2,401.95,398.78,553.85,102.3,348592,"139,011,139.50",
2000-02-09,EQ,424.85,434.1,404.0,401.95,408.95,407.4,420.93,553.85,102.3,372455,"156,776,154.70",
2000-02-10,EQ,404.0,415.0,397.0,407.4,399.0,401.1,406.36,553.85,102.3,184831,"75,107,730.70",
2000-02-11,EQ,395.0,400.5,375.0,401.1,389.8,386.05,388.57,553.85,102.3,232143,"90,203,194.60",
2000-02-14,EQ,390.0,398.0,363.6,386.05,370.0,368.8,371.42,553.85,102.3,147635,"54,834,812.00",
2000-02-15,EQ,360.15,367.9,346.2,368.8,359.0,355.7,356.87,553.85,102.3,273607,"97,643,374.25",
2000-02-16,EQ,365.0,370.0,360.0,355.7,363.5,365.5,365.46,553.85,102.3,114052,"41,681,529.95",
2000-02-17,EQ,362.0,368.8,352.0,365.5,355.0,357.4,360.3,553.85,102.3,81326,"29,301,711.10",
2000-02-18,EQ,353.0,363.7,329.0,357.4,345.0,345.7,346.89,553.85,102.3,339324,"117,709,097.85",
2000-02-21,EQ,339.0,345.0,318.05,345.7,318.05,318.05,319.66,553.85,102.3,93799,"29,983,987.35",
2000-02-22,EQ,308.05,311.9,292.65,318.05,292.65,292.75,294.43,553.85,102.3,305087,"89,827,065.05",
2000-02-23,EQ,302.95,302.95,281.0,292.75,286.0,285.1,290.35,553.85,102.3,292520,"84,933,806.25",
2000-02-24,EQ,289.9,293.0,278.05,285.1,280.0,284.05,287.13,553.85,102.3,202515,"58,148,351.45",
2000-02-25,EQ,284.9,306.8,284.0,284.05,306.8,304.35,303.3,553.85,102.3,300500,"91,141,463.40",
2000-02-28,EQ,312.0,328.7,312.0,304.35,328.7,328.7,322.41,553.85,102.3,104770,"33,779,382.90",
2000-02-29,EQ,340.0,355.0,309.0,328.7,309.0,323.8,347.26,553.85,102.3,518129,"179,925,053.00",
2000-03-01,EQ,317.0,330.0,305.0,323.8,323.15,321.5,321.32,553.85,102.3,65207,"20,952,480.05",
2000-03-02,EQ,330.0,347.25,330.0,321.5,347.25,347.25,345.37,553.85,102.3,176853,"61,079,759.85",
2000-03-03,EQ,349.0,375.05,339.0,347.25,375.05,371.2,364.03,553.85,102.3,289597,"105,423,177.50",
2000-03-06,EQ,375.1,385.0,360.1,371.2,371.0,370.45,371.31,553.85,102.3,150851,"56,011,959.95",
2000-03-07,EQ,372.0,375.0,340.85,370.45,340.85,341.15,344.7,553.85,102.3,81572,"28,117,917.00",
2000-03-08,EQ,348.0,368.45,342.05,341.15,367.75,364.9,354.79,553.85,102.3,66976,"23,762,437.15",
