date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-11,EQ,"1,550.00","1,725.00","1,492.00",580.00,"1,560.00","1,554.45","1,582.72",-,-,1192200,"1,886,914,610.00",
2000-01-12,EQ,"1,560.00","1,678.85","1,560.00","1,554.45","1,678.85","1,678.85","1,657.05","1,725.00","1,492.00",344850,"571,434,945.00",
2000-01-13,EQ,"1,790.00","1,813.20","1,781.00","1,678.85","1,813.20","1,813.20","1,804.69","1,725.00","1,492.00",53000,"95,648,797.50",
2000-01-14,EQ,"1,958.30","1,958.30","1,835.00","1,813.20","1,958.30","1,958.30","1,939.90","1,813.20","1,492.00",270950,"525,616,932.50",
2000-01-17,EQ,"2,115.00","2,115.00","1,801.65","1,958.30","1,801.65","1,801.65","1,990.55","1,958.30","1,492.00",428800,"853,547,337.50",
2000-01-18,EQ,"1,730.55","1,815.00","1,657.55","1,801.65","1,775.00","1,774.50","1,716.39","2,115.00","1,492.00",359900,"617,728,020.00",
2000-01-19,EQ,"1,815.00","1,889.00","1,760.00","1,774.50","1,842.80","1,851.15","1,842.81","2,115.00","1,492.00",316050,"582,420,400.00",
2000-01-20,EQ,"1,865.00","1,865.00","1,750.00","1,851.15","1,753.50","1,757.85","1,801.37","2,115.00","1,492.00",204700,"368,740,925.00",
2000-01-21,EQ,"1,761.00","1,815.00","1,705.00","1,757.85","1,786.00","1,781.35","1,774.01","2,115.00","1,492.00",282150,"500,536,040.00",
2000-01-24,EQ,"1,834.90","1,923.90","1,795.00","1,781.35","1,923.90","1,923.90","1,875.34","2,115.00","1,492.00",328650,"616,331,717.50",
2000-01-25,EQ,"1,990.00","2,077.85","1,990.00","1,923.90","2,077.85","2,077.85","2,065.71","2,115.00","1,492.00",313500,"647,601,040.00",
2000-01-27,EQ,"2,239.90","2,239.90","1,965.00","2,077.85","2,078.00","2,080.60","2,101.92","2,115.00","1,492.00",352400,"740,715,002.50",
2000-01-28,EQ,"2,100.00","2,245.00","2,020.20","2,080.60","2,190.00","2,196.95","2,173.00","2,239.90","1,492.00",360800,"784,019,745.00",
2000-01-31,EQ,"2,111.00","2,200.00","2,021.20","2,196.95","2,021.20","2,030.40","2,083.45","2,245.00","1,492.00",217650,"453,462,005.00",
2000-02-01,EQ,"1,981.20","2,180.00","1,981.20","2,030.40","2,160.00","2,162.25","2,110.66","2,245.00","1,492.00",261000,"550,883,427.50",
2000-02-02,EQ,"2,260.00","2,260.00","2,010.00","2,162.25","2,035.00","2,024.25","2,085.91","2,245.00","1,492.00",326550,"681,154,232.50",
2000-02-03,EQ,"2,075.00","2,075.00","1,915.20","2,024.25","1,965.00","1,956.50","1,989.66","2,260.00","1,492.00",175800,"349,782,055.00",
2000-02-04,EQ,"1,993.00","2,064.00","1,965.00","1,956.50","1,977.00","1,986.60","2,008.25","2,260.00","1,492.00",176500,"354,455,975.00",
2000-02-07,EQ,"1,985.00","2,119.95","1,960.05","1,986.60","2,036.00","2,062.95","2,048.51","2,260.00","1,492.00",277850,"569,179,080.00",
2000-02-08,EQ,"2,049.40","2,060.00","1,970.00","2,062.95","2,014.00","1,999.20","2,017.09","2,260.00","1,492.00",199100,"401,602,667.50",
2000-02-09,EQ,"2,100.00","2,100.00","1,975.00","1,999.20","1,991.00","1,999.00","2,011.50","2,260.00","1,492.00",180500,"363,076,322.50",
2000-02-10,EQ,"1,976.65","2,014.80","1,965.00","1,999.00","1,990.00","1,996.75","1,992.36","2,260.00","1,492.00",76850,"153,113,212.50",
2000-02-11,EQ,"1,998.00","2,156.50","1,992.00","1,996.75","2,156.50","2,156.50","2,110.61","2,260.00","1,492.00",166150,"350,678,065.00",
2000-02-14,EQ,"2,199.00","2,329.05","2,199.00","2,156.50","2,329.05","2,324.70","2,293.27","2,260.00","1,492.00",265150,"608,061,792.50",
2000-02-15,EQ,"2,350.00","2,510.70","2,210.00","2,324.70","2,500.00","2,508.40","2,425.21","2,329.05","1,492.00",224500,"544,458,567.50",
2000-02-16,EQ,"2,560.00","2,560.00","2,307.75","2,508.40","2,418.00","2,423.10","2,411.48","2,510.70","1,492.00",260850,"629,034,345.00",
2000-02-17,EQ,"2,445.00","2,616.95","2,380.00","2,423.10","2,616.95","2,614.70","2,526.71","2,560.00","1,492.00",276550,"698,760,890.00",
2000-02-18,EQ,"2,800.00","2,823.90","2,760.50","2,614.70","2,771.00","2,775.95","2,807.40","2,616.95","1,492.00",173400,"486,803,172.50",
2000-02-21,EQ,"2,823.00","2,998.00","2,725.00","2,775.95","2,805.00","2,819.15","2,883.95","2,823.90","1,492.00",151800,"437,782,950.00",
2000-02-22,EQ,"2,800.00","2,875.00","2,652.00","2,819.15","2,710.00","2,700.30","2,772.79","2,998.00","1,492.00",88250,"244,698,400.00",
2000-02-23,EQ,"2,825.00","2,870.00","2,484.30","2,700.30","2,499.00","2,548.80","2,696.63","2,998.00","1,492.00",71250,"192,134,960.00",
2000-02-24,EQ,"2,570.00","2,650.00","2,445.00","2,548.80","2,455.00","2,464.10","2,539.89","2,998.00","1,492.00",67350,"171,061,432.50",
2000-02-25,EQ,"2,498.00","2,540.00","2,280.00","2,464.10","2,325.00","2,317.30","2,395.84","2,998.00","1,492.00",72050,"172,620,415.00",
2000-02-28,EQ,"2,200.00","2,300.00","2,132.00","2,317.30","2,261.00","2,262.75","2,201.30","2,998.00","1,492.00",67550,"148,697,620.00",
2000-02-29,EQ,"2,325.00","2,350.00","2,081.75","2,262.75","2,081.75","2,081.75","2,206.52","2,998.00","1,492.00",85100,"187,774,507.50",
2000-03-01,EQ,"2,000.00","2,248.30","1,915.25","2,081.75","2,248.30","2,248.30","2,099.09","2,998.00","1,492.00",217400,"456,342,160.00",
2000-03-02,EQ,"2,399.00","2,428.20","2,350.00","2,248.30","2,428.20","2,428.20","2,416.21","2,998.00","1,492.00",73000,"176,383,392.50",
2000-03-03,EQ,"2,618.90","2,622.50","2,350.00","2,428.20","2,402.00","2,443.60","2,458.27","2,998.00","1,492.00",144050,"354,113,962.50",
2000-03-06,EQ,"2,500.00","2,500.00","2,248.15","2,443.60","2,262.00","2,249.75","2,328.13","2,998.00","1,492.00",50200,"116,871,927.50",
2000-03-07,EQ,"2,225.00","2,269.00","2,069.80","2,249.75","2,069.80","2,069.80","2,093.46","2,998.00","1,492.00",74050,"155,020,607.50",
2000-03-08,EQ,"2,000.00","2,150.00","1,940.00","2,069.80","1,960.00","1,975.40","2,005.46","2,998.00","1,492.00",123150,"246,972,365.00",
2000-03-09,EQ,"1,952.00","2,085.00","1,817.40","1,975.40","1,870.00","1,911.55","1,932.58","2,998.00","1,492.00",141050,"272,589,912.50",
2000-03-10,EQ,"1,902.00","1,949.90","1,770.00","1,911.55","1,818.00","1,798.90","1,851.73","2,998.00","1,492.00",70000,"129,620,787.50",
2000-03-13,EQ,"1,839.00","1,915.00","1,655.00","1,798.90","1,655.00","1,655.00","1,713.70","2,998.00","1,492.00",95250,"163,230,050.00",
2000-03-14,EQ,"1,650.00","1,725.00","1,522.60","1,655.00","1,700.00","1,667.75","1,579.57","2,998.00","1,492.00",122700,"193,812,702.50",
2000-03-15,EQ,"1,750.00","1,801.20","1,578.05","1,667.75","1,801.20","1,801.20","1,680.67","2,998.00","1,492.00",38000,"63,865,627.50",
2000-03-16,EQ,"1,945.00","1,945.30","1,945.00","1,801.20","1,945.30","1,945.30","1,945.29","2,998.00","1,492.00",7750,"15,076,015.00",
2000-03-21,EQ,"2,089.00","2,100.95","2,000.00","1,945.30","2,100.95","2,100.95","2,075.22","2,998.00","1,492.00",67200,"139,455,042.50",
2000-03-22,EQ,"2,269.05","2,269.05","2,269.05","2,100.95","2,269.05","2,269.05","2,269.05","2,998.00","1,492.00",6900,"15,656,445.00",
2000-03-23,EQ,"2,399.00","2,450.00","2,090.00","2,269.05","2,180.00","2,148.35","2,197.71","2,998.00","1,492.00",74050,"162,740,522.50",
2000-03-24,EQ,"2,055.00","2,185.00","2,031.00","2,148.35","2,130.00","2,123.35","2,119.40","2,998.00","1,492.00",113100,"239,703,590.00",
2000-03-27,EQ,"2,140.00","2,205.00","1,995.00","2,123.35","2,110.00","2,102.60","2,083.92","2,998.00","1,492.00",87200,"181,717,565.00",
2000-03-28,EQ,"2,082.00","2,092.00","2,000.00","2,102.60","2,000.00","2,004.50","2,005.77","2,998.00","1,492.00",52250,"104,801,345.00",
2000-03-29,EQ,"2,050.00","2,098.00","2,000.00","2,004.50","2,022.00","2,023.15","2,026.34","2,998.00","1,492.00",79100,"160,283,862.50",
2000-03-30,EQ,"1,950.00","1,970.00","1,861.30","2,023.15","1,870.00","1,865.15","1,892.74","2,998.00","1,492.00",41750,"79,022,045.00",
2000-03-31,EQ,"1,802.00","1,803.00","1,715.95","1,865.15","1,733.50","1,722.05","1,720.56","2,998.00","1,492.00",88200,"151,753,152.50",
2000-04-03,EQ,"1,799.00","1,800.00","1,584.30","1,722.05","1,584.30","1,584.30","1,613.81","2,998.00","1,492.00",74100,"119,583,540.00",
2000-04-04,EQ,"1,457.60","1,457.60","1,457.60","1,584.30","1,457.60","1,457.60","1,457.60","2,998.00","1,492.00",17000,"24,779,200.00",
2000-04-05,EQ,"1,341.00","1,544.00","1,341.00","1,457.60","1,477.00","1,495.15","1,422.25","2,998.00","1,457.60",119800,"170,386,090.00",
2000-04-06,EQ,"1,545.00","1,614.80","1,400.00","1,495.15","1,614.80","1,598.50","1,483.37","2,998.00","1,341.00",105800,"156,940,540.00",
2000-04-07,EQ,"1,698.00","1,726.40","1,698.00","1,598.50","1,726.40","1,726.40","1,726.33","2,998.00","1,341.00",19300,"33,318,100.00",
2000-04-10,EQ,"1,855.00","1,864.55","1,855.00","1,726.40","1,864.55","1,864.55","1,864.51","2,998.00","1,341.00",22900,"42,697,240.00",
2000-04-11,EQ,"1,864.55","2,013.75","1,720.00","1,864.55","1,927.00","1,893.80","1,875.19","2,998.00","1,341.00",227450,"426,512,630.00",
2000-04-12,EQ,"1,874.00","1,944.00","1,742.30","1,893.80","1,742.30","1,755.40","1,886.69","2,998.00","1,341.00",90000,"169,802,100.00",
2000-04-13,EQ,"1,617.20","1,669.00","1,615.00","1,755.40","1,615.00","1,615.00","1,625.12","2,998.00","1,341.00",49150,"79,874,575.00",
2000-04-17,EQ,"1,485.80","1,485.80","1,485.80","1,615.00","1,485.80","1,485.80","1,485.80","2,998.00","1,341.00",850,"1,262,930.00",
2000-04-18,EQ,"1,485.80","1,550.00","1,366.95","1,485.80","1,385.00","1,377.55","1,393.52","2,998.00","1,341.00",169850,"236,690,130.00",
2000-04-19,EQ,"1,449.00","1,485.00","1,267.35","1,377.55","1,267.35","1,267.95","1,350.39","2,998.00","1,341.00",119350,"161,169,337.50",
2000-04-20,EQ,"1,249.00","1,369.40","1,166.55","1,267.95","1,369.40","1,346.75","1,262.07","2,998.00","1,267.35",232650,"293,621,520.00",
2000-04-24,EQ,"1,400.00","1,454.50","1,400.00","1,346.75","1,454.50","1,454.50","1,447.20","2,998.00","1,166.55",40950,"59,262,875.00",
2000-04-25,EQ,"1,340.00","1,570.90","1,338.15","1,454.50","1,570.90","1,536.45","1,403.36","2,998.00","1,166.55",217300,"304,949,375.00",
2000-04-26,EQ,"1,649.00","1,659.40","1,577.00","1,536.45","1,659.40","1,659.40","1,636.78","2,998.00","1,166.55",23700,"38,791,600.00",
2000-04-27,EQ,"1,689.00","1,709.00","1,526.65","1,659.40","1,526.65","1,526.65","1,607.03","2,998.00","1,166.55",84850,"136,356,577.50",
2000-04-28,EQ,"1,534.50","1,625.00","1,425.00","1,526.65","1,555.00","1,558.00","1,553.31","2,998.00","1,166.55",175650,"272,838,135.00",
2000-05-02,EQ,"1,590.00","1,590.00","1,371.05","1,558.00","1,371.05","1,371.05","1,424.27","2,998.00","1,166.55",56300,"80,186,337.50",
