date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,293.5,293.5,293.5,271.75,293.5,293.5,293.5,"2,896.15",226.0,22744,"6,675,364.00",
2000-01-04,EQ,317.0,317.0,297.0,293.5,304.0,304.05,303.62,"2,896.15",226.0,255251,"77,499,723.75",
2000-01-05,EQ,290.0,303.9,285.0,304.05,295.0,292.8,294.53,"2,896.15",226.0,269087,"79,253,677.05",
2000-01-06,EQ,301.0,314.0,295.0,292.8,296.0,296.45,300.14,"2,896.15",226.0,305916,"91,816,691.05",
2000-01-07,EQ,290.0,296.35,281.0,296.45,287.1,286.55,288.8,"2,896.15",226.0,197039,"56,904,805.00",
2000-01-10,EQ,292.0,296.0,285.0,286.55,288.4,287.2,289.42,"2,896.15",226.0,133363,"38,597,787.95",
2000-01-11,EQ,290.0,292.0,273.25,287.2,282.85,283.85,284.54,"2,896.15",226.0,337411,"96,006,166.35",
2000-01-12,EQ,287.0,293.0,284.5,283.85,285.25,285.6,287.6,"2,896.15",226.0,222537,"64,002,169.00",
2000-01-13,EQ,288.0,290.5,283.0,285.6,284.0,283.85,285.84,"2,896.15",226.0,113238,"32,367,413.95",
2000-01-14,EQ,284.0,294.0,276.25,283.85,291.0,286.55,283.6,"2,896.15",226.0,152322,"43,199,047.40",
2000-01-17,EQ,302.0,309.5,295.0,286.55,303.5,302.2,302.87,"2,896.15",226.0,500852,"151,692,522.55",
2000-01-18,EQ,307.0,317.85,301.05,302.2,305.25,305.75,308.57,"2,896.15",226.0,369304,"113,957,884.35",
2000-01-19,EQ,310.0,315.0,303.05,305.75,304.5,305.25,308.98,"2,896.15",226.0,377937,"116,776,471.25",
2000-01-20,EQ,303.0,306.0,288.0,305.25,291.9,291.35,297.57,"2,896.15",226.0,208122,"61,931,732.50",
2000-01-21,EQ,292.0,307.0,290.0,291.35,299.5,299.55,300.93,"2,896.15",226.0,591458,"177,989,526.30",
2000-01-24,EQ,306.0,306.0,291.0,299.55,294.0,293.05,295.58,"2,896.15",226.0,207336,"61,284,118.75",
2000-01-25,EQ,285.0,308.95,281.0,293.05,305.5,303.15,299.56,"2,896.15",226.0,512403,"153,493,665.55",
2000-01-27,EQ,315.9,316.6,309.9,303.15,316.6,316.6,316.02,"2,896.15",226.0,838826,"265,087,141.85",
2000-01-28,EQ,328.5,328.9,315.0,316.6,326.0,324.4,323.32,"2,896.15",226.0,1224604,"395,941,519.50",
