date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,166.0,170.0,166.0,157.4,170.0,170.0,169.52,191.6,49.15,33259,"5,638,122.50",
2000-01-04,EQ,182.0,183.45,171.0,170.0,174.0,173.8,174.99,191.6,49.15,168710,"29,522,613.50",
2000-01-05,EQ,170.0,173.9,165.0,173.8,168.0,166.95,169.2,191.6,49.15,159820,"27,040,939.75",
2000-01-06,EQ,168.0,170.0,165.3,166.95,168.95,168.3,168.44,191.6,49.15,85026,"14,321,659.90",
2000-01-07,EQ,162.15,171.0,162.15,168.3,170.75,168.35,166.79,191.6,49.15,85144,"14,201,577.85",
2000-01-10,EQ,172.9,179.5,165.0,168.35,166.3,165.9,167.79,191.6,49.15,100434,"16,852,172.95",
2000-01-11,EQ,166.5,167.9,157.0,165.9,163.0,163.4,161.4,191.6,49.15,145784,"23,529,067.50",
2000-01-12,EQ,163.75,167.95,162.3,163.4,165.1,165.45,163.89,191.6,49.15,85952,"14,086,575.35",
2000-01-13,EQ,169.9,169.9,165.0,165.45,165.95,165.1,165.26,191.6,49.15,48276,"7,977,871.15",
2000-01-14,EQ,168.0,168.0,164.0,165.1,166.0,165.45,164.68,191.6,49.15,58152,"9,576,543.90",
2000-01-17,EQ,174.0,178.7,172.05,165.45,178.7,178.7,177.96,191.6,49.15,137404,"24,451,930.85",
2000-01-18,EQ,178.7,178.7,164.55,178.7,168.2,165.7,168.86,191.6,49.15,255652,"43,168,654.50",
2000-01-19,EQ,172.0,179.0,172.0,165.7,179.0,179.0,178.0,191.6,49.15,349818,"62,267,481.35",
2000-01-20,EQ,184.8,184.8,176.0,179.0,177.8,178.6,179.03,191.6,49.15,269098,"48,175,808.90",
2000-01-21,EQ,176.0,192.0,172.1,178.6,191.0,188.15,181.9,191.6,49.15,472329,"85,918,539.10",
2000-01-24,EQ,198.8,203.2,193.0,188.15,200.9,200.55,198.75,192.0,49.15,449366,"89,311,381.70",
2000-01-25,EQ,199.0,216.6,199.0,200.55,216.6,216.6,210.62,203.2,49.15,290291,"61,140,767.45",
2000-01-27,EQ,224.0,233.95,221.25,216.6,228.0,229.7,229.18,216.6,49.15,563582,"129,159,438.75",
2000-01-28,EQ,230.0,233.0,224.0,229.7,226.0,227.9,227.85,233.95,49.15,479165,"109,177,928.80",
2000-01-31,EQ,230.1,246.15,230.1,227.9,234.1,237.75,241.45,233.95,49.15,637380,"153,898,073.55",
2000-02-01,EQ,236.0,244.0,235.0,237.75,241.0,240.95,238.92,246.15,49.15,390779,"93,363,247.80",
2000-02-02,EQ,260.2,260.25,239.0,240.95,240.0,244.0,245.93,246.15,49.15,343832,"84,557,163.80",
2000-02-03,EQ,244.0,250.0,224.5,244.0,226.25,225.95,233.14,260.25,49.15,284687,"66,373,151.20",
2000-02-04,EQ,229.95,232.0,217.5,225.95,230.25,228.95,224.0,260.25,49.15,265704,"59,518,071.05",
2000-02-07,EQ,235.0,247.3,230.0,228.95,244.75,246.7,240.7,260.25,49.15,389035,"93,642,026.55",
2000-02-08,EQ,250.0,253.8,240.1,246.7,253.0,250.75,249.44,260.25,49.15,305208,"76,132,067.95",
2000-02-09,EQ,255.0,261.0,246.1,250.75,251.0,252.5,252.96,260.25,49.15,317233,"80,246,198.90",
2000-02-10,EQ,250.0,262.0,248.25,252.5,251.0,251.75,254.44,261.0,49.15,210086,"53,454,623.05",
2000-02-11,EQ,255.1,259.0,231.65,251.75,233.0,232.1,236.2,262.0,49.15,264823,"62,549,929.55",
2000-02-14,EQ,235.0,235.0,220.15,232.1,234.0,233.45,231.65,262.0,49.15,252544,"58,501,610.90",
2000-02-15,EQ,234.0,235.0,225.1,233.45,230.0,227.6,231.01,262.0,49.15,194087,"44,835,429.20",
2000-02-16,EQ,244.9,245.85,230.0,227.6,245.85,245.85,239.38,262.0,49.15,70600,"16,899,967.50",
2000-02-17,EQ,257.7,257.7,248.15,245.85,248.15,250.4,253.57,262.0,49.15,234160,"59,375,000.05",
2000-02-18,EQ,251.0,253.0,239.0,250.4,243.0,242.6,244.75,262.0,49.15,118777,"29,071,160.30",
2000-02-21,EQ,243.25,248.0,235.1,242.6,235.6,236.15,240.46,262.0,49.15,110472,"26,564,433.15",
2000-02-22,EQ,236.05,240.0,217.3,236.15,217.3,217.55,223.6,262.0,49.15,174806,"39,085,880.35",
2000-02-23,EQ,226.0,234.9,217.5,217.55,220.5,219.45,226.4,262.0,49.15,134508,"30,452,614.40",
2000-02-24,EQ,222.0,230.0,215.5,219.45,227.0,227.0,223.39,262.0,49.15,87892,"19,634,356.20",
2000-02-25,EQ,229.95,234.0,222.0,227.0,227.5,227.0,227.89,262.0,49.15,126532,"28,835,274.70",
2000-02-28,EQ,229.85,230.0,220.0,227.0,227.5,227.55,224.08,262.0,49.15,85721,"19,208,291.75",
2000-02-29,EQ,228.0,239.0,209.5,227.55,218.95,216.8,226.42,262.0,50.0,258688,"58,572,868.30",
2000-03-01,EQ,218.0,234.15,218.0,216.8,234.15,234.15,230.17,262.0,50.0,32094,"7,387,004.10",
2000-03-02,EQ,250.0,252.9,250.0,234.15,252.9,252.9,252.9,262.0,50.0,39936,"10,099,672.30",
2000-03-03,EQ,273.15,273.15,273.15,252.9,273.15,273.15,273.15,262.0,50.0,64294,"17,561,906.10",
2000-03-06,EQ,294.95,295.0,255.0,273.15,262.5,266.05,262.51,273.15,50.0,203641,"53,457,810.30",
2000-03-07,EQ,265.0,267.9,255.0,266.05,263.5,258.2,260.59,295.0,52.75,162412,"42,323,419.60",
2000-03-08,EQ,265.0,278.9,262.0,258.2,272.05,272.05,276.05,295.0,52.75,200477,"55,342,641.60",
2000-03-09,EQ,270.15,280.0,251.0,272.05,265.5,269.6,262.23,295.0,52.75,133979,"35,133,948.85",
2000-03-10,EQ,261.25,263.0,248.05,269.6,257.9,254.15,255.35,295.0,52.75,146833,"37,494,515.25",
2000-03-13,EQ,250.0,274.5,250.0,254.15,274.5,269.95,264.1,295.0,52.75,207982,"54,928,882.10",
2000-03-14,EQ,275.5,280.0,256.0,269.95,268.0,265.4,262.42,295.0,52.75,178202,"46,763,129.10",
2000-03-15,EQ,270.0,270.0,247.0,265.4,261.5,259.85,258.15,295.0,52.75,82786,"21,371,559.55",
2000-03-16,EQ,262.0,262.0,255.05,259.85,256.25,256.95,258.11,295.0,52.75,132464,"34,190,530.80",
2000-03-21,EQ,260.0,260.0,246.7,256.95,257.0,255.8,253.52,295.0,52.75,160111,"40,591,265.70",
2000-03-22,EQ,259.75,265.0,254.05,255.8,263.25,261.15,260.42,295.0,52.75,76130,"19,825,522.85",
2000-03-23,EQ,258.25,282.05,258.25,261.15,279.6,280.4,277.67,295.0,52.75,253844,"70,483,972.95",
2000-03-24,EQ,275.1,277.75,264.5,280.4,274.0,273.4,270.64,295.0,52.75,117154,"31,706,721.40",
2000-03-27,EQ,275.0,278.0,266.25,273.4,272.0,271.7,271.53,295.0,52.75,61131,"16,599,090.90",
2000-03-28,EQ,268.5,278.5,268.05,271.7,272.5,275.1,273.31,295.0,58.5,98364,"26,883,616.00",
2000-03-29,EQ,276.0,287.95,263.05,275.1,264.0,265.4,272.29,295.0,58.5,98480,"26,815,331.05",
2000-03-30,EQ,256.5,266.0,251.0,265.4,263.0,262.55,257.66,295.0,58.5,95368,"24,572,874.25",
2000-03-31,EQ,253.0,260.0,252.0,262.55,258.25,257.2,256.56,295.0,58.5,74360,"19,078,161.60",
2000-04-03,EQ,259.95,273.0,240.15,257.2,245.0,247.15,256.59,295.0,58.5,168588,"43,258,389.95",
2000-04-04,EQ,243.0,243.0,227.4,247.15,227.4,227.4,227.68,295.0,58.5,71783,"16,343,679.50",
2000-04-05,EQ,232.0,232.0,209.25,227.4,209.25,209.25,215.65,295.0,58.5,87281,"18,821,797.65",
2000-04-06,EQ,207.0,212.0,192.55,209.25,192.55,192.55,196.65,295.0,58.5,83506,"16,421,676.45",
2000-04-07,EQ,195.0,207.95,185.05,192.55,207.95,207.95,207.41,295.0,58.5,160929,"33,378,370.30",
2000-04-10,EQ,224.5,224.6,219.95,207.95,224.6,224.6,224.44,295.0,58.5,156056,"35,025,800.10",
2000-04-11,EQ,224.6,234.9,209.0,224.6,229.8,226.2,222.63,295.0,58.5,295933,"65,883,175.85",
2000-04-12,EQ,238.0,243.0,223.0,226.2,233.45,233.0,232.04,295.0,58.5,130901,"30,374,394.90",
2000-04-13,EQ,229.0,234.0,215.0,233.0,230.5,231.45,225.69,295.0,58.5,191316,"43,177,817.35",
