date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2017-11-17,EQ,310.0,369.0,307.0,290.0,343.9,344.6,327.26,369.0,307.0,168836552,"55,252,882,291.15",1177530
2017-11-20,EQ,344.7,358.9,344.0,344.6,355.0,355.35,353.18,369.0,307.0,14650240,"5,174,105,816.05",166263
2017-11-21,EQ,356.4,418.9,352.5,355.35,386.9,385.3,389.24,418.9,307.0,43078194,"16,767,860,013.15",450090
2017-11-22,EQ,388.0,408.0,386.9,385.3,394.0,395.2,397.38,418.9,307.0,15227642,"6,051,230,988.95",166870
2017-11-23,EQ,390.0,392.0,371.1,395.2,375.5,374.85,379.99,418.9,307.0,12300150,"4,673,873,203.85",124472
2017-11-24,EQ,376.05,383.0,366.1,374.85,370.55,370.7,375.17,418.9,307.0,9463228,"3,550,287,611.25",108401
2017-11-27,EQ,371.0,384.5,371.0,370.7,381.0,380.35,378.39,418.9,307.0,3832223,"1,450,072,194.35",48311
2017-11-28,EQ,383.0,386.4,378.1,380.35,382.0,382.2,382.09,418.9,307.0,2409447,"920,616,004.80",30276
2017-11-29,EQ,382.4,384.7,376.1,382.2,379.8,377.8,379.79,418.9,307.0,1657909,"629,660,234.95",25728
2017-11-30,EQ,379.8,379.8,370.8,377.8,372.0,371.5,374.05,418.9,307.0,2536960,"948,956,761.20",62894
2017-12-01,EQ,373.7,379.55,368.0,371.5,373.0,372.75,373.64,418.9,307.0,1904781,"711,693,593.40",22921
2017-12-04,EQ,374.05,374.9,362.0,372.75,363.0,362.8,366.75,418.9,307.0,1323453,"485,382,089.55",28659
2017-12-05,EQ,361.0,365.9,357.15,362.8,362.2,362.35,360.35,418.9,307.0,1806017,"650,794,568.25",52225
2017-12-06,EQ,360.9,371.7,358.55,362.35,370.1,368.35,367.79,418.9,307.0,3331373,"1,225,231,057.15",39389
2017-12-07,EQ,370.05,389.9,370.05,368.35,387.75,388.3,383.11,418.9,307.0,3350792,"1,283,708,042.30",80471
2017-12-08,EQ,390.0,395.8,385.6,388.3,388.0,389.3,391.44,418.9,307.0,2494845,"976,588,804.25",55819
2017-12-11,EQ,387.0,392.25,379.05,389.3,381.25,380.8,383.7,418.9,307.0,1029719,"395,103,106.40",35361
2017-12-12,EQ,380.9,387.0,377.05,380.8,386.3,383.8,382.43,418.9,307.0,2564559,"980,755,803.45",36776
2017-12-13,EQ,386.45,389.25,378.5,383.8,380.0,380.8,384.27,418.9,307.0,747787,"287,351,033.10",35094
2017-12-14,EQ,382.85,386.0,377.0,380.8,384.9,384.3,381.68,418.9,307.0,1261422,"481,465,100.75",44933
2017-12-15,EQ,388.0,390.75,380.1,384.3,381.2,381.4,384.34,418.9,307.0,1698848,"652,933,237.60",39091
2017-12-18,EQ,380.0,383.3,372.25,381.4,376.1,377.45,379.22,418.9,307.0,1399027,"530,542,119.45",52824
2017-12-19,EQ,378.0,380.95,372.25,377.45,375.8,374.9,376.03,418.9,307.0,1641589,"617,284,064.30",48442
2017-12-20,EQ,377.45,377.7,371.5,374.9,377.5,375.15,373.72,418.9,307.0,2251770,"841,525,002.15",60263
2017-12-21,EQ,379.25,381.8,375.0,375.15,375.0,376.05,377.94,418.9,307.0,1448962,"547,620,074.40",48722
2017-12-22,EQ,376.25,380.4,374.2,376.05,374.3,374.55,376.71,418.9,307.0,775946,"292,304,999.35",14266
2017-12-26,EQ,376.0,378.6,373.4,374.55,376.3,376.55,375.17,418.9,307.0,1310649,"491,712,543.80",17828
2017-12-27,EQ,375.1,377.95,373.8,376.55,374.9,374.85,375.19,418.9,307.0,589597,"221,207,994.80",21044
2017-12-28,EQ,375.0,380.0,372.4,374.85,379.0,377.95,376.52,418.9,307.0,912189,"343,453,021.80",27492
2017-12-29,EQ,379.0,390.8,375.65,377.95,384.9,386.0,385.12,418.9,307.0,1611972,"620,795,091.10",24515
2018-01-01,EQ,388.5,399.8,386.55,386.0,390.15,389.65,394.31,418.9,307.0,1445743,"570,074,962.00",17963
2018-01-02,EQ,391.7,398.0,384.35,389.65,396.65,395.5,390.88,418.9,307.0,1219713,"476,766,872.30",32530
2018-01-03,EQ,398.0,398.3,384.1,395.5,385.7,385.65,389.01,418.9,307.0,2275082,"885,023,978.65",63757
2018-01-04,EQ,390.0,401.95,387.25,385.65,399.5,399.0,396.98,418.9,307.0,2974278,"1,180,740,395.55",52148
2018-01-05,EQ,401.0,412.0,398.0,399.0,406.6,407.0,405.41,418.9,307.0,3554479,"1,441,022,971.85",63560
2018-01-08,EQ,410.0,428.3,409.55,407.0,420.0,422.1,422.64,428.3,307.0,3806105,"1,608,611,444.50",79939
2018-01-09,EQ,424.0,447.65,422.65,422.1,435.7,435.5,433.55,447.65,307.0,6183645,"2,680,918,463.55",74643
2018-01-10,EQ,438.0,441.9,427.0,435.5,429.0,429.25,432.67,447.65,307.0,2374166,"1,027,222,984.50",29949
2018-01-11,EQ,424.0,449.8,424.0,429.25,447.6,446.7,441.94,449.8,307.0,2605294,"1,151,387,661.30",48528
2018-01-12,EQ,449.75,458.7,444.3,446.7,454.2,455.95,453.21,458.7,307.0,5364763,"2,431,377,069.95",49979
2018-01-15,EQ,460.0,488.0,457.0,455.95,475.4,474.85,477.69,488.0,307.0,5635852,"2,692,187,563.30",106989
2018-01-16,EQ,479.9,494.3,471.25,474.85,485.65,482.65,486.35,494.3,307.0,8288750,"4,031,228,256.45",103715
2018-01-17,EQ,485.4,488.2,470.0,482.65,479.6,478.4,480.24,494.3,307.0,5691140,"2,733,086,857.95",66287
2018-01-18,EQ,483.2,489.8,478.0,478.4,488.8,485.05,484.04,494.3,307.0,1772870,"858,145,845.85",46099
2018-01-19,EQ,489.25,491.35,477.0,485.05,481.0,481.5,483.12,494.3,307.0,3488403,"1,685,332,850.40",44364
2018-01-22,EQ,481.5,488.85,469.0,481.5,470.0,470.2,474.43,494.3,307.0,3825798,"1,815,080,736.85",74770
2018-01-23,EQ,474.25,474.25,454.5,470.2,456.3,458.55,461.12,494.3,307.0,3561221,"1,642,148,649.10",70282
2018-01-24,EQ,457.5,460.0,448.0,458.55,454.5,455.25,454.14,494.3,307.0,2072037,"940,999,305.90",27874
2018-01-25,EQ,455.0,460.0,447.0,455.25,447.5,448.5,451.95,494.3,307.0,1194340,"539,779,093.55",52499
2018-01-29,EQ,447.0,452.6,444.4,448.5,444.8,445.35,447.91,494.3,307.0,1113037,"498,542,451.65",39014
2018-01-30,EQ,444.0,448.1,417.0,445.35,418.15,421.85,435.75,494.3,307.0,3583717,"1,561,618,690.80",35221
2018-01-31,EQ,418.4,432.9,395.3,421.85,426.7,427.0,408.33,494.3,307.0,14738305,"6,018,021,893.00",128610
2018-02-01,EQ,429.95,452.0,423.0,427.0,449.1,448.25,441.61,494.3,307.0,4965461,"2,192,819,867.45",74815
2018-02-02,EQ,441.0,455.0,430.0,448.25,443.55,442.4,443.59,494.3,307.0,5311751,"2,356,224,833.25",51976
2018-02-05,EQ,428.2,444.0,422.35,442.4,441.5,441.7,440.01,494.3,307.0,2268830,"998,306,799.10",29349
2018-02-06,EQ,418.0,440.7,417.05,441.7,438.8,438.8,435.13,494.3,307.0,1893871,"824,073,683.35",31660
2018-02-07,EQ,443.0,449.3,431.0,438.8,433.1,433.45,438.78,494.3,307.0,1048027,"459,850,520.30",25484
2018-02-08,EQ,434.9,444.75,434.85,433.45,441.5,441.5,441.67,494.3,307.0,927897,"409,820,848.70",17505
2018-02-09,EQ,430.3,446.0,430.3,441.5,438.0,439.55,441.29,494.3,307.0,1008995,"445,264,397.70",15768
2018-02-12,EQ,442.0,451.0,435.05,439.55,438.15,441.75,444.73,494.3,307.0,1944360,"864,706,525.45",30647
2018-02-14,EQ,441.8,442.9,431.0,441.75,431.75,431.9,436.65,494.3,307.0,2159701,"943,040,897.70",20632
2018-02-15,EQ,433.0,437.0,428.0,431.9,432.8,432.0,433.31,494.3,307.0,506167,"219,326,712.65",14126
2018-02-16,EQ,434.15,435.3,426.6,432.0,431.1,431.45,431.1,494.3,307.0,522734,"225,350,735.05",11705
2018-02-19,EQ,432.0,439.4,426.8,431.45,438.65,435.9,432.83,494.3,307.0,693977,"300,373,783.95",18524
2018-02-20,EQ,439.5,442.0,432.6,435.9,435.8,434.5,437.2,494.3,307.0,781850,"341,827,205.75",21166
2018-02-21,EQ,438.9,450.5,436.15,434.5,450.0,449.6,445.56,494.3,307.0,1312613,"584,844,385.10",33689
2018-02-22,EQ,447.2,454.5,443.9,449.6,449.0,450.8,449.6,494.3,307.0,772690,"347,401,255.20",16974
2018-02-23,EQ,452.1,471.7,452.05,450.8,470.1,468.85,465.67,494.3,307.0,1849448,"861,226,273.80",39164
2018-02-26,EQ,472.8,472.8,461.35,468.85,469.55,468.3,467.6,494.3,307.0,920977,"430,646,901.10",42911
2018-02-27,EQ,467.9,477.8,460.0,468.3,470.0,469.0,468.08,494.3,307.0,1378658,"645,323,676.95",31705
2018-02-28,EQ,467.5,468.0,460.0,469.0,461.0,461.2,464.0,494.3,307.0,1358563,"630,372,253.55",55098
2018-03-01,EQ,461.9,464.35,450.1,461.2,450.6,450.95,456.57,494.3,307.0,1102928,"503,561,738.35",27290
2018-03-05,EQ,450.0,456.15,448.1,450.95,454.0,452.9,452.86,494.3,307.0,1249630,"565,911,932.60",31735
2018-03-06,EQ,457.0,457.4,445.1,452.9,446.0,447.35,449.07,494.3,307.0,1595634,"716,545,352.65",23577
2018-03-07,EQ,446.45,447.55,435.0,447.35,436.4,437.55,442.61,494.3,307.0,2900233,"1,283,678,407.60",36013
2018-03-08,EQ,441.0,442.0,427.7,437.55,429.9,430.55,432.45,494.3,307.0,1951335,"843,862,778.85",41500
2018-03-09,EQ,434.75,434.95,423.0,430.55,424.5,425.55,428.62,494.3,307.0,1494497,"640,575,637.65",31649
2018-03-12,EQ,429.95,433.35,425.5,425.55,431.0,430.4,429.67,494.3,307.0,884484,"380,038,273.75",30671
2018-03-13,EQ,431.95,445.5,429.8,430.4,444.0,441.95,439.88,494.3,307.0,1396863,"614,458,887.50",23754
2018-03-14,EQ,441.95,447.9,440.0,441.95,444.95,445.25,445.06,494.3,307.0,872703,"388,408,265.40",18533
2018-03-15,EQ,445.0,451.0,443.6,445.25,449.0,448.6,447.81,494.3,307.0,656358,"293,925,420.25",13037
2018-03-16,EQ,450.95,450.95,436.1,448.6,442.6,443.3,441.61,494.3,307.0,553113,"244,262,119.40",24765
2018-03-19,EQ,440.0,442.7,425.0,443.3,425.75,425.9,429.49,494.3,307.0,697119,"299,407,183.90",34058
2018-03-20,EQ,424.95,428.65,419.65,425.9,423.0,422.85,423.56,494.3,307.0,1782357,"754,933,006.75",48135
2018-03-21,EQ,426.7,438.0,419.25,422.85,423.1,422.5,428.63,494.3,307.0,1341420,"574,968,160.60",33319
2018-03-22,EQ,426.8,429.75,424.2,422.5,426.25,427.5,427.34,494.3,307.0,1267475,"541,646,448.95",53508
2018-03-23,EQ,420.0,431.0,416.1,427.5,426.9,429.15,427.01,494.3,307.0,939860,"401,325,611.10",31176
2018-03-26,EQ,429.0,439.0,427.25,429.15,437.5,437.55,434.55,494.3,307.0,675696,"293,621,891.25",18244
2018-03-27,EQ,440.05,449.4,440.05,437.55,449.25,448.65,446.99,494.3,307.0,1231929,"550,661,374.20",43460
2018-03-28,EQ,442.5,460.0,442.5,448.65,453.15,454.45,455.85,494.3,307.0,1217753,"555,108,220.75",21494
2018-04-02,EQ,456.6,487.0,456.6,454.45,486.4,482.65,475.14,494.3,307.0,2112175,"1,003,583,017.30",46200
2018-04-03,EQ,484.8,508.3,482.2,482.65,492.9,493.6,495.78,508.3,307.0,3149584,"1,561,489,300.25",77984
2018-04-04,EQ,495.0,504.0,488.9,493.6,497.5,495.85,497.37,508.3,307.0,1687239,"839,186,819.65",38547
2018-04-05,EQ,501.8,505.85,487.05,495.85,498.0,497.95,497.27,508.3,307.0,1710038,"850,348,011.65",41288
2018-04-06,EQ,497.8,504.4,494.0,497.95,496.3,496.35,499.82,508.3,307.0,1505952,"752,702,528.45",45408
2018-04-09,EQ,496.45,510.9,490.0,496.35,491.7,492.0,501.05,510.9,307.0,2704392,"1,355,022,648.95",40459
2018-04-10,EQ,494.95,505.9,492.1,492.0,504.8,503.55,499.99,510.9,307.0,1439138,"719,560,790.60",37628
2018-04-11,EQ,501.5,507.7,495.0,503.55,498.05,499.75,500.4,510.9,307.0,2556799,"1,279,415,600.80",25758
2018-04-12,EQ,500.0,501.5,497.4,499.75,498.7,499.6,500.07,510.9,307.0,870497,"435,308,206.70",34313
2018-04-13,EQ,500.25,501.55,497.6,499.6,499.0,499.8,499.68,510.9,307.0,990964,"495,163,640.40",34245
2018-04-16,EQ,495.7,500.3,492.75,499.8,495.0,494.75,496.32,510.9,307.0,839503,"416,665,387.80",21717
2018-04-17,EQ,497.5,500.3,486.0,494.75,492.35,491.3,491.85,510.9,307.0,1325820,"652,104,554.95",37304
2018-04-18,EQ,496.0,500.25,488.0,491.3,491.15,493.15,495.23,510.9,307.0,1042991,"516,522,065.85",24179
2018-04-19,EQ,501.0,511.0,497.1,493.15,501.0,503.5,503.69,511.0,307.0,4279631,"2,155,619,382.75",105835
2018-04-20,EQ,502.8,503.25,494.0,503.5,494.35,495.65,496.87,511.0,307.0,1683866,"836,659,250.15",72026
2018-04-23,EQ,496.4,496.85,489.0,495.65,492.0,493.6,494.42,511.0,307.0,1348271,"666,610,298.80",24581
2018-04-24,EQ,495.8,503.0,489.1,493.6,497.0,499.55,496.32,511.0,307.0,2176962,"1,080,471,672.10",55468
2018-04-25,EQ,499.0,514.9,495.0,499.55,511.0,510.6,505.11,514.9,307.0,3740225,"1,889,220,438.70",67122
2018-04-26,EQ,512.95,536.8,512.95,510.6,534.15,533.05,525.9,536.8,307.0,4445968,"2,338,118,770.90",100663
2018-04-27,EQ,537.9,546.85,517.0,533.05,518.0,519.15,532.39,546.85,307.0,2924033,"1,556,735,689.65",66645
2018-04-30,EQ,520.0,525.75,514.3,519.15,519.0,518.05,519.09,546.85,307.0,1988145,"1,032,031,436.45",55034
2018-05-02,EQ,520.75,525.3,508.1,518.05,509.0,509.95,515.66,546.85,307.0,1474785,"760,489,913.55",37016
2018-05-03,EQ,510.55,510.9,493.0,509.95,496.15,496.0,498.14,546.85,307.0,1926354,"959,590,763.80",51588
2018-05-04,EQ,490.1,504.9,490.1,496.0,497.0,500.35,499.13,546.85,307.0,1276630,"637,205,757.20",52972
2018-05-07,EQ,502.55,504.8,497.2,500.35,500.0,499.9,500.08,546.85,307.0,1484565,"742,405,309.25",47288
2018-05-08,EQ,503.3,513.95,499.0,499.9,512.5,509.95,506.38,546.85,307.0,1444181,"731,298,315.85",32289
2018-05-09,EQ,511.9,518.0,511.0,509.95,514.25,514.75,514.91,546.85,307.0,1600419,"824,072,631.10",35243
2018-05-10,EQ,517.0,520.9,509.5,514.75,519.7,517.65,515.97,546.85,307.0,1447761,"746,997,296.20",44528
2018-05-11,EQ,517.65,524.95,516.1,517.65,523.85,523.3,522.1,546.85,307.0,1183632,"617,972,377.85",26316
2018-05-14,EQ,526.0,548.25,524.85,523.3,542.95,540.0,538.63,548.25,307.0,2848754,"1,534,421,092.40",62035
2018-05-15,EQ,522.0,525.55,495.0,540.0,507.9,506.5,513.64,548.25,307.0,7490877,"3,847,633,815.50",151044
2018-05-16,EQ,502.25,509.5,495.2,506.5,497.25,497.55,499.79,548.25,307.0,2261791,"1,130,416,194.10",62332
2018-05-17,EQ,498.2,503.25,492.2,497.55,492.6,494.3,497.39,548.25,307.0,1338372,"665,697,556.65",70875
2018-05-18,EQ,497.6,497.8,485.1,494.3,495.4,493.95,490.98,548.25,307.0,1158565,"568,835,620.45",45907
2018-05-21,EQ,493.95,501.5,487.25,493.95,490.0,489.65,493.58,548.25,307.0,1332552,"657,720,500.50",43161
2018-05-22,EQ,491.95,496.7,480.0,489.65,480.75,481.6,486.55,548.25,307.0,1469055,"714,766,133.55",43852
2018-05-23,EQ,483.0,485.4,475.1,481.6,476.3,476.35,478.97,548.25,307.0,1261911,"604,418,082.15",43923
2018-05-24,EQ,478.8,484.2,470.0,476.35,475.8,475.05,475.99,548.25,307.0,1958399,"932,170,649.65",54489
2018-05-25,EQ,478.7,487.5,473.55,475.05,481.5,481.5,481.03,548.25,307.0,1596757,"768,088,003.05",55182
2018-05-28,EQ,485.65,493.35,483.05,481.5,491.25,491.25,488.74,548.25,307.0,1975352,"965,426,605.70",46746
2018-05-29,EQ,491.4,497.7,489.55,491.25,495.0,494.25,493.81,548.25,307.0,957169,"472,658,383.00",32193
2018-05-30,EQ,492.0,505.0,484.6,494.25,504.0,501.2,494.87,548.25,307.0,1480953,"732,872,778.80",52812
2018-05-31,EQ,506.45,508.8,486.4,501.2,488.0,491.15,498.71,548.25,307.0,1419549,"707,937,913.75",39584
2018-06-01,EQ,491.65,492.85,485.05,491.15,490.0,488.85,489.4,548.25,307.0,1060120,"518,825,738.25",36257
2018-06-04,EQ,490.75,491.8,472.5,488.85,472.6,473.85,479.03,548.25,307.0,1150250,"550,998,879.60",41887
2018-06-05,EQ,467.25,479.0,462.2,473.85,463.4,464.35,468.07,548.25,307.0,1227934,"574,760,914.60",41650
2018-06-06,EQ,465.5,471.55,461.0,464.35,468.4,467.2,466.83,548.25,307.0,1023144,"477,638,377.10",31548
2018-06-07,EQ,471.0,475.7,468.0,467.2,471.0,470.55,471.66,548.25,307.0,1350574,"637,005,095.45",47624
2018-06-08,EQ,470.55,476.0,466.1,470.55,472.0,472.15,471.48,548.25,307.0,2205834,"1,040,016,868.70",48960
2018-06-11,EQ,475.7,488.0,474.65,472.15,487.75,485.85,483.6,548.25,307.0,2410561,"1,165,744,189.25",86462
2018-06-12,EQ,488.0,507.6,486.2,485.85,504.0,503.2,501.0,548.25,307.0,2776666,"1,391,096,172.85",70745
2018-06-13,EQ,504.0,505.0,490.25,503.2,490.65,491.25,495.36,548.25,307.0,1003539,"497,116,743.75",43249
2018-06-14,EQ,491.0,491.0,479.0,491.25,482.85,481.5,484.11,548.25,307.0,1006376,"487,199,930.40",48952
2018-06-15,EQ,482.9,487.0,465.45,481.5,468.5,469.75,470.8,548.25,307.0,13594222,"6,400,145,012.45",142619
2018-06-18,EQ,469.95,485.0,469.9,469.75,477.0,479.2,479.22,548.25,307.0,1504101,"720,795,066.10",39323
2018-06-19,EQ,476.3,483.2,471.3,479.2,475.0,474.75,476.3,548.25,307.0,911179,"433,991,665.15",39856
2018-06-20,EQ,477.0,478.55,471.2,474.75,474.8,473.4,474.28,548.25,307.0,568306,"269,533,490.60",24022
2018-06-21,EQ,475.0,476.0,468.0,473.4,473.0,472.4,471.92,548.25,307.0,660819,"311,853,297.65",24326
2018-06-22,EQ,473.8,473.8,469.1,472.4,471.0,471.4,471.21,548.25,307.0,527118,"248,381,918.50",12555
