date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,"1,200.00","1,236.80","1,171.00","1,145.20","1,209.95","1,207.60","1,209.11","1,590.00",530.0,10631,"12,854,008.00",
2000-01-04,EQ,"1,200.00","1,220.00","1,176.00","1,207.60","1,200.00","1,199.85","1,200.93","1,590.00",547.0,19849,"23,837,190.75",
2000-01-05,EQ,"1,155.00","1,178.00","1,140.00","1,199.85","1,140.00","1,143.80","1,159.74","1,590.00",547.0,2525,"2,928,354.60",
2000-01-06,EQ,"1,183.00","1,189.95","1,150.25","1,143.80","1,165.00","1,161.40","1,167.29","1,590.00",547.0,4375,"5,106,886.95",
2000-01-07,EQ,"1,140.00","1,140.00","1,069.00","1,161.40","1,105.00","1,106.55","1,103.52","1,590.00",547.0,9093,"10,034,290.65",
2000-01-10,EQ,"1,105.05","1,135.00","1,100.00","1,106.55","1,115.10","1,126.35","1,123.41","1,590.00",547.0,11113,"12,484,464.15",
2000-01-11,EQ,"1,100.00","1,135.00","1,095.00","1,126.35","1,130.00","1,125.10","1,106.96","1,590.00",548.0,11333,"12,545,178.10",
2000-01-12,EQ,"1,176.00","1,198.00","1,150.00","1,125.10","1,180.00","1,174.95","1,174.81","1,590.00",548.0,4353,"5,113,952.35",
2000-01-13,EQ,"1,198.00","1,198.00","1,140.00","1,174.95","1,140.00","1,146.40","1,172.03","1,590.00",548.0,7221,"8,463,208.85",
2000-01-14,EQ,"1,194.00","1,198.00","1,157.50","1,146.40","1,190.00","1,190.30","1,182.32","1,590.00",548.0,12898,"15,249,533.45",
2000-01-17,EQ,"1,216.00","1,285.55","1,216.00","1,190.30","1,285.55","1,285.55","1,281.19","1,590.00",548.0,44550,"57,076,846.40",
2000-01-18,EQ,"1,339.00","1,365.00","1,270.00","1,285.55","1,300.00","1,294.65","1,295.57","1,590.00",561.05,17246,"22,343,427.95",
2000-01-19,EQ,"1,300.00","1,324.90","1,270.00","1,294.65","1,274.50","1,272.55","1,281.66","1,590.00",561.05,23057,"29,551,197.50",
2000-01-20,EQ,"1,275.00","1,275.00","1,236.30","1,272.55","1,245.00","1,252.90","1,250.91","1,590.00",561.05,3987,"4,987,364.20",
2000-01-21,EQ,"1,240.00","1,255.50","1,235.00","1,252.90","1,249.00","1,242.55","1,242.11","1,590.00",561.05,3125,"3,881,585.00",
2000-01-24,EQ,"1,201.00","1,260.25","1,201.00","1,242.55","1,206.70","1,212.10","1,218.43","1,590.00",561.05,2624,"3,197,151.05",
2000-01-25,EQ,"1,201.00","1,300.00","1,170.00","1,212.10","1,300.00","1,218.60","1,204.00","1,590.00",580.0,5056,"6,087,435.30",
2000-01-27,EQ,"1,221.00","1,237.00","1,183.00","1,218.60","1,185.00","1,187.30","1,199.91","1,590.00",580.0,3095,"3,713,721.50",
2000-01-28,EQ,"1,180.00","1,210.00","1,180.00","1,187.30","1,199.00","1,197.55","1,195.63","1,590.00",580.0,2427,"2,901,796.40",
2000-01-31,EQ,"1,187.00","1,195.00","1,171.10","1,197.55","1,175.00","1,175.30","1,179.87","1,590.00",580.0,1491,"1,759,188.50",
2000-02-01,EQ,"1,160.00","1,199.00","1,125.00","1,175.30","1,125.00","1,146.25","1,152.45","1,590.00",580.0,3516,"4,052,000.60",
2000-02-02,EQ,"1,145.00","1,169.00","1,062.00","1,146.25","1,075.00","1,068.95","1,085.28","1,590.00",580.0,21210,"23,018,758.70",
2000-02-03,EQ,"1,084.70","1,099.00","1,054.00","1,068.95","1,056.00","1,059.25","1,064.70","1,590.00",580.0,13761,"14,651,377.15",
