date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,851.00,878.50,851.00,813.45,869.00,867.45,869.86,"1,025.00",384.0,33799,"29,400,550.05",
2000-01-04,EQ,879.00,930.00,870.00,867.45,900.00,900.35,903.51,"1,025.00",384.0,70944,"64,098,482.50",
2000-01-05,EQ,835.00,972.40,835.00,900.35,972.40,972.35,949.32,"1,025.00",384.0,153030,"145,274,355.00",
2000-01-06,EQ,"1,050.15","1,050.15","1,015.10",972.35,"1,045.00","1,048.45","1,047.08","1,025.00",384.0,129708,"135,814,413.55",
2000-01-07,EQ,"1,096.00","1,120.00","1,015.00","1,048.45","1,086.00","1,094.95","1,085.24","1,050.15",384.0,138829,"150,662,263.00",
2000-01-10,EQ,"1,124.00","1,124.00","1,015.00","1,094.95","1,028.00","1,022.90","1,040.73","1,120.00",384.0,43684,"45,463,040.00",
2000-01-11,EQ,"1,022.00","1,055.00",970.00,"1,022.90",985.00,993.25,"1,016.35","1,124.00",384.0,64490,"65,544,106.15",
2000-01-12,EQ,"1,010.00","1,017.00",960.00,993.25,970.00,971.35,987.17,"1,124.00",384.0,11011,"10,869,709.65",
2000-01-13,EQ,965.00,"1,049.10",965.00,971.35,975.00,975.85,"1,001.73","1,124.00",384.0,26722,"26,768,291.60",
2000-01-14,EQ,980.00,988.00,925.00,975.85,947.00,944.10,954.46,"1,124.00",384.0,15191,"14,499,236.75",
2000-01-17,EQ,950.00,967.90,912.05,944.10,928.00,924.60,933.01,"1,124.00",384.0,30094,"28,078,137.40",
2000-01-18,EQ,930.00,930.00,891.10,924.60,907.00,914.45,912.05,"1,124.00",384.0,36267,"33,077,355.05",
2000-01-19,EQ,950.00,987.00,925.00,914.45,930.00,929.00,947.84,"1,124.00",384.0,61652,"58,436,086.85",
2000-01-20,EQ,950.00,984.00,935.00,929.00,942.50,942.70,956.51,"1,124.00",384.0,83373,"79,747,355.70",
2000-01-21,EQ,951.00,960.00,907.00,942.70,910.00,910.75,923.84,"1,124.00",384.0,45314,"41,862,902.50",
2000-01-24,EQ,917.00,920.00,876.00,910.75,876.00,880.50,892.44,"1,124.00",384.0,26186,"23,369,421.05",
2000-01-25,EQ,855.00,870.00,825.00,880.50,843.50,835.10,844.86,"1,124.00",384.0,76087,"64,283,096.65",
2000-01-27,EQ,865.00,874.00,836.10,835.10,850.80,853.85,853.63,"1,124.00",384.0,86321,"73,686,050.95",
2000-01-28,EQ,852.00,858.00,805.00,853.85,833.00,839.90,829.37,"1,124.00",384.0,149885,"124,310,648.50",
2000-01-31,EQ,830.00,830.00,772.75,839.90,772.75,772.75,780.86,"1,124.00",384.0,77325,"60,380,261.55",
2000-02-01,EQ,756.00,809.00,725.00,772.75,783.00,783.20,783.78,"1,124.00",384.0,142389,"111,601,708.60",
2000-02-02,EQ,815.00,845.90,812.50,783.20,845.90,845.85,830.33,"1,124.00",384.0,205003,"170,219,951.60",
2000-02-03,EQ,897.00,913.55,870.00,845.85,875.00,873.35,891.64,"1,124.00",384.0,147524,"131,538,938.30",
2000-02-04,EQ,888.00,888.00,826.00,873.35,830.00,833.00,850.39,"1,124.00",384.0,77194,"65,645,085.30",
2000-02-07,EQ,821.00,862.90,817.55,833.00,820.00,821.95,827.84,"1,124.00",384.0,87444,"72,390,062.70",
2000-02-08,EQ,835.00,835.00,758.15,821.95,780.00,777.30,780.93,"1,124.00",384.0,151520,"118,325,869.50",
2000-02-09,EQ,815.00,820.00,798.00,777.30,817.00,810.25,810.03,"1,124.00",384.0,347973,"281,868,100.20",
2000-02-10,EQ,820.00,858.00,811.00,810.25,836.00,834.55,837.08,"1,124.00",384.0,139571,"116,831,682.95",
2000-02-11,EQ,860.00,901.35,852.00,834.55,868.00,869.50,873.27,"1,124.00",384.0,281950,"246,217,525.90",
2000-02-14,EQ,875.00,895.00,851.00,869.50,860.00,861.60,875.77,"1,124.00",384.0,118565,"103,835,245.60",
2000-02-15,EQ,863.90,863.90,830.10,861.60,842.00,838.10,840.44,"1,124.00",384.0,87322,"73,388,635.20",
2000-02-16,EQ,842.05,853.00,830.00,838.10,835.00,835.20,835.09,"1,124.00",384.0,134856,"112,616,441.00",
2000-02-17,EQ,835.00,840.00,810.00,835.20,825.00,824.60,825.34,"1,124.00",384.0,49202,"40,608,383.40",
2000-02-18,EQ,800.00,826.00,794.10,824.60,799.95,796.70,803.72,"1,124.00",384.0,149721,"120,333,241.00",
2000-02-21,EQ,809.00,819.00,793.10,796.70,800.00,798.35,800.92,"1,124.00",384.0,90933,"72,829,676.90",
2000-02-22,EQ,789.50,795.00,766.00,798.35,785.00,789.70,780.47,"1,124.00",384.0,42033,"32,805,696.95",
2000-02-23,EQ,795.00,813.00,779.50,789.70,780.10,780.30,786.09,"1,124.00",384.0,26550,"20,870,560.10",
2000-02-24,EQ,773.50,785.00,755.05,780.30,779.75,777.70,772.77,"1,124.00",384.0,31817,"24,587,131.35",
2000-02-25,EQ,785.00,785.00,756.15,777.70,769.00,763.75,760.75,"1,124.00",384.0,13967,"10,625,368.85",
2000-02-28,EQ,751.00,792.00,751.00,763.75,790.00,790.00,784.02,"1,124.00",384.0,26560,"20,823,614.10",
2000-02-29,EQ,791.00,791.00,751.00,790.00,755.05,757.05,771.14,"1,124.00",384.0,88825,"68,496,636.20",
2000-03-01,EQ,770.00,770.00,722.15,757.05,728.50,726.90,738.87,"1,124.00",384.0,24060,"17,777,330.20",
2000-03-02,EQ,730.00,745.00,712.00,726.90,720.00,717.75,724.17,"1,124.00",384.0,67805,"49,102,460.65",
2000-03-03,EQ,663.00,740.00,660.35,717.75,738.50,681.10,669.32,"1,124.00",384.0,54444,"36,440,415.15",
2000-03-06,EQ,705.00,705.00,667.10,681.10,675.00,670.70,677.67,"1,124.00",384.0,46034,"31,195,822.80",
2000-03-07,EQ,690.00,690.00,617.05,670.70,617.05,617.05,619.71,"1,124.00",384.0,24465,"15,161,084.45",
2000-03-08,EQ,590.00,620.00,579.60,617.05,602.00,601.35,598.89,"1,124.00",384.0,103328,"61,881,893.40",
2000-03-09,EQ,591.00,649.50,590.45,601.35,644.00,647.60,623.37,"1,124.00",384.0,33425,"20,836,030.35",
2000-03-10,EQ,650.00,684.65,630.00,647.60,645.00,642.60,655.13,"1,124.00",384.0,57981,"37,984,923.50",
2000-03-13,EQ,645.00,652.90,620.00,642.60,629.15,632.10,632.85,"1,124.00",384.0,20023,"12,671,604.40",
2000-03-14,EQ,640.00,640.00,581.65,632.10,610.00,612.60,599.45,"1,124.00",391.0,37709,"22,604,637.25",
2000-03-15,EQ,635.00,661.65,620.00,612.60,661.65,658.95,647.59,"1,124.00",391.0,16752,"10,848,450.70",
2000-03-16,EQ,674.70,710.00,674.70,658.95,704.85,700.40,684.65,"1,124.00",391.0,53486,"36,618,983.70",
2000-03-21,EQ,655.00,723.80,655.00,700.40,683.75,677.30,696.43,"1,124.00",391.0,58688,"40,871,911.30",
2000-03-22,EQ,652.00,694.85,652.00,677.30,670.00,668.10,671.97,"1,124.00",394.0,25250,"16,967,277.40",
2000-03-23,EQ,699.00,720.00,666.00,668.10,699.00,693.50,700.53,"1,124.00",394.0,103080,"72,210,128.20",
2000-03-24,EQ,720.00,749.00,720.00,693.50,746.20,740.80,741.72,"1,124.00",394.0,143250,"106,250,724.15",
2000-03-27,EQ,758.80,758.80,740.00,740.80,740.30,743.80,747.11,"1,124.00",394.0,37556,"28,058,615.15",
2000-03-28,EQ,725.10,748.30,721.05,743.80,743.90,740.00,729.57,"1,124.00",415.0,47019,"34,303,690.95",
2000-03-29,EQ,725.00,740.00,715.00,740.00,715.00,719.05,720.64,"1,124.00",415.0,35176,"25,349,129.75",
2000-03-30,EQ,695.00,774.00,690.00,719.05,750.00,731.75,713.21,"1,124.00",415.0,17683,"12,611,645.65",
2000-03-31,EQ,727.00,748.90,710.00,731.75,735.55,737.25,739.29,"1,124.00",415.0,14812,"10,950,426.35",
2000-04-03,EQ,750.00,750.00,696.00,737.25,708.90,702.15,720.48,"1,124.00",415.0,37139,"26,758,021.30",
2000-04-04,EQ,665.00,675.00,646.00,702.15,659.00,657.15,652.64,"1,124.00",445.0,61347,"40,037,611.85",
2000-04-05,EQ,675.00,695.00,660.00,657.15,670.00,667.50,672.90,"1,124.00",445.0,15588,"10,489,111.75",
2000-04-06,EQ,668.00,705.00,658.35,667.50,689.40,695.15,686.08,"1,124.00",445.0,19051,"13,070,597.10",
2000-04-07,EQ,710.00,750.80,693.00,695.15,740.00,746.65,737.06,"1,124.00",445.0,38684,"28,512,422.25",
2000-04-10,EQ,752.45,781.00,738.50,746.65,750.10,743.35,759.14,"1,124.00",445.0,47533,"36,084,253.85",
2000-04-11,EQ,721.00,802.85,721.00,743.35,802.85,801.60,790.54,"1,124.00",448.0,63865,"50,487,845.10",
2000-04-12,EQ,834.00,834.00,775.00,801.60,784.00,785.85,789.55,"1,124.00",448.0,35555,"28,072,521.55",
2000-04-13,EQ,770.00,779.00,740.00,785.85,767.00,762.85,759.99,"1,124.00",448.0,18103,"13,758,032.00",
2000-04-17,EQ,725.05,759.00,701.85,762.85,701.85,706.45,717.14,"1,124.00",448.0,33911,"24,318,854.85",
2000-04-18,EQ,745.00,748.00,668.00,706.45,685.00,682.15,682.28,"1,124.00",450.0,81733,"55,764,682.60",
2000-04-19,EQ,705.00,710.00,670.00,682.15,678.00,680.20,685.25,"1,124.00",450.0,31054,"21,279,753.80",
2000-04-20,EQ,640.00,700.00,640.00,680.20,690.00,686.00,662.53,"1,124.00",450.0,31098,"20,603,399.75",
2000-04-24,EQ,672.00,699.95,670.00,686.00,676.00,682.75,680.63,"1,124.00",450.0,14694,"10,001,199.85",
2000-04-25,EQ,662.00,724.70,643.00,682.75,700.00,701.85,691.93,"1,124.00",539.55,65571,"45,370,350.50",
2000-04-26,EQ,725.00,731.50,700.00,701.85,725.00,712.65,710.72,"1,124.00",539.55,31794,"22,596,517.90",
2000-04-27,EQ,737.00,737.90,695.00,712.65,709.00,705.55,707.63,"1,124.00",539.55,20349,"14,399,503.75",
2000-04-28,EQ,700.00,715.00,692.00,705.55,707.25,709.05,701.97,"1,124.00",539.55,27971,"19,634,882.85",
2000-05-02,EQ,709.90,722.00,681.05,709.05,712.00,707.50,704.15,"1,124.00",539.55,28439,"20,025,369.95",
2000-05-03,EQ,675.00,750.00,675.00,707.50,717.00,721.00,708.23,"1,124.00",539.55,19314,"13,678,837.55",
2000-05-04,EQ,724.00,749.00,710.10,721.00,735.00,732.35,728.78,"1,124.00",539.55,11791,"8,593,093.20",
