date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,"2,300.00","2,307.55","2,300.00","2,136.60","2,307.55","2,307.55","2,307.08","2,809.90","1,525.55",24903,"57,453,298.90",
2000-01-04,EQ,"2,381.00","2,381.00","2,250.00","2,307.55","2,270.00","2,281.05","2,298.15","2,809.90","1,650.00",58514,"134,474,005.25",
2000-01-05,EQ,"2,200.00","2,250.00","2,105.00","2,281.05","2,183.50","2,199.90","2,211.17","2,809.90","1,650.00",80296,"177,548,194.45",
2000-01-06,EQ,"2,224.90","2,360.00","2,210.00","2,199.90","2,300.00","2,288.20","2,301.80","2,809.90","1,650.00",190032,"437,415,701.35",
2000-01-07,EQ,"2,300.00","2,452.00","2,282.25","2,288.20","2,395.00","2,412.95","2,380.24","2,809.90","1,650.00",192582,"458,391,944.85",
2000-01-10,EQ,"2,445.00","2,499.00","2,410.00","2,412.95","2,440.00","2,431.25","2,464.07","2,809.90","1,650.00",86591,"213,365,852.80",
2000-01-11,EQ,"2,450.00","2,529.00","2,390.00","2,431.25","2,450.00","2,485.80","2,460.27","2,809.90","1,681.50",134411,"330,687,577.25",
2000-01-12,EQ,"2,500.00","2,684.70","2,490.00","2,485.80","2,684.70","2,647.80","2,579.17","2,809.90","1,681.50",177057,"456,660,112.60",
2000-01-13,EQ,"2,699.00","2,859.65","2,650.00","2,647.80","2,783.00","2,786.65","2,804.40","2,809.90","1,681.50",254508,"713,743,230.65",
2000-01-14,EQ,"2,750.00","2,777.00","2,650.00","2,786.65","2,697.05","2,702.10","2,706.88","2,859.65","1,681.50",120240,"325,475,132.05",
2000-01-17,EQ,"2,748.90","2,750.00","2,545.10","2,702.10","2,600.00","2,598.25","2,609.45","2,859.65","1,681.50",96539,"251,913,523.40",
2000-01-18,EQ,"2,597.00","2,608.00","2,546.00","2,598.25","2,570.00","2,561.45","2,569.03","2,859.65","1,681.50",89439,"229,771,284.25",
2000-01-19,EQ,"2,575.00","2,600.00","2,501.00","2,561.45","2,522.00","2,528.95","2,544.73","2,859.65","1,681.50",118666,"301,973,209.85",
2000-01-20,EQ,"2,525.00","2,535.00","2,515.00","2,528.95","2,525.00","2,524.40","2,527.08","2,859.65","1,681.50",121559,"307,189,199.90",
2000-01-21,EQ,"2,540.00","2,595.00","2,536.60","2,524.40","2,550.00","2,548.10","2,551.42","2,859.65","1,681.50",75012,"191,387,277.20",
2000-01-24,EQ,"2,550.00","2,649.00","2,541.00","2,548.10","2,575.00","2,578.50","2,587.48","2,859.65","1,681.50",71199,"184,225,886.00",
2000-01-25,EQ,"2,597.70","2,597.70","2,546.00","2,578.50","2,550.00","2,552.05","2,558.39","2,859.65","1,719.95",54093,"138,391,162.05",
2000-01-27,EQ,"2,620.00","2,680.00","2,539.00","2,552.05","2,560.00","2,559.65","2,571.43","2,859.65","1,719.95",92647,"238,235,185.80",
2000-01-28,EQ,"2,525.00","2,564.80","2,490.00","2,559.65","2,496.00","2,523.75","2,546.01","2,859.65","1,719.95",46421,"118,188,470.10",
2000-01-31,EQ,"2,445.00","2,494.00","2,401.00","2,523.75","2,433.50","2,440.00","2,445.59","2,859.65","1,719.95",69079,"168,939,220.60",
2000-02-01,EQ,"2,415.00","2,415.00","2,285.00","2,440.00","2,315.00","2,326.70","2,328.27","2,859.65","1,825.25",117442,"273,436,182.30",
2000-02-02,EQ,"2,400.00","2,499.00","2,375.00","2,326.70","2,427.00","2,406.95","2,422.46","2,859.65","1,825.25",98325,"238,188,438.20",
2000-02-03,EQ,"2,428.00","2,451.00","2,359.00","2,406.95","2,430.00","2,437.90","2,431.79","2,859.65","1,825.25",58365,"141,931,147.95",
2000-02-04,EQ,"2,439.80","2,439.80","2,325.00","2,437.90","2,340.00","2,346.75","2,371.86","2,859.65","1,825.25",33380,"79,172,850.80",
2000-02-07,EQ,"2,345.00","2,355.00","2,275.00","2,346.75","2,309.00","2,308.95","2,325.87","2,859.65","1,825.25",36764,"85,508,323.20",
2000-02-08,EQ,"2,300.00","2,334.50","2,300.00","2,308.95","2,303.00","2,306.95","2,317.10","2,859.65","1,825.25",41790,"96,831,815.65",
2000-02-09,EQ,"2,440.00","2,480.00","2,365.00","2,306.95","2,419.00","2,418.10","2,405.02","2,859.65","1,825.25",67504,"162,348,313.70",
2000-02-10,EQ,"2,381.25","2,445.00","2,320.00","2,418.10","2,320.00","2,331.10","2,359.98","2,859.65","1,825.25",87892,"207,423,396.60",
2000-02-11,EQ,"2,395.00","2,449.90","2,307.00","2,331.10","2,370.00","2,376.50","2,359.10","2,859.65","1,825.25",156867,"370,064,340.70",
2000-02-14,EQ,"2,370.00","2,415.00","2,297.00","2,376.50","2,301.00","2,300.30","2,318.04","2,859.65","1,825.25",57803,"133,989,604.80",
2000-02-15,EQ,"2,310.00","2,359.85","2,280.00","2,300.30","2,300.00","2,302.00","2,321.31","2,859.65","1,825.25",71513,"166,003,547.45",
2000-02-16,EQ,"2,400.00","2,410.00","2,300.00","2,302.00","2,314.95","2,311.05","2,339.27","2,859.65","1,825.25",90729,"212,239,879.15",
2000-02-17,EQ,"2,347.00","2,347.00","2,310.00","2,311.05","2,325.00","2,327.05","2,327.82","2,859.65","1,825.25",62080,"144,511,137.50",
2000-02-18,EQ,"2,327.90","2,513.25","2,315.00","2,327.05","2,513.25","2,513.00","2,428.76","2,859.65","1,825.25",238060,"578,190,767.10",
2000-02-21,EQ,"2,664.00","2,714.05","2,601.00","2,513.00","2,714.05","2,714.05","2,706.60","2,859.65","1,825.25",343736,"930,354,464.00",
2000-02-22,EQ,"2,920.00","2,931.20","2,920.00","2,714.05","2,931.20","2,931.20","2,931.18","2,859.65","1,825.25",115349,"338,108,748.80",
2000-02-23,EQ,"3,165.70","3,165.70","2,765.00","2,931.20","2,900.00","2,875.90","3,028.73","2,931.20","1,825.25",554204,"1,678,534,717.40",
