date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,28.9,28.95,28.0,26.8,28.95,28.95,28.69,40.0,16.0,107224,"3,075,826.90",
2000-01-04,EQ,30.85,31.25,27.9,28.95,30.6,30.25,29.12,40.0,16.0,182693,"5,320,731.00",
2000-01-05,EQ,29.9,30.0,27.85,30.25,28.45,28.15,28.72,40.0,16.0,162820,"4,675,717.20",
2000-01-06,EQ,29.25,29.35,27.95,28.15,27.95,28.0,28.55,40.0,16.0,87901,"2,510,006.80",
2000-01-07,EQ,27.2,28.0,26.5,28.0,27.2,27.05,27.09,40.0,16.0,65684,"1,779,189.70",
2000-01-10,EQ,28.0,28.05,27.15,27.05,27.45,27.5,27.68,40.0,16.0,87142,"2,411,823.30",
2000-01-11,EQ,28.0,28.0,26.0,27.5,27.0,26.35,26.52,40.0,16.0,186472,"4,945,326.10",
2000-01-12,EQ,27.4,27.4,26.65,26.35,27.3,27.1,26.93,40.0,16.0,72140,"1,942,591.25",
2000-01-13,EQ,27.0,27.5,26.55,27.1,26.8,26.7,27.07,40.0,16.0,89730,"2,428,816.80",
2000-01-14,EQ,26.5,26.7,25.65,26.7,26.0,25.95,26.04,40.0,16.0,66070,"1,720,288.50",
2000-01-17,EQ,27.95,28.05,27.95,25.95,28.05,28.05,28.05,40.0,16.0,122350,"3,431,912.50",
2000-01-18,EQ,30.25,30.3,27.3,28.05,28.0,27.8,28.75,40.0,16.0,389710,"11,205,471.25",
2000-01-19,EQ,28.5,30.0,27.65,27.8,30.0,29.7,28.72,40.0,16.0,268997,"7,725,528.70",
2000-01-20,EQ,29.9,31.4,29.15,29.7,30.9,30.6,30.01,40.0,16.0,281868,"8,460,138.20",
2000-01-21,EQ,30.9,30.9,29.25,30.6,30.5,30.3,29.86,40.0,16.0,225437,"6,732,542.35",
2000-01-24,EQ,28.6,32.0,28.6,30.3,29.05,29.1,29.65,40.0,16.0,141305,"4,189,270.30",
2000-01-25,EQ,29.0,29.6,28.1,29.1,29.5,29.1,28.75,40.0,16.0,191270,"5,498,976.10",
2000-01-27,EQ,30.5,31.45,30.0,29.1,31.45,31.45,31.39,40.0,16.0,77448,"2,431,369.60",
2000-01-28,EQ,34.0,34.0,34.0,31.45,34.0,34.0,34.0,40.0,16.0,51944,"1,766,096.00",
2000-01-31,EQ,36.5,36.75,36.5,34.0,36.75,36.75,36.75,40.0,16.0,159195,"5,850,241.25",
2000-02-01,EQ,39.65,39.7,35.5,36.75,39.7,39.7,39.03,40.0,16.0,729559,"28,477,369.75",
2000-02-02,EQ,42.9,42.9,42.9,39.7,42.9,42.9,42.9,40.0,16.0,105148,"4,510,849.20",
2000-02-03,EQ,45.7,46.35,40.45,42.9,41.0,41.25,43.77,42.9,16.0,1141249,"49,948,174.75",
2000-02-04,EQ,42.0,42.0,37.95,41.25,38.5,38.7,39.07,46.35,16.0,507695,"19,838,022.90",
2000-02-07,EQ,38.9,41.25,36.35,38.7,39.6,40.45,39.17,46.35,16.0,543292,"21,278,348.65",
2000-02-08,EQ,39.0,40.0,37.25,40.45,37.25,37.25,37.87,46.35,16.0,312719,"11,842,727.65",
2000-02-09,EQ,35.0,37.0,34.3,37.25,34.3,34.3,34.83,46.35,16.0,312438,"10,882,187.75",
2000-02-10,EQ,32.0,36.35,32.0,34.3,36.25,35.7,34.28,46.35,16.0,277726,"9,519,569.65",
2000-02-11,EQ,36.9,38.6,33.8,35.7,38.6,36.75,35.81,46.35,16.0,303244,"10,860,598.50",
2000-02-14,EQ,37.0,39.7,36.0,36.75,39.7,39.45,39.08,46.35,16.0,487791,"19,062,411.20",
2000-02-15,EQ,39.0,39.5,36.5,39.45,36.75,36.95,37.65,46.35,16.0,267457,"10,069,533.80",
