date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2012-12-28,EQ,200.0,200.85,188.65,220.0,191.0,191.65,194.06,200.85,188.65,35351056,"6,860,099,747.00",210800
2012-12-31,EQ,191.85,195.5,188.25,191.65,193.65,193.7,193.51,200.85,188.25,6021827,"1,165,256,294.10",49322
2013-01-01,EQ,194.7,199.8,194.0,193.7,197.65,197.75,197.64,200.85,188.25,2619486,"517,716,396.40",20341
2013-01-02,EQ,198.3,204.35,197.0,197.75,202.2,201.5,200.96,204.35,188.25,5470399,"1,099,309,669.90",48231
2013-01-03,EQ,200.0,206.5,200.0,201.5,204.7,204.35,204.11,206.5,188.25,3626134,"740,114,111.45",46634
2013-01-04,EQ,205.0,210.0,202.35,204.35,207.0,207.15,207.22,210.0,188.25,4188477,"867,927,860.25",44753
2013-01-07,EQ,207.85,209.0,206.1,207.15,207.0,207.4,207.99,210.0,188.25,2632614,"547,551,973.05",56183
2013-01-08,EQ,207.55,211.05,201.7,207.4,203.2,202.95,206.18,211.05,188.25,1310534,"270,205,142.00",20400
2013-01-09,EQ,204.25,207.9,203.3,202.95,204.95,205.05,205.71,211.05,188.25,1316038,"270,724,659.65",11772
2013-01-10,EQ,205.0,207.0,203.0,205.05,205.0,205.1,204.98,211.05,188.25,1061770,"217,640,140.65",10621
2013-01-11,EQ,204.4,206.8,203.6,205.1,205.0,205.45,205.04,211.05,188.25,560597,"114,943,567.50",8898
2013-01-14,EQ,205.2,208.25,202.9,205.45,208.0,207.8,206.23,211.05,188.25,440016,"90,743,583.55",7974
2013-01-15,EQ,207.95,208.65,204.0,207.8,205.9,205.25,206.0,211.05,188.25,308822,"63,617,276.55",5387
2013-01-16,EQ,205.85,210.0,202.5,205.25,206.65,204.4,206.26,211.05,188.25,522978,"107,871,176.55",6866
2013-01-17,EQ,206.6,207.7,204.2,204.4,205.0,204.95,205.92,211.05,188.25,1583997,"326,181,622.90",15109
2013-01-18,EQ,206.35,206.65,204.1,204.95,205.5,205.0,205.12,211.05,188.25,1219799,"250,206,448.70",8116
2013-01-21,EQ,206.85,207.5,204.5,205.0,205.0,205.05,205.02,211.05,188.25,599417,"122,890,513.75",4238
2013-01-22,EQ,205.1,206.35,204.15,205.05,205.05,205.05,205.03,211.05,188.25,645165,"132,278,082.05",4663
2013-01-23,EQ,205.0,205.15,203.15,205.05,204.05,204.6,204.79,211.05,188.25,632500,"129,528,557.75",8840
2013-01-24,EQ,204.65,210.4,204.55,204.6,205.25,206.1,205.51,211.05,188.25,1658900,"340,912,569.70",7439
2013-01-25,EQ,206.95,209.5,204.65,206.1,209.5,208.3,205.92,211.05,188.25,446416,"91,923,828.25",8688
2013-01-28,EQ,209.0,211.5,208.0,208.3,209.8,210.3,209.8,211.5,188.25,619340,"129,940,547.20",8868
2013-01-29,EQ,210.65,216.0,210.0,210.3,212.9,212.15,213.28,216.0,188.25,1297700,"276,773,703.75",14975
2013-01-30,EQ,215.0,215.0,208.1,212.15,209.85,209.95,209.87,216.0,188.25,1254754,"263,334,221.40",8298
2013-01-31,EQ,209.85,211.25,201.0,209.95,202.25,204.25,206.28,216.0,188.25,477136,"98,425,716.10",9503
2013-02-01,EQ,202.25,210.9,202.25,204.25,206.5,206.0,206.1,216.0,188.25,535714,"110,410,542.20",30294
2013-02-04,EQ,208.75,211.0,206.35,206.0,209.9,209.95,209.71,216.0,188.25,972954,"204,033,640.85",13968
2013-02-05,EQ,208.9,211.9,207.45,209.95,210.0,209.85,210.05,216.0,188.25,310499,"65,221,655.90",8694
2013-02-06,EQ,210.25,211.5,209.25,209.85,209.95,210.0,210.07,216.0,188.25,1068489,"224,456,925.95",8990
2013-02-07,EQ,210.85,210.85,207.0,210.0,207.95,207.55,208.23,216.0,188.25,55628,"11,583,593.20",2716
2013-02-08,EQ,207.95,208.75,204.45,207.55,205.85,206.95,206.97,216.0,188.25,1147102,"237,413,268.50",10459
2013-02-11,EQ,201.15,207.4,201.15,206.95,203.2,203.35,204.26,216.0,188.25,56809,"11,603,901.05",4444
2013-02-12,EQ,203.05,204.6,195.0,203.35,200.0,200.35,199.68,216.0,188.25,164404,"32,828,156.30",4116
2013-02-13,EQ,202.65,202.65,194.45,200.35,194.5,195.1,196.7,216.0,188.25,294907,"58,009,624.25",18507
2013-02-14,EQ,195.1,195.55,191.5,195.1,191.5,192.8,193.52,216.0,188.25,192159,"37,186,649.55",16038
2013-02-15,EQ,192.8,192.8,181.95,192.8,187.0,188.15,186.69,216.0,181.95,891987,"166,526,180.10",17806
2013-02-18,EQ,188.0,192.7,186.7,188.15,191.95,191.9,191.35,216.0,181.95,820340,"156,973,414.75",5652
2013-02-19,EQ,197.25,197.25,190.1,191.9,191.0,191.6,191.48,216.0,181.95,38966,"7,461,346.40",2030
2013-02-20,EQ,193.95,197.0,192.35,191.6,195.65,196.05,195.21,216.0,181.95,214534,"41,879,346.30",5471
2013-02-21,EQ,196.4,197.0,194.15,196.05,194.95,194.8,195.23,216.0,181.95,217043,"42,373,694.60",4223
2013-02-22,EQ,195.9,195.9,188.0,194.8,193.0,191.6,190.41,216.0,181.95,685089,"130,445,291.80",11457
2013-02-25,EQ,199.0,199.0,188.75,191.6,192.95,192.05,192.29,216.0,181.95,770743,"148,205,240.65",9361
2013-02-26,EQ,191.15,193.5,189.4,192.05,192.0,192.05,191.27,216.0,181.95,324124,"61,995,812.90",14498
2013-02-27,EQ,196.85,196.85,175.55,192.05,183.75,184.55,189.41,216.0,175.55,1815408,"343,855,677.05",15956
2013-02-28,EQ,185.0,194.9,185.0,184.55,192.0,191.9,190.87,216.0,175.55,3208335,"612,382,961.80",41977
2013-03-01,EQ,181.0,194.65,181.0,191.9,191.1,190.8,190.2,216.0,175.55,1026599,"195,255,329.10",32260
2013-03-04,EQ,187.75,192.85,187.75,190.8,192.85,192.25,191.42,216.0,175.55,134278,"25,703,356.45",7610
2013-03-05,EQ,194.9,196.6,191.05,192.25,196.0,195.6,194.17,216.0,175.55,421920,"81,923,031.30",13707
2013-03-06,EQ,196.55,197.95,194.3,195.6,194.35,196.95,196.93,216.0,175.55,1128179,"222,176,138.90",7233
2013-03-07,EQ,196.9,197.5,193.1,196.95,194.75,195.95,195.85,216.0,175.55,255566,"50,051,615.95",4242
2013-03-08,EQ,195.4,197.45,191.5,195.95,193.0,193.7,194.73,216.0,175.55,237353,"46,218,901.35",4882
2013-03-11,EQ,193.7,194.0,189.9,193.7,191.65,193.3,193.39,216.0,175.55,389005,"75,228,319.95",3985
2013-03-12,EQ,192.5,193.85,189.3,193.3,189.3,189.85,191.09,216.0,175.55,416693,"79,626,434.10",5492
2013-03-13,EQ,188.05,191.6,188.05,189.85,189.75,189.9,190.69,216.0,175.55,579140,"110,435,280.15",5308
2013-03-14,EQ,152.3,191.75,152.3,189.9,189.7,189.8,189.45,216.0,152.3,104780,"19,850,567.95",2584
2013-03-15,EQ,190.0,190.4,184.1,189.8,185.5,185.1,185.65,216.0,152.3,174015,"32,305,232.25",6488
2013-03-18,EQ,186.9,186.9,179.65,185.1,183.0,183.5,183.18,216.0,152.3,101719,"18,632,720.65",4310
2013-03-19,EQ,185.0,185.8,180.1,183.5,182.0,181.9,181.5,216.0,152.3,296981,"53,902,146.15",6408
2013-03-20,EQ,181.9,184.7,176.15,181.9,180.0,179.9,178.62,216.0,152.3,560531,"100,124,242.70",7411
