date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,"15,625.00","15,625.20","15,625.00","14,467.75","15,625.20","15,625.20","15,625.18","14,527.15","2,430.00",5137,"80,266,571.40",
2000-01-04,EQ,"16,800.00","16,875.25","16,253.00","15,625.20","16,875.25","16,855.90","16,646.38","15,625.20","2,430.00",56186,"935,293,747.50",
2000-01-05,EQ,"15,701.00","16,250.00","15,507.45","16,855.90","15,507.45","15,507.45","15,786.38","16,875.25","2,430.00",164605,"2,598,516,407.15",
2000-01-06,EQ,"15,256.65","15,300.00","14,266.85","15,507.45","14,266.85","14,266.85","14,462.82","16,875.25","2,430.00",81997,"1,185,907,940.75",
2000-01-07,EQ,"13,125.50","13,125.50","13,125.50","14,266.85","13,125.50","13,125.50","13,125.50","16,875.25","2,430.00",7589,"99,609,419.50",
2000-01-10,EQ,"13,125.50","14,175.50","12,075.50","13,125.50","13,750.00","13,757.30","13,270.60","16,875.25","2,430.00",236175,"3,134,184,818.75",
2000-01-11,EQ,"13,200.00","13,800.00","12,656.75","13,757.30","12,656.75","12,656.75","12,885.28","16,875.25","2,430.00",122331,"1,576,269,769.90",
2000-01-12,EQ,"11,950.00","13,349.00","11,766.00","12,656.75","13,010.00","13,077.55","12,873.99","16,875.25","2,430.00",203074,"2,614,373,290.65",
2000-01-13,EQ,"13,100.00","13,149.00","12,031.35","13,077.55","12,033.00","12,090.60","12,529.38","16,875.25","2,430.00",156550,"1,961,474,749.30",
2000-01-14,EQ,"12,249.00","12,297.00","11,203.00","12,090.60","12,170.00","12,176.40","11,896.77","16,875.25","2,430.00",125313,"1,490,819,628.70",
2000-01-17,EQ,"12,200.00","12,885.00","11,720.00","12,176.40","11,773.00","11,870.90","12,210.99","16,875.25","2,430.00",141351,"1,726,035,813.45",
2000-01-18,EQ,"11,739.70","12,169.00","11,325.00","11,870.90","11,930.00","11,935.65","11,818.44","16,875.25","2,430.00",158523,"1,873,494,622.25",
2000-01-19,EQ,"12,546.00","12,890.50","12,420.00","11,935.65","12,890.50","12,889.85","12,765.40","16,875.25","2,430.00",156209,"1,994,070,491.90",
2000-01-20,EQ,"13,200.00","13,551.00","12,611.00","12,889.85","12,739.00","12,747.05","13,196.10","16,875.25","2,430.00",154520,"2,039,061,016.10",
2000-01-21,EQ,"12,900.00","13,590.00","12,503.00","12,747.05","13,550.00","13,420.20","13,122.91","16,875.25","2,430.00",162391,"2,131,042,830.50",
2000-01-24,EQ,"13,600.00","14,489.00","13,600.00","13,420.20","13,840.10","13,878.80","14,027.99","16,875.25","2,430.00",197315,"2,767,933,423.75",
2000-01-25,EQ,"13,800.00","14,250.00","13,400.05","13,878.80","14,190.00","14,109.40","13,923.52","16,875.25","2,430.00",159919,"2,226,634,875.30",
2000-01-27,EQ,"7,570.00","7,600.00","7,293.00","14,109.40","7,405.00","7,390.75","7,464.80","16,875.25","2,430.00",202403,"1,510,898,710.40",
2000-01-28,EQ,"7,426.00","7,699.00","7,426.00","7,390.75","7,625.00","7,611.55","7,592.45","16,875.25","2,430.00",270024,"2,050,144,623.25",
2000-01-31,EQ,"7,535.50","7,544.00","7,127.00","7,611.55","7,218.00","7,221.70","7,396.24","16,875.25","2,430.00",118723,"878,104,384.15",
