date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,260.0,273.25,250.0,254.0,267.35,270.85,258.55,570.0,222.25,23700,"6,127,647.50",
2000-01-04,EQ,260.0,268.0,254.1,270.85,267.0,264.4,259.8,570.0,222.25,24400,"6,339,112.50",
2000-01-05,EQ,264.9,265.0,257.0,264.4,261.35,261.3,260.66,570.0,222.25,18900,"4,926,382.50",
2000-01-06,EQ,258.0,263.0,256.05,261.3,263.0,260.1,259.81,570.0,222.25,18150,"4,715,515.00",
2000-01-07,EQ,259.9,267.0,253.25,260.1,267.0,264.45,260.11,570.0,222.25,17650,"4,590,902.50",
2000-01-10,EQ,252.1,259.5,250.6,264.45,250.65,251.35,254.0,570.0,222.25,23550,"5,981,785.00",
2000-01-11,EQ,250.0,256.0,235.05,251.35,237.0,239.75,245.63,570.0,222.25,39500,"9,702,475.00",
2000-01-12,EQ,258.95,258.95,258.95,239.75,258.95,258.95,258.95,570.0,222.25,350,"90,632.50",
2000-01-13,EQ,279.7,279.7,268.0,258.95,274.0,272.5,275.96,570.0,222.25,8490,"2,342,880.20",
2000-01-14,EQ,277.0,281.9,260.0,272.5,277.0,277.05,274.03,570.0,222.25,8508,"2,331,427.35",
2000-01-17,EQ,284.0,289.95,260.0,277.05,263.15,265.65,269.7,570.0,222.25,4503,"1,214,456.90",
2000-01-18,EQ,262.0,264.5,258.0,265.65,264.5,259.5,260.12,570.0,222.25,6395,"1,663,484.80",
2000-01-19,EQ,265.05,270.0,249.0,259.5,250.5,249.85,260.54,570.0,222.25,39460,"10,280,841.75",
2000-01-20,EQ,257.0,263.0,253.25,249.85,255.0,255.8,258.0,570.0,222.25,62478,"16,119,526.60",
2000-01-21,EQ,255.0,260.0,255.0,255.8,257.0,257.05,257.46,570.0,222.25,33282,"8,568,880.50",
2000-01-24,EQ,258.0,259.0,252.05,257.05,256.9,254.15,256.25,570.0,222.25,28174,"7,219,484.65",
2000-01-25,EQ,250.5,255.0,242.0,254.15,246.5,244.05,251.25,570.0,222.25,18030,"4,530,021.00",
2000-01-27,EQ,250.0,263.6,248.05,244.05,251.0,250.05,250.38,570.0,222.25,70357,"17,616,023.05",
2000-01-28,EQ,255.0,255.0,246.0,250.05,248.05,249.05,249.81,570.0,222.25,23696,"5,919,584.50",
2000-01-31,EQ,255.0,255.0,241.25,249.05,244.4,247.2,246.41,570.0,222.25,46938,"11,566,144.00",
2000-02-01,EQ,249.25,266.85,246.15,247.2,251.0,249.35,252.33,570.0,222.25,35989,"9,081,086.70",
2000-02-02,EQ,269.3,269.3,256.1,249.35,263.0,262.35,263.35,570.0,222.25,52269,"13,765,211.65",
2000-02-03,EQ,270.0,270.0,258.0,262.35,260.0,259.5,263.75,570.0,222.25,18742,"4,943,254.10",
2000-02-04,EQ,262.5,262.5,254.1,259.5,258.95,257.8,256.99,570.0,222.25,8576,"2,203,971.95",
2000-02-07,EQ,245.0,257.0,244.0,257.8,255.0,253.95,253.29,570.0,222.25,11745,"2,974,862.00",
2000-02-08,EQ,250.1,253.9,240.0,253.95,240.0,242.45,246.0,570.0,222.25,26292,"6,467,790.95",
2000-02-09,EQ,259.0,259.0,245.0,242.45,250.0,250.55,248.67,570.0,222.25,57490,"14,296,318.25",
2000-02-10,EQ,250.0,250.0,243.5,250.55,247.55,246.75,245.87,570.0,222.25,19245,"4,731,856.40",
2000-02-11,EQ,252.9,252.9,240.0,246.75,242.95,240.95,243.62,570.0,222.25,14079,"3,429,927.90",
2000-02-14,EQ,249.0,249.0,225.25,240.95,231.0,229.0,235.19,570.0,222.25,52841,"12,427,619.40",
2000-02-15,EQ,228.0,229.0,221.0,229.0,227.0,227.25,225.94,570.0,222.25,25886,"5,848,566.25",
2000-02-16,EQ,230.0,240.0,227.0,227.25,228.1,228.15,232.36,570.0,221.0,18442,"4,285,228.90",
2000-02-17,EQ,228.0,235.0,227.0,228.15,228.7,230.55,231.8,570.0,221.0,13507,"3,130,964.75",
2000-02-18,EQ,220.05,234.0,213.0,230.55,220.0,219.85,219.51,570.0,221.0,36603,"8,034,878.35",
2000-02-21,EQ,221.0,222.0,212.3,219.85,212.35,213.95,216.41,570.0,213.0,21925,"4,744,815.05",
2000-02-22,EQ,217.5,221.95,205.1,213.95,207.4,206.4,208.95,570.0,212.3,41074,"8,582,430.65",
2000-02-23,EQ,218.0,219.15,210.0,206.4,215.0,213.4,217.13,570.0,205.1,79190,"17,194,296.65",
2000-02-24,EQ,218.0,224.8,211.0,213.4,211.0,212.0,213.71,570.0,205.1,29971,"6,405,145.75",
2000-02-25,EQ,213.4,213.4,207.15,212.0,209.3,208.95,210.18,570.0,205.1,11245,"2,363,451.05",
2000-02-28,EQ,206.0,221.75,206.0,208.95,220.15,220.5,215.28,570.0,205.1,63916,"13,759,741.10",
2000-02-29,EQ,222.95,235.5,215.0,220.5,222.05,221.6,226.55,570.0,205.1,175570,"39,775,766.10",
2000-03-01,EQ,220.0,223.0,218.0,221.6,222.6,221.9,220.94,570.0,205.1,29462,"6,509,306.15",
2000-03-02,EQ,225.0,229.9,204.15,221.9,204.15,204.15,215.05,570.0,205.1,43732,"9,404,573.50",
2000-03-03,EQ,200.0,205.0,187.85,204.15,189.0,189.95,192.26,570.0,204.15,46680,"8,974,640.95",
2000-03-06,EQ,194.0,194.0,174.8,189.95,177.6,178.45,180.34,570.0,187.85,97979,"17,669,464.85",
2000-03-07,EQ,178.0,178.0,166.0,178.45,172.15,172.85,170.47,570.0,174.8,38288,"6,526,992.55",
2000-03-08,EQ,173.0,174.5,165.0,172.85,167.1,168.3,169.21,570.0,166.0,20487,"3,466,606.40",
2000-03-09,EQ,165.0,179.9,163.25,168.3,176.9,173.9,168.36,570.0,165.0,37011,"6,231,181.20",
2000-03-10,EQ,171.0,175.0,169.0,173.9,171.25,171.65,172.05,570.0,163.25,25379,"4,366,486.20",
2000-03-13,EQ,170.0,172.0,162.1,171.65,167.0,166.2,168.04,570.0,163.25,24507,"4,118,219.20",
2000-03-14,EQ,170.0,170.0,155.0,166.2,168.0,166.85,162.77,570.0,162.1,84921,"13,822,797.45",
2000-03-15,EQ,161.1,180.2,161.1,166.85,174.0,174.95,174.48,570.0,155.0,35131,"6,129,815.85",
2000-03-16,EQ,176.8,176.8,165.0,174.95,170.0,169.3,169.81,570.0,155.0,15994,"2,715,966.70",
2000-03-21,EQ,169.0,169.0,163.25,169.3,165.3,166.7,166.26,570.0,155.0,32428,"5,391,367.15",
2000-03-22,EQ,173.0,180.05,168.5,166.7,180.05,180.05,177.31,570.0,155.0,17745,"3,146,447.60",
2000-03-23,EQ,189.0,194.45,185.0,180.05,194.45,193.7,190.3,570.0,155.0,18615,"3,542,347.30",
2000-03-24,EQ,196.0,205.0,187.1,193.7,204.0,203.4,197.71,570.0,155.0,22486,"4,445,747.80",
2000-03-27,EQ,202.0,202.0,189.0,203.4,189.0,190.8,194.68,570.0,155.0,10727,"2,088,378.60",
2000-03-28,EQ,185.0,196.0,183.15,190.8,196.0,191.95,189.96,570.0,155.0,15873,"3,015,206.45",
2000-03-29,EQ,197.0,197.0,188.0,191.95,192.9,191.5,190.73,570.0,155.0,7355,"1,402,804.15",
2000-03-30,EQ,192.0,194.8,180.0,191.5,184.0,183.5,186.26,570.0,155.0,10526,"1,960,602.55",
2000-03-31,EQ,181.1,192.0,181.0,183.5,190.0,190.65,188.77,570.0,155.0,5717,"1,079,184.30",
2000-04-03,EQ,193.0,196.0,183.0,190.65,191.8,192.4,192.76,570.0,155.0,16245,"3,131,370.60",
2000-04-04,EQ,193.0,193.0,177.1,192.4,184.85,184.4,182.34,570.0,155.0,42137,"7,683,202.95",
2000-04-05,EQ,183.5,189.95,179.55,184.4,183.75,182.2,183.59,570.0,155.0,12559,"2,305,712.45",
2000-04-06,EQ,184.5,186.0,178.1,182.2,185.8,185.5,182.48,570.0,155.0,9995,"1,823,861.50",
2000-04-07,EQ,186.0,194.0,185.0,185.5,192.7,191.45,189.74,570.0,155.0,22185,"4,209,475.80",
2000-04-10,EQ,192.0,193.0,184.0,191.45,184.8,184.95,185.75,570.0,155.0,26382,"4,900,582.90",
2000-04-11,EQ,176.5,184.0,176.5,184.95,182.0,180.0,181.31,570.0,155.0,20628,"3,740,081.95",
2000-04-12,EQ,187.0,187.0,181.0,180.0,184.25,183.6,182.97,570.0,155.0,6898,"1,262,116.95",
2000-04-13,EQ,181.0,183.0,180.0,183.6,183.0,182.4,181.46,570.0,155.0,5650,"1,025,231.25",
2000-04-17,EQ,179.0,179.0,168.0,182.4,170.0,171.75,172.69,570.0,155.0,17698,"3,056,320.80",
2000-04-18,EQ,174.95,175.0,170.2,171.75,172.5,172.05,172.25,570.0,155.0,12735,"2,193,612.75",
2000-04-19,EQ,175.0,175.95,170.0,172.05,172.3,172.55,172.56,570.0,155.0,8696,"1,500,542.10",
2000-04-20,EQ,170.0,170.5,165.0,172.55,169.5,169.6,167.97,570.0,155.0,7197,"1,208,914.00",
2000-04-24,EQ,171.9,171.9,166.0,169.6,167.8,167.8,167.46,570.0,155.0,6710,"1,123,682.50",
2000-04-25,EQ,163.05,166.0,154.6,167.8,160.0,159.55,160.22,570.0,155.0,9939,"1,592,432.50",
2000-04-26,EQ,165.0,170.95,163.0,159.55,170.9,170.2,168.7,570.0,154.6,6046,"1,019,989.60",
2000-04-27,EQ,169.0,170.0,166.0,170.2,167.95,166.65,167.86,570.0,154.6,3936,"660,692.85",
2000-04-28,EQ,172.0,172.0,159.0,166.65,160.6,160.55,160.99,570.0,154.6,17436,"2,806,942.60",
2000-05-02,EQ,160.0,160.0,147.95,160.55,148.0,148.9,155.77,570.0,154.6,24654,"3,840,421.05",
2000-05-03,EQ,149.0,153.95,137.0,148.9,138.3,137.85,140.69,570.0,147.95,96997,"13,646,077.50",
2000-05-04,EQ,140.0,145.95,137.0,137.85,140.0,138.65,140.51,570.0,137.0,84775,"11,911,492.65",
2000-05-05,EQ,143.0,143.0,134.75,138.65,136.0,135.45,137.73,570.0,137.0,86728,"11,944,857.65",
2000-05-08,EQ,137.7,143.0,128.0,135.45,130.5,131.8,135.17,570.0,134.75,63155,"8,536,379.45",
2000-05-09,EQ,135.0,135.0,125.0,131.8,130.75,129.25,128.14,570.0,128.0,75685,"9,697,929.30",
2000-05-10,EQ,135.5,135.5,129.0,129.25,133.0,133.1,131.97,570.0,125.0,49948,"6,591,597.75",
2000-05-11,EQ,128.2,133.0,128.1,133.1,133.0,132.65,131.74,570.0,125.0,14571,"1,919,576.25",
2000-05-12,EQ,132.0,134.5,130.05,132.65,133.65,133.6,132.72,570.0,125.0,34360,"4,560,306.90",
2000-05-15,EQ,133.0,138.9,129.15,133.6,135.3,136.7,133.98,570.0,125.0,24862,"3,330,925.45",
2000-05-16,EQ,142.0,146.0,136.1,136.7,142.05,143.2,139.96,570.0,125.0,30559,"4,277,005.55",
2000-05-17,EQ,149.5,154.7,145.1,143.2,152.65,152.55,151.78,570.0,125.0,74270,"11,272,934.90",
2000-05-18,EQ,149.25,164.75,149.0,152.55,156.3,155.8,159.69,570.0,125.0,91805,"14,660,363.55",
2000-05-19,EQ,157.0,162.0,149.3,155.8,153.7,153.5,153.15,570.0,125.0,98202,"15,039,867.45",
2000-05-22,EQ,151.9,154.25,150.0,153.5,153.0,153.05,152.38,570.0,125.0,45465,"6,927,842.45",
2000-05-23,EQ,152.0,154.95,150.05,153.05,154.25,153.3,152.75,570.0,125.0,91340,"13,951,936.05",
2000-05-24,EQ,152.1,152.1,143.0,153.3,149.8,149.8,149.13,570.0,125.0,120451,"17,963,360.05",
2000-05-25,EQ,151.0,161.7,149.1,149.8,153.0,153.4,155.51,570.0,125.0,162797,"25,315,952.80",
2000-05-26,EQ,153.0,153.5,148.5,153.4,151.85,151.05,150.7,570.0,125.0,123128,"18,554,922.25",
2000-05-29,EQ,151.5,154.0,149.1,151.05,150.6,151.1,151.44,570.0,125.0,66166,"10,020,028.60",
2000-05-30,EQ,151.0,152.95,148.5,151.1,152.1,152.4,151.09,570.0,125.0,82121,"12,407,721.00",
2000-05-31,EQ,154.9,155.8,149.1,152.4,151.4,150.7,151.5,570.0,125.0,92574,"14,024,836.35",
2000-06-01,EQ,149.0,152.5,144.0,150.7,146.45,145.0,146.63,570.0,125.0,72898,"10,688,695.30",
2000-06-02,EQ,146.05,152.05,146.0,145.0,149.5,150.45,148.81,570.0,125.0,38246,"5,691,478.25",
2000-06-05,EQ,154.0,154.0,147.0,150.45,150.0,149.95,150.19,570.0,125.0,69014,"10,365,024.15",
2000-06-06,EQ,148.05,150.2,146.05,149.95,146.05,148.9,148.71,570.0,125.0,68470,"10,182,072.15",
2000-06-07,EQ,148.0,151.4,146.0,148.9,148.55,149.25,149.17,570.0,125.0,42275,"6,306,240.30",
2000-06-08,EQ,148.6,153.9,148.6,149.25,153.5,152.75,150.94,570.0,125.0,59983,"9,053,827.55",
2000-06-09,EQ,150.3,155.0,150.1,152.75,155.0,153.2,151.89,570.0,125.0,46663,"7,087,787.65",
2000-06-12,EQ,154.0,155.0,150.0,153.2,150.5,150.85,151.34,570.0,125.0,36755,"5,562,377.25",
