date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,694.00,708.50,675.0,656.00,708.50,708.50,701.81,"1,140.80",580.0,562715,"394,917,421.95",
2000-01-04,EQ,714.00,729.00,694.3,708.50,710.65,712.35,714.16,"1,140.80",580.0,712637,"508,937,894.85",
2000-01-05,EQ,716.25,758.90,660.0,712.35,731.00,726.20,732.43,"1,140.80",580.0,1382149,"1,012,324,778.10",
2000-01-06,EQ,741.00,784.30,741.0,726.20,784.30,784.30,776.63,"1,140.80",580.0,721618,"560,426,634.65",
2000-01-07,EQ,832.40,847.05,824.0,784.30,847.05,847.05,841.25,"1,140.80",580.0,231209,"194,504,595.95",
2000-01-10,EQ,911.15,914.85,875.0,847.05,914.85,914.85,907.23,"1,140.80",580.0,1219818,"1,106,652,839.20",
2000-01-11,EQ,902.00,952.00,866.1,914.85,877.00,883.70,908.61,"1,140.80",580.0,2376154,"2,159,007,904.80",
2000-01-12,EQ,905.00,924.00,870.3,883.70,895.00,888.35,891.48,"1,140.80",580.0,616366,"549,475,424.70",
2000-01-13,EQ,900.00,936.00,871.0,888.35,876.95,879.75,908.42,"1,140.80",580.0,667073,"605,984,400.45",
2000-01-14,EQ,879.90,903.70,863.2,879.75,894.00,887.55,883.15,"1,140.80",580.0,575381,"508,146,583.80",
2000-01-17,EQ,904.95,904.95,816.55,887.55,816.55,817.35,839.35,"1,140.80",580.0,1763903,"1,480,527,832.55",
2000-01-18,EQ,806.00,830.00,796.0,817.35,826.50,821.35,816.85,"1,140.80",580.0,807421,"659,545,767.20",
2000-01-19,EQ,830.00,848.00,801.0,821.35,822.10,826.10,832.91,"1,140.80",580.0,426440,"355,184,397.35",
2000-01-20,EQ,830.00,830.00,778.7,826.10,785.00,786.10,798.47,"1,140.80",580.0,485044,"387,295,109.65",
2000-01-21,EQ,785.00,845.90,785.0,786.10,830.00,831.55,825.30,"1,140.80",580.0,1200922,"991,123,860.30",
2000-01-24,EQ,836.00,858.00,782.5,831.55,785.00,792.45,831.41,"1,140.80",580.0,1546995,"1,286,184,069.85",
2000-01-25,EQ,780.00,780.00,729.05,792.45,730.50,729.55,735.14,"1,140.80",580.0,1241015,"912,319,608.45",
2000-01-27,EQ,751.00,787.95,680.0,729.55,765.00,778.85,757.15,"1,140.80",580.0,1868015,"1,414,361,632.75",
2000-01-28,EQ,767.00,767.00,716.55,778.85,716.55,719.20,738.09,"1,140.80",580.0,1276603,"942,252,103.75",
2000-01-31,EQ,711.00,728.00,685.0,719.20,688.00,692.20,706.22,"1,140.80",580.0,993321,"701,501,841.80",
2000-02-01,EQ,697.00,721.75,691.0,692.20,704.00,701.55,707.40,"1,140.80",580.0,1154968,"817,021,903.40",
2000-02-02,EQ,720.00,732.70,712.0,701.55,714.95,714.05,722.27,"1,140.80",580.0,600607,"433,800,469.45",
2000-02-03,EQ,721.00,726.00,705.0,714.05,709.95,709.10,715.57,"1,140.80",580.0,357056,"255,500,139.10",
2000-02-04,EQ,713.00,719.80,691.0,709.10,699.00,695.50,703.28,"1,140.80",580.0,438192,"308,170,762.65",
2000-02-07,EQ,708.50,751.15,708.5,695.50,751.15,747.30,741.06,"1,140.80",580.0,967422,"716,915,770.05",
2000-02-08,EQ,761.10,798.00,756.0,747.30,763.00,763.25,775.90,"1,140.80",580.0,969144,"751,963,477.55",
2000-02-09,EQ,784.40,824.35,772.0,763.25,824.35,824.35,816.02,"1,140.80",580.0,677696,"553,016,169.20",
2000-02-10,EQ,890.30,890.30,890.3,824.35,890.30,890.30,890.30,"1,140.80",580.0,20323,"18,093,566.90",
2000-02-11,EQ,961.55,961.55,961.55,890.30,961.55,961.55,961.55,"1,140.80",580.0,43319,"41,653,384.45",
2000-02-14,EQ,998.40,"1,037.00",902.0,961.55,930.00,932.55,949.03,"1,140.80",580.0,1122348,"1,065,146,463.10",
2000-02-15,EQ,925.00,"1,007.15",910.0,932.55,"1,007.15","1,006.50",984.91,"1,140.80",580.0,1468348,"1,446,196,776.50",
2000-02-16,EQ,"1,029.60","1,067.00",975.0,"1,006.50",990.00,997.20,"1,004.21","1,140.80",580.0,1639575,"1,646,482,979.40",
2000-02-17,EQ,999.00,"1,054.90",992.05,997.20,"1,030.00","1,030.10","1,033.46","1,140.80",580.0,1924843,"1,989,241,463.45",
2000-02-18,EQ,"1,035.00","1,050.00",947.7,"1,030.10",970.00,956.80,995.09,"1,140.80",580.0,1091697,"1,086,332,319.45",
2000-02-21,EQ,990.00,"1,008.00",960.0,956.80,980.00,979.90,985.88,"1,140.80",580.0,972386,"958,656,770.20",
2000-02-22,EQ,985.00,998.85,922.6,979.90,950.00,941.30,957.93,"1,140.80",580.0,1088543,"1,042,744,706.50",
2000-02-23,EQ,951.00,999.00,866.0,941.30,866.00,866.05,905.64,"1,140.80",580.0,714522,"647,099,147.30",
2000-02-24,EQ,866.00,880.00,811.0,866.05,860.00,842.70,840.14,"1,140.80",580.0,595043,"499,920,199.60",
2000-02-25,EQ,868.70,868.70,801.0,842.70,810.00,810.15,831.94,"1,140.80",580.0,342968,"285,327,393.25",
2000-02-28,EQ,820.00,838.85,786.1,810.15,802.45,803.50,813.72,"1,140.80",580.0,333728,"271,562,487.85",
2000-02-29,EQ,810.00,819.00,739.25,803.50,739.25,746.85,782.16,"1,140.80",580.0,1301851,"1,018,253,711.75",
2000-03-01,EQ,740.10,784.00,710.0,746.85,760.00,753.75,758.76,"1,140.80",580.0,874568,"663,591,137.05",
2000-03-02,EQ,761.00,780.00,714.4,753.75,719.00,724.60,750.91,"1,140.80",580.0,1069797,"803,323,667.50",
2000-03-03,EQ,736.00,736.00,666.65,724.60,690.00,675.35,689.05,"1,140.80",580.0,696618,"480,004,708.60",
2000-03-06,EQ,697.00,729.40,697.0,675.35,729.40,729.40,720.55,"1,140.80",580.0,476107,"343,059,278.85",
2000-03-07,EQ,745.00,787.75,732.0,729.40,787.75,780.60,755.05,"1,140.80",580.0,954532,"720,719,293.50",
2000-03-08,EQ,820.00,843.05,780.0,780.60,808.00,807.55,816.63,"1,140.80",580.0,816449,"666,732,907.15",
2000-03-09,EQ,815.00,847.00,787.1,807.55,830.00,828.70,817.17,"1,140.80",580.0,889699,"727,039,740.40",
2000-03-10,EQ,839.95,867.00,810.05,828.70,867.00,837.40,833.24,"1,140.80",580.0,679326,"566,038,817.60",
2000-03-13,EQ,867.00,904.40,800.0,837.40,825.00,829.05,864.57,"1,140.80",580.0,1122941,"970,856,274.10",
2000-03-14,EQ,825.00,878.00,791.0,829.05,850.00,859.00,834.93,"1,140.80",580.0,1118886,"934,194,581.30",
2000-03-15,EQ,860.00,875.00,826.0,859.00,845.90,851.70,851.90,"1,140.80",580.0,448662,"382,217,280.15",
2000-03-16,EQ,859.00,859.00,783.6,851.70,783.60,785.65,805.69,"1,140.80",580.0,478057,"385,167,077.30",
2000-03-21,EQ,775.00,787.90,722.8,785.65,726.00,725.15,733.69,"1,140.80",580.0,395936,"290,495,116.20",
2000-03-22,EQ,745.00,770.00,736.0,725.15,744.90,740.45,750.12,"1,140.80",580.0,449248,"336,992,148.40",
2000-03-23,EQ,746.90,747.80,697.0,740.45,709.75,704.75,715.30,"1,140.80",580.0,298809,"213,738,420.45",
2000-03-24,EQ,712.00,733.00,712.0,704.75,721.00,721.40,721.20,"1,140.80",580.0,258417,"186,370,611.60",
2000-03-27,EQ,724.90,732.00,710.05,721.40,721.50,720.50,720.96,"1,140.80",580.0,243855,"175,808,911.95",
2000-03-28,EQ,722.00,723.90,692.15,720.50,701.00,701.95,706.75,"1,140.80",580.0,385509,"272,460,077.00",
2000-03-29,EQ,720.00,750.00,712.0,701.95,723.50,723.15,726.01,"1,140.80",580.0,347546,"252,322,024.45",
2000-03-30,EQ,729.90,754.00,711.0,723.15,719.00,720.15,730.22,"1,140.80",580.0,603876,"440,959,385.95",
2000-03-31,EQ,711.00,751.85,710.0,720.15,731.00,741.45,734.23,"1,140.80",580.0,586148,"430,369,130.55",
2000-04-03,EQ,739.90,800.80,721.05,741.45,792.75,797.00,772.76,"1,140.80",580.0,1720025,"1,329,164,700.35",
2000-04-04,EQ,785.00,785.00,733.25,797.00,733.25,733.25,744.37,"1,140.80",580.0,581309,"432,706,684.55",
2000-04-05,EQ,680.00,740.00,675.05,733.25,696.10,698.75,700.53,"1,140.80",580.0,706269,"494,763,659.20",
2000-04-06,EQ,705.00,711.00,646.1,698.75,685.00,682.80,676.06,"1,140.80",580.0,431386,"291,642,272.40",
2000-04-07,EQ,682.00,733.90,682.0,682.80,730.00,730.95,722.23,"1,140.80",580.0,1087357,"785,318,069.15",
2000-04-10,EQ,735.00,771.80,725.0,730.95,730.10,736.00,752.45,"1,140.80",580.0,1461248,"1,099,514,622.75",
2000-04-11,EQ,726.10,728.00,703.0,736.00,723.00,717.00,712.56,"1,140.80",580.0,479431,"341,623,590.50",
2000-04-12,EQ,725.00,739.60,715.0,717.00,717.00,721.85,724.76,"1,140.80",580.0,353802,"256,423,260.05",
2000-04-13,EQ,701.55,701.55,680.0,721.85,689.00,685.65,689.26,"1,140.80",580.0,402330,"277,309,069.00",
2000-04-17,EQ,680.00,680.00,630.8,685.65,630.80,630.80,632.57,"1,140.80",580.0,323927,"204,907,623.15",
2000-04-18,EQ,630.80,647.25,580.35,630.80,580.35,580.70,598.34,"1,140.80",580.0,688991,"412,250,457.50",
2000-04-19,EQ,619.00,619.00,558.0,580.70,582.00,582.20,583.74,"1,140.80",580.0,756996,"441,885,443.55",
2000-04-20,EQ,571.50,584.95,542.65,582.20,571.00,575.70,563.24,"1,140.80",558.0,918435,"517,303,104.25",
2000-04-24,EQ,575.00,575.00,529.65,575.70,529.65,530.95,539.98,"1,140.80",542.65,624758,"337,358,534.55",
2000-04-25,EQ,500.70,526.00,489.8,530.95,519.10,513.60,502.87,"1,140.80",529.65,873486,"439,251,973.30",
2000-04-26,EQ,529.80,554.70,529.8,513.60,554.70,554.70,546.80,"1,140.80",489.8,304309,"166,397,309.15",
2000-04-27,EQ,594.00,594.00,554.7,554.70,569.00,574.95,574.93,"1,140.80",489.8,947651,"544,830,234.45",
2000-04-28,EQ,575.00,584.90,561.0,574.95,569.90,569.20,570.60,"1,140.80",489.8,357585,"204,038,259.85",
2000-05-02,EQ,565.00,574.00,525.0,569.20,533.00,527.95,538.35,"1,140.80",489.8,433751,"233,511,172.80",
2000-05-03,EQ,502.00,544.50,495.1,527.95,528.00,525.70,518.07,"1,140.80",489.8,582541,"301,798,382.90",
2000-05-04,EQ,530.00,557.00,520.0,525.70,549.90,549.15,545.00,"1,140.80",489.8,513933,"280,095,249.75",
2000-05-05,EQ,553.80,573.00,549.0,549.15,563.00,564.40,560.35,"1,140.80",489.8,641020,"359,196,251.90",
2000-05-08,EQ,572.00,593.10,519.25,564.40,519.25,520.35,543.87,"1,140.80",489.8,485042,"263,797,688.75",
2000-05-09,EQ,506.30,541.00,500.0,520.35,530.05,529.10,522.97,"1,140.00",489.8,434331,"227,143,462.50",
2000-05-10,EQ,535.00,555.45,519.0,529.10,535.00,533.00,535.17,"1,140.00",489.8,1119290,"599,008,065.90",
2000-05-11,EQ,530.00,545.50,515.0,533.00,535.00,533.25,534.61,"1,140.00",489.8,564757,"301,923,241.65",
2000-05-12,EQ,539.90,568.40,531.0,533.25,553.00,559.45,546.43,"1,140.00",489.8,1340982,"732,759,485.65",
2000-05-15,EQ,552.00,590.00,536.0,559.45,583.00,580.45,563.73,"1,140.00",489.8,873242,"492,271,341.25",
2000-05-16,EQ,585.20,634.80,585.2,580.45,619.90,625.80,614.16,"1,140.00",489.8,1344438,"825,701,883.60",
2000-05-17,EQ,635.00,640.00,613.0,625.80,618.00,618.55,624.74,"1,140.00",489.8,1214993,"759,048,876.65",
