date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2005-03-23,EQ,455.0,458.5,383.6,10.0,386.9,390.15,419.86,-,-,2087710,"876,537,542.75",
2005-03-24,EQ,392.85,398.5,357.5,390.15,371.8,369.2,372.01,458.50,383.60,1226479,"456,263,750.60",
2005-03-28,EQ,376.7,394.05,375.0,369.2,380.0,378.85,383.64,458.50,357.50,1235794,"474,104,797.45",
2005-03-29,EQ,382.9,383.8,363.25,378.85,369.1,368.05,375.26,458.50,357.50,624072,"234,191,486.80",
2005-03-30,EQ,367.0,371.9,360.05,368.05,362.7,362.15,365.13,458.50,357.50,466349,"170,277,530.15",
2005-03-31,EQ,366.0,375.0,356.65,362.15,362.9,362.5,364.46,458.50,357.50,1203015,"438,448,693.35",
2005-04-01,EQ,366.0,396.5,361.4,362.5,391.0,391.55,384.84,458.50,356.65,1056290,"406,502,735.20",
2005-04-04,EQ,393.0,394.0,372.1,391.55,372.7,373.65,382.22,458.50,356.65,359643,"137,462,889.45",
2005-04-05,EQ,375.9,377.9,364.0,373.65,367.0,365.75,370.04,458.50,356.65,279815,"103,543,603.05",
2005-04-06,EQ,367.0,375.9,367.0,365.75,372.2,371.9,372.6,458.50,356.65,292625,"109,030,628.30",
2005-04-07,EQ,377.4,379.0,366.2,371.9,367.7,367.8,371.88,458.50,356.65,189476,"70,463,127.75",
2005-04-08,EQ,372.5,372.5,360.25,367.8,361.05,362.1,364.65,458.50,356.65,176133,"64,227,231.60",
2005-04-11,EQ,361.5,365.0,357.0,362.1,362.8,361.7,361.02,458.50,356.65,243663,"87,966,862.30",
2005-04-12,EQ,361.7,370.0,360.15,361.7,369.75,368.9,365.07,458.50,356.65,198808,"72,579,689.45",
2005-04-13,EQ,373.0,374.5,362.1,368.9,368.1,366.35,367.88,458.50,356.65,230785,"84,901,090.85",
2005-04-15,EQ,363.05,365.0,351.0,366.35,351.5,354.2,358.09,458.50,351.00,166222,"59,521,942.15",
2005-04-18,EQ,345.0,361.7,345.0,354.2,356.5,358.35,355.89,458.50,345.00,729193,"259,514,387.20",
