date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,220.0,229.35,220.0,212.35,229.35,229.35,229.13,324.7,14.0,7086,"1,623,640.30",
2000-01-04,EQ,247.7,247.7,225.25,229.35,247.7,246.95,244.12,324.7,14.0,73681,"17,987,290.60",
2000-01-05,EQ,229.0,240.0,227.2,246.95,228.0,228.4,233.75,324.7,14.0,105799,"24,730,930.55",
2000-01-06,EQ,235.1,239.0,217.0,228.4,224.95,225.9,226.84,324.7,14.0,40202,"9,119,545.90",
2000-01-07,EQ,213.0,219.0,207.85,225.9,207.85,208.85,209.94,324.7,14.0,24463,"5,135,747.15",
2000-01-10,EQ,215.0,219.0,192.15,208.85,192.15,192.15,196.47,324.7,14.0,12408,"2,437,803.80",
2000-01-11,EQ,180.2,180.2,176.8,192.15,176.8,176.8,176.98,324.7,14.0,15253,"2,699,472.40",
2000-01-12,EQ,165.0,169.45,162.7,176.8,162.7,162.7,163.34,324.7,14.0,20558,"3,357,919.70",
2000-01-13,EQ,149.7,175.7,149.7,162.7,163.35,167.35,163.83,324.7,14.0,103323,"16,927,725.75",
2000-01-14,EQ,169.0,177.0,156.15,167.35,160.5,159.85,161.69,324.7,14.0,31522,"5,096,877.95",
2000-01-17,EQ,169.0,170.0,150.15,159.85,151.5,153.5,157.22,324.7,14.0,27217,"4,279,038.45",
2000-01-18,EQ,148.25,158.9,147.3,153.5,149.25,149.5,151.56,324.7,14.0,40099,"6,077,319.20",
2000-01-19,EQ,154.5,161.5,154.0,149.5,161.5,161.5,158.69,324.7,14.0,12701,"2,015,512.45",
2000-01-20,EQ,174.45,174.45,174.45,161.5,174.45,174.45,174.45,324.7,14.0,4180,"729,201.00",
2000-01-21,EQ,188.4,188.45,182.1,174.45,188.45,188.45,187.89,324.7,14.0,39486,"7,418,854.55",
2000-01-24,EQ,200.0,203.55,200.0,188.45,203.55,203.55,203.54,324.7,14.0,10214,"2,078,912.70",
2000-01-25,EQ,214.9,218.9,189.05,203.55,199.0,200.6,202.5,324.7,14.0,106362,"21,538,276.50",
2000-01-27,EQ,194.95,194.95,194.95,200.6,194.95,194.95,194.95,324.7,14.0,3547,"691,487.65",
2000-01-28,EQ,210.55,210.55,210.55,194.95,210.55,210.55,210.55,324.7,14.0,36765,"7,740,870.75",
2000-01-31,EQ,227.4,227.4,219.0,210.55,227.4,227.4,226.2,324.7,14.0,55785,"12,618,760.00",
2000-02-01,EQ,245.45,245.6,211.1,227.4,231.75,230.6,231.09,324.7,14.0,158195,"36,557,600.90",
2000-02-02,EQ,245.0,245.0,220.55,230.6,222.0,222.0,227.79,324.7,14.0,75199,"17,129,744.70",
2000-02-03,EQ,215.0,218.9,204.25,222.0,207.1,207.4,208.07,324.7,14.0,74420,"15,484,920.55",
2000-02-04,EQ,204.25,211.0,200.0,207.4,203.15,204.0,204.4,324.7,14.0,42796,"8,747,528.45",
2000-02-07,EQ,201.55,202.8,190.0,204.0,192.7,191.65,197.02,324.7,14.0,47503,"9,358,887.85",
2000-02-08,EQ,181.05,193.0,181.05,191.65,190.0,190.0,187.19,324.7,14.0,66230,"12,397,535.50",
2000-02-09,EQ,184.0,190.0,178.2,190.0,178.6,180.05,183.41,324.7,14.0,63515,"11,649,272.10",
2000-02-10,EQ,181.0,181.0,168.0,180.05,170.15,172.5,173.39,324.7,14.0,46478,"8,058,750.00",
2000-02-11,EQ,166.0,174.0,166.0,172.5,172.9,171.15,170.72,324.7,14.0,31531,"5,382,876.90",
2000-02-14,EQ,170.05,170.5,157.5,171.15,157.5,157.5,162.7,324.7,14.0,34929,"5,682,871.20",
2000-02-15,EQ,148.0,163.7,148.0,157.5,153.9,149.6,154.24,324.7,14.0,153150,"23,621,937.05",
2000-02-16,EQ,155.25,161.6,154.0,149.6,161.6,161.6,160.01,324.7,14.0,67654,"10,825,318.00",
2000-02-17,EQ,165.0,174.55,164.8,161.6,174.55,174.55,173.52,324.7,14.0,64637,"11,215,554.85",
2000-02-18,EQ,184.4,188.0,162.75,174.55,175.0,174.85,177.4,324.7,14.0,90931,"16,130,814.10",
2000-02-21,EQ,175.0,178.0,161.0,174.85,169.7,171.6,168.66,324.7,14.0,83475,"14,078,536.30",
2000-02-22,EQ,175.0,176.0,161.5,171.6,165.0,163.2,164.01,324.7,14.0,101537,"16,653,545.25",
2000-02-23,EQ,169.0,176.25,158.0,163.2,159.0,160.4,167.57,324.7,14.0,78128,"13,091,862.65",
2000-02-24,EQ,161.1,163.0,151.0,160.4,154.8,153.85,156.52,324.7,14.0,32260,"5,049,220.35",
2000-02-25,EQ,151.7,155.9,141.55,153.85,142.45,143.3,145.07,324.7,14.0,35794,"5,192,784.95",
2000-02-28,EQ,139.0,146.0,132.2,143.3,146.0,144.15,137.86,324.7,14.0,65297,"9,001,537.65",
2000-02-29,EQ,142.0,155.7,135.55,144.15,135.7,140.45,149.91,324.7,14.0,103620,"15,533,709.50",
2000-03-01,EQ,145.0,151.7,142.0,140.45,151.7,151.7,147.54,324.7,14.0,38073,"5,617,272.35",
2000-03-02,EQ,162.0,163.85,155.5,151.7,163.85,163.85,161.76,324.7,14.0,72557,"11,736,586.60",
2000-03-03,EQ,171.9,177.0,153.0,163.85,175.05,171.25,161.0,324.7,14.0,545599,"87,840,092.70",
2000-03-06,EQ,177.0,184.95,174.0,171.25,184.95,184.95,181.69,324.7,14.0,137483,"24,979,187.55",
2000-03-07,EQ,195.0,199.75,187.0,184.95,199.75,199.75,197.28,324.7,14.0,161931,"31,945,355.60",
2000-03-08,EQ,214.8,215.75,189.05,199.75,198.0,194.8,210.77,324.7,14.0,359518,"75,775,243.90",
2000-03-09,EQ,205.0,210.0,179.25,194.8,179.25,179.25,183.12,324.7,14.0,58010,"10,622,919.50",
2000-03-10,EQ,165.1,175.0,164.95,179.25,164.95,164.95,167.61,324.7,14.0,83554,"14,004,442.85",
2000-03-13,EQ,165.0,165.0,151.75,164.95,151.75,151.75,153.67,324.7,14.0,21700,"3,334,548.50",
2000-03-14,EQ,140.1,140.1,139.65,151.75,139.65,139.65,139.7,324.7,14.0,32980,"4,607,255.70",
2000-03-15,EQ,144.0,148.0,128.6,139.65,141.6,144.3,139.7,324.7,14.0,119746,"16,727,925.15",
2000-03-16,EQ,140.0,144.0,133.0,144.3,134.05,134.3,138.26,324.7,14.0,52127,"7,207,059.35",
2000-03-21,EQ,129.0,134.5,123.6,134.3,123.6,123.6,125.34,324.7,14.0,72573,"9,096,597.15",
2001-07-02,EQ,48.05,49.5,48.0,48.0,48.0,48.05,48.33,92.65,42.0,5540,"267,768.85",
2001-07-03,EQ,49.5,49.5,47.5,48.05,48.0,48.0,47.99,92.65,42.0,3876,"186,000.45",
2001-07-04,EQ,48.5,49.0,47.75,48.0,48.4,48.4,48.13,92.65,42.0,2468,"118,779.10",
2001-07-05,EQ,49.0,49.45,48.0,48.4,48.0,48.3,48.16,92.65,42.0,3135,"150,971.00",
2001-07-06,EQ,48.5,48.5,47.0,48.3,48.0,48.0,47.47,92.65,42.0,5890,"279,595.00",
2001-07-09,EQ,47.5,48.5,47.0,48.0,48.0,47.6,47.77,92.65,42.0,7109,"339,597.00",
2001-07-10,EQ,47.05,48.0,46.0,47.6,46.0,46.8,47.25,92.65,42.0,4730,"223,502.00",
2001-07-11,EQ,49.5,49.5,46.0,46.8,46.0,46.0,46.98,92.65,42.0,3889,"182,691.05",
2001-07-12,EQ,46.5,47.0,46.0,46.0,46.0,46.0,46.34,92.65,42.0,1770,"82,014.50",
2001-07-13,EQ,46.0,47.9,45.0,46.0,45.0,45.0,45.68,92.65,42.0,4000,"182,732.75",
2001-07-16,EQ,45.0,46.0,44.5,45.0,44.5,44.5,44.94,92.65,42.0,2095,"94,139.00",
2001-07-17,EQ,44.0,46.0,44.0,44.5,45.15,45.15,45.1,92.65,42.0,4489,"202,462.70",
2001-07-18,EQ,45.0,45.45,42.1,45.15,44.85,44.9,44.94,92.65,42.0,3040,"136,610.00",
2001-07-19,EQ,44.7,45.0,44.1,44.9,44.75,44.55,44.52,92.65,42.0,3455,"153,829.60",
2001-07-20,EQ,44.0,44.95,43.55,44.55,43.55,43.6,43.92,92.65,42.0,2853,"125,310.05",
2001-07-23,EQ,41.65,44.0,41.65,43.6,44.0,44.0,43.89,92.65,42.0,105,"4,608.25",
2001-07-24,EQ,35.5,43.5,35.5,44.0,40.0,39.95,40.47,92.65,41.65,4706,"190,429.55",
2001-07-25,EQ,39.75,42.4,38.7,39.95,42.4,41.65,40.19,92.65,35.5,7239,"290,934.35",
2001-07-26,EQ,42.0,42.35,40.65,41.65,42.0,42.0,41.65,92.65,35.5,3724,"155,119.90",
2001-07-27,EQ,41.95,42.5,41.1,42.0,42.4,42.3,41.99,92.65,35.5,4703,"197,481.85",
2001-07-30,EQ,40.1,42.25,40.1,42.3,42.25,41.45,40.64,92.65,35.5,3392,"137,841.25",
2001-07-31,EQ,41.05,42.5,41.05,41.45,42.05,42.0,41.92,92.65,35.5,2776,"116,371.20",
2001-08-01,EQ,42.05,43.0,42.0,42.0,42.95,42.45,42.23,92.65,35.5,4485,"189,409.85",
2001-08-02,EQ,42.1,42.5,41.5,42.45,42.5,42.2,42.03,92.65,35.5,1867,"78,470.50",
2001-08-03,EQ,43.0,43.15,42.0,42.2,43.0,43.05,42.83,92.65,35.5,4668,"199,934.10",
2001-08-06,EQ,43.0,43.25,43.0,43.05,43.0,43.0,43.0,92.65,35.5,101101,"4,347,356.25",
2001-08-07,EQ,43.0,43.5,42.5,43.0,42.85,42.8,42.95,92.65,35.5,6326,"271,683.50",
2001-08-08,EQ,43.1,43.75,42.6,42.8,43.3,43.2,43.0,92.65,35.5,2770,"119,105.55",
2001-08-09,EQ,43.0,43.4,43.0,43.2,43.4,43.3,43.08,92.65,35.5,1948,"83,925.60",
2001-08-10,EQ,43.15,43.45,43.0,43.3,43.45,43.0,43.04,92.65,35.5,1384,"59,573.85",
2001-08-13,EQ,44.0,44.0,43.0,43.0,43.0,43.0,43.27,92.65,35.5,1085,"46,950.40",
2001-08-14,EQ,43.5,43.75,43.0,43.0,43.0,43.0,43.05,92.65,35.5,3931,"169,220.50",
2001-08-16,EQ,43.0,43.9,43.0,43.0,43.0,43.1,43.03,92.65,35.5,4214,"181,315.30",
2001-08-17,EQ,43.0,43.5,43.0,43.1,43.0,43.0,43.05,92.65,35.5,3985,"171,541.10",
2001-08-20,EQ,43.0,43.4,43.0,43.0,43.0,43.0,43.03,92.65,35.5,785,"33,780.50",
2001-08-21,EQ,43.0,43.45,43.0,43.0,43.0,43.0,43.19,92.65,35.5,1745,"75,369.25",
2001-08-23,EQ,42.9,43.35,42.9,43.0,43.3,43.0,43.0,92.65,35.5,3205,"137,828.00",
2001-08-24,EQ,43.0,43.25,43.0,43.0,43.0,43.0,43.05,92.65,35.5,2848,"122,604.80",
2001-08-27,EQ,43.0,43.45,43.0,43.0,43.25,43.25,43.07,92.65,35.5,2794,"120,349.10",
2001-08-28,EQ,43.0,43.25,43.0,43.25,43.0,43.05,43.02,92.65,35.5,2580,"110,988.80",
2001-08-29,EQ,43.5,43.5,43.0,43.05,43.05,43.05,43.05,92.65,35.5,1331,"57,301.50",
2001-08-30,EQ,43.0,43.25,43.0,43.05,43.0,43.0,43.01,92.65,35.5,1008,"43,356.50",
2001-08-31,EQ,43.0,43.5,43.0,43.0,43.0,43.1,43.12,92.65,35.5,3622,"156,177.00",
2001-09-03,EQ,43.85,44.0,43.0,43.1,43.05,43.15,43.58,92.65,35.5,3510,"152,958.25",
2001-09-04,EQ,45.45,45.45,43.0,43.15,43.0,43.0,43.06,92.65,35.5,1051,"45,254.25",
2001-09-05,EQ,43.0,43.25,43.0,43.0,43.0,43.0,43.0,92.65,35.5,2478,"106,559.10",
2001-09-06,EQ,43.9,43.9,43.0,43.0,43.0,43.0,43.0,92.65,35.5,3770,"162,127.00",
2001-09-07,EQ,43.0,43.4,43.0,43.0,43.1,43.15,43.09,92.65,35.5,2462,"106,095.20",
2001-09-10,EQ,43.0,43.4,43.0,43.15,43.0,43.0,43.06,92.65,35.5,2664,"114,708.40",
2001-09-11,EQ,43.0,43.35,42.5,43.0,43.0,43.0,42.84,92.65,35.5,15425,"660,741.00",
2001-09-12,EQ,41.6,41.6,36.0,43.0,37.5,37.75,38.39,92.65,35.5,11878,"456,022.50",
2001-09-13,EQ,38.5,38.9,37.75,37.75,38.2,37.75,38.13,92.65,35.5,3591,"136,919.25",
2001-09-14,EQ,37.75,37.75,31.5,37.75,32.75,32.1,34.0,92.65,35.5,5307,"180,445.00",
2001-09-17,EQ,30.0,30.0,26.5,32.1,26.5,27.3,27.67,92.65,31.5,14708,"406,936.50",
2001-09-18,EQ,26.95,32.75,26.0,27.3,32.35,32.15,31.17,92.65,26.5,7843,"244,460.40",
2001-09-19,EQ,32.1,36.9,32.05,32.15,35.25,35.75,35.06,92.65,26.0,7502,"263,036.65",
2001-09-20,EQ,36.0,36.5,33.0,35.75,35.4,34.55,34.42,92.65,26.0,4826,"166,099.90",
2001-09-21,EQ,34.55,41.5,34.55,34.55,37.1,37.8,39.31,92.65,26.0,17050,"670,167.10",
2001-09-24,EQ,41.9,41.9,38.0,37.8,39.75,40.0,39.88,92.65,26.0,11490,"458,172.30",
2001-09-25,EQ,40.0,40.2,40.0,40.0,40.0,40.0,40.0,92.65,26.0,8583,"343,345.50",
