date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2004-06-23,EQ,500.00,745.00,150.0,2.00,638.0,635.95,627.71,-,-,2699293,"1,694,371,846.05",
2004-06-24,EQ,630.00,630.00,608.4,635.95,612.0,616.00,618.21,745.00,150.00,913575,"564,780,198.35",
2004-06-25,EQ,619.00,679.00,616.1,616.00,665.0,668.30,658.45,745.00,150.00,1637383,"1,078,136,200.85",
2004-06-28,EQ,660.00,671.90,640.2,668.30,653.0,656.40,657.39,745.00,150.00,913349,"600,427,077.40",
2004-06-29,EQ,656.00,683.40,653.0,656.40,666.85,671.70,675.11,745.00,150.00,743063,"501,648,786.30",
2004-06-30,EQ,672.00,700.00,670.0,671.70,697.85,695.15,690.66,745.00,150.00,722230,"498,817,923.25",
2004-07-01,EQ,702.00,765.00,690.1,695.15,764.0,745.20,726.59,745.00,150.00,1582574,"1,149,883,495.05",
2004-07-02,EQ,745.00,780.00,724.65,745.20,727.0,730.50,753.03,765.00,150.00,2988945,"2,250,760,762.15",
2004-07-05,EQ,728.20,743.50,711.1,730.50,714.0,719.05,726.00,780.00,150.00,1272188,"923,610,146.40",
2004-07-06,EQ,721.80,738.00,715.3,719.05,727.9,729.60,726.59,780.00,150.00,1081518,"785,822,384.20",
2004-07-07,EQ,733.00,739.00,725.2,729.60,726.3,727.70,733.01,780.00,150.00,603840,"442,617,872.25",
2004-07-08,EQ,730.00,742.00,695.7,727.70,710.0,711.95,728.55,780.00,150.00,582272,"424,215,306.05",
2004-07-09,EQ,695.00,748.00,625.0,711.95,744.0,744.75,730.56,780.00,150.00,564885,"412,680,243.40",
2004-07-12,EQ,744.00,752.00,717.5,744.75,720.0,724.25,732.69,780.00,150.00,344052,"252,084,281.20",
2004-07-13,EQ,727.70,739.90,720.0,724.25,737.9,731.15,728.34,780.00,150.00,236313,"172,116,030.15",
2004-07-14,EQ,738.00,740.00,712.15,731.15,716.75,716.80,725.46,780.00,150.00,268530,"194,806,649.00",
