date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2003-07-09,EQ,164.9,170.4,155.0,125.0,164.0,164.3,165.95,-,-,35164283,"5,835,528,161.85",
2003-07-10,EQ,167.0,168.7,164.5,164.3,167.0,167.0,166.74,170.40,155.00,10464179,"1,744,819,621.20",
2003-07-11,EQ,167.75,174.85,166.25,167.0,173.6,173.35,172.45,170.40,155.00,11740117,"2,024,621,547.45",
2003-07-14,EQ,174.25,179.25,174.25,173.35,178.6,177.95,177.91,174.85,155.00,5982324,"1,064,313,100.30",
2003-07-15,EQ,200.0,200.0,173.0,177.95,176.3,176.2,176.88,179.25,155.00,6173689,"1,092,000,790.40",
2003-07-16,EQ,176.45,179.1,175.35,176.2,176.9,177.1,177.59,200.00,155.00,3759085,"667,569,503.10",
2003-07-17,EQ,177.5,178.0,170.65,177.1,170.7,172.2,175.48,200.00,155.00,3814181,"669,302,968.70",
2003-07-18,EQ,165.0,171.9,160.0,172.2,167.4,167.4,167.66,200.00,155.00,5375212,"901,190,322.25",
2003-07-21,EQ,169.0,169.4,163.05,167.4,164.0,164.9,166.67,200.00,155.00,3315845,"552,664,616.55",
2003-07-22,EQ,164.0,169.15,162.1,164.9,168.6,167.25,165.06,200.00,155.00,4627992,"763,912,422.25",
2003-07-23,EQ,170.5,178.0,169.8,167.25,175.55,174.7,174.54,200.00,155.00,13262249,"2,314,758,951.85",
2003-07-24,EQ,175.9,177.0,172.85,174.7,173.65,174.1,174.45,200.00,155.00,4305936,"751,152,915.65",
2003-07-25,EQ,174.4,175.0,172.1,174.1,174.0,173.65,173.66,200.00,155.00,2832967,"491,960,368.40",
2003-07-28,EQ,188.0,188.0,175.1,173.65,179.25,178.85,178.01,200.00,155.00,5415867,"964,085,339.50",
2003-07-29,EQ,179.95,182.9,179.1,178.85,180.2,180.3,180.93,200.00,155.00,5229181,"946,096,236.70",
2003-07-30,EQ,181.25,184.75,180.1,180.3,180.25,181.1,182.55,200.00,155.00,4632246,"845,601,875.40",
2003-07-31,EQ,181.7,183.65,179.65,181.1,181.0,180.85,181.87,200.00,155.00,3562717,"647,935,649.80",
2003-08-01,EQ,182.0,189.0,178.75,180.85,188.4,187.15,184.36,200.00,155.00,8027285,"1,479,884,036.25",
2003-08-04,EQ,187.85,198.5,185.0,187.15,197.5,197.6,194.65,200.00,155.00,9982429,"1,943,084,193.25",
2003-08-05,EQ,199.0,203.45,192.85,197.6,193.85,193.6,198.15,200.00,155.00,9651327,"1,912,434,118.05",
2003-08-06,EQ,191.5,197.5,189.85,193.6,191.75,191.6,193.45,203.45,155.00,7451054,"1,441,434,528.65",
2003-08-07,EQ,193.5,196.0,192.25,191.6,195.7,195.4,194.27,203.45,155.00,3223676,"626,275,934.60",
