date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2010-01-08,EQ,"2,555.00","2,575.00","2,475.20","2,512.95","2,476.00","2,494.65","2,529.81","2,575.00","2,475.20",648,"1,639,316.30",
2010-01-11,EQ,"2,401.00","2,515.00","2,400.00","2,494.65","2,500.00","2,498.95","2,494.44","2,575.00","2,400.00",825,"2,057,909.05",
2010-01-12,EQ,"2,540.00","2,540.00","2,471.35","2,498.95","2,505.00","2,502.85","2,485.22","2,575.00","2,400.00",68346,"169,854,940.95",
2010-01-13,EQ,"2,502.85","2,540.00","2,480.00","2,502.85","2,489.80","2,489.35","2,491.94","2,575.00","2,400.00",1032,"2,571,682.40",
2010-01-14,EQ,"2,535.00","2,595.00","2,470.00","2,489.35","2,560.00","2,568.20","2,510.27","2,595.00","2,400.00",330361,"829,295,643.05",
2010-01-15,EQ,"2,580.00","2,580.00","2,500.05","2,568.20","2,524.80","2,513.50","2,548.35","2,595.00","2,400.00",8229,"20,970,372.85",
2010-01-18,EQ,"2,574.00","2,574.00","2,514.00","2,513.50","2,542.05","2,536.15","2,534.76","2,595.00","2,400.00",883,"2,238,188.90",
2010-01-19,EQ,"2,567.00","2,570.00","2,531.00","2,536.15","2,550.00","2,556.10","2,558.84","2,595.00","2,400.00",688,"1,760,481.60",
2010-01-20,EQ,"2,550.00","2,575.00","2,540.00","2,556.10","2,541.00","2,542.50","2,552.32","2,595.00","2,400.00",641,"1,636,038.50",
2010-01-21,EQ,"2,539.90","2,569.00","2,499.90","2,542.50","2,512.05","2,526.20","2,538.36","2,595.00","2,400.00",831,"2,109,380.15",
2010-01-22,EQ,"2,500.00","2,530.00","2,478.00","2,526.20","2,530.00","2,529.00","2,516.42","2,595.00","2,400.00",681,"1,713,680.40",
2010-01-25,EQ,"2,665.35","2,665.35","2,510.00","2,529.00","2,520.00","2,522.25","2,528.68","2,665.35","2,400.00",1955,"4,943,576.70",
2010-01-27,EQ,"2,570.00","2,574.90","2,498.60","2,522.25","2,535.15","2,566.90","2,547.51","2,665.35","2,400.00",5302,"13,506,872.55",
2010-01-28,EQ,"2,568.00","2,610.00","2,535.50","2,566.90","2,575.00","2,586.85","2,570.33","2,665.35","2,400.00",1048,"2,693,702.00",
2010-01-29,EQ,"2,526.00","2,580.00","2,526.00","2,586.85","2,533.00","2,533.00","2,556.08","2,665.35","2,400.00",787,"2,011,634.00",
2010-02-01,EQ,"2,599.95","2,599.95","2,515.10","2,533.00","2,532.20","2,532.20","2,546.42","2,665.35","2,400.00",614,"1,563,502.70",
2010-02-02,EQ,"2,599.10","2,599.10","2,540.00","2,532.20","2,540.00","2,560.10","2,565.58","2,665.35","2,400.00",831,"2,131,995.90",
2010-02-03,EQ,"2,588.00","2,600.00","2,556.00","2,560.10","2,560.00","2,564.60","2,579.62","2,665.35","2,400.00",8681,"22,393,700.50",
2010-02-04,EQ,"2,548.00","2,583.80","2,548.00","2,564.60","2,582.00","2,568.35","2,566.97","2,665.35","2,400.00",442,"1,134,602.00",
