date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2007-10-05,EQ,89.8,109.5,83.15,52.0,100.2,100.6,102.49,109.5,83.15,481058927,"49,305,606,695.25",
2007-10-08,EQ,104.0,104.0,94.85,100.6,95.3,95.45,98.12,109.5,83.15,71252858,"6,991,615,510.45",
2007-10-09,EQ,95.5,102.85,90.35,95.45,102.1,101.95,98.57,109.5,83.15,65658228,"6,471,784,081.15",
2007-10-10,EQ,104.6,105.0,102.0,101.95,102.65,102.9,103.66,109.5,83.15,38211410,"3,960,886,983.70",
2007-10-11,EQ,120.0,120.0,102.0,102.9,114.85,114.4,110.78,120.0,83.15,59805552,"6,625,235,262.15",
2007-10-12,EQ,112.0,117.9,111.0,114.4,114.25,113.65,115.56,120.0,83.15,55918584,"6,461,713,786.05",
2007-10-15,EQ,116.0,116.7,114.15,113.65,115.4,115.15,115.71,120.0,83.15,23520928,"2,721,646,149.90",
2007-10-16,EQ,115.3,128.9,114.5,115.15,128.3,126.9,121.83,128.9,83.15,77970674,"9,498,841,848.30",
2007-10-17,EQ,114.0,140.0,106.1,126.9,135.35,136.8,127.86,140.0,83.15,115242925,"14,734,928,421.90",
2007-10-18,EQ,139.0,149.45,126.35,136.8,128.2,132.0,142.53,149.45,83.15,82472533,"11,754,855,450.25",
2007-10-19,EQ,129.0,136.9,125.0,132.0,131.85,131.55,132.11,149.45,83.15,62024917,"8,193,816,499.80",
2007-10-22,EQ,128.9,133.85,125.5,131.55,129.65,129.8,130.85,149.45,83.15,40642551,"5,317,880,847.45",
2007-10-23,EQ,133.0,140.3,133.0,129.8,139.8,139.05,137.61,149.45,83.15,41959654,"5,774,152,945.30",
2007-10-24,EQ,142.0,143.5,135.35,139.05,136.5,136.9,139.72,149.45,83.15,35468542,"4,955,711,572.10",
2007-10-25,EQ,132.25,139.8,120.65,136.9,137.3,136.6,137.47,149.45,83.15,19418905,"2,669,566,268.05",
2007-10-26,EQ,139.0,142.95,135.25,136.6,140.85,140.7,140.16,149.45,83.15,35083148,"4,917,301,259.10",
2007-10-29,EQ,143.0,147.0,142.3,140.7,143.1,143.55,144.33,149.45,83.15,24557461,"3,544,294,400.00",
2007-10-30,EQ,145.5,150.7,141.2,143.55,147.05,146.75,146.33,150.7,83.15,44955974,"6,578,592,922.00",
2007-10-31,EQ,147.5,153.1,147.0,146.75,149.55,149.8,151.11,153.1,83.15,25118651,"3,795,591,924.05",
2007-11-01,EQ,153.5,154.65,145.25,149.8,145.7,146.45,150.41,154.65,83.15,28480784,"4,283,925,974.10",
2007-11-02,EQ,141.15,150.0,140.0,146.45,149.85,149.1,147.19,154.65,83.15,18000957,"2,649,639,946.00",
2007-11-05,EQ,149.0,155.5,148.1,149.1,152.15,152.15,153.13,155.5,83.15,21843644,"3,344,850,955.45",
2007-11-06,EQ,154.8,163.9,152.05,152.15,155.25,154.15,158.27,163.9,83.15,46057670,"7,289,772,812.25",
2007-11-07,EQ,157.0,159.2,148.5,154.15,152.0,151.9,153.22,163.9,83.15,18896147,"2,895,334,358.75",
2007-11-08,EQ,148.0,153.35,146.0,151.9,149.7,149.3,150.23,163.9,83.15,15744672,"2,365,314,717.20",
2007-11-09,EQ,155.0,155.0,146.7,149.3,147.3,148.7,149.91,163.9,83.15,4863716,"729,136,951.40",
2007-11-12,EQ,144.8,155.6,140.85,148.7,155.3,152.9,147.32,163.9,83.15,19773981,"2,913,022,505.25",
2007-11-13,EQ,155.5,159.7,150.55,152.9,157.0,156.55,157.23,163.9,83.15,24654680,"3,876,541,990.50",
2007-11-14,EQ,159.3,161.5,153.7,156.55,154.4,154.5,156.06,163.9,83.15,20665456,"3,225,067,559.20",
2007-11-15,EQ,157.4,159.85,154.15,154.5,156.95,157.1,157.14,163.9,83.15,16448771,"2,584,743,910.90",
2007-11-16,EQ,156.4,159.55,154.2,157.1,156.55,156.0,156.99,163.9,83.15,10628606,"1,668,539,040.15",
2007-11-19,EQ,159.55,167.5,158.35,156.0,161.8,161.65,163.03,167.5,83.15,22903160,"3,733,799,780.50",
2007-11-20,EQ,161.0,165.5,157.2,161.65,159.8,159.15,162.68,167.5,83.15,14817475,"2,410,555,437.95",
2007-11-21,EQ,160.1,161.05,143.2,159.15,148.85,146.75,152.65,167.5,83.15,15083160,"2,302,371,058.75",
2007-11-22,EQ,145.2,151.1,135.55,146.75,144.55,141.7,141.39,167.5,83.15,19179109,"2,711,824,163.65",
2007-11-23,EQ,151.0,152.0,142.6,141.7,151.95,151.1,147.3,167.5,83.15,15561055,"2,292,168,010.40",
2007-11-26,EQ,156.7,156.7,151.1,151.1,152.25,152.3,153.73,167.5,83.15,11339510,"1,743,172,736.90",
2007-11-27,EQ,154.9,154.9,147.0,152.3,148.5,148.55,149.41,167.5,83.15,11572427,"1,729,039,523.40",
2007-11-28,EQ,151.8,152.5,145.35,148.55,146.5,146.35,149.66,167.5,83.15,9244865,"1,383,601,408.20",
2007-11-29,EQ,150.0,150.8,140.55,146.35,142.0,142.4,144.25,167.5,83.15,14361173,"2,071,647,039.20",
2007-11-30,EQ,145.0,148.8,143.0,142.4,148.0,147.9,146.09,167.5,83.15,10371221,"1,515,145,520.20",
2007-12-03,EQ,149.7,151.85,148.55,147.9,149.75,150.0,150.29,167.5,83.15,9478818,"1,424,533,668.10",
2007-12-04,EQ,151.0,152.25,146.95,150.0,148.55,148.05,149.99,167.5,83.15,7879911,"1,181,915,651.10",
2007-12-05,EQ,148.3,154.5,148.0,148.05,154.3,153.95,151.69,167.5,83.15,15595480,"2,365,608,512.90",
2007-12-06,EQ,157.3,159.65,149.15,153.95,151.6,151.1,154.27,167.5,83.15,13558903,"2,091,683,337.35",
2007-12-07,EQ,152.05,154.2,147.75,151.1,150.1,150.45,150.57,167.5,83.15,6605094,"994,522,064.75",
2007-12-10,EQ,151.9,152.45,148.65,150.45,150.55,150.6,150.52,167.5,83.15,4685632,"705,285,172.05",
2007-12-11,EQ,151.95,152.8,149.15,150.6,150.0,149.9,151.05,167.5,83.15,6573349,"992,892,153.70",
2007-12-12,EQ,148.0,151.15,147.0,149.9,149.9,149.8,149.58,167.5,83.15,9192451,"1,374,977,845.45",
2007-12-13,EQ,150.85,152.0,146.7,149.8,147.05,147.3,149.75,167.5,83.15,8230435,"1,232,546,795.60",
2007-12-14,EQ,146.8,148.15,145.1,147.3,145.5,145.85,146.33,167.5,83.15,6182918,"904,765,911.00",
2007-12-17,EQ,146.7,147.5,135.0,145.85,138.5,137.05,140.58,167.5,83.15,10887572,"1,530,585,926.45",
2007-12-18,EQ,135.5,141.0,132.2,137.05,137.25,136.45,136.36,167.5,83.15,12154381,"1,657,347,601.30",
2007-12-19,EQ,140.85,142.05,132.8,136.45,135.0,133.95,137.34,167.5,83.15,10983891,"1,508,477,678.80",
2007-12-20,EQ,135.7,136.8,132.0,133.95,133.2,132.6,134.35,167.5,83.15,9621680,"1,292,716,673.85",
2007-12-24,EQ,134.6,138.8,133.5,132.6,136.65,136.65,136.15,167.5,83.15,9400232,"1,279,871,493.70",
2007-12-26,EQ,137.4,142.5,137.4,136.65,141.8,140.8,140.78,167.5,83.15,11773181,"1,657,376,228.25",
2007-12-27,EQ,143.7,145.7,140.6,140.8,142.5,141.8,143.12,167.5,83.15,25067975,"3,587,609,316.00",
2007-12-28,EQ,141.5,143.5,140.0,141.8,142.9,142.9,142.46,167.5,83.15,10324419,"1,470,868,196.75",
2007-12-31,EQ,144.0,144.8,142.2,142.9,143.75,143.95,143.54,167.5,83.15,6740050,"967,463,233.85",
2008-01-01,EQ,144.7,147.95,143.35,143.95,146.5,146.6,145.87,167.5,83.15,9386860,"1,369,286,808.15",
2008-01-02,EQ,146.6,147.7,143.65,146.6,145.5,145.8,145.56,167.5,83.15,7558472,"1,100,212,671.15",
2008-01-03,EQ,144.9,152.4,143.15,145.8,151.7,151.8,149.57,167.5,83.15,17896065,"2,676,661,014.65",
2008-01-04,EQ,154.0,156.0,150.0,151.8,151.0,151.0,153.81,167.5,83.15,15756366,"2,423,547,427.95",
2008-01-07,EQ,150.05,153.2,148.15,151.0,150.0,149.75,150.54,167.5,83.15,8920163,"1,342,800,149.15",
2008-01-08,EQ,149.9,152.0,142.9,149.75,144.85,144.65,146.21,167.5,83.15,7471502,"1,092,423,416.05",
2008-01-09,EQ,144.8,145.45,142.0,144.65,142.1,142.35,143.3,167.5,83.15,7376361,"1,057,057,319.60",
2008-01-10,EQ,143.0,147.0,138.0,142.35,138.75,138.95,143.25,167.5,83.15,10137942,"1,452,222,382.20",
2008-01-11,EQ,140.85,142.4,135.5,138.95,141.4,141.05,138.62,167.5,83.15,6541562,"906,775,850.75",
2008-01-14,EQ,141.3,144.7,139.05,141.05,144.45,143.2,141.32,167.5,83.15,5773637,"815,919,923.65",
2008-01-15,EQ,145.5,146.1,137.7,143.2,137.95,138.85,142.01,167.5,83.15,6501565,"923,262,466.30",
2008-01-16,EQ,137.85,139.0,132.55,138.85,136.2,136.0,135.28,167.5,83.15,8344164,"1,128,818,933.30",
2008-01-17,EQ,136.5,142.75,133.6,136.0,139.0,139.65,138.98,167.5,83.15,9095287,"1,264,064,476.85",
2008-01-18,EQ,138.5,138.65,132.0,139.65,133.2,133.15,135.58,167.5,83.15,7455465,"1,010,841,272.10",
2008-01-21,EQ,132.0,132.0,96.25,133.15,110.5,110.5,115.66,167.5,83.15,18676349,"2,160,051,810.60",
2008-01-22,EQ,99.6,105.0,78.95,110.5,100.0,99.4,93.29,167.5,78.95,33050094,"3,083,374,710.60",
2008-01-23,EQ,101.0,114.75,101.0,99.4,112.0,110.5,108.89,167.5,78.95,15989624,"1,741,087,106.95",
2008-01-24,EQ,116.45,118.6,105.5,110.5,111.0,110.75,112.07,167.5,78.95,16825465,"1,885,620,666.90",
2008-01-25,EQ,116.0,117.0,111.75,110.75,116.25,116.45,113.81,167.5,78.95,7059783,"803,491,479.65",
