date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,237.5,251.7,237.5,233.05,251.7,251.7,249.37,269.0,116.05,4456424,"1,111,319,144.45",
2000-01-04,EQ,258.4,271.85,251.3,251.7,271.85,271.85,263.52,269.0,116.05,9487878,"2,500,221,906.90",
2000-01-05,EQ,256.65,287.9,256.65,271.85,286.75,282.5,274.79,271.85,116.05,26833684,"7,373,697,275.70",
2000-01-06,EQ,289.0,300.7,289.0,282.5,293.5,294.35,295.45,287.9,116.05,15682286,"4,633,254,040.90",
2000-01-07,EQ,295.0,317.9,293.0,294.35,314.5,314.55,308.91,300.7,116.05,19870977,"6,138,387,657.40",
2000-01-10,EQ,317.4,318.7,305.3,314.55,306.65,308.5,312.35,317.9,116.05,13417057,"4,190,854,947.95",
2000-01-11,EQ,307.95,310.95,283.85,308.5,288.5,288.5,296.4,318.7,116.05,12544322,"3,718,192,070.90",
2000-01-12,EQ,289.0,305.0,282.15,288.5,304.7,301.7,294.57,318.7,116.05,12109507,"3,567,081,139.10",
2000-01-13,EQ,306.0,316.4,304.1,301.7,309.75,311.85,311.79,318.7,116.05,17076042,"5,324,180,816.45",
2000-01-14,EQ,309.5,321.65,309.5,311.85,317.0,316.3,316.17,318.7,116.05,13460592,"4,255,878,520.20",
2000-01-17,EQ,318.25,322.9,307.05,316.3,307.5,308.75,315.77,321.65,116.05,10729180,"3,387,984,325.40",
2000-01-18,EQ,309.0,318.95,305.55,308.75,318.25,314.2,312.14,322.9,116.05,10083321,"3,147,365,182.15",
2000-01-19,EQ,322.85,324.9,316.2,314.2,318.8,319.6,321.17,322.9,116.05,11481392,"3,687,490,274.75",
2000-01-20,EQ,320.0,324.9,310.55,319.6,311.5,312.85,318.95,324.9,116.05,15428711,"4,920,948,587.60",
2000-01-21,EQ,312.7,328.4,312.0,312.85,327.5,326.35,322.05,324.9,116.05,17137072,"5,519,048,152.70",
2000-01-24,EQ,325.5,331.85,322.0,326.35,326.5,326.15,327.87,328.4,116.05,13163301,"4,315,881,465.95",
2000-01-25,EQ,325.05,325.3,318.25,326.15,321.05,319.95,321.77,331.85,116.05,9752949,"3,138,217,542.10",
2000-01-27,EQ,329.0,336.8,322.7,319.95,334.5,334.95,331.67,331.85,116.05,15014556,"4,979,863,480.55",
2000-01-28,EQ,335.9,341.9,331.6,334.95,337.25,338.35,337.97,336.8,116.05,11734252,"3,965,817,849.20",
2000-01-31,EQ,334.45,336.0,326.55,338.35,327.05,328.15,331.46,341.9,116.05,10191331,"3,378,008,238.70",
2000-02-01,EQ,330.8,337.45,328.0,328.15,336.05,334.05,334.35,341.9,116.05,10707804,"3,580,137,220.35",
2000-02-02,EQ,342.9,346.9,338.55,334.05,339.1,340.15,343.07,341.9,116.05,9950848,"3,413,884,348.25",
2000-02-03,EQ,342.0,343.5,336.4,340.15,342.5,341.65,340.17,346.9,116.05,6771527,"2,303,446,781.00",
2000-02-04,EQ,344.0,347.35,341.7,341.65,342.75,344.15,344.87,346.9,116.05,7106910,"2,450,931,178.50",
2000-02-07,EQ,341.1,349.45,338.05,344.15,343.0,343.6,345.9,347.35,116.05,8193641,"2,834,154,145.90",
2000-02-08,EQ,345.5,346.9,341.05,343.6,342.1,342.4,344.0,349.45,116.05,6430661,"2,212,146,592.35",
2000-02-09,EQ,349.0,354.65,344.8,342.4,346.7,350.4,350.02,349.45,116.05,11436821,"4,003,088,625.60",
2000-02-10,EQ,348.8,363.8,344.9,350.4,363.0,355.75,352.92,354.65,116.05,10792579,"3,808,864,968.20",
2000-02-11,EQ,364.0,374.0,360.05,355.75,361.4,363.3,366.5,363.8,116.05,8155627,"2,988,997,197.75",
2000-02-14,EQ,359.0,360.9,350.0,363.3,350.8,352.1,355.41,374.0,116.05,5127399,"1,822,309,826.25",
2000-02-15,EQ,352.0,354.4,342.05,352.1,343.5,344.35,348.97,374.0,116.05,8124337,"2,835,126,952.25",
2000-02-16,EQ,350.0,353.8,343.1,344.35,346.75,348.15,348.91,374.0,116.05,7876392,"2,748,157,415.25",
2000-02-17,EQ,347.7,356.8,347.5,348.15,355.4,354.55,353.61,374.0,116.05,7670820,"2,712,453,584.35",
2000-02-18,EQ,356.9,357.95,348.0,354.55,350.3,349.45,353.11,374.0,116.05,5030667,"1,776,389,299.00",
2000-02-21,EQ,348.4,352.0,341.65,349.45,344.0,345.65,347.65,374.0,116.05,2944404,"1,023,620,291.35",
2000-02-22,EQ,346.0,347.0,332.5,345.65,335.25,334.35,338.6,374.0,116.05,7192242,"2,435,270,613.35",
2000-02-23,EQ,344.7,344.7,327.3,334.35,330.0,329.8,336.8,374.0,116.05,4831725,"1,627,320,644.55",
