date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,236.0,243.65,234.25,225.6,243.65,243.65,240.83,295.4,144.1,2373228,"571,533,838.40",
2000-01-04,EQ,243.65,262.0,238.85,243.65,258.0,259.1,251.46,295.4,144.1,4495741,"1,130,506,156.60",
2000-01-05,EQ,249.0,264.7,245.0,259.1,249.05,248.45,252.35,295.4,144.1,3434058,"866,600,841.15",
2000-01-06,EQ,252.0,268.0,252.0,248.45,260.5,261.0,262.18,295.4,144.1,6658801,"1,745,817,405.85",
2000-01-07,EQ,261.5,279.9,255.0,261.0,279.0,273.3,269.02,295.4,144.1,7873985,"2,118,286,940.20",
2000-01-10,EQ,280.0,289.85,265.2,273.3,266.0,269.5,279.79,295.4,144.1,5519316,"1,544,247,940.75",
2000-01-11,EQ,266.8,267.0,247.95,269.5,247.95,247.95,254.66,295.4,144.1,2427606,"618,219,063.60",
2000-01-12,EQ,244.0,251.5,236.6,247.95,244.0,244.75,243.71,295.4,144.1,2805072,"683,616,242.50",
2000-01-13,EQ,246.0,255.6,243.1,244.75,243.15,244.5,250.04,295.4,144.1,3226776,"806,834,887.55",
2000-01-14,EQ,245.0,245.0,238.1,244.5,239.05,239.2,240.55,295.4,144.1,1506543,"362,405,806.40",
2000-01-17,EQ,244.4,251.0,232.3,239.2,236.1,235.9,240.22,295.4,144.1,4385887,"1,053,588,444.50",
2000-01-18,EQ,236.9,241.0,233.75,235.9,236.5,236.45,237.59,295.4,144.1,2706614,"643,073,823.70",
2000-01-19,EQ,240.9,247.5,240.0,236.45,243.0,243.95,244.63,295.4,144.1,2511949,"614,507,861.05",
2000-01-20,EQ,243.0,244.8,236.25,243.95,237.9,237.7,240.61,295.4,144.1,1158464,"278,738,442.45",
2000-01-21,EQ,238.75,239.75,235.5,237.7,237.0,237.45,237.56,295.4,144.1,1178627,"279,996,117.45",
2000-01-24,EQ,236.65,240.35,227.1,237.45,228.1,228.3,234.87,295.4,144.1,1855636,"435,836,089.40",
2000-01-25,EQ,226.0,227.9,222.6,228.3,225.5,224.85,225.12,295.4,144.1,2226513,"501,233,460.35",
2000-01-27,EQ,229.0,235.5,228.0,224.85,230.8,230.15,232.11,295.4,144.1,2000745,"464,389,972.00",
2000-01-28,EQ,232.7,248.6,232.7,230.15,248.6,248.5,245.28,295.4,144.1,4978231,"1,221,054,895.15",
2000-01-31,EQ,246.0,256.75,242.5,248.5,242.95,244.7,251.19,295.4,144.1,4829071,"1,213,004,881.95",
2000-02-01,EQ,245.0,250.7,242.75,244.7,250.0,246.5,245.74,295.4,144.1,2196468,"539,759,012.20",
2000-02-02,EQ,257.0,258.7,246.0,246.5,246.9,247.5,252.31,295.4,144.1,2328315,"587,449,833.50",
2000-02-03,EQ,250.0,264.9,248.6,247.5,257.85,258.8,258.52,295.4,144.1,7332794,"1,895,679,486.50",
