date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,"1,800.00","1,835.05","1,760.00","1,699.10","1,835.05","1,835.05","1,825.90","1,951.00",266.35,3024,"5,521,524.75",
2000-01-04,EQ,"1,960.00","1,960.00","1,763.00","1,835.05","1,811.50","1,810.45","1,805.97","1,951.00",273.1,5787,"10,451,154.90",
2000-01-05,EQ,"1,845.00","1,845.00","1,740.00","1,810.45","1,745.00","1,746.90","1,766.69","1,960.00",273.1,6105,"10,785,639.95",
2000-01-06,EQ,"1,750.00","1,795.00","1,735.00","1,746.90","1,748.00","1,745.20","1,749.32","1,960.00",273.1,3472,"6,073,632.40",
2000-01-07,EQ,"1,705.00","1,705.00","1,605.60","1,745.20","1,605.60","1,605.60","1,621.51","1,960.00",273.1,4125,"6,688,740.15",
2000-01-10,EQ,"1,650.00","1,697.00","1,478.00","1,605.60","1,545.00","1,531.85","1,581.78","1,960.00",273.1,4378,"6,925,048.15",
2000-01-11,EQ,"1,522.00","1,580.00","1,410.05","1,531.85","1,422.00","1,507.20","1,519.06","1,960.00",281.75,27648,"41,999,037.15",
2000-01-12,EQ,"1,471.00","1,491.00","1,386.65","1,507.20","1,386.65","1,417.00","1,442.89","1,960.00",281.75,18892,"27,259,120.40",
2000-01-13,EQ,"1,400.00","1,513.50","1,361.00","1,417.00","1,480.00","1,492.50","1,440.53","1,960.00",281.75,15735,"22,666,716.10",
2000-01-14,EQ,"1,475.00","1,603.00","1,470.00","1,492.50","1,590.00","1,578.35","1,516.88","1,960.00",281.75,15237,"23,112,752.10",
2000-01-17,EQ,"1,670.00","1,704.65","1,605.00","1,578.35","1,704.65","1,704.65","1,678.31","1,960.00",281.75,11777,"19,765,490.40",
2000-01-18,EQ,"1,700.00","1,718.00","1,615.00","1,704.65","1,635.05","1,644.75","1,664.08","1,960.00",283.25,5519,"9,184,076.35",
2000-01-19,EQ,"1,710.00","1,725.00","1,650.00","1,644.75","1,696.00","1,702.30","1,700.12","1,960.00",283.25,8012,"13,621,334.85",
2000-01-20,EQ,"1,709.00","1,735.00","1,666.00","1,702.30","1,679.90","1,675.35","1,708.50","1,960.00",283.25,4694,"8,019,683.25",
2000-01-21,EQ,"1,749.95","1,809.40","1,730.00","1,675.35","1,809.40","1,809.40","1,778.82","1,960.00",283.25,8753,"15,569,978.45",
2000-01-24,EQ,"1,954.15","1,954.15","1,877.50","1,809.40","1,898.00","1,899.25","1,937.73","1,960.00",283.25,74934,"145,202,083.65",
2000-01-25,EQ,"1,875.00","1,980.00","1,821.00","1,899.25","1,970.00","1,944.10","1,920.93","1,960.00",285.0,17777,"34,148,294.10",
2000-01-27,EQ,"2,085.00","2,099.60","1,847.00","1,944.10","1,911.00","1,871.70","1,992.14","1,980.00",285.0,43935,"87,524,656.00",
2000-01-28,EQ,"1,900.00","1,974.90","1,855.00","1,871.70","1,923.00","1,928.60","1,915.08","2,099.60",285.0,35944,"68,835,575.50",
2000-01-31,EQ,"1,980.00","2,010.00","1,890.00","1,928.60","1,950.00","1,938.90","1,967.01","2,099.60",285.0,36041,"70,892,948.90",
2000-02-01,EQ,"1,970.00","2,094.05","1,950.00","1,938.90","2,094.05","2,094.05","2,066.17","2,099.60",285.0,94932,"196,145,517.35",
2000-02-02,EQ,"2,261.60","2,261.60","2,211.60","2,094.05","2,261.10","2,261.45","2,260.09","2,099.60",285.0,120840,"273,108,963.15",
2000-02-03,EQ,"2,280.00","2,355.00","2,149.00","2,261.45","2,224.00","2,214.75","2,229.91","2,261.60",285.0,43938,"97,977,747.95",
