date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,207.4,217.25,207.4,201.6,217.0,216.75,214.28,324.4,126.1,676126,"144,877,524.60",
2000-01-04,EQ,217.0,219.0,206.0,216.75,211.9,208.2,209.5,324.4,126.1,679215,"142,296,186.95",
2000-01-05,EQ,194.0,217.8,194.0,208.2,213.1,213.25,210.33,324.4,126.1,1120951,"235,768,359.95",
2000-01-06,EQ,215.0,229.9,215.0,213.25,222.0,222.1,225.29,324.4,126.1,1968998,"443,593,248.10",
2000-01-07,EQ,224.0,239.9,223.1,222.1,239.9,239.9,236.32,324.4,126.1,2199431,"519,763,617.65",
2000-01-10,EQ,259.0,259.1,248.0,239.9,259.1,258.85,257.2,324.4,126.1,1720542,"442,530,257.60",
2000-01-11,EQ,260.0,260.0,238.15,258.85,238.15,238.15,246.63,324.4,126.1,1207916,"297,908,182.65",
2000-01-12,EQ,240.0,246.0,229.0,238.15,242.45,240.25,237.13,324.4,126.1,938579,"222,564,591.95",
2000-01-13,EQ,243.0,245.0,231.6,240.25,233.0,235.45,237.31,324.4,126.1,565754,"134,260,925.90",
2000-01-14,EQ,234.95,243.0,233.0,235.45,239.8,239.05,239.04,324.4,126.1,1024725,"244,950,402.00",
2000-01-17,EQ,242.95,258.1,242.95,239.05,251.0,250.65,252.65,324.4,126.1,1482994,"374,683,366.05",
2000-01-18,EQ,251.0,252.5,245.05,250.65,250.0,248.0,248.46,324.4,126.1,792347,"196,866,563.90",
2000-01-19,EQ,251.0,257.9,242.6,248.0,249.5,250.5,249.51,324.4,126.1,1221042,"304,660,782.60",
2000-01-20,EQ,250.0,250.0,233.6,250.5,234.0,235.7,242.37,324.4,126.1,557949,"135,232,304.65",
2000-01-21,EQ,230.1,233.8,225.5,235.7,231.1,232.2,230.09,324.4,126.1,696339,"160,219,821.35",
2000-01-24,EQ,230.0,235.9,213.65,232.2,213.65,213.65,223.44,324.4,126.1,1125168,"251,407,813.85",
2000-01-25,EQ,200.35,204.9,196.6,213.65,196.6,196.6,198.54,324.4,126.1,706121,"140,194,482.10",
2000-01-27,EQ,190.0,193.0,180.9,196.6,180.9,180.9,182.54,324.4,126.1,1728526,"315,524,311.25",
2000-01-28,EQ,171.0,182.0,168.35,180.9,175.0,175.2,174.95,324.4,126.1,2671887,"467,457,176.10",
2000-01-31,EQ,171.15,188.7,170.05,175.2,178.6,179.7,181.2,324.4,126.1,2850688,"516,539,363.80",
2000-02-01,EQ,179.9,184.9,172.1,179.7,176.1,175.3,177.04,324.4,126.1,1206216,"213,546,967.45",
2000-02-02,EQ,184.0,186.9,178.35,175.3,179.95,180.1,182.72,324.4,126.1,896220,"163,761,623.15",
2000-02-03,EQ,180.0,181.75,176.75,180.1,177.7,177.35,179.57,324.4,126.1,390462,"70,114,838.75",
2000-02-04,EQ,179.0,179.95,172.8,177.35,179.5,178.95,177.42,324.4,126.1,805045,"142,832,526.15",
2000-02-07,EQ,178.1,182.5,175.35,178.95,178.0,177.8,179.63,324.4,126.1,472973,"84,958,974.25",
2000-02-08,EQ,179.0,184.9,176.5,177.8,180.25,180.6,181.0,324.4,126.1,671633,"121,562,703.40",
2000-02-09,EQ,186.0,192.0,182.0,180.6,183.1,183.65,187.39,324.4,126.1,851000,"159,465,100.65",
2000-02-10,EQ,184.9,184.9,180.0,183.65,180.5,181.1,182.19,324.4,126.1,276973,"50,462,094.95",
2000-02-11,EQ,183.9,184.8,167.05,181.1,167.05,169.75,174.43,324.4,126.1,787181,"137,309,786.55",
2000-02-14,EQ,170.0,170.0,156.2,169.75,157.3,157.8,161.94,324.4,126.1,700837,"113,492,976.65",
2000-02-15,EQ,158.05,169.0,156.0,157.8,166.0,165.8,162.9,324.4,126.1,984192,"160,322,934.80",
2000-02-16,EQ,171.8,171.8,164.15,165.8,164.35,164.85,166.66,324.4,126.1,316694,"52,779,699.70",
2000-02-17,EQ,165.0,172.0,163.6,164.85,167.0,166.35,167.24,324.4,126.1,352975,"59,032,163.30",
2000-02-18,EQ,166.0,167.0,153.05,166.35,153.05,154.2,157.29,324.4,126.1,526451,"82,804,120.95",
2000-02-21,EQ,150.0,166.55,150.0,154.2,166.55,166.55,161.77,324.4,126.1,672967,"108,867,330.40",
2000-02-22,EQ,173.9,179.9,170.3,166.55,179.9,179.9,178.55,324.4,126.1,635878,"113,534,153.00",
2000-02-23,EQ,189.9,194.0,166.25,179.9,167.05,168.05,180.61,324.4,126.1,1254749,"226,615,134.05",
2000-02-24,EQ,170.9,174.9,165.95,168.05,169.3,170.25,170.14,324.4,126.1,469287,"79,846,836.60",
