date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,148.0,153.2,146.1,142.35,152.5,152.45,150.92,174.8,74.65,2003185,"302,316,439.45",
2000-01-04,EQ,150.1,153.0,143.05,152.45,151.95,150.8,151.03,174.8,74.65,1555136,"234,878,545.55",
2000-01-05,EQ,144.6,162.9,144.6,150.8,158.0,156.55,156.85,174.8,74.65,3840284,"602,336,427.05",
2000-01-06,EQ,158.95,169.1,158.95,156.55,169.0,168.25,167.61,174.8,74.65,2560449,"429,152,959.30",
2000-01-07,EQ,173.4,179.0,166.3,168.25,170.55,171.95,173.89,174.8,74.65,3641691,"633,245,872.85",
2000-01-10,EQ,173.95,184.9,173.95,171.95,179.0,182.25,180.32,179.0,74.65,4642054,"837,062,634.95",
2000-01-11,EQ,179.0,180.0,167.7,182.25,167.7,167.7,170.99,184.9,74.65,1705968,"291,705,865.70",
2000-01-12,EQ,165.0,172.0,159.15,167.7,166.5,165.3,165.39,184.9,74.65,2337738,"386,649,642.55",
2000-01-13,EQ,167.9,170.0,156.05,165.3,158.7,159.2,163.0,184.9,74.65,1584803,"258,319,994.55",
2000-01-14,EQ,161.0,161.9,156.0,159.2,159.25,158.7,158.87,184.9,74.65,1541731,"244,941,833.55",
2000-01-17,EQ,164.95,171.4,163.1,158.7,165.5,166.8,168.19,184.9,74.65,3326270,"559,445,400.45",
2000-01-18,EQ,166.9,176.0,163.25,166.8,175.0,172.8,169.43,184.9,74.65,3516827,"595,859,916.85",
2000-01-19,EQ,177.0,178.0,171.0,172.8,171.25,172.85,174.04,184.9,74.65,2617065,"455,475,254.30",
2000-01-20,EQ,171.0,179.0,160.7,172.85,161.0,163.1,171.22,184.9,74.65,8257650,"1,413,881,164.35",
2000-01-21,EQ,162.7,164.75,159.1,163.1,162.0,162.4,162.49,184.9,74.65,2794941,"454,153,102.00",
2000-01-24,EQ,163.9,163.9,150.0,162.4,150.9,151.15,157.14,184.9,74.65,2446509,"384,455,575.95",
2000-01-25,EQ,150.0,154.0,147.0,151.15,149.0,148.45,150.45,184.9,74.65,3030257,"455,914,060.95",
2000-01-27,EQ,151.4,153.5,147.5,148.45,148.2,148.3,150.04,184.9,74.65,1466342,"220,005,306.50",
2000-01-28,EQ,148.0,151.0,143.25,148.3,144.5,144.5,146.85,184.9,74.65,1996632,"293,204,296.30",
2000-01-31,EQ,143.1,144.0,138.6,144.5,139.6,139.35,141.67,184.9,74.65,1269284,"179,825,671.65",
2000-02-01,EQ,139.1,142.7,138.6,139.35,140.6,140.5,141.11,184.9,74.65,1748130,"246,686,080.40",
2000-02-02,EQ,143.7,145.25,140.0,140.5,141.0,141.05,142.96,184.9,74.65,1376545,"196,788,066.45",
2000-02-03,EQ,141.9,146.2,139.55,141.05,140.2,140.0,142.58,184.9,74.65,3275087,"466,960,511.75",
2000-02-04,EQ,141.9,142.0,139.0,140.0,140.4,140.1,140.02,184.9,74.65,1654411,"231,645,993.80",
2000-02-07,EQ,140.0,140.85,138.25,140.1,138.6,139.0,139.66,184.9,74.65,929743,"129,846,142.60",
2000-02-08,EQ,138.5,143.5,138.1,139.0,141.25,141.1,141.2,184.9,74.65,2677365,"378,036,467.75",
2000-02-09,EQ,145.4,150.25,143.1,141.1,143.9,144.4,147.07,184.9,74.65,2847687,"418,814,366.00",
2000-02-10,EQ,145.5,145.5,141.1,144.4,142.0,141.85,142.59,184.9,74.65,1093875,"155,978,445.75",
2000-02-11,EQ,143.8,143.95,139.75,141.85,140.5,140.2,141.06,184.9,74.65,1149793,"162,195,248.80",
2000-02-14,EQ,139.0,140.5,132.05,140.2,133.3,134.65,137.32,184.9,74.65,1013330,"139,147,869.10",
2000-02-15,EQ,133.5,137.0,130.25,134.65,131.5,131.75,133.83,184.9,74.65,1818713,"243,391,843.75",
2000-02-16,EQ,135.8,138.0,134.5,131.75,135.0,135.35,136.01,184.9,74.65,804018,"109,352,339.05",
2000-02-17,EQ,136.0,137.65,134.1,135.35,135.5,135.85,135.84,184.9,74.65,765613,"104,001,558.95",
2000-02-18,EQ,135.95,136.5,132.5,135.85,133.0,133.2,134.18,184.9,74.65,648089,"86,962,261.65",
2000-02-21,EQ,134.0,138.75,132.0,133.2,133.05,133.15,135.45,184.9,74.65,1165796,"157,912,379.30",
2000-02-22,EQ,134.35,135.25,130.4,133.15,131.0,131.25,132.95,184.9,74.65,1013742,"134,778,475.65",
2000-02-23,EQ,135.5,136.0,128.0,131.25,129.0,128.75,131.9,184.9,74.65,728400,"96,076,696.05",
2000-02-24,EQ,131.3,133.2,125.25,128.75,128.7,128.9,129.83,184.9,74.65,785072,"101,925,315.55",
2000-02-25,EQ,129.1,133.0,127.5,128.9,128.6,128.5,130.34,184.9,74.65,681916,"88,877,539.30",
2000-02-28,EQ,129.2,131.75,127.1,128.5,131.0,130.75,130.35,184.9,74.65,546385,"71,222,763.50",
2000-02-29,EQ,133.0,135.85,120.3,130.75,120.3,120.55,130.33,184.9,74.65,1567019,"204,224,273.60",
2000-03-01,EQ,123.0,126.85,110.95,120.55,120.9,115.75,117.52,184.9,74.65,3469035,"407,683,464.75",
2000-03-02,EQ,122.0,125.05,113.1,115.75,114.2,115.3,120.64,184.9,74.65,4536084,"547,239,260.00",
2000-03-03,EQ,112.5,112.5,106.1,115.3,107.0,106.45,108.76,184.9,74.65,1267692,"137,878,832.60",
2000-03-06,EQ,108.9,112.5,101.25,106.45,102.75,102.85,107.75,184.9,74.65,1462483,"157,577,758.45",
2000-03-07,EQ,103.4,104.0,96.5,102.85,97.0,97.15,99.23,184.9,74.65,1992209,"197,690,895.60",
2000-03-08,EQ,99.4,99.4,90.5,97.15,91.5,91.15,94.79,184.9,74.65,1359620,"128,882,024.35",
2000-03-09,EQ,91.75,97.5,91.0,91.15,95.0,96.05,94.2,184.9,74.65,1396024,"131,501,989.90",
2000-03-10,EQ,96.0,97.0,90.6,96.05,92.4,91.9,92.64,184.9,74.65,834661,"77,320,084.40",
2000-03-13,EQ,93.3,94.9,89.1,91.9,90.5,90.35,92.69,184.9,74.65,1024407,"94,949,739.30",
2000-03-14,EQ,91.9,97.6,89.25,90.35,97.6,97.6,94.37,184.9,74.65,1340192,"126,470,326.30",
2000-03-15,EQ,104.95,105.45,101.0,97.6,105.45,105.45,104.5,184.9,74.65,1457390,"152,294,053.70",
2000-03-16,EQ,108.0,111.9,100.55,105.45,109.0,109.05,107.17,184.9,74.65,3260289,"349,409,772.65",
2000-03-21,EQ,109.75,111.7,103.1,109.05,107.3,108.5,108.13,184.9,74.65,2397599,"259,254,431.00",
2000-03-22,EQ,108.9,113.4,106.0,108.5,109.0,109.55,109.64,184.9,74.65,1447656,"158,719,315.10",
2000-03-23,EQ,108.35,110.8,103.3,109.55,104.0,104.25,106.17,184.9,74.65,870011,"92,373,210.20",
2000-03-24,EQ,105.0,106.6,104.1,104.25,106.0,105.85,105.6,184.9,74.65,686553,"72,501,064.15",
2000-03-27,EQ,106.9,106.9,103.0,105.85,104.65,104.0,104.95,184.9,74.65,468429,"49,163,012.10",
2000-03-28,EQ,104.5,107.0,102.0,104.0,106.25,106.35,104.84,184.9,74.65,1220783,"127,981,863.35",
2000-03-29,EQ,107.1,109.45,103.85,106.35,105.0,104.85,106.94,184.9,74.65,1141017,"122,024,038.20",
2000-03-30,EQ,104.2,111.5,101.1,104.85,108.3,108.55,106.56,184.9,74.65,2543879,"271,087,689.25",
