date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2004-08-25,EQ,"1,198.70","1,198.70",979.00,850.00,985.00,987.95,"1,008.32",-,-,17116372,"17,258,760,957.45",
2004-08-26,EQ,992.00,997.00,975.30,987.95,976.85,979.00,985.65,"1,198.70",979.00,5055400,"4,982,864,767.30",
2004-08-27,EQ,982.40,982.40,958.55,979.00,961.20,962.65,969.94,"1,198.70",975.30,3830750,"3,715,586,030.80",
2004-08-30,EQ,969.90,990.00,965.00,962.65,986.40,986.75,982.65,"1,198.70",958.55,3058151,"3,005,106,339.90",
2004-08-31,EQ,986.50,990.00,976.00,986.75,987.80,988.10,982.18,"1,198.70",958.55,2649332,"2,602,132,650.65",
2004-09-01,EQ,990.00,995.00,983.60,988.10,986.00,987.90,989.68,"1,198.70",958.55,2491943,"2,466,235,576.95",
2004-09-02,EQ,989.90,"1,004.60",986.00,987.90,994.00,993.65,996.96,"1,198.70",958.55,2669544,"2,661,426,196.40",
2004-09-03,EQ,"1,006.00","1,100.00",990.35,993.65,998.70,997.85,996.91,"1,198.70",958.55,1233732,"1,229,916,939.90",
2004-09-06,EQ,"1,039.90","1,039.90",992.90,997.85,996.80,994.85,998.87,"1,198.70",958.55,1129834,"1,128,553,951.75",
2004-09-07,EQ,"1,035.00","1,035.00",995.00,994.85,995.00,995.60,997.34,"1,198.70",958.55,721529,"719,610,913.60",
2004-09-08,EQ,996.00,"1,000.80",991.10,995.60,992.25,993.70,995.29,"1,198.70",958.55,824248,"820,361,682.50",
2004-09-09,EQ,997.00,997.90,978.45,993.70,979.65,979.95,985.16,"1,198.70",958.55,993398,"978,657,426.05",
2004-09-10,EQ,990.00,990.00,976.00,979.95,989.95,988.80,985.12,"1,198.70",958.55,801884,"789,950,664.25",
2004-09-13,EQ,991.00,"1,015.50",991.00,988.80,"1,002.75","1,003.50","1,007.31","1,198.70",958.55,2613114,"2,632,220,570.75",
2004-09-14,EQ,"1,005.00","1,018.80","1,002.95","1,003.50","1,015.95","1,015.65","1,012.95","1,198.70",958.55,1916934,"1,941,763,417.65",
2004-09-15,EQ,"1,018.00","1,020.00","1,001.20","1,015.65","1,005.00","1,006.10","1,009.12","1,198.70",958.55,1498536,"1,512,208,351.85",
2004-09-16,EQ,"1,007.00","1,015.00","1,002.50","1,006.10","1,011.00","1,008.45","1,009.82","1,198.70",958.55,919778,"928,806,251.55",
2004-09-17,EQ,"1,012.00","1,029.90","1,010.30","1,008.45","1,029.90","1,024.50","1,021.09","1,198.70",958.55,1828487,"1,867,047,286.00",
2004-09-20,EQ,"1,032.40","1,036.90","1,020.15","1,024.50","1,022.50","1,022.90","1,028.83","1,198.70",958.55,1069028,"1,099,843,534.00",
2004-09-21,EQ,"1,024.85","1,048.50","1,022.00","1,022.90","1,047.40","1,045.80","1,039.54","1,198.70",958.55,1737135,"1,805,822,479.35",
2004-09-22,EQ,"1,048.40","1,056.00","1,037.10","1,045.80","1,049.90","1,052.05","1,047.57","1,198.70",958.55,1921448,"2,012,857,077.25",
2004-09-23,EQ,"1,048.00","1,049.00","1,027.00","1,052.05","1,028.00","1,030.25","1,037.80","1,198.70",958.55,1977460,"2,052,199,849.25",
2004-09-24,EQ,"1,029.10","1,040.00","1,026.00","1,030.25","1,027.60","1,028.80","1,033.94","1,198.70",958.55,1010401,"1,044,692,914.85",
2004-09-27,EQ,"1,027.50","1,032.50","1,015.00","1,028.80","1,019.00","1,020.75","1,022.44","1,198.70",958.55,1028689,"1,051,767,928.75",
2004-09-28,EQ,"1,016.00","1,027.40","1,012.50","1,020.75","1,016.20","1,015.55","1,020.82","1,198.70",958.55,792427,"808,924,865.05",
2004-09-29,EQ,"1,019.25","1,033.00","1,016.15","1,015.55","1,031.00","1,031.00","1,024.61","1,198.70",958.55,1467147,"1,503,253,816.95",
2004-09-30,EQ,"1,035.60","1,040.90","1,020.65","1,031.00","1,025.10","1,027.10","1,032.72","1,198.70",958.55,1565179,"1,616,397,417.75",
2004-10-01,EQ,"1,029.00","1,056.45","1,026.35","1,027.10","1,048.50","1,047.70","1,043.58","1,198.70",958.55,1371111,"1,430,861,573.80",
2004-10-04,EQ,"1,057.00","1,081.00","1,054.45","1,047.70","1,079.20","1,076.50","1,071.89","1,198.70",958.55,1891228,"2,027,186,073.70",
2004-10-05,EQ,"1,080.30","1,089.00","1,075.50","1,076.50","1,077.05","1,080.70","1,083.44","1,198.70",958.55,1792661,"1,942,248,091.45",
2004-10-06,EQ,"1,081.00","1,102.80","1,075.05","1,080.70","1,082.00","1,081.60","1,090.08","1,198.70",958.55,2208833,"2,407,813,364.90",
2004-10-07,EQ,"1,083.00","1,100.00","1,083.00","1,081.60","1,099.60","1,097.10","1,093.19","1,198.70",958.55,1260016,"1,377,437,281.85",
2004-10-08,EQ,"1,098.00","1,111.00","1,095.00","1,097.10","1,097.80","1,098.05","1,103.24","1,198.70",958.55,1069865,"1,180,319,204.55",
2004-10-09,EQ,"1,099.90","1,103.85","1,094.25","1,098.05","1,103.00","1,100.65","1,099.79","1,198.70",958.55,258539,"284,338,312.60",
2004-10-11,EQ,"1,100.00","1,111.50","1,085.00","1,100.65","1,089.60","1,089.30","1,099.02","1,198.70",958.55,1166507,"1,282,016,129.55",
2004-10-12,EQ,"1,110.00","1,115.00","1,077.65","1,089.30","1,080.00","1,084.45","1,093.36","1,198.70",958.55,1950064,"2,132,121,371.90",
2004-10-14,EQ,"1,103.00","1,124.00","1,088.05","1,084.45","1,117.50","1,116.20","1,107.77","1,198.70",958.55,2403248,"2,662,234,309.65",
2004-10-15,EQ,"1,121.70","1,141.00","1,117.25","1,116.20","1,127.60","1,126.00","1,129.32","1,198.70",958.55,2224968,"2,512,693,150.30",
2004-10-18,EQ,"1,134.00","1,142.00","1,125.25","1,126.00","1,134.00","1,137.25","1,135.53","1,198.70",958.55,1711668,"1,943,642,755.15",
2004-10-19,EQ,"1,140.15","1,148.70","1,136.10","1,137.25","1,143.00","1,143.20","1,142.22","1,198.70",958.55,1470891,"1,680,074,601.40",
2004-10-20,EQ,"1,144.80","1,149.90","1,129.00","1,143.20","1,134.20","1,133.25","1,141.59","1,198.70",958.55,900854,"1,028,401,836.85",
2004-10-21,EQ,"1,137.25","1,139.00","1,122.00","1,133.25","1,127.00","1,125.55","1,129.68","1,198.70",958.55,801690,"905,652,951.15",
