date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2006-08-28,EQ,521.00,569.00,502.00,365.00,553.00,554.25,552.00,569.00,502.0,15166163,"8,371,760,130.20",
2006-08-29,EQ,555.00,563.90,535.55,554.25,536.10,539.30,547.59,569.00,502.0,3929113,"2,151,530,389.15",
2006-08-30,EQ,537.00,542.90,521.50,539.30,529.00,528.10,529.55,569.00,502.0,2034983,"1,077,629,576.20",
2006-08-31,EQ,525.00,544.00,515.00,528.10,539.35,538.45,532.89,569.00,502.0,1670990,"890,446,438.30",
2006-09-01,EQ,539.00,549.00,535.10,538.45,541.35,541.85,542.46,569.00,502.0,1176195,"638,038,561.50",
2006-09-04,EQ,542.00,549.00,452.80,541.85,542.00,543.95,543.80,569.00,452.8,749788,"407,737,134.70",
2006-09-05,EQ,544.00,556.00,538.50,543.95,551.50,552.70,548.92,569.00,452.8,956133,"524,838,291.45",
2006-09-06,EQ,554.70,562.50,538.00,552.70,540.00,541.25,551.38,569.00,452.8,957611,"528,010,985.25",
2006-09-07,EQ,545.00,545.00,530.00,541.25,536.25,537.30,536.79,569.00,452.8,351161,"188,499,745.30",
2006-09-08,EQ,538.80,544.90,531.55,537.30,531.60,534.80,538.89,569.00,452.8,269659,"145,316,395.25",
2006-09-11,EQ,539.95,545.00,532.25,534.80,533.10,535.95,538.13,569.00,452.8,420466,"226,265,041.55",
2006-09-12,EQ,535.95,546.85,534.00,535.95,537.85,537.85,539.51,569.00,452.8,514196,"277,415,461.20",
2006-09-13,EQ,541.00,549.00,541.00,537.85,545.10,544.70,546.14,569.00,452.8,401947,"219,520,673.10",
2006-09-14,EQ,545.20,557.50,545.10,544.70,549.00,549.85,553.26,569.00,452.8,534610,"295,778,011.35",
2006-09-15,EQ,550.15,554.00,539.00,549.85,541.00,540.20,544.58,569.00,452.8,209783,"114,244,344.35",
2006-09-18,EQ,544.00,562.00,544.00,540.20,545.25,546.50,550.53,569.00,452.8,224376,"123,526,551.15",
2006-09-19,EQ,548.05,623.85,546.50,546.50,581.00,584.25,594.73,623.85,452.8,4793064,"2,850,584,547.45",
2006-09-20,EQ,579.80,613.90,573.25,584.25,605.95,605.05,601.29,623.85,452.8,2264328,"1,361,509,268.65",
2006-09-21,EQ,577.00,627.00,577.00,605.05,609.90,608.95,616.48,627.00,452.8,1776100,"1,094,922,346.70",
2006-09-22,EQ,625.00,625.00,593.25,608.95,604.45,601.15,603.12,627.00,452.8,726501,"438,165,994.15",
2006-09-25,EQ,595.25,611.70,590.05,601.15,594.50,593.55,602.69,627.00,452.8,635537,"383,033,934.85",
2006-09-26,EQ,599.80,626.00,594.00,593.55,614.55,617.60,616.59,627.00,452.8,1735875,"1,070,327,996.85",
2006-09-27,EQ,619.50,631.80,616.30,617.60,619.90,619.45,624.48,631.80,452.8,1015312,"634,046,408.60",
2006-09-28,EQ,624.70,624.70,608.15,619.45,614.25,613.00,614.19,631.80,452.8,302605,"185,855,865.90",
2006-09-29,EQ,615.00,630.00,610.00,613.00,619.00,618.40,622.20,631.80,452.8,595376,"370,444,126.20",
2006-10-03,EQ,619.00,635.85,615.00,618.40,616.10,619.40,625.94,635.85,452.8,800656,"501,165,414.95",
2006-10-04,EQ,621.60,624.00,610.00,619.40,613.30,613.70,617.28,635.85,452.8,300674,"185,600,240.00",
2006-10-05,EQ,621.20,628.00,619.00,613.70,625.60,624.15,622.65,635.85,452.8,214316,"133,443,369.60",
2006-10-06,EQ,629.00,639.95,618.15,624.15,621.00,621.30,631.77,639.95,452.8,618442,"390,712,158.05",
2006-10-09,EQ,618.00,624.90,610.00,621.30,614.40,614.05,617.91,639.95,452.8,240328,"148,502,045.40",
2006-10-10,EQ,620.00,624.80,610.35,614.05,616.25,615.85,618.70,639.95,452.8,210138,"130,012,197.95",
2006-10-11,EQ,620.00,653.80,620.00,615.85,630.65,629.95,640.88,653.80,452.8,1942573,"1,244,961,870.30",
2006-10-12,EQ,634.50,637.10,621.00,629.95,629.20,629.70,630.56,653.80,452.8,721172,"454,742,117.10",
2006-10-13,EQ,635.10,692.90,635.10,629.70,687.90,681.95,668.73,692.90,452.8,2521133,"1,685,948,902.60",
2006-10-16,EQ,688.25,718.00,688.25,681.95,713.00,710.45,703.95,718.00,452.8,1859460,"1,308,963,101.05",
2006-10-17,EQ,714.00,717.00,700.25,710.45,706.00,704.50,707.01,718.00,452.8,826731,"584,503,654.05",
2006-10-18,EQ,710.00,715.00,680.00,704.50,682.15,684.05,701.14,718.00,452.8,754796,"529,217,393.70",
2006-10-19,EQ,700.00,792.00,700.00,684.05,772.45,772.70,769.35,792.00,452.8,4708913,"3,622,803,387.75",
2006-10-20,EQ,779.00,900.00,776.00,772.70,895.00,863.35,834.91,900.00,452.8,5252845,"4,385,627,688.55",
2006-10-21,EQ,900.00,976.00,900.00,863.35,951.25,956.40,956.17,976.00,452.8,2442711,"2,335,653,686.70",
2006-10-23,EQ,956.00,988.95,881.00,956.40,894.10,898.15,906.52,988.95,452.8,4171924,"3,781,930,605.85",
2006-10-26,EQ,900.00,926.00,892.35,898.15,921.10,918.65,912.90,988.95,452.8,2675072,"2,442,082,337.05",
2006-10-27,EQ,921.30,"1,014.00",921.30,918.65,"1,010.00","1,000.95",975.42,"1,014.00",452.8,4454173,"4,344,710,694.80",
2006-10-30,EQ,"1,010.00","1,047.80",985.00,"1,000.95","1,004.00","1,006.55","1,022.90","1,047.80",452.8,3142529,"3,214,495,337.90",
2006-10-31,EQ,"1,008.00","1,025.00",956.60,"1,006.55",999.00,989.70,991.60,"1,047.80",452.8,2238040,"2,219,237,845.15",
2006-11-01,EQ,"1,001.00","1,024.00",982.60,989.70,"1,008.15","1,009.25","1,008.13","1,047.80",452.8,1953788,"1,969,670,033.25",
2006-11-02,EQ,"1,008.00","1,018.65",995.15,"1,009.25",995.15,"1,002.50","1,007.43","1,047.80",452.8,1094928,"1,103,059,610.80",
2006-11-03,EQ,"1,004.00","1,005.00",985.00,"1,002.50",990.35,992.00,994.16,"1,047.80",452.8,712543,"708,384,739.30",
2006-11-06,EQ,"1,000.00","1,021.00",983.00,992.00,995.00,998.30,"1,006.11","1,047.80",452.8,870738,"876,058,384.50",
2006-11-07,EQ,"1,013.70","1,014.40",987.25,998.30,989.35,990.95,"1,001.47","1,047.80",452.8,508981,"509,727,726.45",
2006-11-08,EQ,998.60,"1,005.00",969.00,990.95,995.00,990.70,988.73,"1,047.80",452.8,823820,"814,538,032.00",
2006-11-09,EQ,"1,002.00","1,002.80",982.00,990.70,984.95,987.60,990.76,"1,047.80",452.8,472117,"467,756,165.15",
2006-11-10,EQ,994.40,"1,031.00",975.00,987.60,996.00,999.35,"1,008.10","1,047.80",452.8,1328121,"1,338,878,298.25",
2006-11-13,EQ,"1,000.00","1,016.85",994.50,999.35,"1,003.00","1,005.75","1,006.72","1,047.80",452.8,634151,"638,413,834.75",
2006-11-14,EQ,"1,010.00","1,015.00",991.15,"1,005.75",993.00,996.15,"1,002.64","1,047.80",452.8,591832,"593,394,968.75",
2006-11-15,EQ,"1,000.00","1,089.80",997.50,996.15,"1,066.00","1,073.60","1,045.33","1,089.80",452.8,2710703,"2,833,576,335.10",
