date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,146.0,156.45,146.0,144.95,155.0,155.7,154.36,177.9,59.1,23000,"3,550,370.00",
2000-01-04,EQ,152.0,152.0,144.0,155.7,148.05,147.4,146.72,177.9,59.1,26300,"3,858,700.00",
2000-01-05,EQ,144.0,148.8,136.0,147.4,139.95,138.4,142.95,177.9,59.1,20600,"2,944,850.00",
2000-01-06,EQ,142.0,149.5,141.0,138.4,149.5,149.5,147.87,177.9,59.1,31600,"4,672,750.00",
2000-01-07,EQ,149.5,153.0,145.0,149.5,147.75,146.35,148.63,177.9,59.1,36600,"5,439,965.00",
2000-01-10,EQ,150.0,150.0,141.05,146.35,144.65,144.9,145.28,177.9,59.1,33100,"4,808,790.00",
2000-01-11,EQ,138.0,146.7,137.1,144.9,142.0,141.0,142.34,177.9,59.1,75600,"10,760,595.00",
2000-01-12,EQ,151.9,152.3,145.5,141.0,148.0,147.9,151.23,177.9,59.1,19711,"2,980,906.55",
2000-01-13,EQ,151.5,157.0,146.3,147.9,148.6,148.85,154.34,177.9,59.1,62777,"9,689,248.85",
2000-01-14,EQ,150.0,150.0,143.05,148.85,144.0,144.5,144.56,177.9,59.1,14332,"2,071,905.40",
2000-01-17,EQ,143.0,150.5,141.8,144.5,143.9,143.75,144.02,177.9,59.1,7947,"1,144,502.05",
2000-01-18,EQ,142.05,144.8,135.75,143.75,140.0,139.2,139.23,177.9,59.1,35683,"4,968,036.45",
2000-01-19,EQ,142.6,145.0,140.0,139.2,142.65,142.15,142.34,177.9,59.1,22876,"3,256,170.05",
2000-01-20,EQ,142.5,142.5,137.9,142.15,141.0,141.1,139.73,177.9,59.1,19869,"2,776,294.50",
2000-01-21,EQ,139.0,140.95,137.15,141.1,138.6,138.85,138.9,177.9,59.1,13270,"1,843,194.80",
2000-01-24,EQ,139.1,143.0,139.0,138.85,140.0,140.05,140.91,177.9,59.1,10451,"1,472,661.45",
2000-01-25,EQ,140.0,140.4,136.7,140.05,137.3,137.7,138.55,177.9,59.1,8983,"1,244,553.85",
2000-01-27,EQ,140.0,144.9,136.5,137.7,138.8,138.7,138.6,177.9,59.1,4109,"569,522.40",
2000-01-28,EQ,135.0,138.0,134.9,138.7,136.0,136.2,136.28,177.9,59.1,8399,"1,144,594.05",
2000-01-31,EQ,132.0,137.9,132.0,136.2,136.0,136.05,135.67,177.9,59.1,13556,"1,839,188.65",
2000-02-01,EQ,131.0,143.85,125.2,136.05,132.7,134.75,133.68,177.9,59.1,6038,"807,167.05",
2000-02-02,EQ,136.95,136.95,127.0,134.75,129.5,129.1,131.91,177.9,59.1,7818,"1,031,254.35",
2000-02-03,EQ,127.0,129.5,125.0,129.1,125.1,125.55,126.74,177.9,59.1,6218,"788,097.55",
2000-02-04,EQ,128.7,128.7,120.0,125.55,124.0,123.7,122.31,177.9,59.1,5275,"645,163.00",
2000-02-07,EQ,127.0,127.0,113.8,123.7,114.0,114.0,116.61,177.9,59.1,7818,"911,676.55",
2000-02-08,EQ,107.0,120.0,107.0,114.0,117.35,118.1,116.46,177.9,59.1,9764,"1,137,115.50",
2000-02-09,EQ,119.9,123.4,115.0,118.1,116.5,117.5,118.88,177.9,59.1,13661,"1,624,064.45",
2000-02-10,EQ,119.0,120.9,116.0,117.5,117.1,117.1,117.51,177.9,59.1,8545,"1,004,084.85",
2000-02-11,EQ,116.0,116.0,108.0,117.1,108.0,108.7,110.11,177.9,59.1,15556,"1,712,941.95",
2000-02-14,EQ,104.4,106.95,102.0,108.7,102.0,102.05,103.72,177.9,59.1,5161,"535,323.50",
2000-02-15,EQ,102.0,107.0,100.0,102.05,102.0,102.05,103.12,177.9,59.1,14364,"1,481,172.20",
2000-02-16,EQ,105.0,107.8,103.1,102.05,103.25,104.0,105.72,177.9,59.1,6534,"690,772.20",
2000-02-17,EQ,105.95,110.8,104.2,104.0,109.85,109.95,106.89,177.9,59.1,8806,"941,310.90",
2000-02-18,EQ,107.4,110.0,105.3,109.95,107.75,106.75,106.97,177.9,59.1,4141,"442,977.60",
