date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2004-08-24,EQ,305.0,340.0,253.25,10.0,259.0,260.2,268.8,-,-,6633956,"1,783,236,931.35",
2004-08-25,EQ,262.0,264.7,249.2,260.2,255.0,255.55,255.54,340.00,253.25,2794161,"714,010,727.65",
2004-08-26,EQ,257.75,272.5,256.0,255.55,270.1,270.7,267.0,340.00,249.20,2340926,"625,023,135.85",
2004-08-27,EQ,272.0,272.55,260.65,270.7,261.35,262.25,264.4,340.00,249.20,915106,"241,952,932.20",
2004-08-30,EQ,263.7,269.0,262.05,262.25,267.0,266.1,265.38,340.00,249.20,387417,"102,810,846.15",
2004-08-31,EQ,266.8,267.8,264.3,266.1,266.45,266.2,266.0,340.00,249.20,261123,"69,459,778.15",
2004-09-01,EQ,267.0,273.45,265.0,266.2,267.0,267.2,269.43,340.00,249.20,311985,"84,059,503.75",
2004-09-02,EQ,267.85,269.5,260.0,267.2,264.0,262.2,264.61,340.00,249.20,205537,"54,387,342.45",
2004-09-03,EQ,262.2,264.9,257.5,262.2,262.65,262.65,261.0,340.00,249.20,303156,"79,122,558.20",
2004-09-06,EQ,263.5,267.85,263.0,262.65,264.75,265.3,265.9,340.00,249.20,74691,"19,860,452.95",
2004-09-07,EQ,264.0,265.8,263.55,265.3,265.0,264.85,264.72,340.00,249.20,128275,"33,956,330.70",
2004-09-08,EQ,266.0,266.0,262.6,264.85,263.5,263.45,263.95,340.00,249.20,95094,"25,100,267.95",
2004-09-09,EQ,264.5,265.0,254.8,263.45,256.5,256.0,258.58,340.00,249.20,229786,"59,419,204.80",
2004-09-10,EQ,256.9,264.4,254.35,256.0,258.1,258.6,258.61,340.00,249.20,313469,"81,065,920.25",
2004-09-13,EQ,256.0,262.15,256.0,258.6,260.8,260.65,260.79,340.00,249.20,100186,"26,127,365.95",
2004-09-14,EQ,261.0,263.5,259.0,260.65,261.0,261.1,260.97,340.00,249.20,87282,"22,778,344.95",
2004-09-15,EQ,262.7,266.95,261.5,261.1,263.0,263.9,264.35,340.00,249.20,179209,"47,373,801.15",
2004-09-16,EQ,264.0,266.7,261.0,263.9,266.7,265.6,264.52,340.00,249.20,113885,"30,124,907.45",
2004-09-17,EQ,267.0,274.45,266.1,265.6,271.0,271.0,270.63,340.00,249.20,193931,"52,484,313.60",
2004-09-20,EQ,272.0,283.0,272.0,271.0,276.95,277.35,279.59,340.00,249.20,447036,"124,986,274.05",
2004-09-21,EQ,280.0,281.8,275.0,277.35,275.8,276.3,277.8,340.00,249.20,317565,"88,219,704.60",
2004-09-22,EQ,281.5,281.95,275.05,276.3,280.8,279.25,278.89,340.00,249.20,142156,"39,645,639.20",
2004-09-23,EQ,273.0,279.0,268.8,279.25,268.95,269.9,274.07,340.00,249.20,71981,"19,728,125.35",
2004-09-24,EQ,269.5,273.0,267.1,269.9,271.3,270.8,269.83,340.00,249.20,64135,"17,305,620.50",
2004-09-27,EQ,271.5,273.9,269.3,270.8,273.9,272.8,271.61,340.00,249.20,43976,"11,944,193.10",
2004-09-28,EQ,272.8,272.8,263.6,272.8,264.5,265.7,266.92,340.00,249.20,116744,"31,160,879.50",
2004-09-29,EQ,266.9,267.5,262.65,265.7,264.5,264.45,264.69,340.00,249.20,84483,"22,361,624.95",
2004-09-30,EQ,266.4,268.75,264.95,264.45,265.0,266.05,267.09,340.00,249.20,45563,"12,169,251.60",
2004-10-01,EQ,266.0,268.0,264.0,266.05,264.0,265.25,266.06,340.00,249.20,59466,"15,821,747.00",
2004-10-04,EQ,268.8,270.9,263.0,265.25,270.0,269.05,267.52,340.00,249.20,173799,"46,494,061.15",
2004-10-05,EQ,269.0,271.0,264.0,269.05,264.75,265.25,267.03,340.00,249.20,74731,"19,955,597.45",
2004-10-06,EQ,266.5,298.9,266.5,265.25,293.0,295.0,289.81,340.00,249.20,1072401,"310,797,727.30",
2004-10-07,EQ,295.0,354.0,294.0,295.0,316.05,316.45,323.06,340.00,249.20,2122276,"685,632,099.40",
2004-10-08,EQ,318.1,331.35,316.45,316.45,322.0,320.4,322.82,354.00,249.20,599337,"193,478,373.90",
2004-10-09,EQ,321.4,322.0,314.0,320.4,316.0,315.65,317.5,354.00,249.20,90585,"28,761,176.40",
2004-10-11,EQ,315.0,318.6,301.25,315.65,303.3,304.7,310.88,354.00,249.20,121262,"37,697,889.95",
2004-10-12,EQ,307.0,311.0,298.1,304.7,298.6,300.15,303.61,354.00,249.20,146878,"44,594,248.60",
2004-10-14,EQ,303.7,303.7,286.55,300.15,290.2,289.1,291.66,354.00,249.20,89146,"26,000,080.40",
2004-10-15,EQ,294.8,299.8,288.0,289.1,289.1,290.7,293.49,354.00,249.20,115264,"33,829,135.55",
2004-10-18,EQ,293.9,295.0,285.0,290.7,287.2,286.8,289.35,354.00,249.20,59350,"17,173,060.75",
2004-10-19,EQ,291.4,291.4,282.6,286.8,285.05,285.6,287.27,354.00,249.20,72458,"20,815,255.05",
2004-10-20,EQ,288.4,292.3,285.5,285.6,286.1,286.55,289.1,354.00,249.20,95374,"27,572,803.80",
2004-10-21,EQ,288.4,296.5,285.0,286.55,293.0,292.25,290.02,354.00,249.20,81976,"23,774,376.60",
2004-10-25,EQ,295.5,305.3,284.6,292.25,285.15,286.35,294.16,354.00,249.20,215408,"63,364,896.05",
2004-10-26,EQ,289.9,294.8,281.55,286.35,292.5,289.5,287.67,354.00,249.20,105215,"30,266,780.60",
2004-10-27,EQ,285.0,313.9,285.0,289.5,297.75,299.15,299.45,354.00,249.20,656655,"196,634,001.60",
2004-10-28,EQ,301.0,311.0,297.0,299.15,306.35,306.6,304.78,354.00,249.20,326585,"99,537,505.60",
2004-10-29,EQ,302.2,306.75,301.0,306.6,302.5,303.25,303.38,354.00,249.20,76737,"23,280,174.90",
2004-11-01,EQ,305.0,305.0,289.0,303.25,301.0,301.3,298.41,354.00,249.20,190801,"56,937,294.35",
2004-11-02,EQ,306.0,310.0,302.0,301.3,307.0,306.9,306.86,354.00,249.20,109175,"33,501,286.90",
2004-11-03,EQ,307.5,310.0,303.0,306.9,305.0,305.15,305.53,354.00,249.20,93238,"28,486,653.40",
2004-11-04,EQ,308.8,308.8,299.0,305.15,299.65,300.0,302.59,354.00,249.20,32815,"9,929,588.15",
2004-11-05,EQ,303.0,303.0,290.0,300.0,294.0,292.35,294.53,354.00,249.20,61849,"18,216,683.65",
2004-11-08,EQ,297.4,302.0,290.25,292.35,294.0,292.5,296.59,354.00,249.20,80765,"23,954,266.80",
2004-11-09,EQ,296.4,300.0,293.3,292.5,294.5,295.55,296.69,354.00,249.20,48772,"14,470,185.70",
2004-11-10,EQ,298.0,298.8,291.5,295.55,292.8,292.5,296.15,354.00,249.20,107489,"31,833,094.45",
2004-11-11,EQ,293.6,296.4,286.55,292.5,287.75,287.95,290.75,354.00,249.20,131265,"38,165,023.15",
2004-11-12,EQ,292.9,293.4,289.15,287.95,291.5,291.5,291.62,354.00,249.20,29798,"8,689,657.75",
2004-11-16,EQ,293.65,294.95,289.0,291.5,294.95,294.05,292.75,354.00,249.20,48466,"14,188,553.40",
2004-11-17,EQ,296.0,296.0,283.0,294.05,283.55,283.85,287.49,354.00,249.20,222899,"64,081,577.65",
2004-11-18,EQ,285.0,288.75,283.1,283.85,285.0,284.3,286.19,354.00,249.20,95728,"27,396,507.75",
2004-11-19,EQ,286.7,287.0,280.5,284.3,282.0,282.15,284.48,354.00,249.20,116142,"33,039,495.75",
2004-11-22,EQ,283.0,284.0,278.3,282.15,278.5,278.9,280.4,354.00,249.20,112962,"31,674,834.20",
2004-11-23,EQ,285.0,285.0,276.0,278.9,276.95,277.7,279.84,354.00,249.20,193928,"54,268,378.70",
2004-11-24,EQ,281.8,287.0,280.4,277.7,286.2,285.45,283.6,354.00,249.20,345777,"98,062,892.25",
2004-11-25,EQ,294.6,299.85,289.5,285.45,294.5,294.8,296.05,354.00,249.20,397748,"117,753,409.30",
2004-11-29,EQ,295.0,299.8,295.0,294.8,297.55,297.6,296.84,354.00,249.20,146544,"43,499,424.40",
2004-11-30,EQ,298.95,298.95,294.0,297.6,295.0,295.2,295.27,354.00,249.20,172784,"51,017,209.60",
2004-12-01,EQ,296.0,297.85,295.0,295.2,296.0,295.55,295.77,354.00,249.20,85290,"25,226,053.75",
2004-12-02,EQ,297.0,305.0,296.0,295.55,301.95,302.35,300.98,354.00,249.20,317401,"95,531,443.35",
2004-12-03,EQ,305.55,306.6,295.0,302.35,295.0,295.75,298.66,354.00,249.20,339368,"101,355,417.30",
2004-12-06,EQ,297.05,298.0,293.25,295.75,294.0,294.3,295.44,354.00,249.20,200821,"59,329,787.35",
2004-12-07,EQ,295.0,304.65,295.0,294.3,302.0,302.25,300.36,354.00,249.20,288631,"86,693,670.85",
2004-12-08,EQ,302.0,304.9,297.0,302.25,300.6,300.15,300.82,354.00,249.20,201937,"60,746,644.65",
2004-12-09,EQ,302.6,302.6,297.0,300.15,297.15,298.7,299.72,354.00,249.20,143942,"43,141,721.80",
2004-12-10,EQ,300.0,304.45,295.0,298.7,303.0,300.65,299.06,354.00,249.20,318295,"95,188,020.15",
2004-12-13,EQ,303.0,305.0,300.65,300.65,303.0,301.95,302.47,354.00,249.20,43952,"13,294,058.05",
2004-12-14,EQ,303.0,310.75,302.65,301.95,306.0,305.95,307.33,354.00,249.20,141686,"43,544,859.05",
2004-12-15,EQ,308.45,308.5,304.0,305.95,307.0,305.5,305.77,354.00,249.20,62276,"19,042,293.40",
2004-12-16,EQ,306.0,310.9,302.0,305.5,308.2,309.3,308.28,354.00,249.20,137963,"42,530,905.30",
2004-12-17,EQ,308.05,312.95,302.2,309.3,309.2,305.15,307.63,354.00,249.20,195396,"60,110,145.75",
2004-12-20,EQ,310.0,314.4,310.0,305.15,314.0,312.4,312.34,354.00,249.20,212500,"66,371,572.40",
