date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2004-01-23,EQ,100.0,560.0,100.0,10.0,555.1,553.8,483.69,-,-,73629,"35,613,614.50",
2004-01-27,EQ,570.0,570.0,525.0,553.8,530.1,540.35,540.77,560.00,100.00,26737,"14,458,508.50",
2004-01-28,EQ,530.0,565.0,511.0,540.35,542.0,538.85,542.24,570.00,100.00,32155,"17,435,690.20",
2004-01-29,EQ,530.0,543.5,504.0,538.85,517.0,515.1,529.23,570.00,100.00,19074,"10,094,472.20",
2004-01-30,EQ,519.0,519.0,471.4,515.1,485.0,482.95,485.85,570.00,100.00,23807,"11,566,593.85",
2004-02-03,EQ,472.0,475.0,450.0,482.95,465.0,461.45,466.1,570.00,100.00,25068,"11,684,317.45",
2004-02-04,EQ,442.0,479.0,442.0,461.45,475.0,475.15,470.81,570.00,100.00,21392,"10,071,674.45",
2004-02-05,EQ,475.0,489.0,470.5,475.15,475.05,480.15,477.59,570.00,100.00,19618,"9,369,305.90",
2004-02-06,EQ,461.1,486.0,461.0,480.15,485.9,480.75,477.32,570.00,100.00,11997,"5,726,434.05",
2004-02-09,EQ,475.0,483.0,462.05,480.75,474.8,471.95,471.87,570.00,100.00,19547,"9,223,682.55",
2004-02-10,EQ,480.0,480.0,459.0,471.95,475.15,477.8,473.86,570.00,100.00,20031,"9,491,981.20",
2004-02-11,EQ,479.0,483.95,475.8,477.8,481.5,479.75,479.86,570.00,100.00,8149,"3,910,373.35",
2004-02-12,EQ,480.0,489.0,475.55,479.75,489.0,486.35,482.42,570.00,100.00,10600,"5,113,702.00",
2004-02-13,EQ,493.0,495.95,480.0,486.35,495.0,492.8,490.14,570.00,100.00,14134,"6,927,575.75",
2004-02-16,EQ,465.0,498.0,465.0,492.8,495.0,494.35,491.4,570.00,100.00,9670,"4,751,850.65",
2004-02-17,EQ,491.0,500.0,490.0,494.35,495.3,497.65,495.64,570.00,100.00,38983,"19,321,443.15",
2004-02-18,EQ,495.0,504.0,492.0,497.65,501.5,501.75,499.92,570.00,100.00,8918,"4,458,328.45",
2004-02-19,EQ,500.0,500.0,475.0,501.75,486.0,481.55,486.65,570.00,100.00,24195,"11,774,610.05",
2004-02-20,EQ,484.9,484.9,471.65,481.55,475.0,475.0,475.15,570.00,100.00,44404,"21,098,433.05",
2004-02-23,EQ,505.0,505.0,465.0,475.0,472.0,469.2,470.74,570.00,100.00,13769,"6,481,655.55",
2004-02-24,EQ,469.55,485.1,469.5,469.2,482.0,482.6,478.72,570.00,100.00,11944,"5,717,878.95",
