date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades
2000-01-03,EQ,"2,724.00","2,724.20","2,724.00","2,522.40","2,724.20","2,724.20","2,724.17","5,794.90",937.20,1599,"4,355,942.05",
2000-01-04,EQ,"2,942.15","2,942.15","2,942.15","2,724.20","2,942.15","2,942.15","2,942.15","5,794.90",937.20,4392,"12,921,922.80",
2000-01-05,EQ,"2,942.15","3,177.55","2,715.00","2,942.15","3,000.00","2,990.10","3,063.86","5,794.90",937.20,132297,"405,338,956.20",
2000-01-06,EQ,"3,144.70","3,183.00","2,790.00","2,990.10","2,915.00","2,932.25","2,962.41","5,794.90",937.20,72840,"215,782,212.45",
2000-01-07,EQ,"2,751.00","2,751.00","2,697.70","2,932.25","2,697.70","2,697.70","2,697.95","5,794.90",937.20,10110,"27,276,303.90",
2000-01-10,EQ,"2,697.70","2,913.50","2,612.00","2,697.70","2,665.00","2,701.35","2,740.88","5,794.90",937.20,40382,"110,682,412.85",
2000-01-11,EQ,"2,734.00","2,789.00","2,485.25","2,701.35","2,485.25","2,485.45","2,543.38","5,794.90",937.20,46178,"117,448,359.00",
2000-01-12,EQ,"2,590.00","2,608.00","2,485.00","2,485.45","2,570.00","2,562.90","2,543.75","5,794.90",937.20,20037,"50,969,045.95",
2000-01-13,EQ,"2,574.00","2,620.00","2,460.00","2,562.90","2,484.90","2,480.25","2,539.63","5,794.90",937.20,19080,"48,456,205.95",
2000-01-14,EQ,"2,590.00","2,590.00","2,405.00","2,480.25","2,475.15","2,497.85","2,470.43","5,794.90",937.20,20412,"50,426,464.15",
2000-01-17,EQ,"2,580.00","2,697.70","2,550.00","2,497.85","2,697.70","2,697.70","2,671.72","5,794.90",937.20,27984,"74,765,481.75",
2000-01-18,EQ,"2,740.00","2,850.00","2,600.00","2,697.70","2,690.00","2,677.15","2,688.05","5,794.90",937.20,32443,"87,208,280.00",
2000-01-19,EQ,"2,725.00","2,848.00","2,725.00","2,677.15","2,780.00","2,784.50","2,801.90","5,794.90",937.20,33586,"94,104,506.90",
2000-01-20,EQ,"2,808.00","2,834.95","2,775.00","2,784.50","2,785.00","2,796.40","2,801.60","5,794.90",937.20,21511,"60,265,133.75",
2000-01-21,EQ,"2,825.00","3,020.15","2,750.00","2,796.40","3,020.15","2,989.70","2,931.46","5,794.90",937.20,145195,"425,633,476.55",
2000-01-24,EQ,"3,151.00","3,228.90","3,151.00","2,989.70","3,228.90","3,228.90","3,228.71","5,794.90",937.20,20562,"66,388,746.80",
2000-01-25,EQ,"3,487.25","3,487.25","3,487.20","3,228.90","3,487.25","3,487.25","3,487.24","5,794.90",937.20,34893,"121,680,385.85",
2000-01-27,EQ,"3,766.25","3,766.25","3,766.25","3,487.25","3,766.25","3,766.25","3,766.25","5,794.90",937.20,1618,"6,093,792.50",
2000-01-28,EQ,"4,067.55","4,067.55","4,067.55","3,766.25","4,067.55","4,067.55","4,067.55","5,794.90",937.20,3007,"12,231,122.85",
2000-01-31,EQ,"4,067.55","4,240.00","3,742.15","4,067.55","3,900.00","3,805.00","3,884.97","5,794.90",937.20,73387,"285,106,457.80",
2000-02-01,EQ,"3,995.00","4,109.40","3,960.00","3,805.00","4,109.40","4,109.40","4,095.33","5,794.90",937.20,49750,"203,742,825.60",
2000-02-02,EQ,"4,438.15","4,438.15","4,438.15","4,109.40","4,438.15","4,438.15","4,438.15","5,794.90",937.20,2235,"9,919,265.25",
2000-02-03,EQ,"4,793.20","4,793.20","4,750.00","4,438.15","4,793.20","4,793.20","4,792.18","5,794.90",937.20,8597,"41,198,382.35",
2000-02-04,EQ,"5,169.00","5,176.70","5,005.00","4,793.20","5,176.70","5,176.70","5,124.37","5,794.90",937.20,57609,"295,209,840.40",
2000-02-07,EQ,"5,339.00","5,494.00","5,074.00","5,176.70","5,150.00","5,259.15","5,317.52","5,794.90",937.20,42768,"227,419,653.95",
2000-02-08,EQ,"5,289.00","5,400.00","4,839.00","5,259.15","4,850.00","4,868.05","4,950.21","5,794.90",937.20,37484,"185,553,566.55",
2000-02-09,EQ,"5,099.00","5,257.50","5,050.00","4,868.05","5,200.00","5,209.50","5,185.10","5,794.90",937.20,38282,"198,495,923.55",
2000-02-10,EQ,"5,200.00","5,626.30","5,105.00","5,209.50","5,626.30","5,626.30","5,440.17","5,794.90",937.20,76550,"416,445,343.30",
2000-02-11,EQ,"6,067.00","6,076.40","5,700.00","5,626.30","6,076.40","6,076.40","6,019.01","5,794.90",937.20,62249,"374,677,597.00",
2000-02-14,EQ,"6,250.00","6,562.55","6,000.00","6,076.40","6,562.55","6,562.55","6,476.74","6,076.40",937.20,67076,"434,433,723.10",
2000-02-15,EQ,"6,899.00","7,087.55","6,100.00","6,562.55","7,087.55","7,087.55","6,978.68","6,562.55",937.20,56752,"396,053,941.20",
2000-02-16,EQ,"7,269.00","7,654.55","7,260.00","7,087.55","7,654.55","7,654.55","7,634.56","7,087.55",937.20,24633,"188,062,158.65",
2000-02-17,EQ,"8,262.85","8,266.95","8,262.85","7,654.55","8,266.95","8,266.95","8,266.95","7,654.55",937.20,14273,"117,994,156.85",
2000-02-18,EQ,"8,928.35","8,928.35","8,928.35","8,266.95","8,928.35","8,928.35","8,928.35","8,266.95",937.20,9348,"83,462,215.80",
2000-02-21,EQ,"9,625.00","9,642.65","8,928.35","8,928.35","9,640.00","9,587.45","9,607.14","8,928.35",937.20,181968,"1,748,192,566.50",
2000-02-22,EQ,"10,350.00","10,350.00","8,820.45","9,587.45","8,820.45","8,820.45","8,931.54","9,642.65",937.20,49915,"445,817,920.60",
2000-02-23,EQ,"8,500.00","8,500.00","8,114.85","8,820.45","8,114.85","8,114.85","8,128.15","10,350.00",937.20,9230,"75,022,812.25",
2000-02-24,EQ,"7,471.00","7,471.00","7,465.70","8,114.85","7,465.70","7,465.70","7,466.09","10,350.00",937.20,3173,"23,689,891.10",
2000-02-25,EQ,"6,868.50","7,100.00","6,868.45","7,465.70","6,868.45","6,868.45","6,945.22","10,350.00",937.20,85069,"590,823,114.35",
2000-02-28,EQ,"6,868.45","7,190.00","6,319.00","6,868.45","6,930.00","6,994.45","6,865.64","10,350.00",937.20,154212,"1,058,764,276.25",
2000-02-29,EQ,"7,090.00","7,400.00","6,434.90","6,994.45","6,800.00","6,616.75","6,954.86","10,350.00",937.20,137566,"956,752,828.50",
2000-03-01,EQ,"7,128.00","7,146.10","6,700.00","6,616.75","7,146.10","7,144.40","7,081.26","10,350.00",937.20,125683,"889,994,220.50",
2000-03-02,EQ,"7,499.00","7,700.00","7,200.00","7,144.40","7,339.00","7,495.85","7,490.24","10,350.00",937.20,180524,"1,352,167,557.85",
2000-03-03,EQ,"7,090.00","7,100.00","6,896.20","7,495.85","6,896.20","6,896.20","6,926.40","10,350.00",937.20,42970,"297,627,459.40",
2000-03-06,EQ,"6,996.00","7,369.45","6,365.00","6,896.20","6,970.00","6,938.80","6,897.20","10,350.00",937.20,76163,"525,311,623.35",
